,AIBL,AIBR,ALA,AQR,ASKR,AUAL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,BAGL,BAGR,IL2DL,OLQDR,RIBL,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SABVR,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXR,URYDL,URYDR,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.2378787732496528,-0.26355645495671476,-0.23342604008976173,-0.3010694722434268,-0.16695392301901088,-0.19702805595344156,-0.42480981909047116,-0.2560356889835231,-0.27122454547506347,-0.20882771620288185,-0.25601652619031406,-0.20982028050203183,-0.31934466099325926,-0.32021524662764367,-0.2413395286157032,-0.31893381515455677,-0.14912058615438098,-0.19056973703892366,-0.41824341810679855,-0.21429934048007987,-0.046741286482692906,-0.2868492084784948,-0.13775228653568494,-0.10166549820807631,-0.22866473402967563,-0.22555215835463482,-0.012811415100590511,-0.20062389568412997,-0.15842124095209204,-0.33112980523232705,-0.1527862639905342,-0.04920796129434994,-0.16552130054446196,-0.3294500086346428,-0.2593164157036388,-0.2809639897706733,-0.1968204047456829,-0.2671090769441401,-0.3057099791890705,-0.25507028047762903,-0.10552367226058093,-0.06886864724974631,train,0.0,1
1,-0.4011219167573909,-0.3987452681508924,-0.2716827717932321,-0.3834720090765451,-0.26896339419119863,-0.29202830534394847,-0.5937165115533863,-0.3893534155614394,-0.2850391382304951,-0.3454282916923514,-0.3601779182255738,-0.26435123303148045,-0.36175206617777134,-0.4088944596822913,-0.32642673101558145,-0.386900737054777,-0.19211507707006037,-0.2138911701509939,-0.5699224449683623,-0.3817626637567089,0.03652420703297876,-0.36990254334915296,-0.20378061651233292,-0.08858439694969569,-0.21432510832821683,-0.2386378668132897,-0.01737366016461392,-0.1980899698444176,-0.20600485274344935,-0.38776536596306843,-0.18249434205211465,-0.07182113404572354,-0.21338510493235846,-0.39389675789792133,-0.33176847627062994,-0.3514256562161874,-0.31355801775082365,-0.35802413741597106,-0.38822821818047676,-0.3649720987804713,-0.1659408854287394,-0.051767692338806556,train,0.25580293699668405,1
2,-0.4930141630588105,-0.4702763337627585,-0.28843761903588644,-0.4346644961799645,-0.3357871111184967,-0.361215564510035,-0.6825532948727951,-0.46895012771877287,-0.2958353076499267,-0.43614535719750047,-0.41870910068132133,-0.2991086979960216,-0.3967120032314627,-0.464244710145603,-0.3967227203038039,-0.43225079197517075,-0.2340834762376543,-0.2374018842913564,-0.6444516649449049,-0.480044866971646,0.0868362544254046,-0.42790367009246677,-0.2592820560792272,-0.10397119947076526,-0.21667758399297649,-0.2574292157025894,-0.023960102786219135,-0.21463722713677685,-0.24188184152584521,-0.4157859291596168,-0.21898366911483777,-0.11144959370145223,-0.2523248077148806,-0.4340807694609509,-0.3836869723895927,-0.41704543717712916,-0.3968421817194112,-0.41901165945574176,-0.44116986910265454,-0.44332583587458785,-0.22428061324875503,-0.06292057378858906,train,0.5116058739933681,1
3,-0.5446756700477978,-0.5103664139128959,-0.3021678287322282,-0.4719566388874746,-0.39161166991028573,-0.41138992306966693,-0.7370890832910449,-0.520022777160926,-0.3034653883940262,-0.4981380498086449,-0.4498783636797038,-0.32178193350666484,-0.4212260784418408,-0.5082026703690908,-0.45017700185090315,-0.455860583350996,-0.2752721981996808,-0.24608076726490696,-0.6868361679362293,-0.5457345882529413,0.12489205721747582,-0.47280283885025687,-0.29875613639596393,-0.12830273413308008,-0.22738710923015654,-0.28905776563373115,-0.04366401180913295,-0.22812698813843083,-0.263746826429056,-0.43911385037484163,-0.25998150954640226,-0.15888071653971086,-0.28461841667451143,-0.46020508287804585,-0.4312061287928709,-0.46225942543174725,-0.4456738064217276,-0.44637636473020137,-0.46554486581754995,-0.4878526713866551,-0.27926993225648156,-0.08060153071503609,train,0.7674088109900521,1
4,-0.5560690131953822,-0.5172101664956591,-0.30661575659022167,-0.5058879566046182,-0.4419414169922448,-0.44914627697419485,-0.7501189093125438,-0.5340987404344973,-0.32585210515860125,-0.5318358724914244,-0.46250617932681026,-0.34145482215066725,-0.4507190539998245,-0.5436007618381901,-0.49683120795408003,-0.4663384788399417,-0.32643215714371393,-0.2760730505813479,-0.6914343859336084,-0.5800281383376467,0.11449130184432788,-0.514512286911499,-0.3227434455851248,-0.18656992548067033,-0.2539941560747787,-0.3218151905154195,-0.09551411696740209,-0.2605097949423222,-0.27907625178463263,-0.45250115007529956,-0.29536317136947254,-0.2188636297346333,-0.325715613313562,-0.4832648328957128,-0.47495003225238186,-0.5062136363872891,-0.48783794534870456,-0.46882747226962085,-0.49243807928536626,-0.5212605858276836,-0.34149423977089,-0.12081061272121602,train,1.0232117479867362,1
5,-0.5589357672166125,-0.5119867802448225,-0.3112874723596947,-0.5254434761253832,-0.4790026034619501,-0.479467135892682,-0.7544336281500117,-0.5431245401356074,-0.34810570412089503,-0.5501923791002741,-0.46445017763519114,-0.3557587490069606,-0.4692888288419623,-0.5730917742235043,-0.5351204078440235,-0.4741732234287746,-0.36610245378659423,-0.3022934056179335,-0.6881364590295262,-0.598487278219943,0.10106353960573727,-0.5466610495874771,-0.3450086573538399,-0.23479893991561657,-0.27548789564105336,-0.35861331668621005,-0.142268079165701,-0.28552178100768016,-0.2945337777515614,-0.4634590051484726,-0.3238575353358243,-0.273642077059914,-0.36346733112195045,-0.4989890835180686,-0.5117281285952361,-0.541103727197789,-0.5129905573535323,-0.4859678337230292,-0.5038129438429151,-0.535240426598788,-0.3902833692599415,-0.15797663555132457,train,1.27901468498342,1
6,-0.5269583082508598,-0.48950384371209626,-0.3240743906290201,-0.539098763255393,-0.4968850123521198,-0.49898445799075886,-0.7306996843737811,-0.5373526352155453,-0.37613351446755683,-0.5447764232506218,-0.45769833540881916,-0.3682412899401835,-0.49508509129920036,-0.5898455889264685,-0.5732385738219714,-0.47686771021005075,-0.40238474291155457,-0.31926631652183446,-0.6751573649679457,-0.5990727726918507,0.07423164754206496,-0.5699391614764917,-0.36286580354641984,-0.2793121186400165,-0.30574307658683775,-0.3987343423096543,-0.18940115884623418,-0.3259823905994732,-0.3018384677450834,-0.46081502860202445,-0.3483253260314332,-0.31923628704741325,-0.39858984609074444,-0.5107583696559759,-0.5414484813652546,-0.5754981203945471,-0.5292697114060965,-0.48695700960040034,-0.509237212843392,-0.5452017299704229,-0.4373196349383965,-0.19396590487698284,train,1.5348176219801042,1
7,-0.4999750110162947,-0.4598914340873244,-0.33202114380243436,-0.5553920770740473,-0.5291566401055949,-0.5169458466459266,-0.709563057412263,-0.531849546998426,-0.4034369577219818,-0.534350991263765,-0.4448469264978108,-0.3745483985735446,-0.5165649025053243,-0.6106895951666541,-0.6025930136009274,-0.48109403693075625,-0.4425968085611772,-0.3469166224589577,-0.6556474400144281,-0.5991282940109834,0.029344392922632107,-0.5971044739045215,-0.3760072209907308,-0.3285128314296547,-0.33171075178859855,-0.43761513127492213,-0.2548440878947138,-0.3479162245249411,-0.31034311135248954,-0.46473727753821453,-0.3720024454234676,-0.3755157205646724,-0.428154581321871,-0.529133118842616,-0.5719506198361564,-0.5964536264382241,-0.5377911516179466,-0.4881842761147593,-0.5191734172289343,-0.5411677033613069,-0.4843614514357448,-0.2370774858936118,train,1.790620558976788,1
8,-0.47353744841018724,-0.4296091565858587,-0.3347594794783048,-0.5718741239907552,-0.5623241506719334,-0.5379190134411052,-0.682403476149582,-0.5190516207830552,-0.43100348942270716,-0.5251377267023619,-0.4421557831087854,-0.38507811965752065,-0.5405153150309839,-0.6293088475735171,-0.6379702537400929,-0.48399499852924466,-0.4838220861744908,-0.3763609857346534,-0.6313322963236045,-0.5937122883528962,-0.01132528812482686,-0.6190353864568763,-0.38410007916489974,-0.38939913196311077,-0.3587380206757508,-0.47425560456060123,-0.3194114334286723,-0.38562924402999366,-0.3227533625397065,-0.4700408978346069,-0.3898466509280834,-0.42805178524534987,-0.46159476176739533,-0.546281988616331,-0.6049204766590949,-0.6291565305654193,-0.5530909704492256,-0.5017800153289372,-0.5346203048747702,-0.5420884330155408,-0.532802242942931,-0.2883951514088059,train,2.0464234959734724,1
9,-0.43743311336811824,-0.3902617166703292,-0.34396468484455334,-0.5899331069649749,-0.5881908495847563,-0.5521612317889208,-0.6495701115079675,-0.5095287840426745,-0.4631175621361031,-0.5035421588473267,-0.42783374648743777,-0.39283219843037737,-0.5679351572207099,-0.640010026312368,-0.6662978662971042,-0.48592067881211237,-0.5253433642120217,-0.4031648252393955,-0.6048271438108813,-0.5776866043588199,-0.058364460317465644,-0.6398587369877697,-0.4013125045183183,-0.4404683053855464,-0.3918996910569018,-0.5164538851327074,-0.39056899407505785,-0.42845184435745753,-0.33589238167877933,-0.47372231442426815,-0.41791908392047084,-0.4810711019336945,-0.4965721269329464,-0.5623346490688723,-0.6383302446744796,-0.6646859359099946,-0.5566564837543764,-0.5079594923569289,-0.5396475230402629,-0.54204769265417,-0.5793522081715058,-0.3307260526768755,train,2.3022264329701563,1
