,ADFL,AIBL,AIBR,ALA,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA2,VB1,VB2,VB3,train_test_label,time_in_seconds,tau
0,-0.20233500056205117,-0.47844881278446155,-0.5495547389091873,-0.13974584559537606,-0.27636750822020584,-0.5120850872699957,-0.5941863377156451,-0.08004419447301572,-0.5170460579723034,-0.4960221653832536,-0.1681966052633152,-0.15355837233969843,-0.12011316376912708,-0.12769258142290685,-0.35643037482559586,-0.18889779686938124,-0.3757599815867166,-0.32440844741721686,-0.2363632056522239,-0.40693951236496595,-0.004820877431637005,0.017505214816073186,-0.5374296376936927,-0.5684094500693404,-0.4784891457151329,-0.281345307572504,0.007394669176145396,-0.06563865570132266,0.07806510406326846,0.14084231644412656,-0.16004449483082123,-0.0846193767115879,-0.4420291300902852,-0.38679202547949487,-0.3827095444371007,-0.37034480720836643,-0.3676801240135239,-0.2818737261976546,-0.35667561213539084,-0.29772801382693187,-0.334949419392827,-0.2023569638872264,-0.10560071200793979,-0.2837726696166265,train,0.0,1
1,-0.28729477064745224,-0.7486895727682213,-0.7944079955841601,-0.19083871376737552,-0.35273106422666994,-0.7528993883039783,-0.8420541163450701,-0.04308738922412332,-0.6982546290161189,-0.6874987915135486,-0.15617918518573132,-0.14625969939779293,-0.050338515800542716,-0.11400200167801315,-0.4327340227933011,-0.17584646232807127,-0.473351259123021,-0.41190936077441254,-0.36571170656542173,-0.5468812799566296,0.08109595749282439,0.1038718623965128,-0.7820173747885442,-0.7355539647921974,-0.602492895204586,-0.3910735853197739,0.13577320364807655,0.019536105622917133,0.1693150100253113,0.2771132916852288,-0.15320437698989736,-0.03562899413523847,-0.5654719694234229,-0.41558886065738715,-0.49909959981503016,-0.5238322194881847,-0.4742724546020346,-0.38573094423454557,-0.48986027907259677,-0.41602854961959806,-0.4861716688022618,-0.18851317372373474,-0.05932027725852752,-0.35847416387380693,train,0.4875646392514159,1
2,-0.3440221159844342,-0.8935496026294503,-0.9253299915292861,-0.2236487913267877,-0.39553334747111474,-0.8897809460002017,-0.9689757436359403,-0.0129039182807269,-0.7894235629191009,-0.8017106391730922,-0.15918236794285018,-0.13887808096258117,-0.012482642554708934,-0.12801306149261046,-0.46351032286603966,-0.15506077616819197,-0.524217027236614,-0.4505048223877941,-0.4444750952104773,-0.616119492703403,0.125725016241551,0.17194490491901532,-0.9092620842483693,-0.8213602153290565,-0.6643894216025674,-0.45193202014463874,0.21077756631753014,0.07592794103032932,0.22746751982206037,0.3334271530301052,-0.12861136414685428,4.485385830059474e-05,-0.6115987685832299,-0.4266992477857167,-0.5627218192250505,-0.6057768896261423,-0.5365500880494657,-0.46596376259978456,-0.5592419111268521,-0.4741419023417272,-0.5671226198034043,-0.17802413331738134,-0.01886970750177913,-0.3908958733258615,train,0.9751292785028318,1
3,-0.38075349863789854,-0.9967985251895811,-0.9961981477175562,-0.2458175291330889,-0.4185732467168916,-0.9670000730294317,-1.0401421362558234,0.005679920819950723,-0.8516552957731884,-0.8668905622896974,-0.15791818208734543,-0.12653715045613023,-0.009277683956329053,-0.13930052073211185,-0.47473989609255846,-0.1486176288347116,-0.5576364993608236,-0.4883327227726182,-0.4893914238831254,-0.6472122017053987,0.14587624441475536,0.19130933115857113,-0.9937043299286734,-0.8741553178324176,-0.6960015832213517,-0.4888631885290119,0.2460496260494242,0.11294774189444376,0.24857659624047296,0.3638363710334037,-0.10852506034895096,0.0263635132693026,-0.632721407922121,-0.4435740147845569,-0.6015187482565536,-0.6546852617748958,-0.5714488296996555,-0.5132153490946894,-0.6013498085904252,-0.5026694088195477,-0.6108044308041598,-0.18355426688209306,-0.012503506049304114,-0.41739275967913336,train,1.4626939177542477,1
4,-0.3999808627191969,-1.04492879169869,-1.0382227556444534,-0.2475904417068849,-0.43565115565666224,-1.0074149807488497,-1.0750814687129275,0.014047535602441541,-0.8732085803368648,-0.897038932645515,-0.1535008704265906,-0.11829704429459975,0.021151451457010473,-0.12630744327171733,-0.4810019643269014,-0.13733375259354685,-0.5691389927619632,-0.4878068015068435,-0.5069252148205322,-0.670423809480506,0.1644964563647808,0.21678483392214526,-1.0338440742226127,-0.8981107329833812,-0.7118207601726079,-0.49932125879601097,0.2730215418598456,0.12798069486942767,0.26714976756207137,0.3800967454659109,-0.09928649892593776,0.0471421200520923,-0.6522633621710601,-0.44669160207100883,-0.6139067801464914,-0.6777596093844974,-0.5883176877466715,-0.5365553493490653,-0.6323786362729485,-0.5249301517025721,-0.641685661368649,-0.17486981045990646,-0.003772922725933242,-0.4275920535967913,train,1.9502585570056636,1
5,-0.4202996954101897,-1.0793663541491705,-1.0515986677152174,-0.262038898469123,-0.4362366598244397,-1.028078625321827,-1.0988993960519264,0.011189573986149559,-0.9135661374422053,-0.9178708758818288,-0.16908535266110225,-0.12170836812254193,0.010217364246442096,-0.15779980973877014,-0.46308640744168517,-0.11663463068140412,-0.5814759174132995,-0.5143280106564735,-0.5245762945869852,-0.6757328580032711,0.18359241686674868,0.23111211220848815,-1.0596199504054096,-0.9168493133081579,-0.7260691043032418,-0.4995803999673457,0.29171567046877483,0.14169144502578337,0.2770180067692534,0.3791053073265256,-0.0706682532838399,0.056795197387148735,-0.6466789347836736,-0.4571012920411788,-0.6340200819100666,-0.7048716494067356,-0.6006910791846951,-0.5678327248370286,-0.6455944787858836,-0.5431216042578015,-0.6513676086958639,-0.18509572367544624,-0.012270684189939263,-0.44400364633495276,train,2.4378231962570798,1
6,-0.43060966519858035,-1.0978054811706046,-1.0795998660074655,-0.24411753049701915,-0.4472183630381807,-1.0543140145985073,-1.101295291644303,0.020492979446187665,-0.9028922556448811,-0.9355392907236835,-0.16234403847929021,-0.12323699996527593,0.03306945796208441,-0.14227025286325334,-0.4755321988362105,-0.11444755526056427,-0.5921860308192515,-0.4954054977997131,-0.5502135276166615,-0.6878932545646024,0.18127728319790778,0.2486530179316691,-1.069002145677728,-0.9153104685137378,-0.7198351167172174,-0.5032664481304795,0.2925393574176329,0.14996020185529882,0.2812050176309629,0.388282384103405,-0.0924770005439207,0.05613126525071545,-0.6606409237173053,-0.45580055567832045,-0.6332955792954732,-0.7067925948196345,-0.626773131467378,-0.5819903008370665,-0.6597595177651179,-0.5498366966636993,-0.657962600982777,-0.17399258211497548,-0.0018942423683863396,-0.44200714974937777,train,2.9253878355084955,1
7,-0.4377567545101515,-1.1015705245360508,-1.0755750942546247,-0.24663155672119635,-0.447107226856647,-1.0565916415681433,-1.1078672594442756,0.026723298114458893,-0.9140250378592456,-0.9408833833151782,-0.16321948146422127,-0.12034686327940158,0.04621582404734881,-0.14119376324675859,-0.46762736541929967,-0.1164677735460819,-0.5948721532575132,-0.5002600621172326,-0.5455083695760383,-0.6854113400416686,0.1801453225712544,0.2514221000041384,-1.073462624342737,-0.9129786995249792,-0.721158211575518,-0.5079580789992896,0.29867308691368105,0.1540717639012625,0.2801292363363768,0.39627904321749907,-0.08594453524117127,0.059849344969015186,-0.6599122277706985,-0.4608810594911167,-0.6376413862632753,-0.7070801992660399,-0.6390967297879953,-0.5861636887451944,-0.6653373077102788,-0.5543871332399491,-0.6614849061443181,-0.1767539462923442,-0.005034813200643251,-0.44584916731561464,train,3.412952474759911,1
8,-0.449243534941601,-1.0994073504777981,-1.0783880478720838,-0.24807730634511335,-0.44293065283738325,-1.0417628814495388,-1.1015438021362398,0.01412808856911682,-0.9093414465207805,-0.9385370560525734,-0.16225345028863633,-0.11891856682605913,0.04123508269198575,-0.1495615968890754,-0.46652597709197596,-0.1148089343442795,-0.5864117094351541,-0.4999567826082203,-0.5442294523269501,-0.6882277093472069,0.17639942251077143,0.25164942790754896,-1.0700271413506592,-0.9032264345883135,-0.7276198838542476,-0.5016538757430521,0.2905174023179809,0.1374417785267689,0.26804316409988327,0.38909046457284224,-0.0807876271776172,0.05405593748601338,-0.6622989509800886,-0.46862898682955306,-0.6397262156234266,-0.7095740347368843,-0.6292428776672697,-0.585165719397301,-0.6545346123070603,-0.5468777694078429,-0.6632345616741283,-0.18273272076590147,-0.016938545118315454,-0.4486317915845076,train,3.9005171140113273,1
9,-0.4436756186589634,-1.0924798009020746,-1.0667386673079091,-0.24036373563844013,-0.44094703286737524,-1.0482724526592966,-1.1124828347702067,0.020293197290485426,-0.9051550606567282,-0.9355039313891935,-0.15197660369181012,-0.11686123395771361,0.05060494996985801,-0.13391899096246251,-0.46458918882749967,-0.11400995048413967,-0.5856377387640286,-0.5070761681391271,-0.5476385244325152,-0.6841127719389712,0.17842915754812547,0.24936948451582647,-1.0879400258715006,-0.8995922743244047,-0.7248351519748031,-0.5098810157192996,0.27794134887400296,0.12983479871436118,0.262192681144978,0.3932311254505394,-0.09145978830622942,0.05893792786675191,-0.6758113365418099,-0.4668019881784577,-0.63258964430122,-0.6977034238454581,-0.6378423004728309,-0.5766022351434639,-0.6603575539507429,-0.557594813776949,-0.6556363046631188,-0.18197506106342387,-0.009383888495123144,-0.4497631047215611,train,4.388081753262743,1
