,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AVFR,BAGL,BAGR,DB1,DB2,IL1DL,IL1DR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIFR,RIGL,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SMBDR,SMDVL,URXL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,0.16119403724964623,-0.020459140507796472,0.09323859079177615,-0.14130961823102237,-0.0929939540762248,0.059188539208466076,-0.03774736283344994,-0.20155192251891735,-0.2143691647882379,0.011898802497146699,-0.20196969124970932,-0.04700663951946825,-0.09657237045560797,-0.05689297662745115,-0.20427829469482314,-0.09735197377120103,-0.09278839744849493,0.03089889703757017,-0.13058997384908347,-0.05633232562795083,0.07161412856674239,-0.0986088408419035,-0.13536599763717477,-0.0935301880808259,-0.16247382214459807,-0.2009585986954585,0.04645822516850254,-0.008625686029244559,-0.03132138453908637,-0.33925817654238977,-0.21165698190202523,-0.24209809436197172,-0.23146765349775109,-0.17022365125048391,-0.022692724963287406,-0.0480890333185658,-0.15375158448649248,-0.10217556754133506,-0.10869331509964919,-0.06068417204381482,-0.13500302319982996,-0.24821797065472118,-0.11516939933963265,train,0.0,1
1,0.21018457489704978,0.022322738386579888,0.15036950598002416,-0.14653952019757766,-0.07083244631905546,0.07794770366043571,-0.040577829890219096,-0.22555660349510162,-0.21534605243153093,0.07706948775472458,-0.21665983898324875,-0.007919836241687475,-0.083292612916517,-0.053483133970871205,-0.20065627123400345,-0.08474402146084156,-0.10839151630500539,0.026301813380431964,-0.1412091095048215,-0.05502946514537689,0.08834461985684156,-0.0794673450901179,-0.12983903057835305,-0.10504741864202483,-0.17071159570477162,-0.14950453922361787,0.07617989590880213,0.004434424100896561,0.040545124515024955,-0.3584327681764781,-0.1880793199490922,-0.2630009548569887,-0.24670649479558732,-0.1848316783937934,-0.0033558154813703583,-0.0730628571841422,-0.12496799626241227,-0.09089628909013305,-0.0868453504023277,-0.04600848566617241,-0.13285979153852318,-0.26576828618646897,-0.10903711872789465,train,0.3275705186533212,1
2,0.18972034662991577,0.006853027056851646,0.1792216571384726,-0.15478578228216394,-0.05751043082341992,0.04238832242528101,-0.07969328310961182,-0.2370668359748068,-0.20246906371693593,0.07618251966181006,-0.2296803358867917,0.01355770847991998,-0.08922556542740488,-0.059929856186274486,-0.2131465918585354,-0.08359461394666597,-0.12137596079840579,0.042190553441403156,-0.17524315042622862,-0.08378116829712307,0.0838853954759668,-0.08883809148940722,-0.12102729519123698,-0.11699805585174344,-0.1883562238094692,-0.12888719681306463,0.07132895321724858,-0.02034682428633547,0.052803825671917604,-0.3730531721373461,-0.18332660002972875,-0.25793939857746523,-0.24458383417440155,-0.17521485627358638,-0.01583724648856226,-0.10560726647805943,-0.14164238821157957,-0.11795283845802258,-0.10211029443953695,-0.05709792305313311,-0.1609347755267581,-0.2627562555140261,-0.11830485764281364,train,0.6551410373066424,1
3,0.14763647377422814,-0.022016763681131965,0.1922581300582763,-0.15718889046694495,-0.07154141846460811,-0.006604017319971386,-0.10823548229155318,-0.2320508599241919,-0.18830323741947022,0.05621863957277884,-0.2256469213858706,0.0075363401682493475,-0.10825926780820512,-0.07841616288198515,-0.22050541673695298,-0.08520475131549377,-0.11693502985726274,0.04721993526947253,-0.20196546522764455,-0.10762137798635166,0.055384277626086206,-0.10335341341737375,-0.1194448685464538,-0.1293851591684207,-0.19396867638224952,-0.14183988830068595,0.06106973208067287,-0.0512932758387538,0.03606523543581164,-0.3826526984999322,-0.18040752660582388,-0.26167470641081864,-0.2442830304675303,-0.1657976525434331,-0.03974977005317775,-0.13027471699764936,-0.1544680494635119,-0.13198207094133954,-0.12356238031116745,-0.08404078431542142,-0.1774892709467613,-0.2680972394372016,-0.11874638434039907,train,0.9827115559599636,1
4,0.07774728931137953,-0.07662944019053458,0.1945619505091813,-0.17560624112566176,-0.08577948618956505,-0.07821018658544154,-0.15768892178994545,-0.21763825127622477,-0.16471187980421018,0.014864449460222973,-0.21571360130576456,-0.008648978333869739,-0.1309778313421124,-0.10723424829277162,-0.2462040423690813,-0.0783973722777026,-0.12285760885699751,0.0632493293813202,-0.23577031519985558,-0.13479513546765484,0.0005083353558804279,-0.14456640657536265,-0.11755074275878352,-0.12996484199052122,-0.20123845415399108,-0.17884382744285457,0.03037467412894921,-0.10203239828766453,-0.005720507423728066,-0.3952268677017367,-0.18782343440344829,-0.25334499662382437,-0.2349238800953271,-0.16109351309321054,-0.07683604561643184,-0.1625017014452728,-0.18620328517550674,-0.16951413865724407,-0.157310878881858,-0.12790038650829383,-0.20154866488422205,-0.2692308866828259,-0.10943003091329982,train,1.3102820746132848,1
5,0.02576949917962428,-0.11564210753133353,0.19216102880654926,-0.18307397385939111,-0.10014839092929427,-0.13795237499877827,-0.19811484725798129,-0.20329973665290002,-0.12790508406259957,-0.024153473012914428,-0.20096313793398513,-0.01851732720674168,-0.15750150883052844,-0.13696291311678915,-0.2635434167961047,-0.0829942907272201,-0.11191057666379271,0.07074605984544033,-0.2554174102474748,-0.17760234133342895,-0.04893016454297246,-0.16703306508899257,-0.12324088696147453,-0.13576995291725127,-0.20004985472968723,-0.21691707547879308,0.010478940870335393,-0.15188026683065353,-0.04379758251764823,-0.4079028282621009,-0.20023874334767633,-0.2540470181595259,-0.2340269517393725,-0.14631225086063235,-0.0964286796341286,-0.1830798268275789,-0.19635883426724893,-0.19773444505103602,-0.1926477351119968,-0.16995841170229678,-0.22327304561493966,-0.2807866410496364,-0.11285486103017961,train,1.6378525932666061,1
6,-0.04510711597610099,-0.17494517394655726,0.18554709452738613,-0.19217408695697813,-0.1302996981290711,-0.2046337334589155,-0.2680242706926339,-0.17196762479958222,-0.09731897745124804,-0.08520230592049463,-0.18392883707565272,-0.023618787319011222,-0.16050415855519962,-0.152301517418444,-0.2746439766615561,-0.07758254434516813,-0.12000259344365974,0.09241316790652594,-0.29158064166875014,-0.20839238638939345,-0.09629872345922896,-0.2009443289297505,-0.10453825324908456,-0.11709867558949548,-0.2034955495037535,-0.2545218852963491,-0.020789883576530825,-0.2175211651148312,-0.10631393211609846,-0.4067455087028294,-0.23011185368319453,-0.2242862195611208,-0.2106700500064009,-0.1150954204757129,-0.12565686820209954,-0.20526862029238177,-0.22454540742646198,-0.21078931365087378,-0.22764667810771658,-0.20441086808002115,-0.24796006700524711,-0.27155838539670485,-0.11399282102908917,train,1.9654231119199272,1
7,-0.0973939481650854,-0.22787860301253154,0.15453622425963529,-0.19658322538811085,-0.17432762257512235,-0.26988635376673503,-0.2991467021054281,-0.16726126544217895,-0.10297749457697956,-0.1372456695729308,-0.1818281580367417,-0.043176846285440704,-0.19224752903997575,-0.20521525029772564,-0.3013154667876679,-0.0932555423997882,-0.11671784512655546,0.09835704421580155,-0.31034696600670963,-0.22160271860281844,-0.13696792493264787,-0.22448598869212089,-0.10910092948934108,-0.11830502457948087,-0.22953422752536987,-0.2840584566643389,-0.05021285011196044,-0.2515421810189603,-0.1473167878312066,-0.42579203813597455,-0.24400979821786056,-0.2196172522658826,-0.2036759815961511,-0.13946197589323706,-0.1721948914140242,-0.21894941730681894,-0.26165127681538525,-0.24859278137886537,-0.24558981775952463,-0.25114517346585163,-0.29607053745172357,-0.2753163274475743,-0.1177416202433614,train,2.2929936305732483,1
8,-0.14414796418187714,-0.2657412568402612,0.14619317071161325,-0.2121588076447667,-0.18209797139067474,-0.31610403665239406,-0.3641211025259584,-0.13937293054294606,-0.06590872822224025,-0.17735568448023872,-0.162371953672997,-0.04925305246166896,-0.20115360614390626,-0.22713357682540058,-0.31629381252194855,-0.07880577793966627,-0.12986657250516986,0.12095799883289936,-0.3399334181278417,-0.2533350824089509,-0.1746192689960348,-0.2522063837628108,-0.09746410145318664,-0.09311735271824714,-0.2408717923093305,-0.3111933134724968,-0.07216499301011409,-0.2932542162559517,-0.18792954154750832,-0.4365106649989915,-0.26993666879299905,-0.1795887841146212,-0.1901611052841145,-0.09953106766190431,-0.1890855572717304,-0.23151048108838046,-0.2796902541291463,-0.27270816605637327,-0.2854882637472473,-0.2809549727870496,-0.3175193612569447,-0.25992711359594317,-0.10642666450907004,train,2.6205641492265697,1
9,-0.16771736939787155,-0.28185065588398583,0.11654089101121329,-0.21942951671250893,-0.19922344184365806,-0.34686750282888523,-0.3720885244202205,-0.12675768860853917,-0.06214473853564584,-0.1990628254117332,-0.16680483443054117,-0.07055959453496681,-0.22477439480682165,-0.27303922213387405,-0.34364491687729604,-0.10397688448097976,-0.12205246326408996,0.12739421306515133,-0.3478776775277449,-0.25985936868031156,-0.19341534494753057,-0.2686077222487561,-0.10981926578018592,-0.10269357383507598,-0.26765919678325656,-0.3329792563027059,-0.09765428864182345,-0.305536187458158,-0.2045808593787911,-0.4558770446436904,-0.28288683340163767,-0.1758109647371186,-0.17134795018044544,-0.09726483096859831,-0.20559239377098987,-0.24608498431295456,-0.3011365653726378,-0.30143613996626917,-0.30786897121226986,-0.3235161946182102,-0.35216730703426025,-0.2561526481563617,-0.11684055770919952,train,2.948134667879891,1
