,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
10,-0.5091547,-0.4024714,0.5816951,0.16152455,-0.20368604,-0.9044653,0.48643333,-0.49351895,-0.8814696,0.7245736,-0.59047884,0.81235003,-0.32161325,-0.29577953,-0.35714668,-0.86448365,-0.76534384,0.5092156,-0.9158797,-0.6799452,-0.9476941,-0.97179157,0.40106845,-0.13292122,-0.5883435,0.9078721,-0.8948187,-0.6844788,-0.26730895,0.16763547,0.05791026,0.7300372,-0.51678735,-0.6068373,0.84965855,0.26177529,0.48160926,0.25058907,-0.7453236,-0.4793662,0.61699283,-0.7050627,-0.57738835,-0.8024976,-0.66023463,-0.7730656,-0.74519414,-0.9048893,-0.19555257,train,3.2598853,1
11,-0.51367366,-0.4053827,0.56852245,0.33171454,-0.05762211,-0.91789395,0.51354575,-0.51264304,-0.8980851,0.7507536,-0.56803846,0.77859837,-0.43028048,-0.19596511,-0.38219422,-0.9118481,-0.7874863,0.62465614,-0.90827626,-0.675741,-0.9053703,-0.9776917,0.5446516,-0.24729474,-0.6134519,0.96326905,-0.89673126,-0.6250808,-0.307182,0.11290833,-0.08411876,0.68020153,-0.58042276,-0.5716401,0.91764796,0.2889871,0.4698784,0.300454,-0.6822602,-0.46964234,0.51427317,-0.53906417,-0.5183819,-0.8113502,-0.72659045,-0.7567826,-0.734497,-0.9084252,-0.32714754,train,3.5858738,1
12,-0.59107417,-0.49175745,0.5541317,0.12514439,-0.07183477,-0.92241424,0.41772935,-0.55689764,-0.9170988,0.9006881,-0.53102076,0.73003745,-0.4933759,-0.037561767,-0.38708022,-0.8899106,-0.75815254,0.74632543,-0.9151955,-0.6358647,-0.8941406,-0.97783786,0.48447397,-0.10432944,-0.6720534,0.84039295,-0.89096767,-0.64543813,-0.43836907,0.17362446,-0.028793124,0.75802547,-0.62798905,-0.63773656,0.82707113,0.25206533,0.55809844,0.28004545,-0.72191656,-0.62308174,0.5448158,-0.7229486,-0.7285618,-0.8470336,-0.7305378,-0.8038986,-0.74701494,-0.9112479,-0.24453682,train,3.9118624,1
13,-0.586105,-0.48198766,0.39592558,0.19710329,-0.001198089,-0.9186385,0.189565,-0.5743833,-0.93252975,0.8029158,-0.5350106,0.70221204,-0.62543243,-0.3228355,-0.41786164,-0.9191392,-0.8318296,0.6356415,-0.92636186,-0.586359,-0.89461696,-0.978861,0.29371035,-0.51069725,-0.5167837,0.77470374,-0.88219535,-0.6618806,-0.381987,0.119186886,-0.05101628,0.76432383,-0.6749827,-0.6742938,0.79009855,0.2371034,0.5452147,0.22616206,-0.7268514,-0.6409958,0.32589117,-0.76906663,-0.58108604,-0.8759784,-0.7274375,-0.7816056,-0.7738891,-0.91585296,-0.31666395,train,4.2378507,1
14,-0.65790147,-0.42098644,0.46727338,0.23291071,-0.028401116,-0.8917568,0.271099,-0.56648546,-0.9294542,0.9008226,-0.6157575,0.63987136,-0.55797404,-0.24599911,-0.41584432,-0.9399609,-0.8327708,0.77048224,-0.91132283,-0.5425599,-0.93599135,-0.97582245,0.17265123,-0.47935453,-0.61205775,0.7794185,-0.90311956,-0.6496197,-0.46864223,0.09611977,-0.07416817,0.9351664,-0.6764382,-0.6439334,0.8355938,0.19230632,0.60838,0.16865815,-0.7493248,-0.6103159,0.48042232,-0.72975796,-0.65097857,-0.83637184,-0.7376974,-0.78058904,-0.7520046,-0.9008647,-0.2572446,train,4.5638394,1
15,-0.6684302,-0.48829746,0.45859697,0.28704998,-0.043231465,-0.9578563,0.30649647,-0.58347726,-0.93804395,0.9115687,-0.52943325,0.5323509,-0.71115947,-0.42470184,-0.4798799,-0.972078,-0.8413245,0.7199464,-0.923561,-0.54460686,-0.93997955,-0.9722916,0.5447386,-0.29491842,-0.6286563,0.70572656,-0.8939622,-0.6573863,-0.43896767,0.043226592,-0.1639563,0.91784596,-0.7036061,-0.6905824,0.92424726,0.3115946,0.6073832,0.22000678,-0.748369,-0.60758716,0.28700757,-0.78192043,-0.69344497,-0.8854153,-0.7012938,-0.7949451,-0.73735076,-0.8966324,-0.25448194,train,4.8898277,1
16,-0.6533219,-0.4194008,0.4005276,0.26032582,0.08795765,-0.904138,0.2192268,-0.5936985,-0.9528946,0.84184146,-0.5555276,0.5489924,-0.72489595,-0.5053292,-0.47696215,-0.9133378,-0.82450604,0.5807127,-0.89527965,-0.5247794,-0.9525278,-0.96473753,0.23499,-0.28377175,-0.55811113,0.65375185,-0.9189456,-0.6824693,-0.4687617,0.06813213,-0.24631462,0.9141457,-0.7256644,-0.65603054,0.94311434,0.32693967,0.6720596,0.18481937,-0.7725762,-0.80960786,0.36185202,-0.83447564,-0.7012726,-0.83974123,-0.73074204,-0.8080217,-0.7616163,-0.9114968,-0.3083305,train,5.2158165,1
17,-0.6603393,-0.41715643,0.47218186,0.4135799,0.12574753,-0.9342699,0.08743408,-0.5953783,-0.95602894,0.9262972,-0.51981235,0.5557478,-0.5619771,-0.53272814,-0.48267624,-0.9607932,-0.82411134,0.6539771,-0.8671314,-0.4409396,-0.8705987,-0.96461445,0.2806959,-0.27023536,-0.51705873,0.6666224,-0.92740536,-0.67179096,-0.5353697,0.086184435,-0.12319191,0.94315743,-0.73021567,-0.6518084,0.87480754,0.34284943,0.6846999,0.14915712,-0.7639959,-0.7572987,0.17830923,-0.77122307,-0.6602602,-0.889453,-0.69657713,-0.7612929,-0.7780209,-0.8832597,-0.2402023,train,5.541805,1
18,-0.66824317,-0.42733026,0.36205932,0.46457037,0.08663051,-0.90259993,0.24994637,-0.6193093,-0.9637268,0.86950403,-0.5677297,0.5437608,-0.5051118,-0.47237542,-0.48920795,-0.9331967,-0.82437897,0.65009314,-0.88420737,-0.41173783,-0.89034134,-0.96819144,0.355024,-0.20580883,-0.66884935,0.43942893,-0.9161548,-0.68822044,-0.55105096,0.13271146,-0.18465386,1.0,-0.72664016,-0.6786671,0.906645,0.3097795,0.6731509,0.1833528,-0.83497274,-0.73144895,0.21102673,-0.71654546,-0.6255232,-0.93265027,-0.72613716,-0.7619588,-0.79889,-0.8798136,-0.27992892,train,5.8677936,1
19,-0.7074677,-0.48339358,0.33103606,0.3374525,0.25589037,-0.8633021,0.13167173,-0.61024296,-0.95780414,0.9621581,-0.5691536,0.5270617,-0.5332847,-0.33201885,-0.4926037,-0.9550267,-0.8425857,0.6517891,-0.88939136,-0.36526585,-0.873966,-0.9628067,0.11722539,-0.6051297,-0.5943282,0.4313258,-0.9164247,-0.6695797,-0.6333126,0.11543581,-0.24820548,0.90706,-0.7624517,-0.6763227,0.9236011,0.38132653,0.6560568,0.21464017,-0.83839595,-0.8026853,0.2882502,-0.85753703,-0.6311339,-0.92990905,-0.7035326,-0.7999709,-0.82030183,-0.8744656,-0.3139556,train,6.193782,1
20,-0.7005202,-0.50369406,0.30056447,0.3333975,0.28987655,-0.8557961,-0.013595854,-0.62545186,-0.9642688,0.8524502,-0.5289022,0.5187966,-0.6080867,-0.18167415,-0.5348322,-0.92777604,-0.8363328,0.69624424,-0.879963,-0.26468053,-0.8752473,-0.96202976,0.2738142,-0.5947841,-0.55243796,0.42031878,-0.9256902,-0.684407,-0.5381673,0.25433674,-0.13413791,0.779676,-0.7584069,-0.73991555,0.9602573,0.35939217,0.7104297,0.2534653,-0.89163417,-0.7138904,0.39758402,-0.8724161,-0.6647286,-0.8877515,-0.73910475,-0.7983481,-0.83070135,-0.8500702,-0.3746675,train,6.5197706,1
21,-0.7020904,-0.51578265,0.2975406,0.4423155,0.30943295,-0.90530384,-0.1545464,-0.6329746,-0.9692024,0.8209243,-0.5668498,0.50193906,-0.6873748,-0.21225117,-0.50563616,-0.94772583,-0.84524745,0.80045825,-0.89163584,-0.18030803,-0.8830401,-0.950214,0.008452124,-0.41014364,-0.5280678,0.37518197,-0.929555,-0.69515765,-0.635241,0.31350845,-0.10829949,0.73172987,-0.75240815,-0.6690662,0.8731813,0.36085707,0.6737236,0.1534648,-0.90552723,-0.7164558,0.30354384,-0.869292,-0.7505948,-0.94256127,-0.73648655,-0.7815231,-0.8349557,-0.8604642,-0.39248702,train,6.845759,1
22,-0.77239984,-0.5849481,0.20344247,0.5470219,0.23963691,-0.8616075,-0.12455674,-0.6604838,-0.9688805,0.7563598,-0.5492127,0.50766474,-0.7086251,-0.39828622,-0.51299596,-0.9524231,-0.8375481,0.51101494,-0.9140458,-0.109028295,-0.8052813,-0.9406753,0.15725173,-0.40317988,-0.6740448,0.40764248,-0.93118113,-0.7049488,-0.6734802,0.04324219,-0.22571735,0.570571,-0.83315974,-0.75736254,0.9101973,0.3862376,0.67434853,0.11525027,-0.899192,-0.7897917,0.25359872,-0.88939965,-0.6758197,-0.9600619,-0.74874777,-0.7866509,-0.8482265,-0.8634009,-0.38053814,train,7.1717477,1
23,-0.73385495,-0.58078194,0.26972005,0.74330646,0.3836239,-0.92074746,-0.16861221,-0.65520036,-0.94775486,0.9769771,-0.5552447,0.49342048,-0.665148,-0.40328524,-0.51755095,-0.93735784,-0.84095925,0.68056786,-0.84703237,0.0744213,-0.80334353,-0.92869806,0.27964464,-0.42430142,-0.49334314,0.43697137,-0.90908974,-0.70401406,-0.60762143,0.31515384,-0.16064021,0.49538448,-0.8270553,-0.71645623,0.93148625,0.5349035,0.67893106,0.22084695,-0.927356,-0.690589,0.28688973,-0.75944716,-0.72920555,-0.8743805,-0.7249073,-0.798117,-0.8756609,-0.83334345,-0.32693458,train,7.497736,1
24,-0.7502087,-0.5867539,0.26577702,0.5299252,0.4193067,-0.9683065,-0.20621389,-0.66690356,-0.9566572,0.99333423,-0.51629543,0.4203487,-0.73561805,-0.49765947,-0.4818863,-0.93639475,-0.84055007,0.6121225,-0.8685406,0.12702422,-0.7804324,-0.9193594,0.32900098,-0.4129543,-0.5548521,0.3176186,-0.9204995,-0.7653269,-0.5544083,0.2076278,0.14335217,0.24845001,-0.8588207,-0.7330679,0.93046814,0.59901685,0.669119,0.1924849,-0.9365365,-0.73579746,0.1431162,-0.9662031,-0.80663866,-0.9469885,-0.71842206,-0.7906305,-0.86853534,-0.8366799,-0.40977257,train,7.8237247,1
25,-0.73451537,-0.6278517,0.22933848,0.74654114,0.4451384,-0.8971612,-0.077018045,-0.6862688,-0.9537969,0.9458096,-0.5017187,0.51783293,-0.741939,-0.4706742,-0.5113224,-0.9634103,-0.83576655,0.66410357,-0.8611804,0.07557278,-0.88187355,-0.9353829,-0.033487607,-0.484916,-0.5534294,0.26239327,-0.94107115,-0.753074,-0.6023141,0.22181913,0.2597415,0.21904463,-0.8716701,-0.7096543,0.90718836,0.62915677,0.68707925,0.25226137,-0.96827936,-0.75100905,-0.025622582,-0.87554437,-0.8125249,-1.0,-0.68531907,-0.7671925,-0.88205117,-0.84880954,-0.3541822,train,8.1497135,1
