,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFR,DB1,DB2,RIGL,RIGR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,VD2,train_test_label,time_in_seconds,tau
0,-0.10877776498234733,-0.44287914555813246,-0.5392787810844577,-0.15667156262835596,-0.22930168814370647,-0.28983528425335875,-0.47581859129286785,-0.5787825247172005,-0.14261124698538127,-0.12474875641917002,-0.4901200711079518,-0.5066577841563211,-0.18337708268376832,-0.3736279325172241,-0.221852106977414,-0.16756140913666034,-0.12410006852363886,-0.49032297155826676,-0.5618395302132552,-0.47619498792928516,-0.3664836434052351,-0.03684588549723147,-0.12404890971323793,0.0010556642213448986,0.07750039695339483,-0.13855982759171678,-0.4702955725028918,-0.3929856810829456,-0.4274872506538211,-0.4398670217885489,-0.37122027854514794,-0.2684004124194543,-0.36581572920129274,-0.3105176010931594,-0.2538506015942268,-0.1581924333228542,0.04215759126404017,train,0.0,1
1,-0.14364615552586413,-0.7054876122372666,-0.7823100422377304,-0.225029374524124,-0.2766952935477222,-0.3470398762149649,-0.6906857852346351,-0.8150937334543948,-0.1298560970327257,-0.05964763334792142,-0.6836521719637758,-0.6980880516741614,-0.20240013026910966,-0.428466955792758,-0.2064648329341139,-0.23379832729461847,-0.13511604996574447,-0.7158874669628796,-0.7411695974070722,-0.6016537343435292,-0.5005333808631155,0.08707290212972063,-0.037226301981443916,0.06988066631785607,0.19892683063611186,-0.1288015369538818,-0.5812092979735526,-0.44057219404562536,-0.5634595016229808,-0.6149154858760444,-0.4965129610747331,-0.4120741083530488,-0.5045122822731465,-0.4449853234086602,-0.2821796829266562,-0.1519946045236739,0.10116126906286521,train,0.5506271030896299,1
2,-0.15933846618540742,-0.8599976228792968,-0.9128801304720497,-0.27258424905055567,-0.30021555890330087,-0.38481710593026563,-0.8148022570027655,-0.9525405194280638,-0.1089583140345634,-0.008630902939737006,-0.789778375582157,-0.8175822533107417,-0.20701957346069305,-0.4596942563021824,-0.1870847346898898,-0.25414726102194896,-0.13474471290580084,-0.8424284706994636,-0.84022639979456,-0.6787214171347451,-0.5766255636047041,0.1583260115347736,0.007631169222176271,0.11462242061149307,0.24539843711516038,-0.11617725709960593,-0.6216869676261749,-0.45326610375550835,-0.6414959428902565,-0.7249835043843531,-0.554940344236717,-0.4953603242272645,-0.5861560534957627,-0.5231206061114956,-0.29713224526438586,-0.1250067253467676,0.1352463312401122,train,1.1012542061792598,1
3,-0.16662121710408861,-0.9516920487434554,-0.9858082913041001,-0.2824170919017546,-0.32932934878417364,-0.3993391048603514,-0.8858326226006776,-1.0193138655266296,-0.08933990990005611,0.05226167916622837,-0.8492311245912996,-0.8835659469158652,-0.2104270233166161,-0.46818585601305746,-0.14819805122919597,-0.27582941739824945,-0.11177683531472582,-0.9220890463536459,-0.9014267284687648,-0.7105758926117669,-0.6076720399792815,0.22042184287840028,0.04767224784720245,0.15928728540259707,0.27429591120957997,-0.08976318232665612,-0.6405986188377446,-0.4622317550216368,-0.6757692585691124,-0.7817105263583773,-0.6066723729469929,-0.5598684954072541,-0.6401334587696345,-0.5690707182876823,-0.3041525310988419,-0.10641741492906556,0.14745715677063828,train,1.6518813092688898,1
4,-0.17913776430878361,-1.0064970116982335,-1.0175507918719724,-0.307255430414675,-0.33340817930058153,-0.4118137519439543,-0.9151159982350527,-1.0554197122600097,-0.08172507826996682,0.05611958461655209,-0.8815596406615454,-0.9096550473977438,-0.21177072214224302,-0.47237680997299003,-0.1340949351283797,-0.282512712268763,-0.11535306967263226,-0.9522255158877605,-0.9210389835347682,-0.7250847673958147,-0.6255947195496466,0.24849213746965365,0.07323399660819144,0.17702622091743625,0.27803689472029336,-0.07920173752902833,-0.6404642933773699,-0.4680002578343224,-0.7152220843409146,-0.8188466677606541,-0.6147239494435672,-0.5836859511814642,-0.6634676453103103,-0.5766329646692862,-0.30889575106754924,-0.10807602052750784,0.1516116798116232,train,2.2025084123585197,1
5,-0.18058867570894735,-1.031529942876054,-1.037375220088902,-0.31680128320455464,-0.33723899167285487,-0.41499294261994235,-0.9359723746337317,-1.0777636658022574,-0.09903404957036495,0.05282813125012392,-0.9036212626615661,-0.9337112205072702,-0.2121772689219409,-0.4844051242782169,-0.13469730555374035,-0.2919539303288384,-0.10459941627614106,-0.9806746916928747,-0.9294334518851207,-0.7444880755986423,-0.6391009040808419,0.2532656527218116,0.06461202085691656,0.16410912316922888,0.2694333271133531,-0.07791458880455204,-0.66675409973101,-0.48406140289989286,-0.7352900040177305,-0.8450106811571527,-0.6314840047519131,-0.5922173717938288,-0.6808121204915587,-0.591544971222225,-0.3279003275966036,-0.11973128623996415,0.15443985497049428,train,2.7531355154481494,1
6,-0.18330236587455975,-1.0540720207538694,-1.053578837880363,-0.3382093860291542,-0.34397334270664626,-0.4177086090761659,-0.9456388103534926,-1.0892187012614678,-0.09990821138344973,0.05411835481591104,-0.9181084403797006,-0.9420928409647755,-0.21843843882404862,-0.49055173396246254,-0.1341360672544731,-0.2964675945734152,-0.10761121061763987,-0.9904255587667552,-0.9321822831807791,-0.7548925002022953,-0.6402955372494632,0.2715743574916275,0.0702928010229392,0.16693685678941245,0.27651406707089077,-0.08068376375490806,-0.6769710447740231,-0.49465669320806016,-0.7464972224115866,-0.8604778869531707,-0.6350664546690197,-0.5990227558627269,-0.68804589980639,-0.5871653688617854,-0.3297693754694878,-0.13032136363347546,0.1543440341014157,train,3.3037626185377795,1
7,-0.19186500050536984,-1.0623718778178104,-1.0591616624321436,-0.32630475096286976,-0.34380660303896116,-0.42232965146345847,-0.9521964404322834,-1.0947229394186317,-0.09634991675772644,0.06034609070267455,-0.9255637281837932,-0.9463020021792639,-0.21168747978500685,-0.4883116326897549,-0.14059728571583072,-0.28970705364883537,-0.10224741799520036,-0.9918401044845329,-0.936442590128866,-0.7633829709087043,-0.6444287311483862,0.2749459227565643,0.07920106289553344,0.17702241224719217,0.29487885575184924,-0.08117655316780392,-0.670402894500508,-0.5008762532505502,-0.7516437952046248,-0.8634270997543699,-0.6467581526652629,-0.6154165968747198,-0.7015166429388202,-0.5976015583772836,-0.34158374677922093,-0.12288925694479033,0.1456518266637953,train,3.8543897216274092,1
8,-0.19511641733823443,-1.0728925271876528,-1.0664343105919145,-0.34983042577486373,-0.3482259649061734,-0.4437034935298573,-0.9741995880196747,-1.1088155655009149,-0.1061948177873488,0.054630712695545036,-0.9364266171869207,-0.9530803649557948,-0.22045842322653025,-0.5023601599864812,-0.15017656792536702,-0.2893528044428,-0.11442828936047955,-0.9982049185112032,-0.9417282390494996,-0.7699614764159726,-0.6509511810340435,0.26463687714050593,0.06912592761547418,0.16417471777895654,0.28271589550246545,-0.0878453286554477,-0.6733311254458381,-0.5000261609706255,-0.7612975616253407,-0.8803702807389319,-0.637783944122144,-0.6050794035011987,-0.7000067257223586,-0.5927294583776068,-0.3495547093176505,-0.12651616222970485,0.1534313657838988,train,4.405016824717039,1
9,-0.20057862550178804,-1.069234897262264,-1.0612476026546247,-0.33515852067173274,-0.3459536888682663,-0.44155355815710606,-0.9797872529273625,-1.1129949930079839,-0.1055588301436397,0.07200730818430728,-0.9441501372276491,-0.9543893242054708,-0.22023997703457193,-0.49847809632696005,-0.14844363982678643,-0.31026856707236683,-0.11315803668181645,-0.9910053143791034,-0.9341140196949167,-0.770880374748411,-0.6620035530784711,0.2780107584833082,0.07922727583552727,0.17671884410788352,0.29445567795021266,-0.09528530305172603,-0.6697327550025114,-0.49856199601732437,-0.7673562648603847,-0.8766802716496834,-0.6653279973184035,-0.6264495782382049,-0.7171776758694262,-0.6077946116595945,-0.3584441597266349,-0.13133693921302753,0.14662668078768834,train,4.955643927806669,1
10,-0.1998654525137274,-1.0866015533784465,-1.0737136789009487,-0.3579128673722194,-0.3468290145983908,-0.4466906855355789,-0.9838638450573914,-1.1243477836494855,-0.12042406132639343,0.06301638622930922,-0.9544986226879377,-0.9563440425356318,-0.22837680434055346,-0.5089796740825987,-0.14873015360940814,-0.32048992151811817,-0.1290079439590773,-0.996202383377842,-0.9381115713567698,-0.7827765420596255,-0.667380422228637,0.28691002495395274,0.086806116339715,0.17307132234585865,0.27529905082018147,-0.1077159913340358,-0.6773365706732906,-0.49003305800835095,-0.7900288816147806,-0.898026292003202,-0.6690897020831744,-0.63864562125423,-0.7330820428184596,-0.6178125024642538,-0.3723106401229993,-0.14603535941997975,0.14167487895080985,train,5.506271030896299,1
