,AIBL,AIBR,ALA,AQR,ASKR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,OLQDR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.8719915691080965,-0.8856308802201479,-0.5540894181293965,-0.9430273659199312,-0.576681865438806,-0.9135707113061932,-0.9672494353691334,-0.9086838849273591,-0.7897154445340517,-0.549687087153401,-0.36478829029753357,-0.9279636895126963,-0.9334035488436346,-0.561782001842681,-0.9511633424317439,-0.8352239087141395,0.9385236927535913,-0.8474379254648641,-0.7199787524169113,-0.40270282719994566,-0.22045967467317973,-0.20528656625479258,-0.16319787478513537,-1.0,-0.8775007667225261,-0.8984248893260848,-0.7891288429254364,-0.8673407546805877,-0.6607610570269329,-0.9370465190234316,-0.22243185138855182,-0.7319333139644395,-0.8852790759339093,-0.8792070815538959,-0.7315516527704699,-0.8243323920656966,train,0.0,1
1,-0.8551420216285139,-0.8848419811195462,-0.5906011979262895,-0.9262067059148734,-0.6613593192400405,-0.8880245059859194,-0.9580096711567102,-0.9118494843376383,-0.8122331319379393,-0.5737478836084554,-0.37672927921230426,-0.9475235628739883,-0.9392647092505406,-0.6456651269899965,-0.9499747177615513,-0.8180405296302277,0.9610098385330995,-0.8511767363739535,-0.7102959834509543,-0.3886791412921182,-0.35520506179756917,-0.16804107680813918,-0.1401228362986232,-0.9040336023321438,-0.855800830593398,-0.9000917747505492,-0.7770053477080324,-0.8446030737082266,-0.7743369162016768,-0.9217149086172244,-0.2835146282503427,-0.867177923355132,-0.932695335788331,-0.8828971807008851,-0.7666433709361434,-0.8435794717184741,train,0.29597149904083314,1
2,-0.8730888641151848,-0.8842602676413246,-0.5613031737354242,-0.9163201571496628,-0.5971195190607577,-0.8778733334387483,-0.9473967848680696,-0.9063086158861997,-0.8323038281692825,-0.5898005066955833,-0.5351803208273451,-0.9389678867691312,-0.9412911363047117,-0.6124592979043115,-0.9481126988729633,-0.8624522310135097,0.8661392691456168,-0.8909294828478364,-0.7186627030129957,-0.3354311209858867,-0.41003262876014657,-0.3553531043968122,-0.09577524941890536,-0.9190075602280103,-0.7556865654684306,-0.9045826168066189,-0.8380517858240857,-0.8548140847392675,-0.7802339821683524,-0.9205885506021328,-0.2705288884664483,-0.7636358499502263,-0.8837080172822878,-0.944567023453069,-0.7519988239228971,-0.850586955306667,train,0.5919429980816663,1
3,-0.9119988701122913,-0.8865446219393637,-0.5241984660275238,-0.9285063136288516,-0.5358300128447969,-0.8680655917896516,-0.9422419999683824,-0.911044319633329,-0.828140313031417,-0.7267032444361343,-0.541636516826089,-0.9316246938266164,-0.958387808485291,-0.47303275704698033,-0.9416950842222057,-0.9026252758490768,0.7785005604927159,-0.8586877375972191,-0.8182833016259238,-0.33846296292534184,-0.2578842797128448,-0.14320619703629012,-0.20125845281470622,-0.964603524879277,-0.8113708762704681,-0.8224191852274721,-0.7655472301183883,-0.9123740835485478,-0.7434098159236304,-0.9128129146621768,-0.31709208087193896,-0.8073739721141754,-0.9144246267773373,-0.9171284940781586,-0.7166088488011505,-0.8001625634068464,train,0.8879144971224994,1
4,-0.887506270215814,-0.8516550943757072,-0.49075005362880963,-0.9176905116186064,-0.5331100192220964,-0.8471961494987286,-0.9532759758815268,-0.8793012120740872,-0.8263008712142125,-0.7381506058481686,-0.4822355487270982,-0.9486408962920837,-0.9204914456015384,-0.6641130102324722,-0.9731552952510131,-0.8925466925022876,0.8035148884618529,-0.863397023074968,-0.7526080836427878,-0.27576391952626766,-0.3769169873191861,-0.40405390731330615,-0.29738116475123977,-0.8754413596979304,-0.7996499456039687,-0.9043503772956043,-0.9044903474563115,-0.854887257029265,-0.7964970781938676,-0.9288533517034052,-0.08938312577020491,-0.7567459069862106,-0.8589010639584143,-0.8423010207625665,-0.7044475469877978,-0.7721538120661035,train,1.1838859961633326,1
5,-0.8687368385815002,-0.8975148350218076,-0.48158547556638864,-0.9457092613612972,-0.5018082134240112,-0.8749277925957828,-0.9679788141232758,-0.8695057186424343,-0.8156027572006598,-0.6430105658278865,-0.5671441079777306,-0.9436485693238952,-0.9253139155683764,-0.5642649781470961,-0.9500154569135539,-0.8256364712847839,0.7760834764482548,-0.8473448622229237,-0.774664380913425,-0.3236347961242404,-0.29115231768479943,-0.287956577431558,-0.22895735615674961,-0.9283434958701198,-0.7212811721444805,-0.8611295604575828,-0.8325784838269892,-0.8882713154320833,-0.7105064026538772,-0.9120080728398745,-0.36122259043930915,-0.7535608242223244,-0.9331072424541589,-0.9904929278763759,-0.7760517850246607,-0.8170504522241897,train,1.4798574952041657,1
6,-0.920121354612299,-0.8945106434972933,-0.48903782197154333,-0.8896423551276547,-0.5018073064123425,-0.8645004431370278,-0.9487398198136223,-0.9051075744926194,-0.8367367321060777,-0.817416441631764,-0.4589020501891595,-0.9174011632130601,-0.9414369447462891,-0.437167387880219,-0.9578229955738109,-0.8552196027773291,0.7375503710043833,-0.8388453475680493,-0.7980397583603601,-0.3602970192990832,-0.30425679111030657,-0.3463758505278707,-0.20529424354870696,-0.9017047478518782,-0.8635832804865899,-0.8691845488889869,-0.8611312783293364,-0.8337790125208274,-0.720546877310748,-0.9525778484723675,-0.18670482274082656,-0.8663361618529357,-0.9043838780964873,-0.8372197997610029,-0.7043773231632475,-0.8045397971442766,train,1.7758289942449987,1
7,-0.9016536526360689,-0.9092925407863491,-0.4671568426499967,-0.8682048356456838,-0.4889919974528425,-0.8446901085435512,-0.947321972861766,-0.8580399899938619,-0.840337522095388,-0.8416532208244046,-0.27426277444615177,-0.9346972405870124,-0.9544157029199296,-0.5367023228531915,-0.9543409962879443,-0.9184428656009475,0.8083660499347182,-0.8142984687418455,-0.7658811363713879,-0.30848818672674294,-0.4687353890013678,-0.10211563408401836,-0.29414143598116715,-0.835614467258005,-0.7922178750414948,-0.8677572158790204,-0.7881544513105803,-0.8839259023125695,-0.7875828710160365,-0.932696454449894,-0.36804272799684257,-0.6604731494743388,-0.9725434913952903,-0.8559768893904613,-0.7390812540640218,-0.8231403911600901,train,2.071800493285832,1
8,-0.9067454866248141,-0.9267067579700058,-0.5344686158888485,-0.9033458998170899,-0.5128721836300889,-0.8773952073702909,-0.9427289686093139,-0.8934779379539795,-0.8671804274357985,-0.7455389574378326,-0.1416563413787978,-0.9598031530571111,-0.931525484775996,-0.5382688107804932,-0.9580195020717057,-0.8659440766456752,0.8095537763788728,-0.8366263405627326,-0.7649587918545931,-0.43135191459378186,-0.2634421175974557,-0.2072481724570565,-0.1900046636808106,-0.9369028184729026,-0.8582688744942786,-0.8406180289926335,-0.8477834853318453,-0.8790146597452017,-0.7713241637252743,-0.9491178226964702,-0.1007612527614914,-0.8123722455536134,-0.9890824173034074,-0.8544666584926082,-0.7552790490870454,-0.8365518950985896,train,2.367771992326665,1
9,-0.9490974777786098,-0.887758517188438,-0.5159869151188663,-0.9446800251721766,-0.5201082286634868,-0.8427550025970542,-0.9617907783557438,-0.8733414146019198,-0.8460147807391056,-0.5749271078496753,-0.13640944309527347,-0.956484984979658,-0.9680938207351941,-0.7055747809045085,-0.96347854844005,-0.9365479842833305,0.7535484617785834,-0.8826883999159183,-0.7951101450691994,-0.33996745793226624,-0.3724519720174353,-0.22076699545552647,-0.19644393999806808,-0.8480978239699417,-0.7847906654886643,-0.860959663208531,-0.8382637617405345,-0.8770828407871348,-0.7406676919066814,-0.8988464416514167,0.03174974512900963,-0.7524667135188465,-0.8474136062049091,-0.9196489740367099,-0.7753836243393154,-0.8148596195925263,train,2.663743491367498,1
