,epochs,base_train_losses,base_test_losses,train_losses,test_losses,centered_train_losses,centered_test_losses
0,2,0.0028973730801707303,0.002392556696528792,0.010303295889383038,0.0036879836365212083,0.007405922809212308,0.0012954269399924165
1,4,0.0028973730801707303,0.002392556696528792,0.004115884808380134,0.003583043010335683,0.0012185117282094036,0.0011904863138068912
2,6,0.0028973730801707303,0.002392556696528792,0.003909307106248418,0.0032424525145467262,0.0010119340260776877,0.0008498958180179345
3,8,0.0028973730801707303,0.002392556696528792,0.0035726467429214545,0.002950194528158721,0.0006752736627507242,0.0005576378316299291
4,10,0.0028973730801707303,0.002392556696528792,0.0033095831821163702,0.0027340019192953133,0.00041221010194563996,0.0003414452227665215
5,12,0.0028973730801707303,0.002392556696528792,0.0031432294887811445,0.002605480451252857,0.0002458564086104142,0.0002129237547240652
6,14,0.0028973730801707303,0.002392556696528792,0.003054783761762082,0.002543498379528225,0.0001574106815913517,0.0001509416829994334
7,16,0.0028973730801707303,0.002392556696528792,0.0030182120004059176,0.0025204582905443136,0.00012083892023518738,0.0001279015940155218
8,18,0.0028973730801707303,0.002392556696528792,0.0030091826498723365,0.0025140705108839334,0.00011180956970160624,0.00012151381435514166
9,20,0.0028973730801707303,0.002392556696528792,0.0030078398413738465,0.0025098048439632817,0.0001104667612031162,0.00011724814743448988
10,22,0.0032623909294324897,0.0027627152480157236,0.0036623190414207312,0.0030667273404606584,0.0003999281119882415,0.0003040120924449347
11,24,0.0032623909294324897,0.0027627152480157236,0.003503195199565986,0.0029625992617815125,0.00024080427013349615,0.00019988401376578886
12,26,0.0032623909294324897,0.0027627152480157236,0.0034144720743139447,0.002889895989069802,0.00015208114488145501,0.00012718074105407852
13,28,0.0032623909294324897,0.0027627152480157236,0.0033536521371736435,0.00283947492009111,9.126120774115374e-05,7.675967207538626e-05
14,30,0.0032623909294324897,0.0027627152480157236,0.003317069714650273,0.002811554061790563,5.4678785217783434e-05,4.883881377483945e-05
15,32,0.0032623909294324897,0.0027627152480157236,0.0032995225798931015,0.0028034223297506307,3.713165046061173e-05,4.0707081734907107e-05
16,34,0.0032623909294324897,0.0027627152480157236,0.0032974691600495564,0.0028089192146374745,3.5078230617066695e-05,4.620396662175083e-05
17,36,0.0032623909294324897,0.0027627152480157236,0.003297632448295203,0.002802864567713323,3.52415188627133e-05,4.01493196975993e-05
18,38,0.0032623909294324897,0.0027627152480157236,0.003295975323326738,0.002801903631963216,3.358439389424808e-05,3.9188383947492186e-05
19,40,0.0032623909294324897,0.0027627152480157236,0.0032914395207352416,0.002802134474965599,2.9048591302751822e-05,3.94192269498753e-05
20,42,0.003044666111736271,0.0023939264460864063,0.0031734768404778372,0.0024960924513971945,0.00012881072874156626,0.00010216600531078816
21,44,0.003044666111736271,0.0023939264460864063,0.003125430395433195,0.002452955603148924,8.076428369692412e-05,5.902915706251788e-05
22,46,0.003044666111736271,0.0023939264460864063,0.0030870875789756644,0.002424780670905978,4.2421467239393395e-05,3.085422481957168e-05
23,48,0.003044666111736271,0.0023939264460864063,0.003066583945766004,0.0024161295831219656,2.1917834029733067e-05,2.220313703555927e-05
24,50,0.003044666111736271,0.0023939264460864063,0.0030600959942796028,0.0024181881446941594,1.542988254333178e-05,2.4261698607753058e-05
25,52,0.003044666111736271,0.0023939264460864063,0.0030626604963924493,0.0024188933972949535,1.7994384656178346e-05,2.4966951208547222e-05
26,54,0.003044666111736271,0.0023939264460864063,0.0030565586153944997,0.0024141267696233372,1.189250365822873e-05,2.020032353693092e-05
27,56,0.003044666111736271,0.0023939264460864063,0.003049737615813565,0.0024069827139848784,5.07150407729395e-06,1.3056267898472074e-05
28,58,0.003044666111736271,0.0023939264460864063,0.0030392863007714563,0.002401781057146674,-5.379810964814633e-06,7.854611060267771e-06
29,60,0.003044666111736271,0.0023939264460864063,0.003028098895569,0.002400411072261608,-1.6567216167271033e-05,6.484626175201711e-06
30,62,0.001526937484826056,0.0012221108783987474,0.0016810163557462949,0.0013130968863457081,0.0001540788709202389,9.098600794696073e-05
31,64,0.001526937484826056,0.0012221108783987474,0.0015962685768363895,0.0012719741121797906,6.933109201033355e-05,4.986323378104317e-05
32,66,0.001526937484826056,0.0012221108783987474,0.00155811422031936,0.0012401911113847487,3.117673549330401e-05,1.808023298600133e-05
33,68,0.001526937484826056,0.0012221108783987474,0.0015347810054949062,0.0012260190172929827,7.843520668850265e-06,3.9081388942352555e-06
34,70,0.001526937484826056,0.0012221108783987474,0.001529929884973774,0.0012277383892439465,2.9924001477179673e-06,5.6275108451990605e-06
35,72,0.001526937484826056,0.0012221108783987474,0.0015364587321049746,0.001235842800330166,9.52124727891866e-06,1.3731921931418693e-05
36,74,0.001526937484826056,0.0012221108783987474,0.001544355650656972,0.0012418717474321835,1.7418165830916004e-05,1.97608690334361e-05
37,76,0.001526937484826056,0.0012221108783987474,0.0015475203107519382,0.00124221508279719,2.0582825925882266e-05,2.010420439844257e-05
38,78,0.001526937484826056,0.0012221108783987474,0.001544869768266787,0.0012378162723152661,1.7932283440730973e-05,1.5705393916518734e-05
39,80,0.001526937484826056,0.0012221108783987474,0.0015387384583885977,0.0012318575581699751,1.1800973562541743e-05,9.746679771227736e-06
40,82,0.0028007179994277674,0.0028831986264537196,0.0028244939131955556,0.002909179204870013,2.3775913767788183e-05,2.598057841629326e-05
41,84,0.0028007179994277674,0.0028831986264537196,0.0028134539228116037,0.002897129098659808,1.2735923383836237e-05,1.3930472206088573e-05
