,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13
750,0.49316769662483356,0.5042877401376044,0.5249279905128907,0.45745716209322773,0.5282858071831632,0.49393511327689804,0.5010543644022735,0.4712533251145829,0.481675395012716,0.4902677906534559,0.47767616354943754,0.509648560746809,0.5048129390069335,0.4974935870740914,0.5037131522907832,0.4898974347871394,0.5001944979007885,0.48607293324245787,0.47149168170266464,0.4878381360076893,0.4814897406431118,0.4684737797405767,0.5190831713204745,0.49631858423110964,0.4798007307487307,0.45139602960634573,0.4837048641008379,0.4702572535645847,0.49006139511292196,0.5142370063174467,0.4818081642603521,0.5238715898295446,0.5008063338378295,0.5079610128043693,0.4985361873418034,0.46937099416189576,0.5090023702514052,0.5173548792968509,0.4496783079834113,0.4593167825720097,0.5128732616801079,0.5212783836252103,0.5155026751723439,0.5145160918865825,0.48904536597791354,0.480780114665095,0.4898774176031512,0.46889925181388126,0.46144542311698356
751,0.4931558638297169,0.5042929714260531,0.5249414296412622,0.45746805025455795,0.5282810507509997,0.49391720489938473,0.5010524557728544,0.47126177997017343,0.4816813705923729,0.4902588091395125,0.4776734744356427,0.5096447609531038,0.5047953247334208,0.4974896576600218,0.5037259074526225,0.48989663775744424,0.5001788880407013,0.4860754621058649,0.4714914053965852,0.48782755788441184,0.48148811879518494,0.46847120859413227,0.5190941582285324,0.4963273556535354,0.4797996364072516,0.4513823173269316,0.4836981892111006,0.4702636470835338,0.4900699847502916,0.5142443991121894,0.4818069005382703,0.5238803765418989,0.5007953892655487,0.5079560544237037,0.4985451448680769,0.4693685143958473,0.5089946425991525,0.5173639982998466,0.44967589470203073,0.4593098117665357,0.5128794394387362,0.5212606571355007,0.515500029132265,0.5145083233620221,0.48905260021693536,0.48079584559941435,0.4898802748460241,0.4688966168081629,0.4614428627182907
752,0.49315758793292985,0.504291871591486,0.524940944746919,0.4574667868970443,0.528282511742818,0.49392036554589286,0.5010537628756213,0.47126143422487154,0.4816816019248118,0.4902609365285308,0.47767453234656554,0.5096461534090397,0.5047977760332407,0.497489358985218,0.5037232561852434,0.4898972765595731,0.5001802139483784,0.4860739565870893,0.47149304897548233,0.4878294126873836,0.4814873774609314,0.4684720110610065,0.5190928425664095,0.4963266048760998,0.4797995939412297,0.45138455799152577,0.4836993138482774,0.47026185430581174,0.4900689574224455,0.5142433096426468,0.4818059943144369,0.5238794970116919,0.5007973172472421,0.5079567012225664,0.49854480686126185,0.46936887918420644,0.5089952533269788,0.5173637002340337,0.44967592482888596,0.459311415144388,0.5128787838598893,0.5212612982457818,0.5155006350345542,0.5145102891545997,0.48905209820809664,0.4807929681195888,0.48987944090205376,0.46889688634416027,0.461444088586461
753,0.493126004621915,0.504303825807143,0.5249820006811176,0.45749936864688856,0.5282733265996653,0.4938742525721935,0.501052712350158,0.4712877021633216,0.48170334598371534,0.49023949701453473,0.47767117151098765,0.5096382927636547,0.5047508798654717,0.49747771771442967,0.5037549907271359,0.48989801816611855,0.5001356680025922,0.48607773858708275,0.4714980823489335,0.48780155901067423,0.4814818656562257,0.4684670205918154,0.5191244372126824,0.49635315598041435,0.4797950755472449,0.4513494431207125,0.48368280321131607,0.4702756911512249,0.4900929590872949,0.5142632988858622,0.48179891119569884,0.5239033032717796,0.5007705760928769,0.5079429547803622,0.4985726363439662,0.4693621159895584,0.5089717859078671,0.5173918681088686,0.44966911747371685,0.45929690572771564,0.512897134218852,0.5212070610532572,0.5154956443683891,0.5144927065164565,0.48907521420156347,0.4808357943720494,0.48988506184864095,0.4688909285890064,0.46144198522439484
754,0.49312103574560884,0.5043058951920831,0.5249875908269894,0.45750401538426116,0.5282715432368243,0.49386688592618216,0.501052068097508,0.47129126229164026,0.4817060264372131,0.4902357244899762,0.4776701960953695,0.5096367256641752,0.5047435087947783,0.49747629372647295,0.5037602653729514,0.4898977072333693,0.5001293238394342,0.4860788310639503,0.4714979730005934,0.4877971743929249,0.48148136075511594,0.4684660989292075,0.5191291177511868,0.4963569457760178,0.47979461454900496,0.45134378468883646,0.48368016413477743,0.47027844035596267,0.4900965523703146,0.5142664153469751,0.48179849931414653,0.5239068383937378,0.5007662948646855,0.5079408885505454,0.4985763976464575,0.46936112555337967,0.5089684541475566,0.517395666241338,0.4496680265202607,0.45929416054839806,0.5128998617177347,0.5211997296498182,0.5154948033166106,0.5144894758656341,0.48907835058110605,0.4808425143458986,0.48988614481474424,0.46888991648857553,0.4614410935005379
755,0.4931559494503151,0.5042925624918658,0.5249439251930372,0.45746845561354077,0.5282823081296214,0.4939181932640106,0.5010542448682718,0.4712630126606311,0.4816831824283818,0.49026052794600156,0.4776746495644402,0.5096464675761714,0.50479537176285,0.49748780063984765,0.5037242867495281,0.4898978557228715,0.5001771089114846,0.48607335699049886,0.47149444779957944,0.48782841156379475,0.481486138538428,0.4684720646655311,0.5190941160874476,0.49632815315232676,0.4797993110330302,0.4513832477645044,0.4836985753801765,0.4702619301661825,0.4900705150753442,0.5142440518350418,0.4818047247150934,0.5238811480416475,0.5007957148448501,0.5079561165398385,0.498547003499069,0.46936870446194606,0.5089938830935836,0.5173656730134744,0.4496757488347602,0.4593108591915915,0.5128796068060656,0.5212574216493344,0.5155002238345998,0.5145100487723563,0.4890531795283349,0.480794347686788,0.48987914627624196,0.4688961947559443,0.46144430326516717
756,0.493172196831486,0.5042874609845658,0.5249185635206594,0.45744965370917423,0.5282850157303077,0.4939409402965451,0.5010520913853486,0.4712466025356491,0.4816684040659588,0.490269252386743,0.4776742364986106,0.5096484366874396,0.5048197163615985,0.4974959838870851,0.5037097904052616,0.48989556619466074,0.5002031975023399,0.48607432930011013,0.4714872571199107,0.4878424164555121,0.481491198106885,0.46847351895317024,0.5190765652272539,0.4963126314774755,0.47980257192990455,0.45140048318418735,0.4837066425427329,0.4702574395963446,0.49005724196190076,0.5142335422478934,0.4818116057401883,0.5238677868981829,0.5008086047459418,0.5079637114955254,0.49852961432420084,0.4693723432401933,0.5090077307536456,0.5173478958268863,0.4496795781151539,0.45931605943243964,0.5128692649312475,0.5212913358304614,0.5155022812359784,0.514516826287268,0.4890389725754798,0.48077286220280346,0.489877413345222,0.46889907335414643,0.4614424873032856
757,0.4931566353994833,0.504293443553529,0.5249404158103829,0.4574664479493194,0.5282807762982639,0.49391813231994736,0.5010522656688385,0.47126042785816485,0.48168010945539474,0.49025960988520356,0.47767298452562046,0.5096455574212355,0.5047963082877327,0.49748884906148405,0.5037248282063458,0.48989680027245297,0.5001794148745613,0.4860751415751127,0.471491482614391,0.4878288787559068,0.4814872380858995,0.46847131636791073,0.5190920973209616,0.4963262603815501,0.47980015480329913,0.45138362891043626,0.48369846697367797,0.47026323479110055,0.49006977043840355,0.5142433764164229,0.481806616132573,0.5238802843318965,0.50079494684722,0.5079568178299665,0.49854467880238723,0.46936915365715026,0.5089955856994378,0.5173630680716026,0.4496765036650374,0.4593093208866789,0.512878368973824,0.5212622265771482,0.515499466149878,0.5145090552581735,0.48905068373640326,0.4807934431683606,0.48987970798914154,0.4688958167184483,0.4614420364650995
758,0.4931516439612824,0.5042943915194644,0.5249469906508532,0.4574722365834483,0.5282800827589799,0.4939113914728582,0.5010525174180173,0.4712653331949857,0.4816843982177206,0.49025593260220646,0.47767319105884465,0.5096437659800412,0.5047891153254983,0.4974882494390369,0.5037299730539755,0.4898966609646202,0.5001732423167428,0.48607588049125455,0.4714921238723968,0.4878239990007333,0.4814874656261462,0.46847060948293145,0.5190984780002825,0.4963309023974456,0.47979906278076373,0.45137753866374214,0.4836960527600597,0.47026544870130005,0.4900729825954188,0.5142470236003456,0.4818059721532344,0.5238833890262238,0.5007921413370986,0.5079543035553973,0.49854875830784356,0.46936760657463117,0.5089914972128071,0.5173676807241346,0.4496747120195859,0.4593079390703844,0.5128819726041705,0.5212535226062891,0.5154996147694668,0.5145060812829786,0.48905578024016,0.4808014509780922,0.48988101413638396,0.46889585512094784,0.46144269256042353
759,0.49319631220221555,0.5042777524215447,0.5248887392592672,0.4574254217019245,0.5282927744194797,0.4939765984490108,0.501053784172513,0.47122775336269324,0.4816530500100873,0.49028612962888035,0.4776775613229233,0.5096548131366977,0.504855434955552,0.49750446080453053,0.5036851431575577,0.48989535173356996,0.5002364331687766,0.4860705355524269,0.47148472988895956,0.4878635552803893,0.4814949454569369,0.46847747077786867,0.5190533896583022,0.49629298563727275,0.47980561340014544,0.45142701241969013,0.4837192130265575,0.47024601379426084,0.490038854225293,0.514218515835932,0.4818160734018463,0.5238498541747667,0.5008295582353507,0.5079739087501762,0.4985091150185503,0.4693771629172234,0.5090250448240038,0.5173274770201505,0.44968428375115677,0.45932787670870684,0.5128556944149597,0.5213307024541995,0.5155063975597579,0.5145308215286836,0.48902251754846626,0.4807402979415624,0.4898731652756624,0.46890393269808744,0.4614451114347903
