,AIBL,AIBR,ALA,AQR,AUAR,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,BAGL,BAGR,OLQDL,RIBL,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.3172521353535483,-0.42879110152420286,-0.24804776041420623,-0.30920183524743894,-0.38851014233894743,-0.547890126998847,-0.4550540506983373,-0.22312515049433215,-0.07931554581048338,-0.364817136052348,-0.10988381052788798,-0.3412300454844932,-0.38345358744442065,-0.3613227119172885,-0.06726705246529191,-0.11035025231712771,-0.358989557685218,-0.574338702803496,-0.35958309976074526,0.013685832261538161,-0.25490520115557547,-0.21522502679853933,0.030154693094660706,-0.23562902411011113,-0.1732691068026263,0.14269718625194422,-0.2848828858893131,-0.21469594985049328,0.05818850088600923,-0.04634238148745998,-0.3660835074949037,-0.32339181189604316,-0.2794029408816721,-0.3731195031362855,-0.33165210674156426,-0.3287898907497974,-0.39624810822361034,-0.3923525904676358,0.009128029990651765,train,0.0,1
1,-0.5104750262080674,-0.6442355685569802,-0.29340186302473237,-0.38985476440969835,-0.50593262881507,-0.7683076706403048,-0.67132738723068,-0.19173467590786922,-0.07015638378861944,-0.5769502927686799,-0.12076114199475411,-0.39851421119705555,-0.49446538938395634,-0.4827837726118882,-0.047748786762644026,-0.08126397242277633,-0.41753799158728644,-0.7861133346394901,-0.5771485141747617,0.12416354118682149,-0.33443377356363824,-0.313436514043429,0.15339191028737942,-0.23830781973021925,-0.16090687006520804,0.22581308396490682,-0.3099074727228501,-0.24541589584862944,0.114666008134673,-0.04001612067737757,-0.4335047735493026,-0.393686308940815,-0.34205509937274436,-0.4636492102330125,-0.48846065078459644,-0.44779737179813295,-0.5253149085645408,-0.5805279678755659,0.0907972382632675,train,0.2962150301700494,1
2,-0.6085652606681721,-0.7554173638186119,-0.3214922957127747,-0.4324225400694265,-0.5575456491661426,-0.875647668557326,-0.7690981858129312,-0.16122164573997602,-0.06646210491664169,-0.692767787487287,-0.1345983597428978,-0.4267658073711593,-0.545171237250517,-0.5541053567010444,-0.03665683675399253,-0.06832265299980807,-0.4483688538148163,-0.8710315169226938,-0.6820029354099928,0.18145580445508608,-0.3910927059698167,-0.37557997251539754,0.2250828787091707,-0.2529527043092452,-0.15905156688786398,0.276656669383073,-0.3121978015704596,-0.26879403645580097,0.13360045280023525,-0.039273518559673495,-0.46289869160418384,-0.4259360480830996,-0.3716406356029807,-0.5136248881224126,-0.5542356618101745,-0.5002266046454147,-0.5921166098621189,-0.6888359412610217,0.1398324855219836,train,0.5924300603400988,1
3,-0.6686979009782642,-0.8208153371453649,-0.33104044027495794,-0.4534630440377277,-0.5928763046010759,-0.9391122715829021,-0.8230030264835616,-0.1440266119073207,-0.07341069057165547,-0.7666263097262132,-0.14597393271415532,-0.4477823800629138,-0.5822684716673939,-0.6022792486466012,-0.03552903922111636,-0.06829088206501878,-0.4669697717905733,-0.9174282687809611,-0.7471960478117381,0.21276986016961952,-0.4339207982973541,-0.41281677526177446,0.2557337913944864,-0.2635329163353258,-0.16676746860848174,0.29880624123091903,-0.31958351731201395,-0.2850023131608934,0.13113890212491236,-0.0447888192488691,-0.48344913523715366,-0.4458733113937212,-0.38994414107618275,-0.5476043973666109,-0.5862918396836876,-0.5337904579405571,-0.6246638496744364,-0.7493722069678046,0.1637515011488195,train,0.8886450905101482,1
4,-0.6890867843670697,-0.8485522745182347,-0.33580621906557484,-0.4685070624749917,-0.6042077915422216,-0.9701102754245706,-0.8481485894142164,-0.13353284043117264,-0.0688919102816391,-0.7948282464986837,-0.14841399778805245,-0.4532587097063509,-0.5978467539143385,-0.6252547883927612,-0.030757915425632887,-0.060337022517664415,-0.48334743731380025,-0.9371466214138939,-0.7804163994380384,0.2179551468403197,-0.44922370063938305,-0.4268228811661661,0.2736918401012984,-0.27267768886049104,-0.16511333028083133,0.31522992192280147,-0.3175194441474596,-0.29283611253702657,0.14312936575019602,-0.045058442757571426,-0.4853669742167189,-0.45789907609539804,-0.40082406279133165,-0.5558976220545349,-0.6072914346134749,-0.5428374164768384,-0.6481929082148814,-0.7815520427631768,0.17866762782207693,train,1.1848601206801976,1
5,-0.718726025562424,-0.8746527773612165,-0.34822146308026714,-0.4750880947299077,-0.6182475057224152,-0.9835582999761864,-0.8660532722390945,-0.12422077999496928,-0.07120035176343148,-0.8164755305087177,-0.15217425735558907,-0.45262448022257107,-0.6097768615639274,-0.6340600798366911,-0.026385468322193573,-0.06595249154419773,-0.4912506731858051,-0.9535207356689026,-0.8035508984639335,0.21962160919334073,-0.46400698330019835,-0.444767352384994,0.284435587281713,-0.28191696410734146,-0.17188894631373824,0.3241114862338233,-0.317966194083242,-0.29885744084880994,0.14071128483755568,-0.05772183012040869,-0.4942893066900174,-0.4542149499201147,-0.412721895070172,-0.5666859196441435,-0.6189270461676118,-0.5590153099652077,-0.6641803233937852,-0.7974617906578761,0.1852241603389875,train,1.4810751508502469,1
6,-0.723257189257788,-0.8925926426934312,-0.34208370954172507,-0.46575986129306157,-0.6193559245391507,-1.0042320755239202,-0.8800387394513188,-0.11231612143518457,-0.07146353691569361,-0.8340707602879137,-0.15704583179289175,-0.4620010114728123,-0.6119178895884344,-0.639711187622598,-0.023005964649285615,-0.06323289379065662,-0.4831467582476031,-0.9576375764369415,-0.8128033202862386,0.2267093127337661,-0.4768741456081514,-0.4531914733900316,0.3083853932900166,-0.2778710690367395,-0.1669701870822441,0.3376305538835019,-0.31068139983811294,-0.2989079987179316,0.15004911762609152,-0.047836027527695266,-0.49289931319344477,-0.4523511004478534,-0.40719049255586337,-0.572896031813193,-0.6232883523944429,-0.5622539639504632,-0.6731899940837636,-0.8213412939812028,0.20206904699621217,train,1.7772901810202963,1
7,-0.7282558846757766,-0.8942246047702095,-0.34603354637176464,-0.4660000571119035,-0.6217682112365018,-1.0047152125693244,-0.8792635959784273,-0.10308951313418546,-0.0644064688128135,-0.8361345803558387,-0.16327238817520862,-0.4549807531443524,-0.6128920960504703,-0.6420534933007627,-0.018232940938667536,-0.059704261925942595,-0.48535040236677784,-0.9558931043939154,-0.815595851394239,0.22528507588455282,-0.47949069164010555,-0.454621947033553,0.3058191815189225,-0.2769082408525247,-0.1636000057533565,0.34602931044301233,-0.3088184358749108,-0.2995050581570168,0.1467717692637336,-0.0456829305749747,-0.48825677215067814,-0.443823802010733,-0.4106797575289015,-0.572524708242063,-0.6266144779554506,-0.5598018026037586,-0.6679781267223709,-0.8188511207461143,0.2080115323871187,train,2.0735052111903456,1
8,-0.7303446347228928,-0.905898395334446,-0.3582013612637406,-0.4703782006697401,-0.6347949015337111,-1.0149395163666168,-0.8954769077364408,-0.106254284931044,-0.06942606119033666,-0.8442130866713002,-0.15988679689234703,-0.4658378954072562,-0.6245862435253196,-0.649283933563963,-0.02142542635612757,-0.054309808401969986,-0.4811341807047008,-0.9683058984215906,-0.8328986576254382,0.23213679030739776,-0.4853563699191352,-0.4699959570989027,0.3182512731862287,-0.285413112348754,-0.1772419339517602,0.3430697485101131,-0.3117478493385414,-0.30766470709916544,0.14563368008548822,-0.0618649443771241,-0.4976525028699846,-0.4528018635423716,-0.41668334253652606,-0.5792611747291179,-0.6361786684303073,-0.5678166858169464,-0.6774708713670613,-0.8314289284795431,0.20622518940724385,train,2.3697202413603953,1
9,-0.7379098086518242,-0.9061381055176829,-0.3561846524561694,-0.4743993618784433,-0.6351986482478155,-1.0186969004991673,-0.8952294718101095,-0.10190824494911063,-0.0729025170991249,-0.849401371152949,-0.1592622928615754,-0.4653887656602684,-0.6203010206795532,-0.6530664868267226,-0.01941125768404503,-0.05636737753380937,-0.48962096510730735,-0.9701324382652476,-0.8346633903097271,0.23124040319962552,-0.4929099353419637,-0.4704923855268512,0.31363813190731116,-0.2899395461727735,-0.17923828813501977,0.3479771467889182,-0.30791322117772124,-0.3126363447584579,0.1408394616509936,-0.05998115775829861,-0.497828446267343,-0.4543738631441361,-0.41676340254006006,-0.5828682390905624,-0.6305540339868129,-0.5672424689405786,-0.6767976543070893,-0.8382667265961061,0.20703431533257685,train,2.6659352715304445,1
