,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,AWBR,AWCR,BAGL,BAGR,DB2,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.29245523354425296,-0.3446777694489428,-0.15517335886830474,-0.2568933371197165,-0.2224114176668146,-0.27009299287143107,-0.4896819994433317,-0.46311348056439544,-0.2001535899925238,-0.3340697770484724,-0.432585282807348,-0.22459038067839,-0.07546744360121029,-0.028360341117730177,-0.326535897864645,-0.3420128607411148,-0.17979536266966067,-0.18842779091764522,-0.1173816577325207,-0.2512881650782285,-0.4003285872367323,-0.4095181423862958,-0.46541982530914044,-0.36919241801667996,-0.2560294231011291,-0.17012929166737178,-0.22120072983270433,-0.15660216254175555,-0.3106951914274211,-0.2753766638989559,-0.3370239000272609,-0.11404375679431078,-0.19603251217324583,-0.17491746174996714,-0.4395517813421539,-0.3965853283710493,-0.3445023381877871,-0.3583102463084324,-0.35145257067134117,-0.2792098221478524,-0.2579741207846771,-0.31229596069824656,-0.3793210066670857,-0.2193344819481446,-0.12721574326954846,-0.432136714490989,-0.298866756504798,-0.1640037832425315,train,0.0,1
1,-0.4578616471322517,-0.46833390235008066,-0.22528343781232008,-0.33297389960459606,-0.26898804206411475,-0.318879488006902,-0.6927979990825067,-0.6357654905452224,-0.21461443261940058,-0.4516092612675835,-0.5784426995441081,-0.2662014280662245,-0.09649242910075215,-0.05136302698465883,-0.41175329524735393,-0.4476455435245994,-0.17789662923211436,-0.20903555446919744,-0.12548348078434604,-0.3021331325877836,-0.4964412658251939,-0.5761767806616449,-0.5763558224045204,-0.40114211414647233,-0.3251078401417372,-0.15092577959374076,-0.23331574517583392,-0.17353444792571301,-0.4504033328856861,-0.37635750246898114,-0.4161624247707997,-0.165028355414402,-0.213512361797646,-0.1985124541265214,-0.5452512110548031,-0.46465217931444847,-0.4278549448936254,-0.49881340930442103,-0.4932311912756052,-0.360819605771599,-0.36123336740283885,-0.45232094475680623,-0.4856775049304801,-0.26312830119794306,-0.1676594000532476,-0.5507381026452912,-0.3361606704908271,-0.17738865350656643,train,0.488909008601177,1
2,-0.5321065626596475,-0.5203536945677881,-0.25584562534942634,-0.3849273852905218,-0.29109530371861725,-0.3457059185782779,-0.7821792996254291,-0.719965291725454,-0.23568750596097482,-0.503711787526544,-0.6612187310597355,-0.28748561069840517,-0.1128679156797987,-0.07757601834611252,-0.4537787004049084,-0.4972012221092086,-0.1962181379813928,-0.24245293033498172,-0.12988392539764743,-0.3243221149350174,-0.5622361671145283,-0.6727920862748411,-0.627129871040184,-0.4086668345772402,-0.36635906604505375,-0.15420944666356118,-0.2424279964911099,-0.19259505419694187,-0.5257892670661826,-0.4380442907080204,-0.47093902722743175,-0.19114993668121302,-0.23113727148793975,-0.21702972005064297,-0.596115446601147,-0.5040230806443757,-0.4674219754988479,-0.5694119370665316,-0.5771018393665196,-0.4268650797745071,-0.4119384375133942,-0.5147939653711726,-0.547012895959185,-0.28650525235699764,-0.203414912619436,-0.5979115101328129,-0.3550398330097709,-0.18511932426288716,train,0.977818017202354,1
3,-0.5957940160744858,-0.564464767516353,-0.26739581241166366,-0.41170989192509544,-0.2941215478553205,-0.3572349618255857,-0.8397172550224502,-0.7867910114990737,-0.24931712635214145,-0.5563408351638572,-0.7161618427164109,-0.28940013803741393,-0.13039215910374596,-0.08046184271894231,-0.4619967272052665,-0.5098150790249475,-0.19242203323129356,-0.25953020010666084,-0.12738589862259472,-0.326488512943105,-0.6042962687996913,-0.7310931448233889,-0.662724521041715,-0.4105558746200861,-0.39657813752960924,-0.1452039569480068,-0.25718326985925954,-0.18699620532219166,-0.5702656477786038,-0.46719635325090625,-0.48791077646713654,-0.2194822515515541,-0.227472879130786,-0.2210271627588306,-0.6360565747075674,-0.5394915777718705,-0.5106929483040988,-0.6187247725849243,-0.6236513651605875,-0.4747355060666507,-0.45941053581806723,-0.5575298491562924,-0.5864811621265507,-0.31300304639732146,-0.22687530134441694,-0.6260316948738208,-0.36917652634074954,-0.19787511464571922,train,1.466727025803531,1
4,-0.6300352007915726,-0.5744814814534835,-0.28186063301485526,-0.4259792012920143,-0.29669008503242295,-0.3618162227182859,-0.8648028468799929,-0.8081593157163736,-0.26409284238880393,-0.5876132195440176,-0.7432591698191946,-0.28780214683150157,-0.15201653588082983,-0.09477420599446382,-0.4779916588959714,-0.5264147206844039,-0.20171290541556028,-0.27376761600103994,-0.1393961238303139,-0.34222868085211666,-0.6345108026347334,-0.7719325662302025,-0.6666648456871362,-0.4168160864644602,-0.3955707374872335,-0.15492648409511495,-0.2716736638973673,-0.20353356157854388,-0.5982402252823249,-0.46678435603288426,-0.4911432108846232,-0.2528355136737718,-0.22494921036908253,-0.2207822289977704,-0.6621727041535727,-0.5859772185854137,-0.5192827413023732,-0.6340376363219302,-0.6479698230019079,-0.4838667740258666,-0.4847335417462354,-0.5740049729873253,-0.6187688746149947,-0.32926142640371736,-0.23258217905015674,-0.6509632271217178,-0.3862797849157365,-0.2141465413992939,train,1.955636034404708,1
5,-0.6487721999254661,-0.5771729607631958,-0.28935396793669566,-0.4296233800724236,-0.29977738294385126,-0.37436299350433677,-0.8852201849769281,-0.8300830284954477,-0.26676707197035626,-0.6057904320553892,-0.7619724538378367,-0.2838742154339364,-0.16854303716411476,-0.10174540745619119,-0.47784425139805065,-0.5230948389338834,-0.20697568325752946,-0.2803211904482519,-0.14006297502487697,-0.3338720033828607,-0.6457615600558637,-0.7957186189737344,-0.6653280001095249,-0.41241168857672017,-0.40654073083865727,-0.15563116209438382,-0.28341705659679217,-0.19909685972592778,-0.6062252637698357,-0.46380569654525017,-0.4855246013928556,-0.27605103259252184,-0.2328357746895864,-0.2169039018839689,-0.6731185694751571,-0.6067781622098785,-0.5307763002015483,-0.6419501818972518,-0.654716560358698,-0.4915224967554455,-0.5053618008771238,-0.5832104232564823,-0.6327029558161217,-0.3461803068281609,-0.2378276647407797,-0.6584428453112527,-0.3947458165017873,-0.21412305882953267,train,2.444545043005885,1
6,-0.6591529585265614,-0.580186033411317,-0.2903351386448501,-0.43543563487612685,-0.29804978006790156,-0.37350564367271605,-0.8840944286054239,-0.8337625482662103,-0.27319092585148486,-0.6084223867544323,-0.7585783362931504,-0.27928563042890353,-0.18447222749425896,-0.11029781324074985,-0.4787245407016243,-0.5255051515478473,-0.21528613731429772,-0.2896971267835022,-0.14902498192645827,-0.3357405652712166,-0.6609713325416935,-0.8054383727499294,-0.6653879524882076,-0.4218458253930941,-0.41177307310015576,-0.16008986643784173,-0.28637128477782714,-0.20255374198999082,-0.6108738966836507,-0.4647810172284674,-0.48560973162751764,-0.2852555567026867,-0.22865532246251935,-0.2172729255907826,-0.6878995541145497,-0.6178756339038182,-0.5375353029557143,-0.6587207150653804,-0.6677450276437993,-0.4983633242744384,-0.5140547949223472,-0.599407207379959,-0.6436195537256139,-0.3510720010272393,-0.23878748201147357,-0.656724906010748,-0.399726515816179,-0.2237186244858127,train,2.933454051607062,1
7,-0.6548604286463843,-0.5697283625080116,-0.2976287077130214,-0.45107492182637,-0.2921386932111506,-0.3765158720611722,-0.8773125839123159,-0.8296860864920439,-0.29416020107983043,-0.6094365538826996,-0.74767132942773,-0.2823806315903016,-0.1932516670867916,-0.11440688399715292,-0.48717393124655484,-0.5286545752099184,-0.2354733669679023,-0.31622478712224267,-0.17512920901450763,-0.3470696019490785,-0.66576755677613,-0.7953771875307758,-0.6468723013729447,-0.4300430384888278,-0.417792598186007,-0.17111805910818284,-0.29763802366782516,-0.2160408361073131,-0.6084985053409793,-0.4684195510446161,-0.49198465747550424,-0.2901039121142512,-0.2361383639557023,-0.23231593374048148,-0.6921801820322783,-0.6281074895950525,-0.5411813337934872,-0.6658430445255172,-0.674768322580512,-0.5080200338643459,-0.5120158355829535,-0.6075532353050813,-0.6520017193860217,-0.3526046879546438,-0.23545790890864954,-0.6529949522627199,-0.4201601708957422,-0.23910080318669313,train,3.4223630602082387,1
8,-0.6530840407371477,-0.5659351572703323,-0.2787102158457487,-0.448271396738198,-0.2750507785135138,-0.37681214454126316,-0.8816945773523388,-0.8326783001745488,-0.28953534112777934,-0.6212212468665167,-0.7594975453000388,-0.2795009163146078,-0.19030956842760377,-0.10428658997367023,-0.48063925926304774,-0.5235355711964704,-0.23190654274791966,-0.32146603204032204,-0.17514875617477205,-0.34337088490878853,-0.672029008324136,-0.7861747186408711,-0.6481900457867664,-0.42857257555459927,-0.41248790059237295,-0.1774477259905541,-0.3097407055292859,-0.21278055956647524,-0.6066077809232022,-0.46944113049136693,-0.4807352515880272,-0.28787233931826167,-0.23665169843936612,-0.2292439888350416,-0.685617158492054,-0.6345019801910372,-0.5557940832127641,-0.6613825291421112,-0.6673616256075611,-0.504199721160239,-0.5159035182234877,-0.610320039229448,-0.6567352233905082,-0.3487857344413484,-0.23651612689698043,-0.6490104043990231,-0.43423440348930537,-0.23727438156042263,train,3.911272068809416,1
9,-0.6547574550683221,-0.5671735773336417,-0.2921524514556097,-0.46269432236969377,-0.2723749275536229,-0.3776887570806191,-0.8851182400894794,-0.8375268430515104,-0.2992040085613481,-0.6165591284439427,-0.767543039172554,-0.28794057812096124,-0.19737704976403958,-0.11652285846403014,-0.487920623322721,-0.5417877693863838,-0.2374170536995036,-0.31590620614478926,-0.1773177149305446,-0.3469746950512602,-0.6744305277699618,-0.7978217153669284,-0.6646403910760965,-0.43085719170587167,-0.42466812415288957,-0.17375376125042546,-0.30814492739712274,-0.20460333300615105,-0.6135849909248916,-0.468203400911792,-0.48366736827619927,-0.2876461292309824,-0.2461309015365843,-0.2348167668421069,-0.689304775959327,-0.6323472595771764,-0.5623550808487202,-0.6805906407207438,-0.6782977738476588,-0.511607466734118,-0.505541360451962,-0.6180694168852269,-0.6693234016854096,-0.33514731001240594,-0.23143819525511244,-0.6605253801814956,-0.43042670484865403,-0.23131244539501555,train,4.4001810774105925,1
10,-0.6630435457238942,-0.5640705408503821,-0.29768273025380393,-0.4490389859121464,-0.2811768714371383,-0.38646589221337413,-0.8866663233280548,-0.8331950943351532,-0.28490208709190434,-0.6178587700927,-0.755630130556709,-0.27225529939763243,-0.2034149275324186,-0.12986145729343435,-0.4823601373225096,-0.5201949787501491,-0.24438219423831836,-0.3144928447211608,-0.17314514821583943,-0.3351906120945165,-0.6674245167953221,-0.8024462120114461,-0.650984917574867,-0.42511025898606963,-0.4239751417678438,-0.17105497703802627,-0.2867314475015322,-0.20460102779480288,-0.6048328801206466,-0.463038876152721,-0.4899370731159246,-0.2927606476987681,-0.24398512696577598,-0.22671281711907437,-0.6867111067786769,-0.6327629817627871,-0.5498359476172167,-0.6597704760316089,-0.6720329592676089,-0.5009110741414344,-0.502272245793194,-0.6044397916859928,-0.6512809793093686,-0.3477518599820311,-0.23373644845349895,-0.650507080058983,-0.42143037580286064,-0.22947857658877102,train,4.88909008601177,1
11,-0.6764800607731202,-0.5660155283382433,-0.3051494172343773,-0.447928000221445,-0.28144011344867575,-0.3942462411205477,-0.8922438370607654,-0.8356607313516038,-0.2874520364688284,-0.633001668238637,-0.7483553638168539,-0.2602745559773708,-0.21181312582517464,-0.13322364495491462,-0.4802923043087598,-0.5163123262367338,-0.2541581238746583,-0.30765429736271166,-0.17400031331638063,-0.3362080102539422,-0.665508622868613,-0.7986026969159209,-0.6474641950506896,-0.4303291817770903,-0.416360517552985,-0.16330688298990825,-0.2757631767540767,-0.18156425946458787,-0.6015519445983433,-0.44798148097258184,-0.4904220212118354,-0.30523778813066305,-0.24218719711009012,-0.21558843676352624,-0.6814086091295597,-0.634651042313074,-0.5382226420416163,-0.6465746296329729,-0.6502897165464755,-0.48039047512010874,-0.49945602168735104,-0.6105953437832976,-0.650363598680013,-0.3562192212832841,-0.22219587573742797,-0.6544851992464814,-0.4207159214258882,-0.23219875299072218,train,5.377999094612947,1
12,-0.6789965134388789,-0.5541436461044997,-0.3247850508838222,-0.4531162210973085,-0.2793172485893935,-0.4021031997749651,-0.8992865762681007,-0.8373431113771486,-0.2923641719329384,-0.63384794445287,-0.7468012619062867,-0.27504217911661455,-0.21768513717804605,-0.13407183923417626,-0.49383183044977985,-0.5313394421798814,-0.26028473904195876,-0.3283375313312871,-0.1893567757693591,-0.3411108302544184,-0.6663332835196414,-0.8023200738974035,-0.648401212648094,-0.4430684769754236,-0.4213262075541171,-0.1653470088901558,-0.29965722025044883,-0.19689373174509894,-0.6017514557491812,-0.45165650484470965,-0.4770247665554739,-0.32595342121973464,-0.24325873490016567,-0.23189471483132726,-0.6947690427334856,-0.6493027781078786,-0.5475921306445797,-0.6678748336608396,-0.6606177164389035,-0.48869826198569366,-0.508107226618814,-0.6234043217133143,-0.6656287609437554,-0.3654586773035715,-0.22551506981174785,-0.6519374592172801,-0.4400235036407561,-0.2408639865868539,train,5.866908103214124,1
13,-0.6723558851485079,-0.5434224029326333,-0.3327488823602323,-0.4583375681583485,-0.28501717845215635,-0.40597819670175683,-0.8853716592027692,-0.8210854614068817,-0.3064759263297531,-0.6211110150309713,-0.7296883125585256,-0.280874278606225,-0.23840539943835126,-0.13945716666894747,-0.4945925243035789,-0.5330536980888612,-0.28935391673331956,-0.3543192433275176,-0.21502039185788285,-0.3569019689869689,-0.6793124316576464,-0.7963102708496764,-0.6381565698054064,-0.44930343255958116,-0.42362703959757453,-0.18182505362076745,-0.30654096162777544,-0.21006770301223146,-0.5952497998910493,-0.4484532742437936,-0.4753418504503419,-0.33900692852827335,-0.25424107743384583,-0.24465447965967058,-0.715152259389489,-0.6607605165399333,-0.5412518815307854,-0.6832375969978846,-0.6690491336672262,-0.491405975549678,-0.5107312421549546,-0.6434941721937152,-0.6691004565556076,-0.37307261034781225,-0.22180175832495283,-0.6481617829520864,-0.45381405671826264,-0.2585665701096078,train,6.3558171118153,1
