,AFDL,AIBL,AIBR,ALA,AQR,AVAL,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWCL,AWCR,IL2DL,RID,RIML,RIS,RMED,SIBDR,SIBVL,URXL,URXR,URYDL,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.19933516497265322,0.1969966920859908,0.1797119246632788,-0.22203062950126176,-0.2253335293234885,0.0195122957375016,-0.28547431531299916,-0.1468986560278997,0.11577166214996501,0.05328877312228021,-0.16614826125208498,-0.057940640782347556,-0.11208196202438127,0.036027324976379026,-0.19012566397772435,-0.17956492062995386,-0.0063556469123718096,-0.3007308128261168,-0.3873570548820252,-0.26097613375112316,-0.28460702345480815,-0.299100072483501,-0.19723549292971304,-0.04310083742951549,-0.15557430416781348,-0.21254794466791838,-0.2476916660111464,train,0.0,1
1,-0.21149719476580142,0.280169828144661,0.30056958819978885,-0.26262523183842024,-0.2662923807819379,0.10140552202779562,-0.3259417884533914,-0.18211947762981895,0.18367903036647343,0.12401683498417397,-0.18042439681908495,-0.06584150057563318,-0.13195616448136974,0.07326477047310206,-0.23594639293011382,-0.1935695210160935,0.0457863319879494,-0.36513961899523983,-0.47461789733601817,-0.3099849920152561,-0.3855905859495695,-0.369271309776914,-0.22080152426622915,-0.0471469024870224,-0.1519175375727072,-0.23355618756028224,-0.3020524419259054,train,0.2568370986920333,1
2,-0.2140911521843329,0.326291515915862,0.3809039568468806,-0.2878513288694392,-0.30598742591131123,0.15819678440207946,-0.3575884370965644,-0.22311920085600578,0.22202956559325535,0.16143774088937224,-0.18928244475023379,-0.07787778907197199,-0.1482376520757313,0.07996740565477048,-0.2723695781614789,-0.21876369330075815,0.08805433578182753,-0.4235258104337412,-0.5226137136186622,-0.33009735280823355,-0.4416797455144226,-0.41434845364702666,-0.2530536393884438,-0.045029717279481477,-0.15094504324989821,-0.2564803748601606,-0.33504673343194247,train,0.5136741973840666,1
3,-0.22128388482539235,0.349107365566083,0.39650238776032176,-0.31667584337149673,-0.31991517229417943,0.1694505565194342,-0.3748060676833197,-0.21107264887192403,0.234011615263536,0.18571969195743254,-0.18757284247352884,-0.08660533659265057,-0.15962359748361268,0.07541163208110063,-0.29854213120507006,-0.22307556344591134,0.08146127496333525,-0.4289185575294037,-0.5422188173965732,-0.34242764389611857,-0.47859470256095954,-0.4294343705017555,-0.26542031597786875,-0.03983498434799207,-0.1441012893742633,-0.26616272228113214,-0.3397286384297665,train,0.7705112960760999,1
4,-0.23809069502665833,0.3401854970706192,0.409445775302826,-0.31885005972927255,-0.35990985803994924,0.16940681034085664,-0.4101132664725989,-0.2486650924831273,0.23623276605347623,0.18842971774427086,-0.18474535449366408,-0.09875292550941796,-0.17303704281259072,0.057529036231616086,-0.3238815549968646,-0.2535635612210492,0.07928231444410067,-0.4395302661942334,-0.5750041982964139,-0.3466653474667114,-0.505617840402284,-0.4719522106906887,-0.2839434604410498,-0.058889003013937756,-0.1587400295327584,-0.28550169114940743,-0.3725724453960104,train,1.0273483947681332,1
5,-0.2353774671860724,0.34581321742667087,0.4173871092006193,-0.3297137750622392,-0.3843470340710799,0.17472282947914142,-0.43392853554344457,-0.2760063262717675,0.22774021731791197,0.19132179997679238,-0.18614744783511084,-0.10485174804283563,-0.1861844546216374,0.043802210365414936,-0.34364410339362517,-0.2622155620689599,0.07894592012676685,-0.44623896549678393,-0.5911236105825485,-0.3486142924948329,-0.5183013044138931,-0.49424892523096564,-0.29888334551079615,-0.07112783148998446,-0.17284252160430394,-0.2991061364567249,-0.3876560423995098,train,1.2841854934601664,1
6,-0.23891436209831604,0.3444058199568453,0.4133924577018117,-0.3179602416353189,-0.3920285405967142,0.1808074976210351,-0.4398996102103959,-0.27493879364445756,0.22891932804104134,0.188135844901954,-0.18407756777003337,-0.09316546937803816,-0.18856648544470933,0.03663627155102183,-0.36258303746686615,-0.2708768814903016,0.0827580183418426,-0.45117117502623433,-0.5952489937207373,-0.34905653522538627,-0.521474442626166,-0.5033170757788673,-0.3101050483716008,-0.0789441023440093,-0.1891995525702312,-0.3023870714991732,-0.39457605552633224,train,1.5410225921521998,1
7,-0.24107656884872175,0.3409724449298932,0.4043259882793908,-0.31335987742885285,-0.4102966539027037,0.1810856380948458,-0.4565670646982197,-0.2945242919365394,0.22613515219238697,0.19017300603402082,-0.18533002994319933,-0.10360301827190507,-0.1905516853189323,0.02869205927531935,-0.3787917427898372,-0.2849486016946023,0.08526925821392353,-0.4458371992251746,-0.6172246542494793,-0.351608201042258,-0.5453785701261619,-0.5188246452564104,-0.3203650415998489,-0.08382498422924772,-0.19242905038327104,-0.3076535986621252,-0.41788682613339634,train,1.797859690844233,1
8,-0.24685996417527487,0.32511672770528866,0.39792202103242097,-0.30774850439405765,-0.43728707733538186,0.18159307041053618,-0.47087490944233645,-0.3129633950169765,0.23418709686296088,0.18813807139248495,-0.18171640434399325,-0.11191961013113874,-0.1937535904779024,0.0250331041197731,-0.3994816926464766,-0.30688859247068023,0.09374556601382264,-0.4520274753427976,-0.6240548808961818,-0.3531206312894797,-0.5620148780105596,-0.5412382811082439,-0.334294773863465,-0.08801068231241896,-0.19926400374326264,-0.3128757195739207,-0.44202945824258744,train,2.0546967895362664,1
9,-0.24690347937078777,0.32583681333110714,0.38288739386552423,-0.292381018896169,-0.44418185800155496,0.17428682234702864,-0.47651032510707253,-0.3141221521607237,0.22625390130096137,0.18940073850645628,-0.17981932210865542,-0.10906672285485314,-0.1941154726007963,0.02676323833928599,-0.41035657673368914,-0.31313672723381347,0.08957014762629881,-0.4382698274545904,-0.6330202157835789,-0.35600370905948253,-0.5663136521983856,-0.5476014285434553,-0.3382827775164491,-0.09787276732420722,-0.202479615767967,-0.3071249432111377,-0.4542414422745652,train,2.3115338882282996,1
10,-0.2535256648957931,0.3198547101699653,0.380294140717102,-0.2920261870871639,-0.45736216262405266,0.1723788858719602,-0.49174019159129734,-0.323049171935921,0.232076838633451,0.19081171805399394,-0.17573391240871428,-0.11130775606526568,-0.19772421223717668,0.017117559126621294,-0.42752803970533615,-0.32189814929176497,0.08602279029116247,-0.4388373466592057,-0.64161386733779,-0.35749409501313706,-0.5830687579193571,-0.5639531481852196,-0.34691710485329863,-0.10199930659500907,-0.2098893851384735,-0.3111956562449449,-0.4720866961176332,train,2.568370986920333,1
11,-0.2564985592962328,0.3116402223947359,0.36888438828220393,-0.2819513209043936,-0.46098134115049333,0.16866027178680426,-0.49383130560097244,-0.3236062747917967,0.22755685008478868,0.1869035231315066,-0.17361045099865977,-0.10226865195911972,-0.20173751458860611,0.014629458058456508,-0.4398030463426169,-0.3295378381129127,0.08463939172716822,-0.4372533554222035,-0.6328006116307271,-0.3590465445457727,-0.5781833197729543,-0.5689134332559413,-0.36041968361632104,-0.1072106352333019,-0.2189590623212716,-0.31073128706867004,-0.47089609258761045,train,2.825208085612366,1
12,-0.2644680485719746,0.3015186564993274,0.3523971901626846,-0.28827244688050996,-0.46338067242531555,0.1611489997948618,-0.5017297985969814,-0.3245077941729462,0.21582038118454414,0.18815007960121727,-0.16883963004749342,-0.10271709407534652,-0.20798086034335977,0.002498037860384675,-0.4420876251264841,-0.3313346815090925,0.06892021393458345,-0.43561530141946675,-0.6273592152247156,-0.3588996711464991,-0.574971609331446,-0.5745360798948438,-0.3731717286791716,-0.11296762583303274,-0.2229775998537185,-0.31267122923624635,-0.4666573998956798,train,3.0820451843043997,1
13,-0.27997883138785384,0.28152448560760873,0.32347000135387194,-0.2966142080074367,-0.4666475309077374,0.14319643814185412,-0.5089266253886374,-0.32291871342712436,0.20558826721978452,0.18354226680563757,-0.16412133212429908,-0.10565084577491843,-0.22556197176632972,-0.01013216481810466,-0.44741131873264933,-0.34071110342171884,0.05399591725846101,-0.41494317799569574,-0.6327510668431229,-0.35646460935519486,-0.5811781415526437,-0.5854478341448839,-0.3786379384292259,-0.11452732726865289,-0.22489454942321796,-0.3158458463782581,-0.47728714083936674,train,3.338882282996433,1
14,-0.2836694363058403,0.27401595783752686,0.30933526059266775,-0.2968541440372674,-0.4733378906374331,0.12367194547398308,-0.5248041297679563,-0.3362369602160747,0.18905250084980849,0.16871193719091288,-0.1656453485590237,-0.10905155470146276,-0.24082499058532783,-0.027659667072850228,-0.45864294229231956,-0.34936125901136417,0.04175754949480115,-0.41151653912594194,-0.6403593913059984,-0.34824448418830095,-0.5724281532524317,-0.5963697920460498,-0.38581226762920307,-0.13232127636462823,-0.23513477614682637,-0.32102335472549276,-0.4849486441504407,train,3.595719381688466,1
15,-0.2787344061512882,0.27671964529202037,0.31026468743597635,-0.3083733157921155,-0.4767207274429836,0.12426939923250285,-0.5318648482654115,-0.3457629084148866,0.17895587734527227,0.1710352286123195,-0.16756428399678863,-0.11593465624832819,-0.24803311127070532,-0.03661607256390805,-0.46183434416124874,-0.3501862010855705,0.03914085192317568,-0.4161054412647537,-0.6409392267320694,-0.3453213231812039,-0.5744227921785792,-0.5988595776189002,-0.38819820360027557,-0.13319579184210528,-0.23743210459518213,-0.3263386829791028,-0.48586249920079794,train,3.8525564803804992,1
16,-0.2832651778748161,0.26963740820371457,0.3040264065462482,-0.31260390537314175,-0.47991020604498585,0.1227018820895116,-0.5380977938584569,-0.3518781360554039,0.17594970765836462,0.16939612251333364,-0.16431462888605655,-0.116335886696534,-0.26135707752100296,-0.04290467612382861,-0.4671385655087925,-0.3578493182097414,0.04135686059659355,-0.4213111308022942,-0.6458530491395102,-0.3402999438138632,-0.5698217881535825,-0.6068542895408867,-0.3956527957427758,-0.1331843725983081,-0.24198761242891054,-0.3298779061347815,-0.49361716878774575,train,4.109393579072533,1
17,-0.2929426684673546,0.2611342734742881,0.2894721903706635,-0.3153694674131462,-0.4757558230367879,0.11498986030439601,-0.5415544989852862,-0.3389084843636159,0.17092179223826867,0.16426337575524375,-0.16195579347827155,-0.11107997604651199,-0.26498721032595174,-0.05376456994957416,-0.47661177146889183,-0.3601775224164438,0.02587808497129168,-0.42602132202226123,-0.6404926221842762,-0.3336466080869438,-0.5617720141989071,-0.6077190690584955,-0.40020949339050704,-0.13788935413497658,-0.24932431528034743,-0.3313044680838749,-0.4865019076339946,train,4.366230677764566,1
18,-0.2911235745513303,0.2511977558967354,0.27289102545100935,-0.3058643700089644,-0.48082421333043895,0.10361449686062368,-0.5476867285262031,-0.34614445156545004,0.15335128779248916,0.14887471228686378,-0.16437342410888744,-0.11436660053378163,-0.2678013848194694,-0.061927881198844126,-0.48906876581378633,-0.3661577266417125,0.01981460425291323,-0.41894114204774885,-0.6436484690838814,-0.33530036474509406,-0.5654472913550413,-0.6112105660266092,-0.40146773393424906,-0.14888457671933536,-0.25704476951500166,-0.33521040284567505,-0.4913367231087227,train,4.623067776456599,1
19,-0.3041670426665672,0.23109689598473318,0.2508839940711207,-0.3003225783660258,-0.4883225245187499,0.09404456013560786,-0.5552605720944669,-0.3464890220277813,0.14467146833380753,0.14069895667502863,-0.1624894049152671,-0.1122485872716715,-0.2722316359780851,-0.06882217120977437,-0.49602526446837053,-0.37263642199767566,0.010718724493039206,-0.4125606425663704,-0.6501680483998347,-0.34562304240516983,-0.5792751034928291,-0.6224953600631578,-0.4058741117935566,-0.156946589720066,-0.26191425535532586,-0.33266160989297655,-0.49795730076405387,train,4.8799048751486325,1
