,AFDL,AFDR,AIBL,ALA,AQR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AWCR,BAGL,IL2DR,OLQDR,RIBL,RIBR,RID,RIFR,RIML,RIS,RIVL,RIVR,RMER,RMEV,RMGL,SABVL,SIBDR,SIBVL,SIBVR,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.8503702413269593,-0.576526520200533,-0.8829106092787079,-0.02066906101181154,-0.9548932304806953,-0.906648551696333,-0.5952149154414121,-0.9266502220562188,-0.8038105731756883,-0.879557975647329,-0.8747698567204153,-0.8945586007230142,-0.6828085000539152,-0.31402443975564964,-0.8660110958566193,-0.9168578035525546,-0.7003818716248923,-0.6771711270493892,-0.8973679695202721,-0.9294422800748033,-0.8813695324058175,-0.8246032097573872,0.30035257206233146,-0.5178914525149554,-0.5136662207937097,-0.872511154312642,-0.5526128094882636,-0.751513234916884,-0.8201535318358354,-0.7425838571989649,-0.608859627229107,-0.6373479588443935,-0.9462608479142532,-0.8948198952165074,-0.8575602457976395,-0.8017197191402304,-0.8426037108932067,-0.8298928166314995,-0.9053736798948931,-0.8706822136278015,-0.8654743808999101,-0.7977726285678126,train,0.0,1
1,-0.780459106489291,-0.6177672220381891,-0.9399145718827594,0.072936058165185,-0.9583017650701536,-0.914632189808828,-0.4876322866434749,-0.9308201902491032,-0.8223326036370652,-0.8577154017020255,-0.9045037493139402,-0.8842197804299392,-0.7051262689391964,-0.3893449606300954,-0.8340567818904872,-0.8656790080201533,-0.7326770971394667,-0.7059476265461833,-0.8842727273667996,-0.9131854919657166,-0.8906424132984011,-0.8040816789722411,0.5536422762372486,-0.5469540806219857,-0.48046618169253186,-0.821048601526363,-0.49787598770245806,-0.6544802637876679,-0.8468844751701443,-0.929785643585586,-0.6063883746515415,-0.8152054238351775,-0.9380440657775009,-0.8928652725531881,-0.8628116476322638,-0.8169707823319123,-0.8529976808665911,-0.8240174094643231,-0.8979444353878401,-0.8567950528456898,-0.8480266351868432,-0.8212070385161359,train,0.25634939473059576,1
2,-0.7738452210971191,-0.5720744963806612,-0.9498543941944366,0.06499765254074741,-0.9561723058784356,-0.882819482286901,-0.6153395441101208,-0.9508263567125845,-0.8021532693383888,-0.8521112239544366,-0.9062858207903975,-0.8980286094485046,-0.5916757794873594,-0.44934626680200973,-0.8284865458171177,-0.9132309232831621,-0.7183802124283023,-0.7599164671143638,-0.8733877723728414,-0.9052761724504812,-0.8842532620839074,-0.8176886267189302,0.6018616496308542,-0.43583188405322115,-0.609511261563666,-0.7728194528944333,-0.5751296859596793,-0.7960114156230444,-0.7581312800706379,-0.8058182346928192,-0.7027925300212918,-0.8138063815463464,-0.9155342933651569,-0.8827783111849883,-0.8919766949892298,-0.7781238423761079,-0.8912843191267583,-0.8602622325050213,-0.8937064909303373,-0.8769453704291004,-0.8307122494254142,-0.7953242182007135,train,0.5126987894611915,1
3,-0.6512736664807424,-0.5290963049882751,-0.8860108465447644,0.07689511308497177,-0.9994904141527964,-0.8888010892864835,-0.6346433296167995,-0.9383132322018672,-0.7446818344484445,-0.8196557961170038,-0.8887139346916881,-0.8865361063347827,-0.6197246041246559,-0.500025689764523,-0.8550500420457184,-0.839373692803375,-0.6556480546286458,-0.6959927939073155,-0.8956995150358871,-0.9118744150526189,-0.870127158324832,-0.8110997432283198,0.6249717661924761,-0.6134442456340314,-0.3085530068795148,-0.8230613433090654,-0.6835459380346998,-0.7861388811054779,-0.8763946293695356,-0.6567514898435725,-0.520276042284838,-0.7623429591382931,-0.8949092861001936,-0.9024966668173114,-0.9236231418169085,-0.8875002565961122,-0.8341093373396771,-0.8067971789314408,-0.8736234800601234,-0.8562552315290689,-0.8549889959047888,-0.7396197364924579,train,0.7690481841917873,1
4,-0.7377447708825791,-0.5711345118411331,-0.9427085376649241,0.042412192936818416,-0.9803580385369525,-0.9084285391865894,-0.4414300005888716,-0.9447518954374825,-0.7780630028561235,-0.8579533833928643,-0.8494494288546044,-0.8752067398650978,-0.6628673512390653,-0.3579811608166432,-0.7158517677309679,-0.8584268220858576,-0.7023417944411591,-0.6786629023131899,-0.9201984081252138,-0.875649533914543,-0.9109416041458231,-0.7951095071790536,0.4168012125618821,-0.37518364815542093,-0.6313133981981849,-0.7070528904126621,-0.599415707609734,-0.787549618087394,-0.7301921721764327,-0.7605477848477404,-0.6789021106894706,-0.939176863518209,-0.9090771981394214,-0.8797557113323797,-0.8584216323419058,-0.7894498317587515,-0.8084800394330031,-0.8330776066080599,-0.94199633071058,-0.8762584627932176,-0.810228021362225,-0.8443470980590431,train,1.025397578922383,1
5,-0.759412896347015,-0.5906360146514874,-0.9120076921256715,0.0632842267226108,-0.9649466538512349,-0.8703881375186129,-0.6891648606337346,-0.9400538802888941,-0.8066995899420126,-0.8571240223181146,-0.8573630696872327,-0.8347709009412541,-0.706044357789686,-0.4044443373656327,-0.8022552078479512,-0.8969412686052987,-0.6214072085605968,-0.7977646994804362,-0.8968484399556159,-0.9201765853712263,-0.9329795186314658,-0.7379334799649109,0.5105407133837041,-0.20305797767184153,-0.5053654280231807,-0.7188828145635425,-0.6435634596693318,-0.7356453835778332,-0.8390165707306558,-0.7920485869849512,-0.6755453911636746,-0.7167665091394537,-0.8764947734832035,-0.8408287338778402,-0.8750155637595999,-0.8024606216345832,-0.8654384335893771,-0.850509285544716,-0.9355875066063478,-0.8949216968606005,-0.871085778127803,-0.8532229347745741,train,1.2817469736529787,1
6,-0.7418956519983775,-0.625719981152417,-0.9572923929882448,0.040070462303501087,-0.9509725684275856,-0.9097753516254747,-0.6332659824709352,-0.9448590918712455,-0.7556655377823767,-0.8881432442331795,-0.9043307529577899,-0.8514060055891215,-0.6863202192857007,-0.49464641317338637,-0.7845014749795136,-0.8904805496450325,-0.8678401672978114,-0.7389762017168318,-0.8828480212523515,-0.9389820121328936,-0.9143449258992314,-0.808926434238578,0.38642498075794385,-0.4586393773050812,-0.5500580848080454,-0.8750928966689833,-0.6010264293616504,-0.7572809929725173,-0.9056247299796812,-0.7741230323540417,-0.41364976008918564,-0.8615410563344327,-0.9222650100784123,-0.882813917192515,-0.8494007635843526,-0.7859033370752488,-0.8493716872577808,-0.8559232043521575,-0.9190854910374147,-0.8744278987669527,-0.8785016887290602,-0.7382591162595493,train,1.5380963683835747,1
7,-0.8363028274457385,-0.5478096276914949,-0.9418904849706395,0.025151700664451937,-0.9537516129485946,-0.9444278461882321,-0.49550868615123733,-0.936962111580719,-0.8529788499164581,-0.853565315950929,-0.9305916196559015,-0.8568608374660306,-0.6461687137326828,-0.40231507929914956,-0.7638961098883779,-0.8941621755547943,-0.6058052182254627,-0.6719960569643125,-0.892104480138603,-0.9248764462125657,-0.9211307981634446,-0.824684550024388,0.2508436842642834,-0.4585409003589275,-0.34575093822064895,-0.8191246448420761,-0.45259346803402334,-0.8381161091617151,-0.8755413789524114,-0.7976444028678984,-0.6695551434507544,-0.6849282044503844,-0.939652951469079,-0.8951719249037264,-0.8390883781724945,-0.8615570431391311,-0.8549507694506551,-0.8875911776005976,-0.9031967278375047,-0.9017746190060743,-0.8665856461939022,-0.7662614904452152,train,1.7944457631141704,1
8,-0.7691550010493566,-0.6243605870393045,-0.942413225374788,0.08737595202278237,-0.9551689221320543,-0.8723530187674893,-0.6081873099325383,-0.9327000515163013,-0.8569901914944109,-0.838356208697614,-0.8965304199873038,-0.8620443787218461,-0.6996737550219329,-0.5025976365629989,-0.8536581298905968,-0.9203746758222935,-0.7533640772430379,-0.7388902748713633,-0.8855501272326726,-0.9204741083710709,-0.8815211895885404,-0.8003076185672563,0.34830811864074906,-0.642632583075682,-0.5521991671618673,-0.9199606455906,-0.6058037069505314,-0.8423174243377047,-0.820493151176979,-0.7890877860024698,-0.6886216869722983,-0.7142257412603134,-0.9447675901478884,-0.865245079767549,-0.8620514727957171,-0.8167047296248666,-0.8697123355261129,-0.8641187513956792,-0.9681488262628049,-0.8781741512953574,-0.8470264830759715,-0.8134119550184234,train,2.050795157844766,1
9,-0.7675497742484918,-0.6281251383505762,-0.9283456601313523,0.11887847183809153,-0.905819861207736,-0.919244089316667,-0.6448092517967509,-0.9351107818988865,-0.8201500560336982,-0.8021490380603785,-0.9329837549399228,-0.8591472758899295,-0.5607643595208087,-0.5110443465296144,-0.8551328754213006,-0.9045030844967317,-0.3023321634713677,-0.6786669152478301,-0.8790930465480113,-0.9480546012420835,-0.8680732627921254,-0.8007696693382054,0.35947413982000564,-0.5994215469322131,-0.48614229634650297,-0.7285131058502232,-0.6486635944550536,-0.794519785462697,-0.938922339999024,-0.8719163537110028,-0.5404055124215725,-0.684315504269324,-0.9390267863853092,-0.8316638253531523,-0.8587146723097746,-0.8173808177481865,-0.8036774490725576,-0.8123536064833681,-0.8773129720721229,-0.8876241086327377,-0.8526173921817363,-0.7921947627485538,train,2.307144552575362,1
