,AFDL,AFDR,AIBL,AIBR,ALA,AQR,ASKR,AUAL,AUAR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWCL,AWCR,BAGL,OLQDR,RID,RIML,RIMR,RIS,RIVR,RMED,RMER,RMEV,SIBVL,SIBVR,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.27380258322991524,-0.021636381977251706,-0.19235371909227114,-0.2891721167195498,-0.20941207610419688,-0.25177310810289755,-0.17303941928246058,-0.11691531219669932,-0.23738041750812405,-0.4908857919493381,-0.33033149475736767,-0.2627335277616283,-0.3039576893974941,-0.10040613801216722,-0.010846067207080937,-0.20115862809016838,-0.11603001976414798,-0.26158671448494103,-0.36904214335081886,-0.10293726388151754,-0.47286217491575655,-0.21803987144574627,-0.044291425299209486,-0.1477113520005974,-0.015228197894763373,-0.15950116891905852,0.11514130411455523,0.03381067439356622,-0.019642716565638346,-0.25748603071999043,-0.24007462716192862,-0.24875778284387567,-0.25123845548443785,-0.3126597058548831,-0.31549704572035564,-0.33285604466122143,-0.13695634525845468,0.02635664900789722,train,0.0,1
1,-0.33335092395544685,-0.01565721622914556,-0.327887347645594,-0.45386973359110017,-0.22450310495814352,-0.31970623896933387,-0.28006948381559504,-0.17245121075841813,-0.3186064451634826,-0.687108195246277,-0.5263729666666914,-0.428920578999695,-0.4506162036255382,-0.1075409482310353,-0.014128379639074061,-0.2899777552838015,-0.18681961547134776,-0.297295884049381,-0.4494210729396496,-0.07928448858452623,-0.6375479625430924,-0.3830769636176722,0.01587048719524256,-0.21266722649835967,0.07112233141758767,-0.12201205754803242,0.14047318724037028,0.08039048663691901,-0.007898466792414321,-0.31274283879318454,-0.3010262442621807,-0.3766953681933121,-0.3399752146194285,-0.4143959846464211,-0.37753863249524033,-0.4768526576920359,-0.18286294270386916,0.0920435933470532,train,0.2849604221635884,1
2,-0.3631496779593076,-0.015871354135511634,-0.4436727530645557,-0.5730650887763019,-0.237238931030261,-0.3719463040817114,-0.34613949402956434,-0.22140425889243961,-0.372128006720433,-0.8012570313122485,-0.6375293219089034,-0.5446068900998743,-0.5528101620096153,-0.11688013019985789,-0.03712726869848072,-0.36099201046878604,-0.2535962392791387,-0.33046357669424226,-0.4884548715944038,-0.08932869556941361,-0.7340173760110192,-0.5095497292666645,0.05245227367159366,-0.28365857954635626,0.10908134544415088,-0.1288795953724655,0.14880523701894768,0.08559449297560055,-0.021624626905767316,-0.34988178970218736,-0.3460937973324758,-0.46622091777438196,-0.41704669864250404,-0.4912015346206793,-0.4206939883586732,-0.5671068014844861,-0.2251308310334751,0.11288820675390535,train,0.5699208443271768,1
3,-0.3803455410166471,-0.020696975646225156,-0.5159008635255645,-0.645367098861874,-0.24989713839951277,-0.4111422718671127,-0.39436561601096143,-0.2706678822787711,-0.43318063690922914,-0.8707092759695577,-0.7240431550458007,-0.6236457995301615,-0.621268807741163,-0.1420132588976438,-0.07443696377024572,-0.40361649666289356,-0.30670002591526413,-0.35404189931587565,-0.5202845843483921,-0.0910660610467791,-0.7922391225800617,-0.5958270934252764,0.07229953906868997,-0.3350953472838245,0.12790045236660275,-0.13650707337575022,0.14003497484779995,0.08050563340454998,-0.043263961594854225,-0.3900292784311308,-0.3831111834866232,-0.5240078373054674,-0.4610107805808125,-0.5274401482588787,-0.45591688230029737,-0.6225448770099307,-0.2524798065259851,0.13004110590122095,train,0.8548812664907652,1
4,-0.3969230645407378,-0.03452914859414947,-0.5874954681631308,-0.699900902275865,-0.2673020427791871,-0.4454315469418116,-0.43200081012136976,-0.2968554633180955,-0.4657771275091953,-0.9081959567505218,-0.7684745539541973,-0.6837809793019493,-0.6691258523328978,-0.15212764791049507,-0.09840149340569743,-0.45062407630025014,-0.35590033415051,-0.3776953853559205,-0.5342316649194498,-0.11400793313995947,-0.8372486463952138,-0.6610018319071729,0.07276021472626479,-0.3734885570543786,0.11757084914683613,-0.1668491477650209,0.12808263565604872,0.06051896005413572,-0.08013937583825319,-0.42241130253381914,-0.4244333130915644,-0.5691501865303569,-0.5057156873947308,-0.5724479218266982,-0.47768793594257686,-0.6639137536211807,-0.2895763525843799,0.12151710611398434,train,1.1398416886543536,1
5,-0.399013919770252,-0.04346633742149308,-0.6318909229083384,-0.7386628079794987,-0.27823697009440695,-0.4637162872340776,-0.45359298039377405,-0.32992764929321317,-0.4916035236550762,-0.9319750017761896,-0.8017039838709872,-0.7296364335168732,-0.7072894154328621,-0.17048981446043893,-0.1267872518435229,-0.4698689474730098,-0.3867962046784835,-0.3964104489742824,-0.5468009277857759,-0.12997358811409904,-0.857715144983282,-0.7098664754637519,0.08558139631334843,-0.4099838008893825,0.10764100093896084,-0.1870862181105156,0.12234418188526774,0.031880048364266236,-0.1088918094101588,-0.4417140073148935,-0.4501121626471082,-0.5995521666029013,-0.5386803684652206,-0.5926505073247883,-0.49747658112131393,-0.6917623942880675,-0.3114315195856129,0.10977756209046535,train,1.424802110817942,1
6,-0.3976778848758281,-0.061670000697073665,-0.6582001711896636,-0.7613142073096885,-0.2940651655329204,-0.4777187670340624,-0.4703682092397211,-0.35059337779593935,-0.510519935020841,-0.9438510765613113,-0.8168476479777352,-0.7594064655953314,-0.7245341088453242,-0.18121998403169612,-0.14746484586408604,-0.49026489962175135,-0.40703420196781276,-0.408865866851295,-0.5528378857830352,-0.1424633595381032,-0.8676137034558541,-0.7422547834326013,0.09635784816147197,-0.43373373751672123,0.09947978044533806,-0.21396350161481173,0.11126246181112748,0.0033892976636419186,-0.13437462526831428,-0.4556443455734318,-0.46924531138695913,-0.6134281220259341,-0.5574445635582044,-0.6025111964295387,-0.5124747413751795,-0.7098292647258572,-0.33600909755709985,0.10046756719117525,train,1.7097625329815305,1
7,-0.39973083105923235,-0.07394607248944715,-0.6749325700586422,-0.7728620225750735,-0.2951693226268535,-0.4928687063613075,-0.49765831727544146,-0.3674664649930385,-0.5339998968364641,-0.9489569167199691,-0.842236904057332,-0.7809805341078493,-0.7444978263535763,-0.19418003392365507,-0.1652582361421301,-0.5073440477081379,-0.42415128057222923,-0.419636988669604,-0.5510978720661399,-0.15066232001984445,-0.8843034480291257,-0.7589252613019133,0.09488759499876559,-0.45080700216199154,0.09343487420862706,-0.2327255834758111,0.09015915670689718,-0.011647458644178196,-0.1437108192505397,-0.47229782544582,-0.47875287594032867,-0.6237636291310941,-0.5667581106487598,-0.6059038475196903,-0.5261676797976758,-0.7228685711172332,-0.3601344738239327,0.09694842308819374,train,1.9947229551451189,1
8,-0.39863088470086827,-0.07604679852551541,-0.6904748662309478,-0.7709301171814683,-0.308456539846949,-0.5215405411818177,-0.5410743354042489,-0.37912916076729963,-0.5410387479195966,-0.9501445368853058,-0.8462809575158632,-0.7891883326687508,-0.7595329441111107,-0.19991181583289291,-0.18660007289815528,-0.5236274300839814,-0.4507178952710349,-0.4307200427396208,-0.5513928491521817,-0.18072992494248735,-0.9048922630921414,-0.7690718768365561,0.06889189956564828,-0.465075499792802,0.053616920091336895,-0.26472018186089236,0.05503954372845714,-0.04267160828625391,-0.18054216461902337,-0.49300129339676974,-0.517575908855962,-0.648468304861957,-0.6171263091811495,-0.6348535021595578,-0.5529580686103557,-0.7276103467234188,-0.39783619927239916,0.06649232395255655,train,2.2796833773087073,1
9,-0.3984096666414057,-0.0878195749296643,-0.6880861196002934,-0.7744416343139583,-0.3190335774176353,-0.5254217290165728,-0.5463421223125683,-0.3960734254618613,-0.5462035662882052,-0.9423930804110374,-0.847565653289547,-0.7918812578998378,-0.7644170318205726,-0.21440349854196283,-0.19921902971878847,-0.5279447054582285,-0.4534737303355692,-0.44814700690058873,-0.5551746171100091,-0.19148128868464698,-0.8971996988947024,-0.7720790224282512,0.07452203781349587,-0.47620021884800795,0.02983167390201555,-0.2811441798580009,0.042003303025780175,-0.0700174027272314,-0.19604716727885002,-0.4980393897949154,-0.5303473646557622,-0.6551429791513564,-0.6162821571629575,-0.6324972918700673,-0.5621202636942737,-0.7392881654229274,-0.41664384271449467,0.05328500221057997,train,2.5646437994722957,1
