,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAR,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,BAGL,BAGR,IL2DL,OLQDL,RIBL,RID,RIML,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,RMGL,RMGR,SIBDL,SIBDR,SIBVL,SMBVL,SMDDL,SMDDR,SMDVR,URXL,URYDL,URYDR,URYVL,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.17566920772138944,-0.22138651566003767,-0.28446494448073695,-0.3396743497768726,-0.2387286759750549,-0.2238552534314049,-0.3347104630566584,-0.36653114682550997,-0.2976611307752857,-0.35260162652900323,-0.1131034628868926,-0.2319034731712103,-0.13718807604748592,-0.32838866412765216,-0.42428191352961,-0.28079427285348013,-0.29521822467918335,-0.1843531900759104,-0.11020392534783444,-0.4264183042332921,-0.07955950568806514,-0.223944639661368,-0.21001354949628992,-0.15421993729130815,-0.2977661665251082,-0.3165667807048626,-0.1015905837101066,-0.0495569879508297,-0.11464713955941731,-0.3326581337483543,-0.1940118701386024,-0.1286092046129251,-0.11276994777668209,-0.3668177428378333,-0.32244358319838023,-0.3266048551125216,-0.3616822029685757,-0.27487787354159965,-0.198548346366859,-0.33146434813857595,-0.1961981562548717,-0.12182479594784146,train,0.0,1
1,-0.30222210493331114,-0.3327206974436113,-0.3261011835948866,-0.42792903787111103,-0.3173075712308547,-0.33159763903561335,-0.43814178994184594,-0.47153089935292697,-0.43538645011848465,-0.41281001771183423,-0.13360962022202993,-0.29903892468327514,-0.13885728548316767,-0.4017297532350011,-0.5476616472692151,-0.38148251437440933,-0.35368277248126884,-0.2454536182214534,-0.1016002644557987,-0.5725971821939401,-0.020280943969444465,-0.28114476622035756,-0.28511080573428066,-0.16002968359705771,-0.3305917320194295,-0.38767154184889613,-0.1494624592600125,-0.12073355077725977,-0.17433698104130357,-0.4121872658706475,-0.22958933517374908,-0.18170128950841913,-0.11226798025807573,-0.4627673716583993,-0.4164984414675816,-0.4337505689497341,-0.4777852239011464,-0.38889030623723503,-0.2542696725358992,-0.4292637821761191,-0.27831923068113257,-0.13918166632926843,train,0.25634939473059576,1
2,-0.38619959029639556,-0.3894316937736727,-0.3437643239311544,-0.4876373544082143,-0.3693180924168966,-0.4025810391667457,-0.5016534054639973,-0.5211652057182469,-0.510330640579157,-0.45252136328498316,-0.17741161155578658,-0.33689158434238337,-0.15283604355312383,-0.4560804270395328,-0.6134133305213999,-0.46347790609817396,-0.3906736432144655,-0.31367169106267023,-0.11930727858375004,-0.6359017600567118,0.017816558989225018,-0.35237016130289944,-0.3444486713124637,-0.19237000180965752,-0.3583262264825404,-0.44259530747659287,-0.19967727868632607,-0.17923421984482704,-0.19842849733151802,-0.4636495785464788,-0.26122670165094813,-0.24960088523645158,-0.10520160316459268,-0.5252453118966385,-0.4820673654543878,-0.49001400970026515,-0.5686993873713804,-0.44805822357267067,-0.296197523700495,-0.4929729115579076,-0.3399006245400207,-0.16644702808934964,train,0.5126987894611915,1
3,-0.4335796722631141,-0.42838262433606067,-0.3506037676294341,-0.5197796519897819,-0.4028511193867772,-0.4445999498404778,-0.5454665919787979,-0.5488220460176076,-0.5597174777141583,-0.470115891405429,-0.21504607347512933,-0.3648897842454213,-0.16557824339065208,-0.49944693291366904,-0.6583478938570368,-0.5259857580070644,-0.41845063739258986,-0.34914748395271605,-0.12755276151060038,-0.6704238485695996,0.04123175830230888,-0.39508091994540806,-0.3784624795836518,-0.215222173523321,-0.37776407830369507,-0.4741574769000117,-0.22000081071015762,-0.21967260025150298,-0.22258955092487093,-0.497988591208951,-0.28638348694121646,-0.28220585428253037,-0.10814439808330424,-0.5622708804595076,-0.520081557643545,-0.5355642488572263,-0.6192110428725369,-0.48437177669424186,-0.31842532745583835,-0.5238727339888942,-0.3830687065927332,-0.1900522202269255,train,0.7690481841917873,1
4,-0.45839869205894324,-0.44753146404897387,-0.35950519518234136,-0.524796422492944,-0.4187282651161227,-0.4604039685049591,-0.561900258275005,-0.5581468850307796,-0.5870814878710237,-0.4821535713799955,-0.24723380871018463,-0.37452303908235485,-0.17134024215912375,-0.5220521613076644,-0.6808174929420239,-0.5627022885311979,-0.426681887340707,-0.37059220274536386,-0.14050765844906435,-0.6819519788669542,0.042100103463893396,-0.42075035938942923,-0.4011307362434738,-0.2372932594152846,-0.39493216877104387,-0.501647370418218,-0.23651036867650038,-0.23984410919563623,-0.24761393185551728,-0.5167457881058379,-0.3063617685135904,-0.30606070364943405,-0.11665484799689152,-0.5771077834578172,-0.5433920499187234,-0.5539356518961476,-0.6527587219711931,-0.501776511910303,-0.3403431818935772,-0.5436440281518498,-0.4154229155859107,-0.20015160691697226,train,1.025397578922383,1
5,-0.46647541073150584,-0.45056050107990064,-0.3605997694073575,-0.5343924752111322,-0.42515506339923115,-0.46490305602871723,-0.5680496750681863,-0.5611276689526798,-0.5951071054225634,-0.48711395691004145,-0.26657559932164704,-0.37712164570931567,-0.17415945297821217,-0.5348710270457817,-0.692869141118669,-0.5917945299227767,-0.4396013391532454,-0.3841908528721918,-0.14730951708927278,-0.6859135784248526,0.05065579092380848,-0.42386252422619813,-0.4130344391152889,-0.25172029945554975,-0.40515602122176064,-0.5120676753611701,-0.22630839714405404,-0.25738670953409565,-0.26258032150501975,-0.5270958623294795,-0.32020981594556275,-0.3191766626068117,-0.12390068873653597,-0.5826793330937481,-0.5596302564015313,-0.5591155315180218,-0.6690718769164627,-0.5133791793511872,-0.3500437848799307,-0.555707868417727,-0.4260109098808895,-0.21090333001522354,train,1.2817469736529787,1
6,-0.47955890307505944,-0.4688277961563443,-0.364718901239858,-0.5502899656322195,-0.4381489396138033,-0.48364411089133,-0.5892414818988772,-0.5753476667699214,-0.6142689238012127,-0.4946939915559392,-0.28708864240041704,-0.38787625854359675,-0.1789263154762112,-0.5590377603919452,-0.7121045261738232,-0.614331079026814,-0.4484471318436227,-0.40703390885181834,-0.15640299794808782,-0.6909458345319827,0.051898367557827174,-0.45479385744142353,-0.4250062120729121,-0.2594316098218649,-0.416354091745045,-0.5284551777470992,-0.2530320914537807,-0.2657632281589914,-0.2709883348412921,-0.5403566742151034,-0.3334982285944529,-0.33839429499974905,-0.12286039218243815,-0.594190777875898,-0.5819345902206355,-0.5759349100470086,-0.6925143470005274,-0.5204202335840198,-0.3653258411289037,-0.567189061531854,-0.44641215031695014,-0.2218129722129758,train,1.5380963683835747,1
7,-0.4954490666440656,-0.4762521827626731,-0.36698122533875255,-0.562315553200665,-0.4443004645491483,-0.4932806988204971,-0.5965221199790749,-0.5862800235280548,-0.6186048400458586,-0.4938543825108004,-0.30589007251257533,-0.39551447281946184,-0.18654095053507957,-0.5683456439197567,-0.7160893455392177,-0.6319100646886673,-0.4595495374677675,-0.43538055426429945,-0.17280933515004193,-0.6859092993007503,0.056518049319812996,-0.4943287780659914,-0.42999541121561896,-0.274970492736599,-0.4237396381085098,-0.5401241694687535,-0.2791012643311366,-0.27193641059795604,-0.2653116838044605,-0.5457239101675403,-0.33947390113753634,-0.366395590173092,-0.11205209039145307,-0.5998342784170205,-0.5978134442775807,-0.5788979255902864,-0.7231776248309254,-0.5236239068915816,-0.3782699535055,-0.586400878519129,-0.4604704324401454,-0.2316619375295375,train,1.7944457631141704,1
8,-0.5041359457291489,-0.48682868198411483,-0.3706589148285897,-0.563110285863964,-0.4486191299197678,-0.5092967565661923,-0.5965244051358403,-0.5962137243452397,-0.6298857456568024,-0.49487773351357855,-0.3324709408341398,-0.41710908506109307,-0.19144635153416062,-0.5870992605859211,-0.7206402876498349,-0.6445549497894631,-0.4734730617502385,-0.4530010533686102,-0.19578420115610087,-0.6873611722427826,0.041387786471373506,-0.5163983948038342,-0.43966675165584623,-0.2803022208205838,-0.43496032680452174,-0.5530255496652964,-0.29557337172710596,-0.2820114289111611,-0.266295823347013,-0.5391535521631712,-0.35425433539707185,-0.37763108069782486,-0.11641478260256857,-0.5983462145983334,-0.6153510624736537,-0.5868783137588042,-0.7238891046063849,-0.5234888192728095,-0.3964111303142754,-0.5951882416368581,-0.4791437442452132,-0.23484414785526825,train,2.050795157844766,1
9,-0.5140469964175994,-0.4976024672350653,-0.3768320949590229,-0.5703543916749723,-0.4611984636113797,-0.5157356885002334,-0.5975467058053875,-0.6081325081117066,-0.6347368737648275,-0.4965761138977639,-0.35714604831803254,-0.43189220780661686,-0.19902017658651638,-0.5927811217186667,-0.7247856351020032,-0.6553431198312147,-0.4787693020426902,-0.4636725916183932,-0.20865147915987592,-0.685584743006004,0.049576278682483405,-0.5260585136724067,-0.45104207510756905,-0.2816625134966781,-0.43956881307268947,-0.5574031802992188,-0.29516952841138216,-0.28499383536475587,-0.26545397513880525,-0.5366646475786114,-0.35538132934220534,-0.3844539429480889,-0.11685262307185906,-0.5981395203321495,-0.6271046168130618,-0.5996562237621312,-0.7308794505120011,-0.5249278908839182,-0.41960914666447896,-0.5998856501621949,-0.48840029397802964,-0.2415257985396993,train,2.307144552575362,1
