,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,BAGL,BAGR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.442686495378263,-0.5377794944984386,-0.11107442634793024,-0.22671956532110982,-0.2900535142505421,-0.4827944122664908,-0.5168127313676396,-0.5127004000724287,-0.4839829830610845,-0.2383528897393415,-0.21629889440214592,-0.24132215669420176,-0.4481164925291333,-0.5480735140167383,-0.26356646510048776,-0.05944293141747678,-0.12603433887418755,-0.05169129325585725,0.08633202450754984,-0.4116975083550819,-0.4124650837679369,-0.31510345119590555,-0.3273547347454585,-0.3426186310159367,-0.23185963437092988,-0.28656026067009094,-0.23904827541294132,-0.1300386380870683,train,0.0,1
1,-0.6800725052350449,-0.7293542478037325,-0.14896066007774023,-0.265514350841878,-0.3508902941750357,-0.6953805323854693,-0.7175045501532613,-0.695215805221671,-0.6587641653135241,-0.2900786718458697,-0.3019063002322976,-0.26399604643577984,-0.6411933104318517,-0.7135230236646624,-0.3414062146353441,0.014212344072641436,-0.09026837158011439,-0.04904884132537181,0.1776291744930021,-0.5101318051766289,-0.47168997580969957,-0.39993125733379253,-0.45630162051996703,-0.45994082149936166,-0.3281888965906592,-0.3812481511817293,-0.3505137667400929,-0.11426791519548996,train,0.6401551891367605,1
2,-0.8168391655940401,-0.8217967685395084,-0.15822773884445307,-0.28809262317462203,-0.38308067239711985,-0.806701752008846,-0.828535279306869,-0.7949493557973208,-0.7481778111453561,-0.32217659384040565,-0.34629720380467216,-0.2792777836211006,-0.7397375791250947,-0.811984957934338,-0.3925691366708428,0.0685934200658328,-0.04417948328643306,-0.025636184919191063,0.2415047893092321,-0.5545927909941679,-0.5008076915444258,-0.45322655895943287,-0.527407346602587,-0.523149113898098,-0.39162072036308204,-0.4427249069044337,-0.3967076744911511,-0.10013497904861268,train,1.280310378273521,1
3,-0.898519620025202,-0.8649595410559459,-0.17199467662885068,-0.2956520826707023,-0.4053099010539237,-0.8672387672348869,-0.887666345896899,-0.8498836298944901,-0.795159312051605,-0.34919609724965495,-0.383839457316158,-0.291720027394177,-0.7981440371375006,-0.8580517672471495,-0.4156442967519903,0.08639558896116195,-0.035094301845141396,-0.03152124126637155,0.26417389678019554,-0.5830654002286029,-0.5261521624520495,-0.4830092708251077,-0.5724141652217217,-0.5544679103079873,-0.4228783215389301,-0.47267921915356126,-0.42605081485513535,-0.10073543038948876,train,1.9204655674102813,1
4,-0.939081079261654,-0.8869452005336619,-0.1554863824518691,-0.2932868205910717,-0.41927878477721714,-0.8937254987448197,-0.9083813328641295,-0.8737880952165458,-0.8185318193939344,-0.35736786067691595,-0.3944077341719888,-0.28503158246100085,-0.8272621150238487,-0.8772179320741421,-0.4146204939426177,0.09325537287816765,-0.024415433530035474,-0.04061278531371888,0.27582610445722744,-0.5894446729544967,-0.5411093351808764,-0.4876664615960131,-0.5838165069471918,-0.5743068876587667,-0.4448991285548175,-0.4863173818608353,-0.4421832096113652,-0.09971953831494737,train,2.560620756547042,1
5,-0.9563120426097547,-0.8947555452724559,-0.16303091159184818,-0.28765524278900184,-0.43649920473179027,-0.9180325771976169,-0.9241257595054271,-0.888114791987944,-0.8343592963517339,-0.36456185555183795,-0.4092762816492247,-0.28036196473560404,-0.8504384400712602,-0.8823872105118559,-0.41417485744194915,0.08836684820032326,-0.02722212766189422,-0.05602038691557663,0.27503476230249246,-0.6055655916767746,-0.547333588365054,-0.4930645392348961,-0.5962130817281909,-0.5887158375855954,-0.45185184398297795,-0.4989958467221812,-0.46040955276415846,-0.09402053246987847,train,3.2007759456838025,1
6,-0.9652394895403484,-0.8926382081409634,-0.15270457960713352,-0.2811900749966129,-0.4403812898047913,-0.9249208024743546,-0.9325465997328919,-0.8958167211431336,-0.8391688566357056,-0.3715551489354658,-0.4156357172375267,-0.27544443789901496,-0.8579490237314708,-0.887269622901835,-0.41166014137915385,0.08329453942078124,-0.035681659052348685,-0.07005072351939748,0.27415373202064763,-0.6128872969492262,-0.5593759203007805,-0.4959928100312131,-0.6014086345566478,-0.5929770121512333,-0.45407778220816,-0.5010921505651805,-0.4651856487357605,-0.0972878723092149,train,3.8409311348205626,1
7,-0.9751546332684387,-0.8888871470059274,-0.16238078068889636,-0.28411372015925185,-0.44024964348292395,-0.9275567365544692,-0.9374268819165541,-0.899337129845972,-0.8394758890470153,-0.38885827547936347,-0.426348807967899,-0.28743744860938353,-0.8602453127978134,-0.8931322024091572,-0.4154615804623989,0.07972268526705034,-0.048158363244180935,-0.08180403901450055,0.2671928765628968,-0.6234589519101044,-0.5686363702488042,-0.5014340803971931,-0.6126377063935929,-0.5909812209736076,-0.4492288061664109,-0.5012598260338759,-0.4594183517278589,-0.10638811447788202,train,4.4810863239573235,1
8,-0.984704814613758,-0.8898464153160347,-0.16206484897994336,-0.28187495133584833,-0.4451488368094686,-0.9291764602874455,-0.9388209429932668,-0.9013744235448884,-0.8410032283197482,-0.39596239325104554,-0.43018824434347713,-0.28382897552366093,-0.870256344051568,-0.8910994839498151,-0.4140028278656619,0.07559623381855157,-0.047582901559709845,-0.08991219337655058,0.26052943821647256,-0.6303717933782003,-0.5762515958058629,-0.5022399488655201,-0.6218693551966201,-0.5977255906325378,-0.4522354939989356,-0.5082620114228478,-0.46539856335170376,-0.11236985811783021,train,5.121241513094084,1
9,-0.9893619486721431,-0.8895636488258366,-0.16901322018908346,-0.2830514481366642,-0.4477368507460022,-0.9331435704373671,-0.9411424038521925,-0.9061131130714528,-0.8409398946093554,-0.40292344717606743,-0.4335786853605784,-0.28647535350421277,-0.8730366440362215,-0.8921418144112677,-0.4135805559738437,0.07143851016166569,-0.06288776910964897,-0.10620427729958534,0.25616870654510027,-0.6396073002396416,-0.5871936343321449,-0.4986856105234916,-0.6275647862932541,-0.5998023624933515,-0.4452143428667237,-0.5064934708010748,-0.4650477604787134,-0.11813958327860466,train,5.7613967022308445,1
