,epochs,base_train_losses,base_test_losses,train_losses,test_losses
0,5,2697.487329117957,2649.3617452750696,2649.4863816402,2626.8411133605464
1,10,2439.2845204145256,2366.6624208319813,2366.7870108838874,2407.46654947051
2,15,2271.1938164793723,2195.1903873232654,2195.31343255274,2240.7169387229196
3,20,2128.63732875806,2047.8378288555598,2047.9592337201236,2101.8206867635604
4,25,1995.1532513354473,1900.084559182481,1900.2044597133095,1968.1984201093662
5,30,1859.0476883949998,1754.4030835544554,1754.52203661531,1832.1307134668023
6,35,1727.9823800540669,1611.9193119356637,1612.0377833002522,1702.822000183221
7,40,1604.222583651221,1474.319086137728,1474.4371353905942,1580.1591269336498
8,45,1485.1551878074904,1341.8111627540852,1341.9293338716654,1462.7731088190112
9,50,1375.3002576908161,1213.963050643694,1214.0813033221189,1354.0462256485564
10,55,1276.770730470781,1223.9985217944218,1224.1220750004586,1247.736461446576
11,60,1198.7083269174138,1068.009657524087,1068.131338131742,1189.1360986708216
12,65,1057.128395487179,938.5765203933523,938.6990683830286,1026.8110847216315
13,70,937.8956678716028,810.3643171663516,810.4860637796493,922.6464662438161
14,75,858.5329906818677,697.259345534594,697.3792536911648,837.4924252490985
15,80,757.4198446534625,589.8106300584274,589.9301534491485,740.7319534382087
16,85,682.4660899943752,487.1219716407263,487.24114609479517,667.5295509047339
17,90,601.4364188071928,388.50117226313324,388.6199724390028,585.8733903626444
18,95,527.7929105475205,294.3908377728116,294.5092447318308,515.0095303980613
19,100,465.0311710166382,205.59674445587518,205.7147451364487,452.1293763975672
20,105,834.9403503481377,319.94710231809523,320.06636703760813,969.1006105252503
21,110,932.0899340546082,183.2120238061135,183.3308837386778,834.6410258063236
22,115,837.9679451169648,42.062297450146524,42.18070214113163,853.4141530768483
23,120,835.5662288633547,-58.92090967599115,-58.8029878919199,825.1817951130814
24,125,818.8747783465631,-143.04954043261927,-142.93213426093865,818.8583189493713
25,130,815.4157303002,-219.7349267087073,-219.6181619068834,822.9239418605702
26,135,837.1313563190384,-293.0546068557063,-292.9385364386483,838.1742675482413
27,140,863.5924429770724,-373.4441526323365,-373.32898468361975,859.7514466554086
28,145,887.0977268008676,-481.61388944166515,-481.49987004885605,924.6734827624041
29,150,986.8153905257848,-587.9842644354518,-587.8713070644031,997.8667318647205
30,155,144.17654450620876,-311.2796639476182,-311.16675243162683,262.1711583751833
31,160,-28.697729298702406,-564.9153346449322,-564.8017720086744,-72.8526072543776
32,165,-145.58658562267738,-746.4925764663915,-746.3778152974918,-161.1693390355898
33,170,-180.8035586508617,-853.065271437579,-852.9497958769954,-184.27952428595108
34,175,-247.52241081507347,-954.9636186392746,-954.8484692842404,-257.5025166691446
35,180,-270.8458545460743,-1054.743954733199,-1054.6291271343043,-285.10089724486824
36,185,-295.8454191882066,-1148.8831940464,-1148.768461039614,-291.62787248022096
37,190,-282.7432180648401,-1225.6462900726062,-1225.532021667777,-319.06628379163976
38,195,-319.8935342029697,-1306.7907936618813,-1306.6765916492218,-294.799011936267
39,200,-308.68961255338115,-1381.8563923745428,-1381.7426275903974,-255.4159734706636
40,205,1866.8471664930082,476.026039344574,476.1394800564532,1673.0130127913537
41,210,1011.2787958852679,-292.91139143362795,-292.7975716026822,923.1675274092827
42,215,925.1358276351917,-660.0690575804555,-659.9549789248143,943.5253562266056
43,220,866.7541502606343,-728.404384025573,-728.290384202294,814.8039254048557
44,225,763.9104691602122,-797.095653682005,-796.9818807438705,751.1122047358301
45,230,675.8520431346445,-837.0640385842352,-836.9504707040466,737.3918669003607
46,235,739.2652220364984,-884.961770340108,-884.848413406491,698.6640320712819
47,240,748.057670986371,-931.0524275113665,-930.9392414803141,737.8921771394615
48,245,738.0351624938143,-975.8519556032651,-975.739072122472,767.7113620352033
49,250,735.1426974705212,-1016.9541036958573,-1016.8414333741571,724.7592385389297
50,255,2161.405840382107,247.21284742425806,247.32318035678077,1605.5144205154688
51,260,782.4399595067289,-411.1856819662843,-411.07610038691035,785.9437931224592
52,265,947.9668419738517,-642.1956215594661,-642.0860826309671,814.8289978328797
53,270,539.5273828730121,-773.7701476295274,-773.6612668602261,530.2679084955242
54,275,638.9493603758301,-874.3745519272551,-874.2660720620647,619.3741598475127
55,280,487.439352104497,-949.8743084154137,-949.7663506741569,495.4552505098411
56,285,522.6697289452168,-1020.3669508919905,-1020.2595989837108,527.7049522663906
57,290,507.0227616064001,-1083.3303484336602,-1083.223518477223,523.4695344293688
58,295,560.7500808688869,-1139.9168872156329,-1139.8111063402087,560.3108633995284
59,300,559.0383214300958,-1197.6618232343617,-1197.557200329607,577.918076569035
