,AFDR,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVFL,AWCL,AWCR,BAGL,OLQVR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEV,SIBVL,SIBVR,SMBVL,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,VB3,train_test_label,time_in_seconds,tau
0,-0.23067566665953573,-0.39113941947399095,-0.4870808398854357,-0.30046179150623187,-0.4147902171822334,-0.25358746602395976,-0.4221441874078189,-0.5526677647973184,-0.4565887969901101,-0.348528184564335,-0.25228869726497166,-0.16544442280280244,-0.4028296322505547,-0.271191821664492,-0.37857827139886474,-0.2861936049288359,-0.18184565155803875,-0.5677953538033109,-0.4266172770142326,0.1605933668093758,-0.3369764296505974,-0.2737901065498843,-0.1723629106248974,-0.0865619998969096,-0.15987596150616956,-0.20543408872336122,-0.08200173548712236,-0.4450392934363675,-0.455280341115167,-0.4032494208614024,-0.3884173773411962,-0.4326696137940912,-0.4329709889504175,-0.37014852668513554,-0.2983168246726118,-0.21562029337269667,-0.2756076946962729,train,0.0,1
1,-0.32870691680973113,-0.6102607955715803,-0.7030123257515575,-0.3588117776001043,-0.5342942547657561,-0.3879142786009454,-0.5534441278130975,-0.7527040516330685,-0.6702119235623125,-0.3981182511234119,-0.35277124363549717,-0.196333590938564,-0.5583142582878314,-0.4016014757244175,-0.46438196286882555,-0.3823117684099831,-0.17976162637603788,-0.7757779069899682,-0.6827310676996572,0.35404963006558166,-0.4448283537593782,-0.4005968380813438,-0.1722475599058882,-0.09120486949074728,-0.21919828190046614,-0.2840175726697418,-0.07532824758513708,-0.5536247096710891,-0.5993359255065096,-0.5942059926814068,-0.5382435114059322,-0.5901804246349585,-0.5546503631560984,-0.5438204636593589,-0.41651348212394984,-0.2619881115831987,-0.38478763086382856,train,0.21853500607041684,1
2,-0.3889530061761347,-0.7230804212550983,-0.8145601578273466,-0.3892601671307967,-0.5985052739936724,-0.478062881485508,-0.6232324081494529,-0.8473349706225388,-0.7686089757094265,-0.42340506120681065,-0.4269681423323302,-0.21611004379130438,-0.6402153777051018,-0.4778494332512942,-0.5153276800733739,-0.4400034278924754,-0.1895356066663799,-0.8768127831846075,-0.8138571464636004,0.4633289869459738,-0.4996827859865077,-0.4702380854880326,-0.19067226592966344,-0.08967280321454825,-0.26992931046711344,-0.3344530433476073,-0.08042293661888121,-0.6125173083919383,-0.6712327940033695,-0.6835210524422299,-0.6126663433525154,-0.6695781121355867,-0.6279869447100024,-0.6372953059570838,-0.47824756495294535,-0.27728080390551757,-0.449600038374913,train,0.4370700121408337,1
3,-0.4096032985169563,-0.7858891992841633,-0.8745196162246304,-0.3960044977631251,-0.6285301981646276,-0.5282528531068169,-0.6450580549589868,-0.9033699996062691,-0.812805727462098,-0.4209568955472487,-0.4673839367462291,-0.22580070798712498,-0.6828834813098793,-0.5065166660512922,-0.544533010914104,-0.4785662371256997,-0.19768960673201394,-0.9122172346745261,-0.8787980955929984,0.5289574627538663,-0.5330009158799298,-0.5026106998584812,-0.18047564328487145,-0.07109023063217514,-0.280228217875439,-0.34898804311629683,-0.08766262947617544,-0.6331494313474417,-0.6915412069814463,-0.719412063100294,-0.6548041899201732,-0.7195550420200398,-0.6668287197679961,-0.7042492893600737,-0.5088929215680347,-0.28104535912743656,-0.48813260629660493,train,0.6556050182112505,1
4,-0.43026994113433736,-0.8187051235904973,-0.906169773893973,-0.41720038070819276,-0.6390656950192299,-0.5674977069730631,-0.6738095689815634,-0.9278552202034456,-0.8355879660354337,-0.42001290538651037,-0.4827970493718191,-0.23423899117625147,-0.7117368366893467,-0.5170038268914956,-0.5610446989575417,-0.5042578280770591,-0.18592865402133105,-0.931281114110864,-0.9316996257468348,0.5762695599126462,-0.5615277391559668,-0.5323518980800475,-0.17811277438767278,-0.04938263099626633,-0.30206384227861355,-0.3697473551807198,-0.09554705330046682,-0.6445961723162918,-0.7127107049372546,-0.7280593454785178,-0.6594582011345093,-0.7225543255727501,-0.6790841276219335,-0.730369588870377,-0.5210514475135182,-0.2835325801493773,-0.5188451290757194,train,0.8741400242816674,1
5,-0.45578898738563856,-0.8370472425921527,-0.9373084491468685,-0.4216165923788622,-0.650034289319896,-0.593756110007363,-0.7125191752561522,-0.9421923249439149,-0.8676520574476901,-0.4274703984487126,-0.4955994709946252,-0.23552573137523286,-0.7321687332838518,-0.5424551586240742,-0.5818678845696388,-0.5243732698145047,-0.17167693961600003,-0.9644817422950535,-0.9751280689287994,0.6098663260314608,-0.5724217126420086,-0.543185392586114,-0.19306793051287977,-0.055645545158620274,-0.32600612242945065,-0.39126019682488583,-0.09904768139012016,-0.6705856144400659,-0.725363871459698,-0.7402673440942,-0.6643140368963969,-0.7312777149486772,-0.6838907440250195,-0.7403480494860933,-0.529032730942319,-0.2896877034413108,-0.5324390369252667,train,1.0926750303520842,1
6,-0.4458518252968599,-0.8524542586612741,-0.9474458355902466,-0.416515048731505,-0.658042366331349,-0.5937790239825714,-0.7068234988890505,-0.9610975804513423,-0.8754600376550576,-0.42868454319506544,-0.49993612443478175,-0.23419252858063294,-0.7326691759601841,-0.5449713804542978,-0.5846046033910064,-0.5289021124611724,-0.18039013828254363,-0.9653320292954346,-0.977168695673372,0.6121759170399029,-0.583834998783377,-0.5541253755790522,-0.17664470846264138,-0.040748794804006574,-0.3183641998320655,-0.39128799121388047,-0.10047333497611856,-0.6690721584657369,-0.7282584605211703,-0.7473514272226384,-0.6884380165675672,-0.7508903103819083,-0.7012059762989422,-0.7688722160275434,-0.5333343265195641,-0.2769710105943167,-0.5425119713645826,train,1.311210036422501,1
7,-0.45157408049543063,-0.8590527080272934,-0.9548741110007161,-0.4197456147683144,-0.6540531990121632,-0.6072532046602297,-0.7164736017388379,-0.9650551757879412,-0.8858951056408971,-0.41620407192994563,-0.4978877490357194,-0.2375720626460483,-0.7373809190781063,-0.5448887721837582,-0.585140732351774,-0.5360195309860949,-0.17464816135080416,-0.9756046876352047,-0.9872036290784897,0.628960982537926,-0.5896222870820783,-0.5537915507521043,-0.17583666143814214,-0.03239401728356838,-0.314531774192042,-0.3888795137052157,-0.09710616256371288,-0.6693851293853159,-0.7263136705639835,-0.7486556929966016,-0.6816873909943099,-0.7496787066846429,-0.6954982350233654,-0.7684579780604723,-0.5318143946808657,-0.27557243495542655,-0.5474672112163501,train,1.5297450424929178,1
8,-0.44536661678680123,-0.8569380811163794,-0.9586379392294374,-0.42247725725294316,-0.6449769719547631,-0.6052862249913372,-0.7188021799346443,-0.9629824584027574,-0.8849590194440426,-0.41231100398254505,-0.49250744907532723,-0.24033608728522882,-0.7324745699347718,-0.5388338033233994,-0.5909093874819357,-0.5398466582460512,-0.16493988672842666,-0.9673664062566634,-0.9935119674197334,0.6315447163637795,-0.5914599902745336,-0.5573513838608576,-0.1720571967350084,-0.02958496352605284,-0.3221192223673356,-0.39606520539066253,-0.10021968613274415,-0.6651891584632049,-0.7276227017305872,-0.7439152389113677,-0.6809709408744666,-0.745214831262106,-0.6923604565241974,-0.7690586457433578,-0.5259444774617222,-0.27110359136657736,-0.5474919073343685,train,1.7482800485633347,1
9,-0.4471386858887449,-0.858378459768983,-0.9656981795342551,-0.4208429416342327,-0.6485155790465831,-0.6021044059670646,-0.7152761991730695,-0.9690832510412981,-0.8843628346937453,-0.4207985801935896,-0.4971452311331361,-0.2372548591717782,-0.7396774369688761,-0.5386589985255017,-0.5920564393438055,-0.5372118053453343,-0.1664641831229531,-0.9690904372142896,-0.9997760825843905,0.63639740075988,-0.5909441677819515,-0.5584329268232789,-0.17425093004507225,-0.03517098850891135,-0.3248007965921652,-0.40142499882700194,-0.10334492891993571,-0.6631565883948511,-0.729411645659132,-0.7443091837592535,-0.6849099724807038,-0.7467115544907703,-0.6939945557059285,-0.7748475553420422,-0.5297616846761559,-0.2701600194382554,-0.552166291518667,train,1.9668150546337515,1
