,AFDR,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVFL,AWCL,AWCR,BAGL,OLQVR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEV,SIBVL,SIBVR,SMBVL,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,VB3,train_test_label,time_in_seconds,tau
0,-0.4586444278340248,-0.8089113174727107,-0.8790237391227526,-0.06944276117793169,-0.8890341137639955,-0.6357741313848466,-0.8382331981402289,-0.8481281880663383,-0.8347095210522577,-0.39499134210414744,-0.7285302874575228,-0.3115645149077808,-0.6094448353334756,-0.5985316376032208,-0.7960043340031892,-0.5829660546760675,-0.02125699034339934,-0.7103860178602689,-0.8661812917557429,0.9077572117989973,-0.6344161880534854,-0.6992092446853517,0.3804192847113421,0.22389004398143053,-0.3100900793850285,-0.46833099199617323,0.7011631460065544,-0.6587588020912482,-0.8963970346495023,-0.8170546651992509,-0.6918324514751415,-0.8259193395547753,-0.7931975125098336,-0.8164275421669809,-0.6456369023270998,-0.4037810720911028,-0.5991159664388814,train,0.0,1
1,-0.4630393681631987,-0.8115810219261813,-0.8484106282102956,-0.1611453529424367,-0.8833191103956395,-0.611252637495667,-0.8458326273806203,-0.9196853188777621,-0.8658402659064723,-0.8148032750264361,-0.765964109457091,-0.2968814281213209,-0.5843704210604872,-0.42162382116832486,-0.8116583383437959,-0.5794342529657244,-0.09281211968171887,-0.7333416185438508,-0.8429137769375322,0.9230846681469914,-0.5641426301665986,-0.6083401061760074,0.2478030109998537,0.2756249011243922,-0.23758754068275445,-0.5030406880760923,0.948013865378756,-0.6438154632043497,-0.8746809257131597,-0.8043185870543288,-0.7767359323624682,-0.7927975756268638,-0.794469098413804,-0.7800725387312156,-0.667087704899266,-0.394209396539115,-0.6021439724398345,train,0.21853500607041684,1
2,-0.4452826289797902,-0.7922138140007658,-0.8771385425763806,-0.15766013280969082,-0.8996326361547491,-0.6774230331244343,-0.8147166944881468,-0.8681779744136575,-0.8551273290774518,-0.7485631272071922,-0.693168219503258,-0.3419692818254866,-0.6288114499325596,-0.4227288331575215,-0.7652556866627561,-0.7384429228740421,-0.26775992539597837,-0.7763961204756981,-0.8442988696692681,0.9368504237550338,-0.5685106804087597,-0.614077289645669,0.5437310592712665,0.344447856865996,-0.32132881955128956,-0.23726979706306783,0.6787374051327271,-0.7226154336517997,-0.8905904448591946,-0.8313593619351953,-0.6879941543027064,-0.8599192439626488,-0.7735445606482683,-0.8387496681917416,-0.645464539376683,-0.40541455105380264,-0.6108174955043403,train,0.4370700121408337,1
3,-0.2701118436416141,-0.8161329613128033,-0.8713863101831597,-0.22499166477658905,-0.9064892066047453,-0.5993980031271837,-0.8601510435322623,-0.7822256535956791,-0.8489461911296929,-0.6156502771174681,-0.6844416561798309,-0.3618822702752251,-0.7306281768980082,-0.48698168269303177,-0.8445586188317762,-0.6386989899722274,0.2480858512091888,-0.5831819628511992,-0.8478329636980274,0.9354790268755905,-0.5794878049461445,-0.7294862100368109,0.4338843199228004,0.2681316928488361,-0.27839343280441864,-0.40207333602404083,0.8342596644505742,-0.6872397113461541,-0.8641294861454168,-0.8354244625647091,-0.7052337091854136,-0.8670282353618842,-0.8231828845420859,-0.8063855906316344,-0.6947546690640378,-0.47120912652484215,-0.5568936012887385,train,0.6556050182112505,1
4,-0.627347160179625,-0.8658522020215162,-0.86950383511439,-0.2555288755617915,-0.9404866817020843,-0.6371206262423037,-0.8619212631294655,-0.8579452482726304,-0.8808435505578986,-0.6125246173695079,-0.8106776845071009,-0.36200147470484156,-0.6706850525112285,-0.5143775827908954,-0.9370348416661847,-0.6073008122906575,0.3835694866880228,-0.6946138054496804,-0.8758930519789343,0.934040639863828,-0.605555399227463,-0.5848053936044142,0.05296085266484929,0.27318198822968454,-0.24009143155010382,-0.39476509692292516,0.6258476904304153,-0.7421123305800887,-0.8914212464501494,-0.844474511309932,-0.731841263427535,-0.7596932923321682,-0.7402169029875397,-0.8313732245264192,-0.6742692381015598,-0.464360593427104,-0.577241082385321,train,0.8741400242816674,1
5,-0.4827174606526631,-0.8704288495084156,-0.8844070667435282,-0.38279305433201083,-0.9245250102441605,-0.6449965897986872,-0.9157360878272953,-0.8016003140014154,-0.8630346744591475,-0.7742227915890245,-0.7272755288522601,-0.11264437159233887,-0.7731927131009307,-0.47956802640687934,-0.7883543766432507,-0.5975497067713934,-0.18126623118725027,-0.7503838392614068,-0.8465105238724429,0.9218654486195698,-0.7877782599144751,-0.6517583540811701,0.3102891188732333,0.30508721613736556,-0.35372905054851134,-0.4541135597593605,0.6035488674445768,-0.6917666055644649,-0.8743945787096127,-0.837463331167339,-0.7213492756775522,-0.8172935807782442,-0.8469212676809021,-0.7702652769183909,-0.5799495299669954,-0.2583010267550496,-0.5635266145545926,train,1.0926750303520842,1
6,-0.5224400244517844,-0.8258467559173863,-0.8730349812378532,-0.2626250103527654,-0.8797522542635258,-0.7304914755954028,-0.8234888686804614,-0.884414664925603,-0.8745147573792668,-0.6622990674190801,-0.6971029782543408,-0.2879677999152912,-0.8004987485611746,-0.5259266061821979,-0.7943635301921127,-0.46554856753967644,0.19882118210367805,-0.6543555445015574,-0.8287593428967654,0.9213984871264308,-0.5955347751026264,-0.6643738344443614,0.34321820261632774,0.2772282463284411,-0.22234184899990228,-0.344575100957106,0.7988827069715836,-0.6963974037973568,-0.8807137417536431,-0.8312427606515389,-0.7286133595315551,-0.7702483303068279,-0.7917545575269765,-0.7908927121557987,-0.6525504658281145,-0.3907471069199874,-0.6587611646538998,train,1.311210036422501,1
7,-0.3616312738852241,-0.8158645564946905,-0.8926407099163108,-0.2815311548718128,-0.913517045754251,-0.6258502059517838,-0.8269900931319969,-0.8227736472015146,-0.8547328162734341,-0.6404654375511771,-0.7015187735437596,-0.24012163321067337,-0.6504723753031151,-0.5436308277011752,-0.7934945727558488,-0.49801680893260714,0.29602773229245805,-0.7317484831621296,-0.8644786594364872,0.9245527167410775,-0.5437134533143353,-0.7203978347662687,0.27084361124815004,0.30861092880195373,-0.27815798203479825,-0.4293264090727644,0.49118851929684215,-0.7469683034500649,-0.8862212832827813,-0.8616656005462994,-0.7770015675391697,-0.7771838995567821,-0.7892609720654703,-0.7938917553022076,-0.6957699646044677,-0.4646035615843789,-0.6291353209479857,train,1.5297450424929178,1
8,-0.33665244438473396,-0.8375986910014539,-0.8697560077077362,-0.22099526965161898,-0.916116663812891,-0.5801697275104463,-0.853190550527452,-0.8217523118976072,-0.8743862185644872,-0.7467493518428945,-0.6763337041552098,-0.21287480761170907,-0.7083626029710179,-0.46607221484245953,-0.7938633588510094,-0.6818720434077541,0.24698521250624506,-0.7593028213815088,-0.8519302358699888,0.9409893500592371,-0.615100324334621,-0.7097325694711721,0.10147080349349746,0.3230858630052854,-0.22509081300834088,-0.26225710020005677,0.6621180083205966,-0.5806139209627493,-0.8817941866507032,-0.8428907074383091,-0.7207031133823507,-0.8163897192424844,-0.822899723807247,-0.7657795527468261,-0.6867973155545237,-0.38078922484176614,-0.5770142866948295,train,1.7482800485633347,1
9,-0.48483659588428696,-0.8084906677764714,-0.860984126361087,-0.3479352342652787,-0.8962146696129886,-0.5903162681377796,-0.8655376687987554,-0.807068909056795,-0.8458722095615914,-0.7088447655551584,-0.7153635779120688,-0.10319111968098316,-0.6209529595974477,-0.6746961213586989,-0.8290609189850127,-0.6489826426024748,0.059937017184376606,-0.7869803639819674,-0.8342210732805387,0.951341678964159,-0.6840395857491431,-0.7235852367573181,0.12038035965021687,0.34639107184235185,-0.2731616026715046,-0.33962571936556174,0.5442873388936516,-0.6647035301947872,-0.8969035687490541,-0.8293255938492288,-0.7203107342300534,-0.7900262909551865,-0.7776963488400364,-0.805599290200073,-0.7017137863078928,-0.3409724934430163,-0.5890255054997531,train,1.9668150546337515,1
