,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBR,AVER,AVFL,AVFR,AWCR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMER,RMEV,SABVL,SABVR,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.37806812133346424,-0.4387160572681155,-0.2578425339542353,-0.42678066333101167,-0.22895627500073312,-0.45948872008731945,-0.5237350382571075,-0.4947551474904907,-0.29168437729352614,-0.43647203097926957,-0.20420567065810888,-0.12998239930024608,-0.27025350934748454,-0.5072392281834903,-0.17592730016557026,-0.5170057277498316,-0.40990820934515,0.07770029067297504,-0.3994325091480997,-0.24521189474256433,-0.2745335902135888,-0.32766533108458135,-0.14672993571102888,-0.23080912625594688,-0.1930327753197154,-0.4303889223049827,-0.3339657224941085,-0.2348939181885611,-0.2486064719812081,-0.4335679186049569,-0.43510670562532383,-0.4971503113167448,-0.4375686371000763,-0.4453880594088301,-0.39854343611695203,-0.45408768552534184,-0.41264486577026016,-0.2744675837171167,-0.3263454296466459,-0.22299665958119994,train,0.0,1
1,-0.5854774193936058,-0.6226528539993826,-0.30838425381217366,-0.5627406860668229,-0.3472601747706623,-0.6036816745285718,-0.6983063999180834,-0.7104954329747093,-0.42225113467973546,-0.6072800569478612,-0.26252887357228216,-0.1800250408709373,-0.408811582104826,-0.6589659901045525,-0.18367941490164166,-0.696927515472208,-0.6512436882029603,0.20882073425182884,-0.5438167607617641,-0.36773216867855,-0.3353127487406342,-0.41347749505364717,-0.20802589300400223,-0.2866950727238236,-0.2770739641031121,-0.5233195349210998,-0.4356453182085812,-0.3424469148297295,-0.36297977527884073,-0.5228591746371816,-0.5734580005664268,-0.6776093155333102,-0.5793308908575359,-0.6590106720203333,-0.5496731779998681,-0.6147984761655301,-0.5982684962450543,-0.3956588701586871,-0.46772953489654573,-0.26583454135496976,train,0.22674784799496117,1
2,-0.690925953048441,-0.7039764554852171,-0.3226666404710119,-0.6256270466298997,-0.42676721902944126,-0.6795209090440026,-0.7818466844966382,-0.8141008016422896,-0.5016826747659494,-0.6866707776496848,-0.2945803146887734,-0.22218920596348357,-0.4808514952837057,-0.7358473677951014,-0.19251279031540966,-0.7741729915414491,-0.7738164486846316,0.281646638787501,-0.6187287253193127,-0.42731834712515865,-0.36932049541548745,-0.46088255491417085,-0.2299257114403862,-0.3267019725802761,-0.3370068210663132,-0.5721936330574826,-0.4880598684990921,-0.3996677768808566,-0.42829706753170843,-0.5670182793663108,-0.6422488627454693,-0.7598646958265097,-0.661745178152383,-0.7556297710490449,-0.6333564843943345,-0.6926366964923099,-0.6927477164894051,-0.4639022238667289,-0.5363646998046757,-0.2837446056115529,train,0.45349569598992234,1
3,-0.7455441335928724,-0.7473499210637873,-0.34964024226282936,-0.6647396929449203,-0.47878085516866375,-0.7215397037398101,-0.8197897834011902,-0.8657745582519382,-0.5582225231916723,-0.7178800573526136,-0.3132245830247708,-0.2608434423935874,-0.5203633928492877,-0.7933581508306183,-0.1934981435707611,-0.8169716445580368,-0.8433515592645343,0.32742014847137874,-0.6720975985000711,-0.4653881129848666,-0.3922804675600417,-0.5047179306306017,-0.2399841337003556,-0.3621078140857005,-0.37247877808932706,-0.5920527917975391,-0.5303350900529411,-0.4469975064948978,-0.47642703580820395,-0.5961024743475678,-0.684017149875416,-0.8053091213801998,-0.7133874073491684,-0.8074962099288429,-0.667129715989644,-0.724019511807166,-0.7477406423220819,-0.5059165358785233,-0.5864742883115494,-0.2964146288853029,train,0.6802435439848835,1
4,-0.7581954889224874,-0.7609547336716894,-0.36937854607851345,-0.671541560495768,-0.4987209383939928,-0.726289187288365,-0.8330831786498627,-0.8783285793234109,-0.5798114340430671,-0.7208399002093485,-0.3200985816944395,-0.275698499091863,-0.5284495784628901,-0.8248189736348438,-0.1875333768787724,-0.826941695492074,-0.8735554960678086,0.3466213012006749,-0.7033488570267185,-0.4857068130188221,-0.401249524549907,-0.532566727455443,-0.23182673229488496,-0.37016418752174707,-0.38249874057787114,-0.5932644615290519,-0.5442063094939362,-0.4714086604255822,-0.5004478946365736,-0.6003893561700886,-0.6989043231682867,-0.8226764096420424,-0.7290699721121825,-0.8203394159775899,-0.673235675260954,-0.7334760836298765,-0.7761466883366973,-0.514507217971677,-0.6092889422082879,-0.3027609614551309,train,0.9069913919798447,1
5,-0.7636111874416088,-0.760095756493872,-0.3710091132268553,-0.6809505185998297,-0.5103432861554609,-0.725821988470817,-0.835114861376528,-0.8756296171483572,-0.5987018267076216,-0.7303076552657648,-0.33294534439696744,-0.2853690323049673,-0.5327600766367544,-0.8436521202290654,-0.19462938070323507,-0.8173144024180448,-0.8813062915033371,0.3406510523113979,-0.7254898261541267,-0.4961284241102004,-0.41138094665228,-0.550508711209423,-0.23638397823072987,-0.3852283818128128,-0.3877448568152716,-0.5868668521253773,-0.5528388349742256,-0.4864645321227945,-0.5043120852702482,-0.605339436581387,-0.7143295251797391,-0.837212144702495,-0.7363239198788383,-0.8368272975243288,-0.6831286984162763,-0.7423531917358174,-0.8033334522478328,-0.5236079669041696,-0.6306342578290778,-0.305029599785824,train,1.1337392399748059,1
6,-0.7751126051539804,-0.7672484073850907,-0.37309340613584996,-0.6949238891070655,-0.525581274822488,-0.7396817476784773,-0.835450193281287,-0.8694306661743848,-0.6154240354156435,-0.7391016211811573,-0.3407390436644155,-0.2897590531061008,-0.5451627005678124,-0.8553293933486841,-0.20890218380712802,-0.8198383795769515,-0.8893821860434209,0.33462189756596006,-0.7266828236030979,-0.49882412335468806,-0.42813831694409166,-0.5561062543723316,-0.2456981019653683,-0.3977246328022184,-0.39959082610644825,-0.5906926249333285,-0.5567720851336305,-0.496277784831599,-0.5158701829441175,-0.6111147098690061,-0.7327959039299646,-0.8515931689700497,-0.7465447657972399,-0.8464691362373026,-0.6980282935336471,-0.7514474697971929,-0.814517676644344,-0.539174110380329,-0.6413842794503175,-0.3024664490392696,train,1.360487087969767,1
7,-0.7732178612346317,-0.7613787769655721,-0.3828148568516798,-0.6927927018756279,-0.5355499411937853,-0.7411828955418764,-0.835908330841939,-0.8736615525113328,-0.6217432136231138,-0.737364406226378,-0.34221644753808855,-0.30175897209208796,-0.5449521046968936,-0.8603847637393459,-0.20510300748400742,-0.8218185109145251,-0.8962556035892085,0.33617133576724356,-0.7376931005778642,-0.5078295091668026,-0.42839404848359974,-0.565726142746897,-0.23794238837675166,-0.4010282868836468,-0.4075362646529306,-0.5897121017043867,-0.559212810313929,-0.5028628713999382,-0.5197107016795584,-0.6170073350843865,-0.730471998369873,-0.8484291107539678,-0.755991398249811,-0.842323425605371,-0.6984240416785572,-0.7383957288736632,-0.8171137697778554,-0.5465077842352637,-0.6452295577367345,-0.30648246717642824,train,1.5872349359647282,1
8,-0.7698510348591611,-0.7654806641127025,-0.38400545138240916,-0.691231062763952,-0.5236431669765771,-0.7333984239191326,-0.83527772859956,-0.8692768954122105,-0.6117377418067115,-0.7320302127304047,-0.33907943971830995,-0.2924934477216103,-0.5317256465896282,-0.8585841818725218,-0.20258635113870352,-0.8137079417061029,-0.89508248711175,0.33479825733933066,-0.7334921150897673,-0.5061954178378808,-0.419862941673506,-0.563392531525631,-0.22753692177986026,-0.3902676759193003,-0.40281783485049516,-0.5843104843780065,-0.5571099050028598,-0.49633302165515625,-0.5165825098647107,-0.6102981220491921,-0.7270821645118212,-0.8478732728554416,-0.7448890119319358,-0.8378575794753219,-0.6953236623503263,-0.7441357542362864,-0.8224254893886632,-0.5342635470441248,-0.6440377072924511,-0.2997519645790593,train,1.8139827839596894,1
9,-0.7611716180557906,-0.7590779306829746,-0.3929011131794925,-0.7015205786945675,-0.5336272094219442,-0.7439341036088412,-0.8313882089848528,-0.8683988655535687,-0.6270350757590587,-0.7315676818795314,-0.33995546220181366,-0.30676981183244906,-0.5436312924987298,-0.8614728232939778,-0.21369467390811073,-0.8232765170627908,-0.894293406004107,0.3271295282786045,-0.727409906490099,-0.5035061211022936,-0.4339650139954381,-0.5780901734991143,-0.24582123289987307,-0.4066201356985079,-0.4139530171552448,-0.5872174994199932,-0.5596379029204682,-0.5136466071874703,-0.5353640456942594,-0.6284398470751992,-0.7337525143286601,-0.8548738231521062,-0.7497391182805504,-0.8499275602889783,-0.7045340061318297,-0.7512167392293108,-0.8162667384395165,-0.5457486977647088,-0.6594520768015619,-0.3078281013003976,train,2.0407306319546508,1
