,AIBL,AIBR,ALA,ASJL,ASKL,ASKR,AVAL,AVAR,AVEL,AVFL,AVFR,AWBL,AWCL,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RID,RIML,RIMR,RMED,RMEL,RMER,RMEV,SABD,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.13024227765980123,-0.0415659616534253,-0.21754869038845115,-0.6097994014597311,-0.6903526372336317,-0.8317979393855987,-0.9129392969087241,-0.9995909263826173,-0.8448344388873086,-0.4347067543490859,0.38476961427885303,-0.5487111767066715,-0.7093676976754345,-0.9567624852635009,-0.9045337700417599,-0.9501985003828192,-0.8709776809026064,-0.6690294107458972,-0.8012656512892301,-0.6254970059106674,-0.8124366592755674,-0.8971653366766974,-0.45820688297279477,-0.8699991364869223,-0.7726457577810544,-0.5239169482152639,-0.7834552714172154,-0.9913191538585285,-0.9337983563494663,-0.880266148288489,-0.978819843092231,-0.9128158938052184,-0.8764341973194231,-0.7326788252769472,-0.9652730636147678,0.42466151578411115,0.6673126575860562,-0.9267175607565394,-0.6190272146953258,0.7997184769805284,train,0.0,1
1,-0.1718931060166905,-0.1257995575377555,-0.1323333370025055,-0.7872466399681656,-0.6147881418149865,-0.8716891219498581,-0.8978274657088894,-0.9562518741314824,-0.8133242645829291,-0.45339648730487214,0.3427616520940926,-0.5524915524138733,-0.57212465225183,-0.9027453783831236,-0.9555870422457267,-0.9462029293960028,-0.8576678270189049,-0.6894447372504496,-0.7952633401236641,-0.5562642165809522,-0.6516437388110841,-0.8866049770912992,-0.6510149047563265,-0.8415687094025002,-0.7417008727533576,-0.4679428520433855,-0.8343801002835557,-0.9090654589368883,-0.9491262516980917,-0.9632751527804606,-0.8010667814772293,-0.91245269384478,-0.9138228787068554,-0.887248910668474,-0.9345781981704462,0.41839217482674784,0.48317229983955534,-0.9794557892339214,-0.5982926219101483,0.7434649336023847,train,0.4158644589911436,1
2,-0.16403480492958944,-0.25742110485020964,-0.17960494668429927,-0.699880516809328,-0.6744374474120829,-0.9252934984029956,-0.9201116167773208,-0.9638255145921718,-0.8013255572046728,-0.43554837902776566,0.14736174756932274,-0.3986958566909624,-0.47147515918265964,-0.9716557553866605,-0.9005279385121054,-0.9351228985862988,-0.9104103053443893,-0.6846576382306678,-0.8485366779852468,-0.6507372685141612,-0.9699839241793343,-0.8678908259572461,-0.7206669370188153,-0.8068243051803698,-0.8641453791894153,-0.217397985555966,-0.808974366844665,-0.8736665988215894,-0.8796102682585725,-0.9258187676462972,-0.9203382127822428,-0.8775369130324806,-0.8971144183659132,-0.8956999151437375,-0.9276392447644055,0.6199260329996947,0.5253029841621875,-0.9375873359163301,-0.520353131675857,0.8036298844979982,train,0.8317289179822872,1
3,-0.20663424282338017,-0.15218785910219512,-0.27343539255453586,-0.6243504299476401,-0.6967748096972658,-0.9415660646402565,-0.9248800234378363,-0.9339883561292657,-0.8665550280623623,-0.16717721295039978,0.19693579895960367,-0.6100689184932009,-0.40418844894283046,-0.9143589936538989,-0.8904018655953951,-0.9320783825475544,-0.8582438364551161,-0.6882694464853204,-0.8159075040174865,-0.6039864960615466,-0.4862644624719473,-0.895282901271249,-0.6667541710646048,-0.8205047207122349,-0.8194715657753158,-0.8009770928749027,-0.7173547775455071,-0.8823858640861149,-0.8574839811857804,-0.7587157810811146,-0.9184247034060466,-0.9662989569671151,-0.9583331300089508,-0.8139333225166329,-0.907169099054107,0.5857182356366566,0.5935186013595626,-0.9158512089260812,-0.5977327709992272,0.8337456202983841,train,1.2475933769734309,1
4,-0.17894545886008717,-0.27845666940353586,-0.17050198051195564,-0.6987136981475539,-0.749826349868095,-0.8575281985760504,-0.9189761140953386,-0.8976227384750933,-0.8069960811560934,-0.45041739855399265,0.05335853186999673,-0.5749839247722492,-0.5290256630946073,-1.0,-0.9397185310794451,-0.9410826540401307,-0.874023988414479,-0.6587809699590441,-0.8310042316856271,-0.6603485504348965,-0.7293739589300267,-0.9111507462382145,-0.5808307400128838,-0.7521105188341688,-0.6961204319929861,-0.312873947568412,-0.7501573842986651,-0.9303392029943256,-0.9703073517373365,-0.8644353390349453,-0.9423674894756984,-0.8991213615760649,-0.9204916564033372,-0.8646386502876197,-0.9347461327989484,0.48829366614123404,0.4800055421922127,-0.9581062593691763,-0.6239977896286406,0.7264795204128184,train,1.6634578359645744,1
5,-0.2214193754460062,-0.2756141858166725,-0.27159526995497774,-0.6565348477354831,-0.7566020333673104,-0.8747690653556535,-0.9106220036707122,-0.9538974996695897,-0.784595531552763,0.061243144219290446,0.09741082346164509,-0.5739999913690053,-0.6050840422604303,-0.8980610530012291,-0.9554104956800096,-0.9237007352503057,-0.8844855038221104,-0.7003667793978938,-0.8643503052682324,-0.5920904317107141,-0.7059852725614011,-0.9090473547761644,-0.649322915551055,-0.7954629402572309,-0.7978519905949866,-0.526155498877372,-0.8172055524898553,-0.8357496660759991,-0.9064918560614076,-0.9292874080954123,-0.9153630884041332,-0.934468277057548,-0.8721341692305206,-0.8695416826124371,-0.8838941957182292,0.6326502313550044,0.6739558625619553,-0.9470389980479691,-0.6410157608522593,0.7491512804808179,train,2.079322294955718,1
6,-0.24513017536142867,-0.269281088652886,-0.24368537769388188,-0.8258894050992487,-0.710328549715731,-0.8529247175221237,-0.8744227151459643,-0.9543250371875676,-0.7983998855098882,-0.013864951466538988,0.4455498543312679,-0.7455927982979677,-0.6114073749369952,-0.8720495648029697,-0.928186028308278,-0.916942004975774,-0.8636116503905094,-0.6980870047119544,-0.8181954237131148,-0.6765601499928503,-0.724970997692278,-0.9094176733008389,-0.6416435798467717,-0.8084593343067876,-0.7372673654007093,-0.35923220093170793,-0.7072571712923577,-0.9375801838962576,-0.9535587072760974,-0.7486879579817771,-0.933613184079602,-0.8837717549614934,-0.9029356770260004,-0.7896265522364749,-0.9237366180486011,0.45909720269132004,0.5804548491229049,-0.9450653487481436,-0.5171819427967768,0.9041315988818438,train,2.4951867539468617,1
7,-0.2502387437120105,-0.3856762645970463,-0.13998287237847085,-0.6197708416029153,-0.6665761897407707,-0.9222966549141569,-0.8742335789158358,-0.8655989136612783,-0.7764413094547867,0.15080472731325378,0.7316701889813431,-0.7953763761042278,-0.7973818510900332,-0.7750771314621117,-0.9230385562830552,-0.9471843394035425,-0.8664370655537261,-0.649852810159945,-0.9075061472429534,-0.6481353793442444,-0.5895099114270255,-0.9231781129944846,-0.6549561015894452,-0.7948302383818324,-0.8234667038616346,-0.6444264198644536,-0.7670258874827214,-0.904712041882535,-0.8219253578135756,-0.779971478240857,-0.8504712016838882,-0.9107964785115785,-0.9115893793119487,-0.8598615363424231,-0.9450963709040751,0.4083189290267306,0.5410665882813428,-0.8786269924200567,-0.5759098829772198,0.9857324368459307,train,2.9110512129380055,1
8,-0.2594670697523045,-0.4265712932639313,-0.21815813089234593,-0.8296959012703219,-0.7749435672938955,-0.8918030536562503,-0.8313908855806511,-0.8687294881036797,-0.7790801336687613,0.06974345593552922,0.2440285759185512,-0.8629484341217746,-0.6771229893621776,-0.7061103168033712,-0.8630658178979825,-0.8936191354469109,-0.8921027591926287,-0.7033071288443916,-0.8891662131810484,-0.6908382028791547,-0.6051677571744136,-0.9143401155278922,-0.6220827544399119,-0.805164533680214,-0.6909695931136173,-0.39959914733538815,-0.7253907167854747,-0.8811478414602992,-0.8811719560672304,-0.7163358991957194,-0.8370048794489094,-0.9320013472337617,-0.9879631775256368,-0.967836850119732,-0.9250251944380584,0.20456909566643877,0.4428975103901731,-0.9625187678261167,-0.5806243571604855,0.7734548864889829,train,3.326915671929149,1
9,-0.31193557137806815,-0.3649788772404715,-0.10972839887374475,-0.8201909347781098,-0.5925334330290228,-0.7777872129345649,-0.8543822626949692,-0.9379615533138925,-0.7709839757466261,-0.14192215781309792,0.3162378599044624,-0.8251878320235797,-0.677599658417652,-0.8620789123836756,-0.8837242108076004,-0.9183627672940288,-0.9594101913872348,-0.6989729053904896,-0.8347195498377853,-0.6446393292421543,-0.5954731638384942,-0.9251862229507558,-0.6784818238280164,-0.7179823874383604,-0.7255409875264017,-0.38446796834184904,-0.6277506501720962,-0.916777591525787,-0.8696854923472185,-0.8611968453454871,-0.840664466130884,-0.9424180495263663,-0.8412605478758817,-0.823202861562621,-0.8996400584490792,0.3895706176052445,0.32444374352567573,-0.8808076949205708,-0.5254125450906455,0.8758533965227856,train,3.7427801309202926,1
