,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,AWBR,AWCR,BAGL,BAGR,DB2,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.2221097798251616,-0.267758803674074,-0.13485268013058577,-0.06346292205160971,-0.25157333871518067,-0.18925753417070393,-0.33101948829547884,-0.3083781706002118,-0.26211096176691584,-0.37311750565373747,-0.29457347801343015,-0.12221143069053082,-0.09136177576175632,0.013369765450030616,-0.49528952574165125,-0.4888900224666213,-0.19243816343261244,-0.21865135152480034,-0.21135562977157538,-0.21876456117157334,-0.17927715284804016,-0.3236696012181861,-0.4080086473861622,-0.2684302075807138,-0.3762623386339058,-0.08286419714098149,-0.18014945791555098,-0.16501741592195562,-0.2289372708778538,-0.1876233948240449,-0.25847688090230453,-0.23196768091924505,-0.16957692011055825,-0.21724543438858906,-0.36089753845711886,-0.3082024049409201,-0.4186410790288141,-0.38916924375395306,-0.38592951587287394,-0.3640990744419218,-0.3114126072289298,-0.41072577859852644,-0.39225143274658275,-0.0600167432192164,-0.09711475234494861,-0.20221421498235592,-0.19129872656238597,-0.3283360626765694,train,0.0,1
1,-0.3179382788556128,-0.40108422516442116,-0.16891959984327376,-0.04671786434532862,-0.3461787608147562,-0.28872774128721723,-0.46015110307526796,-0.47280619195289775,-0.3149648924244943,-0.5167609842976811,-0.4342394851099321,-0.1537285231637794,-0.14622159027821593,-0.002048805213540346,-0.6198739036625718,-0.6121781354953137,-0.22929291217337433,-0.26629405194794376,-0.2550756696192991,-0.27493557833494037,-0.27954560559493496,-0.4870824825291412,-0.5468259657228812,-0.2844130413751068,-0.46846356716533233,-0.10441133731954022,-0.1659831213746319,-0.17740569020400912,-0.2706886207074966,-0.25413366257066633,-0.34026370546914253,-0.2922156812643679,-0.22363560900797977,-0.2386331933161881,-0.4783274385668072,-0.4432662849029001,-0.509965269333685,-0.512399518815107,-0.5310881335275863,-0.4969448553255186,-0.42920716656398195,-0.5020348295370778,-0.5006517077281527,-0.06630928170581542,-0.12887104317230336,-0.2977533755574795,-0.2411060878117318,-0.375810264591527,train,0.488909008601177,1
2,-0.3681200572650902,-0.47354697252446415,-0.19206348733325096,-0.04678439755163351,-0.37463812773233895,-0.3369681350132219,-0.5398661532319042,-0.5753256373053158,-0.3435567063147563,-0.5900295121151,-0.5364502550896204,-0.16192145686553178,-0.18813649940887497,-0.012303153303615387,-0.683383895879119,-0.6786989851375349,-0.2586543770275181,-0.28307370196536263,-0.273399166707594,-0.313118048526141,-0.3305233628114963,-0.5748081775070489,-0.6391649350807235,-0.3042516390078815,-0.5207851099584364,-0.123046517798689,-0.1599358217075161,-0.1726061101671257,-0.29594801725624326,-0.2844679192938131,-0.37737089479577124,-0.3298539163630312,-0.25463936452734653,-0.2639479373440185,-0.5340183049125735,-0.5227163647211421,-0.5659172309085699,-0.5888135281987885,-0.5982222983923782,-0.5612166784956361,-0.4972333115907009,-0.5545506979113992,-0.5497440438440538,-0.07285940046054223,-0.1539512791069198,-0.34773506380622043,-0.2479599337383226,-0.40131822684171,train,0.977818017202354,1
3,-0.40339483386189356,-0.5147275578060694,-0.2017732536202212,-0.03618679537906892,-0.387355319989546,-0.36481350957549036,-0.5726459825842231,-0.6316209378600263,-0.3580797099273692,-0.6291426782686079,-0.6012087391845933,-0.15666624037240867,-0.1990699755095742,-0.015673652133971823,-0.7091034743122633,-0.7137037660139776,-0.2755573447889112,-0.29476596114140885,-0.27945085185930935,-0.3311061717451801,-0.35505459354720936,-0.626129407671587,-0.6786502600250194,-0.3136078105647036,-0.5434624162235911,-0.12955108859867415,-0.16416375003868666,-0.16152409337589346,-0.30263298925389664,-0.3056700363838785,-0.4029705821845229,-0.3471141909985421,-0.2669212228101013,-0.2647390314928145,-0.5718373796785117,-0.5794609224815215,-0.6064730655350726,-0.6360027661395354,-0.6385467547369648,-0.6020241108218796,-0.543701349360453,-0.5845390927076057,-0.5816146803302544,-0.07468421188894932,-0.16453176137712508,-0.37740373093309415,-0.2535725067159512,-0.42916085275364935,train,1.466727025803531,1
4,-0.4271768258010441,-0.5506916454295495,-0.20209767962048375,-0.03204921727785391,-0.3939211256923997,-0.3895213940326196,-0.5932639345930468,-0.6780924098121431,-0.36851230376575866,-0.6632135186172902,-0.6405981514115118,-0.1460709532059074,-0.20627919214253737,-0.024776404609255745,-0.7298770340552452,-0.7297398424354078,-0.2841591373371384,-0.3026652180215903,-0.2799443685621589,-0.34033966700234963,-0.37342760742739917,-0.666888344488781,-0.7187209456617092,-0.3151602400716833,-0.5544909786342186,-0.12811701664502861,-0.15478860792560228,-0.15232319316173393,-0.3036015848122048,-0.3213975956958089,-0.42306539342476324,-0.35900198080234214,-0.27453173541266296,-0.26357226972918685,-0.5917703210128888,-0.6093034128882621,-0.6307154720326285,-0.6756637119725858,-0.6748679379054047,-0.6265137503356533,-0.5723722233347456,-0.6019095915059971,-0.5932345539847981,-0.06535572958305405,-0.17350212105625007,-0.41662023881801025,-0.24471254468738599,-0.4385079405600143,train,1.955636034404708,1
5,-0.43894618134222074,-0.5657517407657218,-0.20973857240455163,-0.02581855548953333,-0.40033560448018757,-0.4083597931628171,-0.6045481399970635,-0.6958416759117501,-0.3712235314084439,-0.6665986386815522,-0.6641033702889299,-0.1526079765352712,-0.21977610474453083,-0.02250045070828971,-0.7352081830691505,-0.7401652965434004,-0.28364219839902444,-0.307057372714283,-0.27912068922273003,-0.347088091354654,-0.38828590173111655,-0.682244347736791,-0.7329519172378925,-0.32224273470906234,-0.5570787642472373,-0.1282706845151896,-0.1584006950449795,-0.1522043964357942,-0.31123336360889087,-0.32162524395010833,-0.42766701963410225,-0.3603822154205938,-0.2724303291749206,-0.26694083901474885,-0.6066356561608478,-0.6309877098981735,-0.6532799137984611,-0.6927554483780838,-0.6764025177617322,-0.6432575730994028,-0.5885672066076114,-0.6100963747471697,-0.5977130702873357,-0.07152970525387228,-0.18195590454276225,-0.4225269485425395,-0.23908434912429496,-0.4502210082151161,train,2.444545043005885,1
6,-0.44232567247020077,-0.5750618249029706,-0.21759600233980778,-0.03189106437783415,-0.40357135758149554,-0.40876856443428927,-0.6176216840322144,-0.7135499426813954,-0.3810667641911485,-0.6784799564936007,-0.6809812585888109,-0.14191841056366622,-0.2230172736712658,-0.02461999165360991,-0.7425726258517868,-0.7495142955155376,-0.29521788747210553,-0.31967765079271854,-0.2793422961821408,-0.35646072198182677,-0.3899033735700567,-0.6943061568623847,-0.7448271907935967,-0.3199437753816235,-0.5659995082892182,-0.13641150031146232,-0.16487376402327655,-0.1513673137777583,-0.3036954381992918,-0.32935867156872195,-0.43100424248990904,-0.3683044523537494,-0.2789231967651651,-0.27104287577278624,-0.6206570145496173,-0.6548886185734661,-0.6663505537647343,-0.708541281737958,-0.6856484645364024,-0.6576129789105433,-0.6002455641530717,-0.6202633256881924,-0.6104280319093071,-0.07195340565248225,-0.18535751587185487,-0.4355631033060173,-0.2381545312359779,-0.45712670746589745,train,2.933454051607062,1
7,-0.4335351321210499,-0.5834757777393514,-0.22502313448248382,-0.031599372978939944,-0.3997126592026732,-0.4057408278474576,-0.6197719429004536,-0.733104346754165,-0.3842718931822172,-0.6764764073021604,-0.6955892909969958,-0.1378778646225619,-0.2297438619875288,-0.027238421180512645,-0.7506791033149521,-0.7585699031341047,-0.29885919813097706,-0.32070738661960885,-0.28109895298510446,-0.36601180106752385,-0.39714252338646877,-0.6883624663319682,-0.7492200915685341,-0.3298639260848997,-0.5769161111011605,-0.14840730398432708,-0.17278595989688567,-0.15137242926996441,-0.3069965088717548,-0.3285322644889404,-0.43561188638717674,-0.37683661142892244,-0.2898994741154003,-0.27386354845637007,-0.6256688685631703,-0.6610641320397673,-0.6801688356372566,-0.722241329248499,-0.693681405464008,-0.6683110545214996,-0.6027633046013967,-0.626765648772577,-0.6134968552951423,-0.07693444119595509,-0.1971348278776166,-0.43937240058428306,-0.2370572023373867,-0.46907564843647565,train,3.4223630602082387,1
8,-0.44212125803260643,-0.5893193077493616,-0.21839677643878383,-0.035372989278224395,-0.39372330546619094,-0.41126616524634024,-0.6196616846150129,-0.7499361210593346,-0.3780994065045841,-0.6889597288695068,-0.7143093065928248,-0.13022046311506374,-0.22170891208637733,-0.03088592629823117,-0.7478357445008101,-0.7605365443507783,-0.2934399337068748,-0.3166968775306527,-0.27173585094865416,-0.3725551930555532,-0.3977574913540565,-0.6945394700552865,-0.7519590781680854,-0.32814367193440064,-0.5738800752622804,-0.13672542868134743,-0.17391664977141058,-0.14137754552345203,-0.303034017694017,-0.3314383812618435,-0.442663636594174,-0.37196135586694157,-0.2819355087833921,-0.26591015273802904,-0.6251994479182659,-0.6579228950434434,-0.6785851294824885,-0.730002132878849,-0.6987208269575124,-0.6727752707834852,-0.6109055769386431,-0.6290965682560627,-0.6167960298558424,-0.07687705231316652,-0.19681554109908472,-0.4494189318486711,-0.23031664859158643,-0.47972589148834177,train,3.911272068809416,1
9,-0.4453352389696519,-0.5995174064304524,-0.21768820299333166,-0.03745301720178899,-0.39355635155360924,-0.41439877718529633,-0.6377153105442916,-0.7631068065886105,-0.37937848652254225,-0.7052611720828178,-0.7301838363375914,-0.13198721278754366,-0.22276551186854543,-0.026119825493445756,-0.7499389951344624,-0.7656978783040461,-0.29050168666483134,-0.3079362051151049,-0.2681378982879391,-0.3767955302669447,-0.39110950662428123,-0.7071399914717168,-0.7709272384767724,-0.32531969649496084,-0.5690367091082148,-0.1248249578505308,-0.15891537519418225,-0.1320766529580974,-0.2991265843854141,-0.3260736619941194,-0.44165329262365144,-0.3716456171845587,-0.28385827123723706,-0.27415395209175764,-0.6270968820965273,-0.6742323307349055,-0.6832839838723973,-0.7435176532883423,-0.7040341720497942,-0.6780930324504366,-0.625674488932402,-0.64371762775253,-0.6232812530359849,-0.07351594936136038,-0.1905974282999053,-0.4554521909088634,-0.2265189497088187,-0.4635818553853903,train,4.4001810774105925,1
