,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVEL,AVFL,AVFR,OLQDR,OLQVL,OLQVR,RID,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.22070641168608007,-0.25553123340958694,-0.2996731941749512,-0.9210213824500266,-0.8263882046792373,-0.7999447882063984,-0.7456306445648112,0.30359598516978603,-0.3783549562753249,-0.5588833994535801,-0.4464251894596435,-0.58928869024037,0.5404445897004602,-0.5790717184387759,-0.6359839582393739,-0.8760803047640779,-0.34406247123258893,-0.9253787914375559,-0.2776052233832099,-0.801514006685998,-0.3509049720496973,-0.9751280240128711,-0.781795953966193,-0.9695028098229047,-0.8285242358970425,0.2599225122105644,-0.2800027341583824,-0.2842058952410579,-0.7233737598627529,-0.7209982616934881,train,0.0,1
1,-0.2659873307214059,-0.23945644801332466,-0.4379006170401989,-0.9546547738301105,-0.8448974819484241,-0.8719092146607175,-0.7539517416452182,0.16832862575303875,-0.5933232915767422,-0.5989088394319175,-0.4847184495932423,-0.6571669345500561,0.24545420649006844,-0.6420846901468578,-0.6558493078191212,-0.8464895483117767,-0.32261013184874765,-0.8763881557749765,-0.25431815222153376,-0.8665458028528548,-0.36102464647335797,-0.936096286675033,-0.7559140790125267,-0.9701536994266375,-0.8769768893339116,0.21538485567542476,-0.28932976655809006,-0.3301337961575067,-0.688457135640254,-0.7380400006788919,train,0.3004172461752434,1
2,-0.29326341270383205,-0.3231569691558681,-0.24286084031515887,-0.9125162693704421,-0.8581565279113658,-0.847363633753308,-0.7760109250035461,0.16078383080047987,-0.5577995035700569,-0.6228565529239193,-0.5326273226684558,-0.569631192842208,0.33730070522478073,-0.6479698850539259,-0.695810894050954,-0.8259790910998854,-0.43888650528537887,-0.8790968136964331,-0.32541920488809994,-0.8984320804886281,-0.30500755903887067,-0.9157869197430908,-0.7623378610276954,-0.9532902684470909,-0.8133193368727918,0.18184632447804394,-0.27441427587496015,-0.3183229079726222,-0.720630538009629,-0.6119418499852157,train,0.6008344923504868,1
3,-0.3454561277347462,-0.305737252549396,-0.4120551185568855,-0.9428174873215985,-0.9086688983804836,-0.8983319702544716,-0.8086507735472901,0.19260546122684485,-0.5049399441190757,-0.6270092882304178,-0.483439643057052,-0.5348413353191175,0.5281080284231936,-0.7148448615669759,-0.7532593957074768,-0.8582141713227798,-0.41219652275282215,-0.8848404326869547,-0.19456640908149925,-0.8363634890507592,-0.22107981157529333,-0.9576771782165749,-0.7668004264448504,-0.962719651253837,-0.8321452344849021,0.10700058878941587,-0.2918188472279134,-0.3515734699993719,-0.7144528397062317,-0.7601870815556057,train,0.9012517385257302,1
4,-0.4019531970107748,-0.35987963673383716,-0.2521075588989128,-0.9286264126186956,-0.8790765355844197,-0.8801019928746219,-0.7761288217246393,-0.043365392699154404,-0.5443661641395527,-0.6761605127707147,-0.5549443010839791,-0.4390460699835199,0.39061243402125756,-0.7501374334816671,-0.7732645012706691,-0.8323987902583666,-0.4704008773029491,-0.9059185317711225,-0.2411635761924874,-0.8515412055754193,-0.28575455145938744,-0.9615651684595812,-0.7178339471493325,-0.9965425093775867,-0.7912257092588867,0.03406143162739861,-0.33220783290517886,-0.3159871463942414,-0.7684378262571461,-0.679646685585002,train,1.2016689847009736,1
5,-0.40086863795726213,-0.37947161537069596,-0.27762533362858277,-0.9093641771083437,-0.9096680077951569,-0.8811976194359528,-0.8466579164117007,-0.21144509059710537,-0.6613723352852847,-0.6606204089040907,-0.5530819612489571,-0.6137798952856796,-0.03217021761969341,-0.7665618787865024,-0.8036048829652849,-0.8945758282548524,-0.4528603100770633,-0.9372378832361677,-0.2879207874509796,-0.8306535099482145,-0.40385320097651944,-0.9342525876179588,-0.7157408865086199,-0.9406826420768376,-0.929828963567917,0.0709930059271513,-0.3024626395321397,-0.2929985432814459,-0.7591738737077811,-0.7529144248562414,train,1.502086230876217,1
6,-0.46871029052851165,-0.4232315918368199,-0.3352528516288107,-0.9312996855080051,-0.8677702175179252,-0.8946853561287363,-0.8496767449472409,-0.08179466557189319,-0.7343791752356579,-0.6860331928630192,-0.5723010973467879,-0.7308313410579117,0.4704590680581582,-0.7737602087349722,-0.8465734044672991,-0.8260724766317807,-0.46526919892736285,-0.8990977431448279,-0.19629630149788446,-0.8152313575104383,-0.3792058230291475,-0.8953865490450239,-0.7697100908938501,-0.9554560116754832,-0.8497523440576769,-0.013291863398536163,-0.363772291585335,-0.437520074178794,-0.7445054214679984,-0.749809740920538,train,1.8025034770514603,1
7,-0.4653135666315633,-0.4224980006218956,-0.23440071673882035,-0.9313271562334158,-0.9211476076397317,-0.9184351641019209,-0.7720317624325015,-0.3105847930195682,-0.3858962534501176,-0.6754277907626727,-0.5452399612149336,-0.6043989470703266,0.4721945359307984,-0.7988851868079179,-0.8462595902349594,-0.835852431087792,-0.5043031286399813,-0.9179201561678967,-0.28213038572205196,-0.8442667015561738,-0.32268868417372254,-0.9321520742419763,-0.7084714951136273,-0.9294868031241934,-0.8167864005442944,0.053938871479287,-0.36917190792665033,-0.3300687146183833,-0.7703492119825064,-0.6486232861161815,train,2.1029207232267035,1
8,-0.5183416371403157,-0.4847115147261052,-0.5138005671045252,-0.9294958336997915,-0.9067840823111053,-0.9220520720617726,-0.8246073260723754,-0.1879163126504032,-0.3712354615013359,-0.6566900740928885,-0.575011672746417,-0.600399990002036,0.7025554917076673,-0.8559080335820259,-0.8740162924193193,-0.8500208398147959,-0.540768225099741,-0.888861394073369,-0.2865511107245804,-0.7630724496696127,-0.3776676819734647,-0.937584446117176,-0.7178693563109568,-0.9428842735764611,-0.8165314686606147,-0.024010021526294167,-0.3680770145189297,-0.36830641698279754,-0.70175905013302,-0.6060656155914155,train,2.403337969401947,1
9,-0.5226243881021273,-0.5084133791085399,-0.2948506707644766,-0.9314101665258315,-0.9499795035472663,-0.862944618037324,-0.8062693081819944,-0.3694595261867941,-0.03657157767395902,-0.7617927080845842,-0.6297034973977752,-0.6274223795765277,0.6798628269800282,-0.8322669703170046,-0.8915168353968859,-0.8537212077909019,-0.531771757228167,-0.9230473712817057,-0.21824121051662737,-0.8132174161836494,-0.32730436541265884,-0.9317955574050057,-0.7420150402958099,-0.9427798401742166,-0.8355744794881625,-0.09748174013753264,-0.43291983083404595,-0.5238240010561841,-0.7907329033023592,-0.590675858450999,train,2.7037552155771905,1
