,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVEL,AVFL,AVFR,OLQDR,OLQVL,OLQVR,RID,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.06328971879887775,-0.14780740876823967,-0.27416744418185357,-0.35710500759607866,-0.28112575240780713,-0.22253368456980452,-0.18072662214953103,-0.19030346761695932,-0.17615447213903213,-0.2863451641396543,-0.2643694574594704,-0.29075078424747486,-0.2769304732721199,-0.2954107398733511,-0.2381037301969841,-0.20181218897578537,-0.17932830768065233,-0.37292155231553226,-0.3601512664675333,-0.36199951621193893,-0.2711927920044118,-0.40183380964483684,-0.4295271684036982,-0.4673902846173952,-0.369986314699398,-0.26606603538110796,-0.23520437878212258,-0.2926559485015666,-0.3388045218180942,-0.27790335486344053,train,0.0,1
1,-0.11726009489360939,-0.2129445719753977,-0.3279910525994567,-0.44566496943650474,-0.3556600783141395,-0.33368927909893803,-0.27785472783446197,-0.21866896791584423,-0.22352870087960913,-0.34240309874139224,-0.3499288719724781,-0.38047204934535805,-0.31316400378454057,-0.396403485838825,-0.4011819030121233,-0.20865409108526708,-0.2518064499990725,-0.43499786996380796,-0.42102886915377913,-0.4544265396303539,-0.38692532850242534,-0.4830888859410968,-0.5692571896207649,-0.6059914211254585,-0.45902159011230537,-0.38180519203868823,-0.28512236601703933,-0.3780538597468557,-0.4111386751024639,-0.3313188219071782,train,0.3004172461752434,1
2,-0.1684289319819243,-0.2504860902772501,-0.3541354727333457,-0.5042179035267558,-0.40742758556710634,-0.4103823066014073,-0.338318144607955,-0.2383586725540014,-0.25546223792515177,-0.387243918217553,-0.40247693198348067,-0.4364734678544959,-0.33684458884239965,-0.4680499707804524,-0.49890093940611085,-0.2180625202323823,-0.3037954124702646,-0.46986753681605176,-0.46509872121798257,-0.5204748293264738,-0.4615789460733852,-0.5366703449121168,-0.6460523121222865,-0.6933894846550779,-0.5129706767658544,-0.4625308634632551,-0.33800310297030495,-0.44486469620837776,-0.4652166847043264,-0.36069633556137215,train,0.6008344923504868,1
3,-0.20726339296234686,-0.28448829300727746,-0.3565478898911969,-0.518745884413359,-0.448518068406962,-0.46796723298208265,-0.38170479013492054,-0.24831133502018307,-0.26445527900532,-0.4220689430588863,-0.4330366044790177,-0.47512005206461194,-0.3439637069852163,-0.5113827531650765,-0.5594806082409733,-0.21673109881974456,-0.33195556372488033,-0.47524810288673786,-0.4816554499617681,-0.5490561276223277,-0.4888443000551624,-0.5571330656530911,-0.6826982432809515,-0.7368410607637783,-0.5416288555780137,-0.5068203569096945,-0.36244529437482204,-0.4890763010061565,-0.4872525688042984,-0.36253864654800527,train,0.9012517385257302,1
4,-0.2519673538795507,-0.31505307057213383,-0.3698201894504687,-0.535602463586327,-0.4837472313392009,-0.5122357764883586,-0.41672380853106245,-0.2551503849107102,-0.26941360796692204,-0.45124486026944965,-0.45148191057500386,-0.5045852480043324,-0.3401490763152713,-0.556028320663195,-0.6092101105002578,-0.20931895718826193,-0.3569506056008093,-0.4764558760479012,-0.48935984747703853,-0.5703180761994118,-0.494747127583904,-0.5769130180248416,-0.7099541246187561,-0.7681959454681905,-0.5662263296606734,-0.5425733303981387,-0.3837672867802257,-0.517210177019158,-0.5055119019522498,-0.3552082969489063,train,1.2016689847009736,1
5,-0.288862800202567,-0.3440986116637391,-0.36525162854115895,-0.5501856737887708,-0.5147646113165337,-0.5522727974026824,-0.4476536305053503,-0.26032677269764043,-0.2752156623480618,-0.47665063386783985,-0.46387586204987985,-0.525338722486815,-0.3376311573245616,-0.5862756144414181,-0.6415188631915095,-0.20248148672344446,-0.36908126736435115,-0.4819199585863773,-0.4966180737860453,-0.5792556182243165,-0.5051339110378671,-0.5912213925806109,-0.7239555903053932,-0.7953120002528236,-0.5792695957254737,-0.5783053106040265,-0.4048089810662276,-0.5458595486928051,-0.5205378986389477,-0.35024296082446593,train,1.502086230876217,1
6,-0.31370191583072515,-0.3604625046143452,-0.36529864510833887,-0.5710867395897481,-0.5314143119514139,-0.569351727191857,-0.46608037644966693,-0.2734442503016504,-0.28778903314976306,-0.48904751697379867,-0.46988641757630034,-0.5392034136047714,-0.3483236532874831,-0.6026702053018018,-0.6607628429765483,-0.2039084302354034,-0.38072599974263643,-0.49833114910634063,-0.5085838767317,-0.5909143867987122,-0.5265733916543528,-0.6033811940372014,-0.7376652351621671,-0.8238762760570538,-0.5919139427779472,-0.6118474642311457,-0.4341530457092624,-0.5686494800637252,-0.5340949490384508,-0.35504472735268144,train,1.8025034770514603,1
7,-0.3390535820175154,-0.3837405476885632,-0.3879805239295885,-0.572667147463952,-0.5476224572450976,-0.5887424595192656,-0.4845409975204408,-0.2845707521276189,-0.29307754921907986,-0.501501528868958,-0.47555688777973937,-0.5545713873574805,-0.3416950121131788,-0.6274493586351748,-0.6903464185888303,-0.18504900719594083,-0.40140915418874706,-0.4925169991685344,-0.5045371867005556,-0.6032593586188534,-0.5121674864137934,-0.6087829855408926,-0.7484681616266046,-0.8299335917162618,-0.6018985278420645,-0.6271253943916011,-0.4481790182668718,-0.5726024346526972,-0.550996824455082,-0.34629500056473106,train,2.1029207232267035,1
8,-0.36075887389980277,-0.40421060853710333,-0.3796791068005415,-0.5714775560606336,-0.5661253261127392,-0.6055444139949349,-0.5047122671049288,-0.2815705457252454,-0.28485568767719455,-0.5100410836723839,-0.47847919919477533,-0.5590783480036154,-0.3345609364639927,-0.6422773822270632,-0.7014872686902875,-0.16699015168046188,-0.4030460217019345,-0.4858335101232429,-0.505605363017837,-0.5950441062844005,-0.4957028469696181,-0.6086247547020813,-0.7507426693766175,-0.8318970117019604,-0.6113996669003163,-0.6294126249997485,-0.4432089320396326,-0.5836950672827141,-0.5463276077699282,-0.33398771645096437,train,2.403337969401947,1
9,-0.3941980578385541,-0.4328693674422117,-0.3911677480599782,-0.5691931552787524,-0.5885933823709322,-0.6297374030946054,-0.5289597926241189,-0.2797636142001898,-0.2831539354944579,-0.5255312096728915,-0.48357537679709817,-0.5687638082011016,-0.3196235608229069,-0.6726828007800693,-0.7278856895106165,-0.14567750003637414,-0.41257161889147936,-0.4676846662698865,-0.4982361373235567,-0.5968276230122198,-0.47071270110764646,-0.6136508225817406,-0.7514708877199439,-0.8338104955297215,-0.6193894127013228,-0.6372450746170787,-0.4483043973059618,-0.586207846503713,-0.5525081878357074,-0.3132705643316254,train,2.7037552155771905,1
