,AIBL,AIBR,ALA,AQR,AUAL,AVAL,AVBL,AVEL,AVER,AVFL,AWCL,BAGL,IL2DL,RIBL,RID,RIML,RIMR,RIS,RMEV,SIBDL,SIBDR,SIBVL,SMDDR,URXR,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.9776283992368157,-0.9447060078365734,0.46624002312593915,-0.9092542032022095,-0.8380100969994956,-0.9159019110001242,-0.5198127653395254,-0.7526204734433636,-0.8887835915719255,-0.22085045729973152,-0.8303416656249497,-0.5223582285636211,-0.8432873357615136,-0.6401583179454722,-0.23526082984701313,-0.764503708988623,-0.552594197078371,0.4641078639520938,0.5042359782761828,-0.7300019950015003,-0.5289226403909275,-0.6061230159759303,-0.6397801972841497,-0.881121839288272,-0.8343491881871501,-0.8587890990755508,-0.9147206599104742,-0.7092357483410597,train,0.0,1
1,-0.9442498877801524,-0.9175961816063882,0.44320372882639525,-0.8922681141055497,-0.9312994986864683,-0.8781715464474159,-0.5197877335075111,-0.7779689028932613,-0.8449413649659954,-0.32252162187872957,-0.7311913022981296,-0.45007957347025285,-0.8962506397284349,-0.6596288095561214,-0.3559042648699402,-0.7867782869936577,-0.5872178221815219,0.4264074884538257,0.44987572038129986,-0.622225995724914,-0.6195555258097707,-0.501390423297793,-0.6346352245308606,-0.8922322627092789,-0.7799007475407219,-0.8662798755371344,-0.896270784516753,-0.6222675237338215,train,0.21849079506372648,1
2,-0.9655119427951608,-0.9048475108013749,0.7293209377425338,-0.8575279201697071,-0.8945652589947274,-0.925538320233909,-0.5919772601099309,-0.8189299315206335,-0.7701482610951309,-0.3892573385713388,-0.8671382888487713,-0.5087278485631865,-0.9702767399367782,-0.7225582644764199,-0.2820514880072358,-0.7341519223303437,-0.6052751220269809,0.4508710378129751,0.5475142743384515,-0.44939585089348366,-0.45147973838254396,-0.5957377335927927,-0.6221761279116202,-0.8857729595476014,-0.8364460016749886,-0.9133772807877499,-0.928641053041268,-0.5707792228548969,train,0.43698159012745297,1
3,-0.938370811939558,-0.9696012058926555,0.568451042422794,-0.8584140256061032,-0.875390559951958,-0.8964409029037717,-0.5267900878414014,-0.8095352185729481,-0.8746914398729893,-0.34943510299128533,-0.8105108906063094,-0.6980319289558605,-0.8872688347084084,-0.7257627937131101,-0.32968621510534446,-0.6988536411312798,-0.5699610458313678,0.47561338491806715,0.5194094532611259,-0.6398849123742192,-0.48643391733722596,-0.5439429609547813,-0.5270291267521494,-0.853763205399307,-0.8661031785564013,-0.8741507703379299,-0.8721238500432943,-0.5781986615674601,train,0.6554723851911795,1
4,-0.9542545872272268,-0.9541151752748405,0.6210718429457536,-0.8783309480612561,-0.8560573537399846,-0.863218496744896,-0.5394400877885106,-0.7688040156869405,-0.8376763207901825,-0.40539782451756157,-0.8167080055070643,-0.5903927649631269,-0.8356150966657246,-0.5652703071445145,-0.18945506761602693,-0.6904454613834748,-0.7220197857798889,0.5220236050724002,0.485579674583945,-0.6300071352364304,-0.35955744118879107,-0.625050362613521,-0.6569262586965869,-0.862675696189678,-0.8278959413451001,-0.8821577248502663,-0.8367656559941982,-0.6106696902701007,train,0.8739631802549059,1
5,-0.959300884776589,-0.9484966696784554,0.4362559864778517,-0.8857304483267652,-0.8831218713140048,-0.913781175692986,-0.4782867850568312,-0.7676447728749283,-0.9327776492869727,-0.4247493496858864,-0.8031918339114785,-0.5692934343976472,-0.8501496911152665,-0.6771087671897682,-0.4832150197172016,-0.7148820156158414,-0.7463120421342896,0.4181557268074557,0.4333358693049635,-0.7597980207169805,-0.36663701741862365,-0.5709726316259935,-0.6615777134988116,-0.8820836567700618,-0.8030306585611613,-0.9624814252131186,-0.8272669196216753,-0.6088191023808203,train,1.0924539753186324,1
6,-0.9585657613897185,-0.9013528945337818,0.6175991211615253,-0.8712722132569697,-0.8714748538167889,-0.9038887254781055,-0.4552234803708215,-0.8049505551799891,-0.8484116792934114,-0.5372167912910768,-0.8437313200774249,-0.6592599094637028,-0.803429709593542,-0.700211771266168,-0.1837647162223628,-0.6893914446947096,-0.6775044010927952,0.4833775516805171,0.5595879125070634,-0.4283073554467458,-0.4584876128920369,-0.6360358812095583,-0.7495805852905862,-0.86132315224142,-0.8341035126605707,-0.8930351472604275,-0.8254919859522742,-0.6684426845640264,train,1.310944770382359,1
7,-0.9532751830691529,-0.9072432370357616,0.5865556999923933,-0.89713799384776,-0.9035620071246866,-0.8548336771446369,-0.3865609015283422,-0.7204313824671917,-0.7618721714100338,-0.44356737727615336,-0.786738979633405,-0.5837666938730992,-0.7889062903722917,-0.4619238612126062,-0.23090383811866722,-0.6849391819089456,-0.8227236874973051,0.43039868572898754,0.6117546355097926,-0.7721904988608999,-0.5462850573475223,-0.6042034683244941,-0.7615539861472218,-0.8742167687604202,-0.8313735942086439,-0.8398778382135995,-0.7972251167676677,-0.5867570791810055,train,1.5294355654460854,1
8,-0.9530018794465938,-0.8526421316581282,0.6735094449333869,-0.9011587626198476,-0.8490155424655976,-0.9165099092323878,-0.4483118211726218,-0.7614879835649193,-0.853066385230959,-0.6516407444802688,-0.793582737210675,-0.7082897115790663,-0.7473281773060297,-0.29816140086218046,-0.2541005784228044,-0.7401691926690441,-0.4954957009226613,0.38300440633843247,0.5804918310487367,-0.7823149117221252,-0.37888191886259925,-0.6622158388039305,-1.0,-0.9374774907774674,-0.8370731579979788,-0.8906747615232138,-0.784227768723609,-0.6109685656462103,train,1.7479263605098119,1
9,-0.9636754492946932,-0.884248597249381,0.34922618029070485,-0.9109581893744452,-0.9053704525521843,-0.9485478899433263,-0.5364414045311157,-0.7079148233983891,-0.8690261751019234,-0.5844486974378017,-0.7412845986672262,-0.5804720070385068,-0.8742210616751597,-0.23085320475601945,-0.49756493324530227,-0.640837543555143,-0.7599005673121146,0.3570810599819533,0.4403320667971279,-0.6722974755425397,-0.5229081825691846,-0.5465946883792804,-0.8947834190372431,-0.9419076267149741,-0.881868555330376,-0.8784215361938306,-0.841880894939742,-0.5718462853243675,train,1.9664171555735384,1
