,AIBL,AIBR,AVAL,AVAR,AVBL,AVEL,AVER,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMEV,SMDDL,SMDDR,SMDVL,URYDL,URYDR,URYVL,URYVR,train_test_label,time_in_seconds,tau
0,-0.9729101221417757,-0.7323255131374904,-0.9011862624194459,-0.763478807267038,0.22164251966897197,-0.8712404691304231,-0.9399559340003976,-0.35872757411758294,0.16905916932901133,-0.29091861525234,-0.3144427455018419,-0.4274684649663696,-0.5601302402874491,0.9073409701857036,-0.8843357919668574,-0.16870499792124827,-0.77168116191685,-0.7114047539535271,0.9814369829874683,-0.27156092474929727,0.8665098033199852,-0.46258282516141036,-0.4464025459597427,-0.7682495133435168,-0.7636507538480846,-0.9211721130792025,-0.7672491366503937,-0.31355031640200026,train,0.0,1
1,-0.9759549273184489,-0.6982479054643969,-0.9082999285844298,-0.7764856945077323,0.29706201554093803,-0.837950453766129,-0.9265124908886092,-0.45798326767599695,0.22757243818277884,-0.2262747879214002,-0.20744965932500103,-0.515295418759519,-0.5713209288999049,0.7103512200285746,-0.840079557944796,-0.11904063985537228,-0.8645233806440422,-0.6924394132919471,0.9790489470806543,-0.10768607553477794,0.9104687302920587,-0.5352816852562912,-0.4531264639180189,-0.7695982218016635,-0.7173535762408694,-0.9116621799309437,-0.8155684204738767,-0.29487291927243875,train,0.5691290600747342,1
2,-0.9639038285957028,-0.7543431829858783,-0.9048747511853793,-0.7624521357588112,0.15774218654555905,-0.8649602379066859,-0.9175419123981182,-0.5780811675247207,-0.29394225291460374,-0.40867853844216007,-0.30191745381863055,-0.44968944532275645,-0.5894576872518131,0.7924984519178317,-0.8442418609966202,-0.2100048580016628,-0.7912052186989756,-0.7165286599635727,1.0000000000000004,-0.16658803569093505,0.8285739525982072,-0.5525122641658708,-0.5294994180391881,-0.7648355770278301,-0.718824606523309,-0.9129429351385409,-0.8563699658526045,-0.32509355003471907,train,1.1382581201494684,1
3,-0.9875618369386581,-0.7238751329036845,-0.913735246064765,-0.7592282409906204,0.34553173120838343,-0.8540559414399452,-0.8926512490888611,-0.24564045269540924,0.2711745559947796,-0.20621994437208635,-0.1936563045728651,-0.4806973907522054,-0.6002346567412244,0.7063099891127527,-0.8996987416557813,-0.10345723512089933,-0.838967177777843,-0.6814174060935455,0.9463598726892177,-0.12114641105753032,0.8671928852556237,-0.6458322914335182,-0.5698039443779019,-0.7941141321811744,-0.7203384555277873,-0.8800533960081727,-0.8009950489590997,-0.22289576072662376,train,1.7073871802242024,1
4,-0.9720367264320936,-0.7343025220002712,-0.9192032796499696,-0.7521235334184484,0.17801869035392892,-0.8421368951643364,-0.8947385859121332,-0.49622319298821604,0.09061502085052009,-0.11680966939605408,-0.2502209650735102,-0.40048534645730016,-0.5384474820636833,0.7647964998776213,-0.8700044555133901,-0.11132535312995773,-0.8103900065971301,-0.6849750976147927,0.8898414944640254,-0.23200522740848006,0.890847510844146,-0.6908548752379475,-0.6227107076335721,-0.787556124427188,-0.6842129052841703,-0.9414391063356148,-0.7720930352955895,-0.3715402404834639,train,2.2765162402989367,1
5,-0.9224504750560081,-0.7551692475345526,-0.9158773307686063,-0.7857161845442926,0.22942101470142573,-0.8403074611975405,-0.9008680670598371,-0.17766776855132682,0.13776137617924356,-0.3174050197624775,-0.29232113228990686,-0.39454260916841344,-0.5787794358440121,0.8110198324595486,-0.8303038706368439,-0.13652543282408047,-0.8524644850335454,-0.7369806645114174,0.7899389404186312,-0.20572494465233337,0.8449507828739977,-0.7801958575585821,-0.6806529403805732,-0.8090321111521686,-0.7156851561540847,-0.9229035709545803,-0.8286737897408827,-0.3264887028088046,train,2.8456453003736706,1
6,-0.9773665056875991,-0.746135916466048,-0.9173851034468483,-0.7727821403340274,0.17542786887501483,-0.8526598845413237,-0.9214266781525413,-0.5178957990577389,0.06289948348152241,-0.20633989017177878,-0.20863884764992735,-0.4334439368372234,-0.5256864516104969,0.7888048152579783,-0.8737647470226895,-0.1215293707214884,-0.8310301649033355,-0.6778876770706856,0.7797369351734729,-0.1588542185270766,0.9132498560029041,-0.8081844354374503,-0.772050834319039,-0.7792362514405615,-0.757106464045777,-0.9339246817132358,-0.8596308520621507,-0.28615940331078515,train,3.414774360448405,1
7,-0.9852243763080417,-0.7597419702837636,-0.9185524831617392,-0.7487767982493005,0.2476139163814186,-0.8507143519855094,-0.9376366708634285,-0.34505825079491026,0.2051958891901975,-0.3324945057881137,-0.2389556266740268,-0.4861196787561254,-0.6156061913446832,0.730567210314951,-0.8564742704561337,-0.16515328000204144,-0.8164351209585308,-0.6357606936916813,0.7756909960947682,-0.10888483317222286,0.8973903209946359,-0.8240996944789779,-0.7566014207862565,-0.7789192529463284,-0.6973301188210963,-0.856250852180454,-0.7911587132023745,-0.3349740749372452,train,3.983903420523139,1
8,-0.9678899222738244,-0.7464273184808348,-0.9096070569685629,-0.7476107995606766,0.2507982072716115,-0.8509891551875921,-0.9161089391027766,-0.4215776512504078,0.012430699083420649,-0.2245693827861026,-0.26948120539410614,-0.38462734581088887,-0.6383207336737766,0.7250498171080761,-0.8700403145410365,-0.1836648190610244,-0.8762908262362601,-0.6816255007688931,0.6762528072406888,-0.23967656161981854,0.871200129828346,-0.8539595864825784,-0.7883940687463711,-0.7607372389309539,-0.694560671963278,-0.9102077053470689,-0.7730272887598411,-0.16186930777403918,train,4.5530324805978735,1
9,-0.9762488813769937,-0.7273949317095062,-0.9128127224163891,-0.7872060700979239,0.18461192301293683,-0.8699113398015871,-0.9456712610164999,-0.3683806421550687,-0.06792737516054437,-0.27173542703173315,-0.22289985139846646,-0.30493801049224445,-0.5999710178127822,0.7011642392425848,-0.8570395614435243,-0.1367517593645543,-0.803428048791762,-0.6783611552777552,0.6833957859463482,-0.31371804128205094,0.9208713984336827,-0.8619442263519319,-0.8385414349899803,-0.8080631149808171,-0.7161011183036672,-0.8560061348588919,-0.8146493718120116,-0.27197753326716334,train,5.122161540672607,1
