,AIBL,AIBR,ALA,ALNL,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWCL,DA1,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAL,PHAR,RIBL,RIBR,RID,RIML,RIMR,RIS,RMED,RMEV,SABVL,SABVR,SIADL,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYVL,URYVR,VA1,VA12,VB1,VD13,train_test_label,time_in_seconds,tau
10,0.2438473,0.9755618,0.109131604,0.5029554,0.5962289,-0.2145106,0.8901822,0.89591914,-0.20891966,-0.019619169,1.0,1.0,-0.4573892,-0.39013115,0.16650175,0.42949972,0.99212766,0.4824771,-0.91291773,-0.61795586,-0.13752064,-0.28046626,-0.46637297,-0.52590394,0.095027395,-0.72035635,-0.8524391,-0.2558418,0.85382086,0.72518796,0.8467503,-0.70589954,-0.6264413,-0.27964067,-0.4325395,-0.215017,-0.50246185,-0.45984772,-0.8578649,-0.6061223,-0.68847066,-0.061705947,-0.15559308,-0.31520355,-0.31011572,-0.6589327,-0.73733974,0.98922867,train,2.6175473,1
11,0.15264533,0.862506,-0.1987447,0.39668113,0.49905255,-0.23469573,0.844589,0.854296,-0.26203603,-0.038740724,0.78939825,0.9070182,-0.65061194,-0.32712075,0.10035009,0.2724366,0.9465499,0.44607154,-0.92418754,-0.6927211,-0.10994361,-0.34144193,-0.48811942,-0.5837539,0.307874,-0.7398954,-0.88862324,-0.36306897,0.7557118,0.7096996,0.7876129,-0.71942794,-0.6237902,-0.39519486,-0.51136434,-0.34271076,-0.64273864,-0.57151353,-0.87479216,-0.72979605,-0.65864444,-0.044683713,-0.16897273,-0.46623713,-0.39999017,-0.61814624,-0.8190188,0.7941547,train,2.879302,1
12,0.18156467,0.8392047,-0.12057633,0.30933207,0.5296072,-0.26018298,0.8304224,0.8060236,-0.25646472,-0.056411136,0.710819,0.8874844,-0.6181117,-0.4106985,0.030266779,0.40988368,0.912533,0.38894856,-0.9336879,-0.61065453,-0.163338,-0.3153377,-0.51312125,-0.63370126,0.017902717,-0.7295572,-0.8913111,-0.30953985,0.7248864,0.5526872,0.6768395,-0.7737053,-0.66515076,-0.3137474,-0.52711916,-0.34472013,-0.6289039,-0.6096306,-0.90302855,-0.64339215,-0.591762,-0.061544582,-0.13174826,-0.43064034,-0.40363798,-0.6830265,-0.8355125,0.5836998,train,3.1410568,1
13,0.12321529,0.8731812,-0.16416752,0.19485682,0.29780304,-0.35499993,0.7606663,0.8093637,-0.30603066,-0.03303194,0.7035454,0.8630404,-0.60321915,-0.4596515,-0.040547602,0.4352312,0.7585019,0.123643845,-0.911157,-0.7013988,-0.16501188,-0.31505325,-0.5597658,-0.72407824,0.022531793,-0.7626042,-0.87915725,-0.39562616,0.66845965,0.5862972,0.6065027,-0.77203816,-0.6472504,-0.30074027,-0.53447324,-0.36239243,-0.7636404,-0.6125884,-0.90640295,-0.7645053,-0.586243,-0.0380028,-0.14320354,-0.42388472,-0.47091544,-0.6553652,-0.8424544,0.566327,train,3.4028115,1
14,0.168637,0.86505914,-0.14163569,0.22081059,0.27890512,-0.3670009,0.8109857,0.84015024,-0.21545988,-0.073010646,0.6837038,0.9365276,-0.63782114,-0.50565034,0.0015319932,0.47797498,0.9169466,0.28190336,-0.92585975,-0.7211592,-0.13985913,-0.3245695,-0.47001627,-0.6141869,0.053541586,-0.74820524,-0.8883577,-0.37487778,0.6972768,0.5872956,0.7010137,-0.71938473,-0.7004087,-0.2490761,-0.4747843,-0.20283988,-0.5909578,-0.5343502,-0.89419794,-0.75154144,-0.45845205,0.051832963,-0.14532587,-0.29473364,-0.43408167,-0.7108209,-0.8216115,0.6738926,train,3.6645663,1
15,0.23508519,0.8520291,-0.17602037,0.24176045,0.25343895,-0.24306694,0.80169463,0.7560171,-0.22484744,-0.0810945,0.74330556,0.88998747,-0.68632853,-0.51446503,0.0012373193,0.57010216,0.8150852,0.14717373,-0.93906164,-0.68720233,-0.13875268,-0.25818858,-0.5275378,-0.57441086,0.03657356,-0.7242871,-0.86976767,-0.41194376,0.64484274,0.62251955,0.695096,-0.7270904,-0.6582558,-0.08368978,-0.33720118,-0.1595351,-0.61552364,-0.4721755,-0.9044664,-0.7491239,-0.38318855,0.16229594,-0.10295881,-0.27618814,-0.40575916,-0.67525256,-0.8297636,0.8210301,train,3.9263208,1
16,0.16572143,0.8370274,-0.18983588,0.2136375,0.20383488,-0.15984249,0.74157697,0.74628615,-0.30527648,-0.031410817,0.6590117,0.9574123,-0.68307656,-0.4941069,0.021314006,0.6380519,0.9151222,0.15194885,-0.89406544,-0.66434085,-0.12325756,-0.27471542,-0.5834612,-0.6459322,0.0905636,-0.7868797,-0.8717656,-0.38884643,0.6006715,0.5652162,0.6575088,-0.7253063,-0.6772589,-0.06884594,-0.32506242,-0.23993437,-0.6658013,-0.48218724,-0.90253913,-0.759173,-0.35448125,0.23222718,-0.0681137,-0.34220502,-0.44608638,-0.7087976,-0.8095998,0.77243364,train,4.1880755,1
17,0.21946827,0.8311887,-0.18564042,0.27395952,0.27575007,-0.13387023,0.8030526,0.74551344,-0.19989976,-0.08854147,0.60414016,0.8224195,-0.68401825,-0.48098874,0.046873566,0.6931235,0.8531498,0.20605884,-0.9208196,-0.668102,-0.08725777,-0.17003755,-0.56011045,-0.6375679,0.14178279,-0.7436555,-0.86207485,-0.3330364,0.5471951,0.6058196,0.70783013,-0.762573,-0.6121894,-0.018883085,-0.2998796,-0.123566344,-0.5809687,-0.3338064,-0.866594,-0.7019115,-0.28513286,0.22508049,-0.008797307,-0.28252622,-0.40051517,-0.6836921,-0.8285158,0.567849,train,4.4498305,1
18,0.14500958,0.7430066,-0.37676573,0.20466982,0.1773305,-0.22963381,0.71349514,0.618454,-0.2830193,-0.1759634,0.5760704,0.85085505,-0.75889933,-0.5837563,0.026537323,0.6452143,0.64824265,0.00023565092,-0.9397089,-0.722155,-0.15741943,-0.2984603,-0.57799834,-0.65958816,0.07702482,-0.7766557,-0.96009254,-0.44980907,0.46309164,0.42672452,0.58266264,-0.77997804,-0.6811968,-0.06745099,-0.36871988,-0.14831811,-0.68054456,-0.4928276,-0.9439572,-0.7850166,-0.315965,0.19321388,-0.08407393,-0.28421262,-0.4722298,-0.7553612,-0.84813964,0.4117069,train,4.711585,1
19,0.25270736,0.82403564,-0.20954911,0.19222099,0.13534652,-0.08010598,0.71517247,0.7676845,-0.28637362,-0.13267261,0.61236286,0.86123854,-0.5575971,-0.4817749,0.025092512,0.7417115,0.7464791,0.23883474,-0.8938537,-0.6651608,-0.09737785,-0.1964944,-0.43899363,-0.6316803,0.023914382,-0.7282672,-0.8950579,-0.37316406,0.54182047,0.53154624,0.68206346,-0.7544418,-0.61451435,0.08960217,-0.23144108,-0.11557588,-0.7195585,-0.42999375,-0.93549776,-0.8029875,-0.2967107,0.24607418,-0.02912151,-0.22288376,-0.39814433,-0.7310544,-0.8033137,0.80797035,train,4.97334,1
20,0.23633051,0.8128882,-0.21507673,0.3085117,0.1646315,-0.080383256,0.78712237,0.72456276,-0.18370575,-0.06256727,0.6413016,0.9006488,-0.6219761,-0.5554437,0.08897874,0.80410016,0.59463894,0.18568711,-0.9112573,-0.5767348,-0.10094473,-0.1647826,-0.46763897,-0.48521155,0.19790865,-0.7118498,-0.9067372,-0.24737178,0.54076606,0.49869764,0.75020015,-0.7278575,-0.6627258,0.08806002,-0.11527442,-0.021857828,-0.5364161,-0.43675333,-0.8934729,-0.80125815,-0.26047507,0.41771436,0.027232263,-0.18776545,-0.44366437,-0.7105813,-0.7905852,0.7139791,train,5.2350945,1
21,0.18240356,0.7605322,-0.29372784,0.220246,0.11579933,-0.06491637,0.7250592,0.6839941,-0.1973397,-0.1473292,0.5797617,0.86466587,-0.6878683,-0.65886813,0.049519204,0.78804964,0.7381997,0.06499945,-0.92754525,-0.6186199,-0.14493345,-0.22420074,-0.56808317,-0.537575,0.025735395,-0.70041674,-0.9130412,-0.3941999,0.49158362,0.4119807,0.71133864,-0.76354086,-0.688344,0.030664539,-0.17454694,-0.08363212,-0.67947924,-0.39490527,-0.916299,-0.7648493,-0.2398168,0.26357067,0.040742315,-0.18457328,-0.48945868,-0.7221357,-0.7923309,0.5157266,train,5.496849,1
22,0.16398025,0.7787181,-0.28117535,0.21235418,0.13429347,-0.10108987,0.71107537,0.60726506,-0.26951504,-0.18146658,0.5519759,0.83250844,-0.6721559,-0.6531781,0.013964538,0.7553091,0.54177094,0.06207359,-0.9425871,-0.6592259,-0.18143107,-0.25278437,-0.6395339,-0.6022127,-0.083350085,-0.76081264,-0.9223771,-0.49474654,0.46268046,0.41055292,0.678993,-0.73344105,-0.7092575,0.069541626,-0.19229555,-0.13532934,-0.68783003,-0.591547,-0.8948839,-0.7898298,-0.31940562,0.24700202,-0.0010851776,-0.21909463,-0.4918246,-0.7616709,-0.8000726,0.41528186,train,5.758604,1
23,0.19368577,0.7530658,-0.3023398,0.18074766,0.10519045,-0.010323838,0.6808485,0.62769455,-0.28050756,-0.100501426,0.5722054,0.9224029,-0.73168683,-0.50824386,-0.00010435755,0.7593463,0.7630883,0.12229222,-0.93805677,-0.6220659,-0.13913332,-0.22644103,-0.5640597,-0.7163174,-0.011608184,-0.7681267,-0.89171237,-0.45372897,0.48694533,0.43430662,0.62695557,-0.76833665,-0.7186681,0.052015457,-0.14717002,-0.13059117,-0.68638974,-0.41070995,-0.9062199,-0.70955545,-0.3192458,0.369287,0.041736435,-0.19074425,-0.47384962,-0.66119564,-0.8503357,0.27768257,train,6.0203586,1
24,0.20514686,0.75140303,-0.32383597,0.23846081,0.05201658,0.010438545,0.7364037,0.60920507,-0.2009124,-0.14623897,0.50595844,0.87112707,-0.64824754,-0.5555806,0.107145645,0.7526517,0.4910487,0.13053475,-0.942096,-0.6133256,-0.19269478,-0.22554155,-0.5047239,-0.6309687,-0.023417827,-0.6672026,-0.91830605,-0.37280646,0.4567702,0.46934924,0.7641338,-0.7640328,-0.7150506,0.059943113,-0.16367073,-0.022519898,-0.57753307,-0.44441044,-0.8872657,-0.78813165,-0.26592353,0.2571643,0.023789883,-0.1781776,-0.4781063,-0.7438334,-0.84508264,0.36882117,train,6.2821136,1
25,0.11936928,0.71703374,-0.3858708,0.23456928,-0.02548279,-0.09491136,0.6276832,0.56987965,-0.26814646,-0.18200722,0.48820803,0.83277965,-0.7768711,-0.67417765,0.08882413,0.67870045,0.4275222,-0.045119934,-0.93511784,-0.6631795,-0.27236927,-0.3135104,-0.563912,-0.6800353,-9.497628e-05,-0.772949,-0.93015057,-0.60454065,0.48028916,0.37453705,0.6151006,-0.7918497,-0.7631211,0.022866542,-0.25790295,-0.1603235,-0.74790007,-0.5993006,-0.9206228,-0.7918276,-0.3467874,0.14768338,-0.026715418,-0.20750952,-0.5451256,-0.73054856,-0.821967,0.4306968,train,6.543868,1
26,0.1074868,0.74718386,-0.26393673,0.17910361,-0.019408608,0.09766333,0.6195478,0.5631014,-0.29210293,-0.16976114,0.53328675,0.87380964,-0.7262815,-0.63731575,0.059670556,0.66968,0.57563674,-0.00091262674,-0.96419656,-0.6754971,-0.27060503,-0.42016464,-0.5686664,-0.6885232,-0.15747458,-0.7776947,-0.90970474,-0.53194255,0.4743574,0.37692952,0.64081687,-0.7637529,-0.7761821,0.019379199,-0.21378121,-0.28972277,-0.7106066,-0.58415174,-0.90993774,-0.78420913,-0.37879077,0.16137215,-0.035254534,-0.23012143,-0.51222247,-0.68909657,-0.79791427,0.4296696,train,6.805623,1
