,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,DB1,DB2,OLQDL,OLQVL,OLQVR,RIBR,RICR,RIML,RIMR,RMEL,RMEV,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,0.008821834395477585,0.02820281536029568,0.03549917788601595,0.007562840051106272,-0.17298756037158936,-0.1764350205689123,-0.02964815300358454,-0.05221065086437715,-0.3716244229574496,-0.18025614735681442,0.014367911464169644,-0.037873266535908855,-0.048006682558117714,0.06243271941618557,-0.3252419687482424,-0.3502905872830166,-0.13575843619863567,-0.09848847019936466,-0.14318897124687005,-0.2209866668084558,-0.0815455818462322,-0.10327271071417504,-0.09270163152660021,-0.323671831413746,-0.3509515284480442,-0.042162112078212244,-0.09062154297820499,-0.17968507394018796,-0.09604452218246219,-0.2597940209153749,train,0.0,1
1,-0.011847409606334534,0.07591592300423369,0.11351133342172898,0.0037240553896368865,-0.14247461276670845,-0.21221646210506562,0.0033056802084224096,0.009322415447187232,-0.4281057737982169,-0.22536659467678555,0.06514134445863703,-0.03179577645476063,-0.05791794564990872,0.05900526385803073,-0.3705447998096193,-0.38859583147706633,-0.12596698938982873,-0.12189483170391419,-0.15154760831242536,-0.2547220982360674,-0.0891848642648421,-0.10136040096485001,-0.09019959508334183,-0.39076673379134014,-0.40980065277135114,-0.043924222912060856,-0.07274992506357433,-0.1869907421304319,-0.06349139641207892,-0.29537133070235694,train,0.473344489600765,1
2,-0.021923582519976746,0.1050389962799855,0.1539697017612515,0.006566248323281048,-0.12453858097708174,-0.22542968624219967,0.020009975625131515,0.03779677093688805,-0.4570471809198227,-0.24888433706237084,0.08923110926938435,-0.023557283633557646,-0.05680977869012057,0.05556380886007038,-0.38942464385646125,-0.4040945320360343,-0.1260502701742156,-0.1334422286468932,-0.15169441145100626,-0.26635473333393195,-0.0931633874540138,-0.10146270146490866,-0.09381621506673175,-0.41595335772888364,-0.44588831309003174,-0.05184626330380979,-0.07562541725006827,-0.18677402514833036,-0.045390667574419244,-0.30864217717847553,train,0.94668897920153,1
3,-0.020726726829020478,0.13277255052130288,0.18199783931547256,0.011436957455560452,-0.11237323236185896,-0.23474215077465518,0.0450277755259047,0.059181742363605044,-0.4731965631230093,-0.26166806589535907,0.1112240703344066,-0.00321682954107496,-0.05616286944493905,0.05008620683920455,-0.39402155453344245,-0.4078100221660719,-0.12892251271712268,-0.13845531936230926,-0.14759813272083475,-0.2708697250802551,-0.09384529789850957,-0.09225155840435253,-0.08856338098250051,-0.4288689062245933,-0.4758481124021601,-0.0465919842807363,-0.0726488082678671,-0.17301506529373054,-0.027324312880708385,-0.31437184637090543,train,1.420033468802295,1
4,-0.027766887511907985,0.14724615712844039,0.19575303423636545,0.008432654561892652,-0.10651472497921988,-0.23468287272974336,0.05147282069515835,0.07224381806608748,-0.48707199312490124,-0.26809887749435624,0.11633113728133279,-0.00011613993946981566,-0.05375440699503858,0.0468559114581439,-0.397405334738359,-0.40885775012860714,-0.12599265615026664,-0.14688117357230301,-0.1455523538409089,-0.272344088453635,-0.09511784198520026,-0.09275291413856274,-0.09011263501856054,-0.4364738527849753,-0.48900138785879355,-0.04962564434930182,-0.07304870421018217,-0.16946046136079085,-0.017319873160354243,-0.3166484996463112,train,1.89337795840306,1
5,-0.04047890183633628,0.15827105444858544,0.20753676825699305,0.005712723874293376,-0.10122058720228544,-0.23687843517870835,0.05499636735785163,0.08358390634473706,-0.4944471023530451,-0.2767336522627157,0.12063505603058428,0.0011485071977314076,-0.04648638749787849,0.05303557376946312,-0.40236833316437426,-0.4165450633406881,-0.12065220708232402,-0.14526125794193284,-0.1506461106401552,-0.27897538122269633,-0.09968570667672391,-0.09724063233988316,-0.08863803186603494,-0.44357796111970793,-0.49072611788648957,-0.05110780847824123,-0.07743263538142243,-0.16612255295673808,-0.020397935929179295,-0.32442091968372017,train,2.366722448003825,1
6,-0.04616328566621237,0.16595449590653938,0.21437824055882396,0.00621655411798473,-0.09724446296030573,-0.23875146421372417,0.04957341817222008,0.08553639116424783,-0.5001123311190252,-0.27935541612977643,0.1162814806436119,-0.0030544337080456244,-0.0385268408397341,0.05457560062670421,-0.40190022582563245,-0.4204679820739088,-0.11869363560753715,-0.14710667777479308,-0.1550250634888728,-0.2807295277765953,-0.10034049623244667,-0.10391937777051659,-0.09522886505918553,-0.4417095559666304,-0.4917616416453061,-0.057915779504532014,-0.084794729900945,-0.1663468184806074,-0.0233121126754946,-0.3264405275579225,train,2.84006693760459,1
7,-0.050717966302781727,0.1635281317443142,0.20082873558919392,0.008211967280164162,-0.09799765220938578,-0.2565342277942003,0.03316698506420068,0.06603492220212048,-0.51420901268907,-0.28181551299713326,0.09657119974917813,-0.005808588105464224,-0.027039880664485018,0.048867439104206524,-0.3952291848172423,-0.4232175952788583,-0.11727333790339424,-0.16610314913643237,-0.16868484578845977,-0.2813391951643047,-0.09447107707830019,-0.11507862753902683,-0.11510141145082531,-0.43185188040490685,-0.5104976528885619,-0.08439021926232068,-0.10179896694445212,-0.1733360988271983,-0.03549321096597435,-0.3273057996603693,train,3.313411427205355,1
8,-0.055022849342797865,0.17276240402711468,0.21926047407582025,0.004775409978021658,-0.1018257477855366,-0.25527679614410015,0.03869792306975535,0.08415618368607453,-0.5105888127098062,-0.28866525848143804,0.11425128448274915,-0.0028864170843516113,-0.03233128287820602,0.04800283247770207,-0.40337879592940235,-0.4333402031775436,-0.11511885700721892,-0.15245643377222878,-0.16598565666450418,-0.2812012217473664,-0.09379950437769202,-0.11101448667453795,-0.09316760519212353,-0.44114699439957283,-0.49234666781481845,-0.07658032720885179,-0.09180318840345805,-0.16379334604042622,-0.031064767796211812,-0.3348558536847376,train,3.78675591680612,1
9,-0.059174423074310305,0.16474945330696084,0.22488782581257424,0.008007537102958399,-0.09822373086345643,-0.2401569510635433,0.0425015979171523,0.09292190082854868,-0.5094744891826553,-0.29136558253823164,0.12034419467245919,-0.0023030342440450366,-0.03661304821222819,0.05312358725347918,-0.4076744126514566,-0.4317411500544768,-0.11783974682272416,-0.151562048992435,-0.15478227686153445,-0.2801650942320859,-0.10043513890785762,-0.10600919680019465,-0.09827089841361095,-0.4494878824088052,-0.4900835231678433,-0.06913965313974502,-0.0971332415026581,-0.16799045704193732,-0.02492476368347704,-0.326270269350698,train,4.260100406406885,1
