,AFDL,AFDR,AIBR,ALA,ASKL,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,AVFR,BAGR,OLQDL,OLQVR,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.21882815057735688,-0.13710855302155722,0.19532104065668796,-0.17502013294416482,-0.04395277585130951,0.09109316562534486,0.18764557483777988,-0.2443622375118651,0.14437324999896672,0.1208569989543491,-0.08945027895106725,-0.1393181911987717,-0.15373984090108406,-0.157965454692598,-0.13073815245512785,-0.16198102106534237,-0.2742100367215562,-0.33845057304643866,0.09489046471913279,0.17176773460727296,-0.3709567511586299,-0.08573020029393473,0.03299874464347986,-0.4864373708657555,-0.31013417365745594,-0.3275186781619925,-0.21935273857922377,-0.26650664385830114,-0.3327722254057185,-0.2237579057164719,-0.030313129631969436,-0.03437564797909626,-0.27337569445116194,0.06744605585754893,-0.00780329326553697,-0.047459450768040146,-0.13056995443776168,-0.14449183544282299,-0.3451295052373671,train,0.0,1
1,-0.22614320100283125,-0.1792937421212306,0.33990698043986556,-0.17643348014540156,-0.01000944980743855,0.22077241886018578,0.3152764739687184,-0.339516176707403,0.2261691824974504,0.22690664180778658,-0.08719654603969898,-0.17492998312202745,-0.16520849931199505,-0.1321351414635899,-0.11836433000660038,-0.21980347123250205,-0.3327137235276636,-0.40113096768553025,0.2089784550403506,0.24013346834082133,-0.4706237643083616,-0.07499277846009413,0.053768601554225984,-0.6366010539991391,-0.3663954857726708,-0.3994668641262218,-0.35454529562740694,-0.38951196258254017,-0.393397402365712,-0.2722467746800383,-0.04286366801241111,0.0009206921615413921,-0.342491770503596,0.10336854675119522,0.031488350911439075,0.01706006570648186,-0.1256244976281642,-0.2043064376057553,-0.4807360026588905,train,0.2844350803265736,1
2,-0.24190602735980188,-0.20161002045924337,0.38654656129533055,-0.1856447571129968,0.0014667969237737721,0.2674468882336434,0.361075946348961,-0.4047235207149487,0.2440512381234767,0.2637211107917228,-0.09769261125424711,-0.1965714471333765,-0.19802366269298052,-0.11781458736762275,-0.12586485819027698,-0.27640441551966977,-0.37119312701148743,-0.457983770786784,0.24533898629666398,0.23594084104573254,-0.5191886757667616,-0.10069148759835052,0.042362305920524854,-0.7054932884754094,-0.4173089886445538,-0.4455308627840042,-0.4500129094438304,-0.45888078888492745,-0.442386122925434,-0.3279475781872034,-0.08168610930490022,-0.027273129196818596,-0.4129813336909472,0.08567141755543403,0.031184902646647403,0.02031521056460922,-0.14757400058636633,-0.2579009520924683,-0.5561175612550363,train,0.5688701606531472,1
3,-0.2576388630116029,-0.2193675045394888,0.420196996386853,-0.19159147336559462,0.004756887161991172,0.2887399146644205,0.3674398644642331,-0.441294414353515,0.24824162125047136,0.27527081515222845,-0.11068782628180332,-0.20712706757310595,-0.23106558944029404,-0.11205193204923959,-0.14451277715176028,-0.30742871567330865,-0.4015493437409685,-0.4829316497504448,0.25881646560667115,0.22600824384369073,-0.557188956728363,-0.1220320032578396,0.019206833373111937,-0.7455662006076094,-0.4460708373954212,-0.48674494131424834,-0.5127913546547137,-0.49757856338037065,-0.4741669848667417,-0.3666405755507778,-0.11961121658696479,-0.045704564804760484,-0.45978966595457893,0.07348104035010466,0.01472931543342991,0.013428271155366572,-0.16654415329275868,-0.3035463780314545,-0.6082562619632018,train,0.8533052409797208,1
4,-0.2749181485469454,-0.2290712096831693,0.4341737429835994,-0.18510900423073723,-0.0004652303529153745,0.30675323154329315,0.3784152559450125,-0.4704295376611417,0.24777562137339684,0.2899937930781006,-0.11398397480748386,-0.2058100025472115,-0.2601211274239621,-0.1044773522780573,-0.153169488181032,-0.33853943015366506,-0.42436033100589854,-0.5145995893083758,0.2776474275594959,0.22162232641561164,-0.5798540999585537,-0.14864988752409777,0.009777978418943664,-0.775960137441272,-0.47954813813740493,-0.511040829158842,-0.5578222268183309,-0.5334847608322869,-0.49630152137007105,-0.40286934504974087,-0.15162573140492291,-0.06771857162087598,-0.5016842251721255,0.06329625480740894,0.012071583967019864,0.004585494464610568,-0.17956972306805888,-0.3331898318085455,-0.6448757676068823,train,1.1377403213062944,1
5,-0.2817329219841376,-0.232610858259294,0.4444429245450635,-0.17882825032955596,0.004694074058492134,0.3021920115040605,0.36189912882215497,-0.4901668097363875,0.23902146496830765,0.2857492233200264,-0.12243210169504852,-0.21056300417924367,-0.28243023029599845,-0.09723040195380452,-0.17240470795577065,-0.36270967281261857,-0.4377221585195202,-0.5143887811375384,0.2772372210587535,0.2080871735291917,-0.5900903107266542,-0.18129564034229428,-0.013986674117390789,-0.7887968492542017,-0.5006012698221266,-0.5354522538979378,-0.6018588062518972,-0.5555876969865127,-0.5058743989778132,-0.42128531136724323,-0.18724769951309306,-0.0913651312312008,-0.5322998621247516,0.0473298091162808,-0.0009742628369490691,-0.010345669690834364,-0.19108511871664777,-0.35823623719174863,-0.6676293927851654,train,1.422175401632868,1
6,-0.29948411083763665,-0.2315785207373187,0.4334069054712124,-0.1858436844785271,-0.005773935982925096,0.2905285323151597,0.33910967138490233,-0.4955062132296824,0.23203558087164847,0.28420417557430444,-0.1260948095097611,-0.21305426398032912,-0.30864634122030526,-0.09426787589597749,-0.19227666863396575,-0.3831615227925545,-0.4449507351977533,-0.5240404368326178,0.26339038064687315,0.18845365769463168,-0.5938214723211801,-0.19595993975854958,-0.0281643522549239,-0.8005001862436141,-0.5113450515843075,-0.5569625481531285,-0.6285394132340542,-0.5710391903937382,-0.5209870049241242,-0.44071833251483195,-0.21239614080043565,-0.10596584568422052,-0.5647029505068749,0.023208393220166663,-0.010255664038552742,-0.036416139358946054,-0.19750674464986706,-0.38217572300068015,-0.6778314572050894,train,1.7066104819594416,1
7,-0.3095088949963983,-0.22696219700595593,0.4140605418569881,-0.18760992887925562,-0.011893321368543208,0.2742167734197428,0.3191734609063579,-0.5134733035752664,0.21610967524416855,0.2722514086842163,-0.1305595915821321,-0.21707341950989723,-0.33204155639291577,-0.09904243115845585,-0.2118506810808958,-0.4066574911199942,-0.4571789904120748,-0.5321220905108139,0.25037734638958886,0.16703868616361228,-0.5926402430184575,-0.21956057695439063,-0.045741108492117384,-0.8103539473687836,-0.5253610718042848,-0.568171782367185,-0.6571800766298806,-0.5901139263327189,-0.5328624491333857,-0.45967872908908036,-0.24155289062035012,-0.1271956816480787,-0.5902528331479212,0.0027738951138529602,-0.03111077111595144,-0.06263265011348675,-0.20848449135911049,-0.404016712205436,-0.687573038571415,train,1.9910455622860153,1
8,-0.3157278395541534,-0.23656779758187113,0.4007670725532013,-0.18633594719978297,-0.018394220896745958,0.257304252779719,0.2860584113706728,-0.52263279622913,0.19619232462128083,0.24008097101172043,-0.14627431206199992,-0.21649867973924086,-0.35533056786055006,-0.10186477269610963,-0.22322082453582148,-0.4126000493577501,-0.4639671494852721,-0.5298285553838563,0.2308030229917166,0.14768674871546672,-0.5935729669564045,-0.2437251607692726,-0.07591654226095707,-0.7994837343242844,-0.5309054614566778,-0.5701959945030255,-0.6695949697388035,-0.5868258256637982,-0.5357776832333689,-0.4693787478540582,-0.26596417696464336,-0.1445782667278702,-0.6020193722395805,-0.015610114808864175,-0.05282381307049033,-0.07974330265723491,-0.22116587408841126,-0.4188358348662911,-0.6905769427474341,train,2.275480642612589,1
9,-0.3240693284165202,-0.23714913984590033,0.3745110473382912,-0.20068979876810236,-0.03333159760293862,0.23824264748082963,0.2537970467726798,-0.5292424314752759,0.18473339395190014,0.2234335771410521,-0.1441269829232696,-0.21247364979507882,-0.3786388400661499,-0.106437645622478,-0.2326412315943698,-0.43050669710692546,-0.46619983626850636,-0.5427499939918491,0.19994945348382379,0.11303569278897271,-0.5979887539771537,-0.24999428764340548,-0.08529653196850748,-0.7933702059682384,-0.543329067777877,-0.5870020585623723,-0.6732708096726099,-0.5856385141088226,-0.5507431077849079,-0.4826070679609177,-0.2896993492365233,-0.16770548453361508,-0.6281620646426714,-0.038946955006856986,-0.06550449698595062,-0.10487067390747114,-0.22311253562039057,-0.4342034165730286,-0.689081232472158,train,2.5599157229391625,1
