,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.18387839049386856,-0.18455252180420983,-0.03544839351524905,-0.1256925488778245,-0.19696100563619073,-0.14759623095583402,-0.17423812982563572,-0.23251635576074414,-0.1872276264254168,-0.16215293455192684,-0.17705799902785874,-0.23881955239440322,-0.1561196317562662,-0.05183495423453847,-0.31186008264307424,-0.1398158170798216,-0.2692997808729889,-0.13402525997464262,-0.1120369755654072,-0.2572155272260967,-0.16253695632968415,-0.07854791215607242,-0.11425587639200088,-0.20657587712620545,-0.13793585263558303,-0.12246706399331433,-0.24768232599713727,-0.2308431664264816,-0.16596853931412625,0.13796255011851277,-0.29865758774964196,-0.18881998877230916,-0.17812469981372753,-0.165208785103551,-0.146907167285278,-0.22250817660854288,-0.2566730907076983,-0.3407488565502441,-0.12655878380334543,-0.11021324681949313,-0.1165515939764053,-0.27347857075475146,-0.13402535140215918,-0.15207252820552047,-0.1506153965067193,0.0555264014861284,-0.25154816820105375,train,0.0,1
1,-0.21488748050489426,-0.23247635142516893,-0.07421295624314138,-0.1308013514511225,-0.2707664133223295,-0.22777284548659493,-0.20770761135742538,-0.2773665599181376,-0.20530454207267473,-0.19127868477112334,-0.21576615985594733,-0.3227146724985173,-0.17634794803493478,-0.03719338879060676,-0.36576713249765036,-0.15443817580236255,-0.2882973436221737,-0.14295828764486251,-0.10467215881229927,-0.30745911059112496,-0.1978264044773437,-0.058170691807369716,-0.14127802850377472,-0.2266374664210869,-0.1438149674719944,-0.09632663020620387,-0.2919933478814508,-0.24962201805637008,-0.1923458441066647,0.17318586377065864,-0.30711016429820687,-0.20491240211265283,-0.22443480004039906,-0.17807171553660334,-0.1612307373775989,-0.28226462541355923,-0.27206559630712224,-0.4179175970460315,-0.1724925762418843,-0.12651112741860904,-0.16816686507002865,-0.32171343035993577,-0.14579373003869672,-0.15370593122227014,-0.18375051293668193,0.07397087316857884,-0.28412685014017897,train,0.32618544246451225,1
2,-0.23169324512782746,-0.24623499242486233,-0.11055110821051205,-0.12789507871201003,-0.29498257107145687,-0.2734367799262028,-0.22987351038816595,-0.315983312809894,-0.21331641771789023,-0.2111870012354705,-0.24017385026974278,-0.3773215296286988,-0.19384902051643288,-0.054954613361282476,-0.3919868600177977,-0.17180823017612598,-0.31379627534106447,-0.159514582657001,-0.1251343293619811,-0.3334542000304953,-0.21006414137881996,-0.06171355976839084,-0.15399804248566346,-0.22244424881492952,-0.1573448242023402,-0.10227436320400712,-0.32461176902123773,-0.2867270863783863,-0.22260576760957484,0.15433172559694713,-0.3371941830420921,-0.2021195684635508,-0.2399649288611342,-0.18444143613094263,-0.14865325494726234,-0.30815371167775063,-0.29082347968112265,-0.47435082374493687,-0.21587531348082445,-0.13133618612764106,-0.19651105833224364,-0.3409944198466328,-0.14600642868192584,-0.16800390366119236,-0.2242293800242914,0.07967823601659002,-0.3185531535218532,train,0.6523708849290245,1
3,-0.243222490323855,-0.2522047360591457,-0.12636355592052156,-0.12606851372856628,-0.31528042386105626,-0.3003180481126385,-0.23687595592957755,-0.33303416558227916,-0.22330303161362083,-0.22156557520711243,-0.25150211690798774,-0.40620519966055657,-0.19539938781631797,-0.058023088029873826,-0.40871389848627004,-0.1901371890334801,-0.3323278037233212,-0.16500713012947488,-0.13241338515643106,-0.346615386204883,-0.2156182917487816,-0.06348674441747879,-0.16783547310346567,-0.22295277336679115,-0.1636134961444124,-0.09474517764833162,-0.3396379703308171,-0.3028221698930292,-0.24132450181187287,0.1580557984174898,-0.35267551324961255,-0.20331352536242822,-0.2522256597726577,-0.18949508586909994,-0.14315505757788807,-0.3228517292718026,-0.30067599668893846,-0.509438729106881,-0.24412539802607588,-0.14525402194760517,-0.21125705937099526,-0.3500188968121579,-0.1500044902802265,-0.16624658010808696,-0.2504994211122869,0.08169777210374712,-0.33272307901219583,train,0.9785563273935367,1
4,-0.2697330025999025,-0.25308251898430917,-0.1332412357690974,-0.12327966781658065,-0.32548783337726006,-0.2936043744677064,-0.25039448139317794,-0.3307981202307278,-0.23170022280991734,-0.24163945813417312,-0.265589055876405,-0.4184004926508991,-0.20744971842951385,-0.06959542651518193,-0.4233678273606179,-0.1982682185120978,-0.3336763741946578,-0.15721353167834348,-0.12889215144794203,-0.34332720588559196,-0.21387095817883503,-0.0668865744783993,-0.18494592522105646,-0.21510983733285519,-0.1570929440408461,-0.10831539398499533,-0.33943869431623763,-0.308924410305923,-0.24154828110091653,0.1404768935036349,-0.34868777620738767,-0.20997687445662316,-0.246539801867721,-0.16719372902452606,-0.16742087047095625,-0.32904168971775216,-0.2907789760586683,-0.5325993685667912,-0.2664011017259583,-0.1562528684107423,-0.2247956636197705,-0.37257132574111884,-0.15963489334464714,-0.18518349637627632,-0.26594854084774466,0.10260342987851434,-0.3549004976515303,train,1.304741769858049,1
5,-0.27640973325236085,-0.2676502900542489,-0.14579928920206026,-0.12284439809207481,-0.3398877972664513,-0.30007327181120913,-0.26130194359913855,-0.34802546378802723,-0.22839822213457073,-0.24942193605270466,-0.27473553931714567,-0.4361817972490764,-0.21297031315133186,-0.07415829329305389,-0.42392832320889073,-0.19455003118653197,-0.3403220856154543,-0.14806485725575386,-0.12988198124153347,-0.3511200079804715,-0.21407423884679852,-0.07512959626239063,-0.18305914004717386,-0.21176681601388075,-0.15355165392639916,-0.11164540449255957,-0.3386684802824308,-0.3161830343013695,-0.24882581809693965,0.1436608204504843,-0.34773233018877936,-0.20740839358376428,-0.24977318587587025,-0.17770256110629168,-0.16533529078286752,-0.3305482678281345,-0.2952354487350866,-0.5442774867856106,-0.27553617339363623,-0.1673989302460226,-0.23308291632736516,-0.3904928999772446,-0.16098359144414898,-0.17857883968476712,-0.2692608214204054,0.09967375772702516,-0.35910638650776855,train,1.630927212322561,1
6,-0.2719465461146926,-0.27543284275846885,-0.15359817784635765,-0.12462702495591461,-0.3547755584528533,-0.30226654372177447,-0.26696865475893566,-0.3539211747578756,-0.2203589605154943,-0.2487509047191021,-0.27644572572446413,-0.45284863833623706,-0.21977422333876065,-0.07146891694933413,-0.4253647965898467,-0.19466495449714072,-0.3355092768820297,-0.147801118380133,-0.12916128125942028,-0.35507317400297483,-0.21837705744352223,-0.07049014162088821,-0.18230728464164286,-0.20628451853645804,-0.15994257172397608,-0.11374167266259673,-0.33882146730789164,-0.32408357824599154,-0.24196959504269555,0.13886456309160142,-0.34208325683110546,-0.20272876239845689,-0.2500718141259553,-0.17893047682316732,-0.15456313659604815,-0.3271075237505727,-0.29360316957872284,-0.5533328672144324,-0.2897130380472972,-0.17680454473827711,-0.2353926708588151,-0.39288896734420237,-0.1588005724216822,-0.17119197246800866,-0.27725101308482214,0.102314914385876,-0.3618156291597545,train,1.9571126547870734,1
7,-0.27616553224868,-0.28139207943229416,-0.15545261545737993,-0.12505778480882773,-0.35200010257909337,-0.3061850448000841,-0.27415760792659033,-0.36132288616873964,-0.211733239593225,-0.2463003684558689,-0.2845662953598026,-0.4688722294565078,-0.22070092306655573,-0.0713691365535112,-0.4261147538873038,-0.19713179457805585,-0.3413470093976906,-0.14170590763718233,-0.1291554686497686,-0.35429675011899503,-0.22358385791208019,-0.06760981995576362,-0.18543750722229246,-0.20484908894997297,-0.16148426410522745,-0.11539788992285482,-0.33756127821488524,-0.3264057483192255,-0.2344627508821936,0.13144118284719347,-0.34718651229440206,-0.20157700277910756,-0.24699682171409051,-0.17589818924431244,-0.15521223948589327,-0.3265834709618487,-0.29533229631699986,-0.5625288388183636,-0.28932835523057016,-0.18510325743407027,-0.22082448328039006,-0.3964723598096693,-0.16575719341073114,-0.17492244034703225,-0.2779764093763124,0.09736623120028355,-0.36806878980279734,train,2.2832980972515857,1
8,-0.29099063911215034,-0.2807594491333475,-0.1585152401955363,-0.1218453184131866,-0.3587028941647987,-0.31182623218868044,-0.2827589882425143,-0.3611769135428788,-0.2158939803527155,-0.2600695167055786,-0.2925646442185154,-0.46754431433549437,-0.21696344507433946,-0.07733652170243617,-0.43337701958545216,-0.20205587147942974,-0.3418113829873848,-0.13619542645615534,-0.13079934475978358,-0.35431307589576677,-0.21992669045040103,-0.07265703838000664,-0.18639426100693818,-0.19447770399068318,-0.1581426994174644,-0.12038012167490264,-0.3344485920327598,-0.3263357662477803,-0.23557744853041834,0.13303406955016894,-0.3394579019866947,-0.20235569936957154,-0.24521426686489067,-0.1699599055858453,-0.16511932545031194,-0.3322157789197423,-0.29159040764715044,-0.5650525429063015,-0.29900173719096534,-0.18967804145574313,-0.23410527025001782,-0.40634419932039945,-0.16818917767966085,-0.1780869310325997,-0.285833554266603,0.10497074893034425,-0.3726741350588853,train,2.609483539716098,1
9,-0.2848041436063965,-0.2785726441141242,-0.1601426135982379,-0.1252351757026833,-0.3651536656792213,-0.31621960167338764,-0.2789886502463118,-0.36142650781708396,-0.20727675537563567,-0.25735847542641754,-0.29419081526915913,-0.4726434027267621,-0.22210338963775117,-0.06688426963023916,-0.4233430377844817,-0.19313752395937492,-0.3337798158412438,-0.13513553643982462,-0.12452212980208091,-0.34855644963496274,-0.22320038895517472,-0.06618785181295243,-0.1766965506754304,-0.197843164518517,-0.15386617976866646,-0.11665178998698114,-0.32494325158197934,-0.3295627533421228,-0.22447147195189,0.14410694676186822,-0.3294727090466966,-0.1996504015076544,-0.2409448910018301,-0.17932908858309587,-0.1602745426658613,-0.3273546552110943,-0.29022251984724867,-0.5612504362009595,-0.28054510030240665,-0.19215208208024337,-0.22404433241572969,-0.39869195980402317,-0.1701673604240923,-0.16344833218937665,-0.27760085523539796,0.1009234997789201,-0.3606931179963761,train,2.9356689821806103,1
