,AFDL,AFDR,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBR,AVEL,AVFL,AWCR,BAGL,BAGR,IL2DL,OLQDL,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDVR,URXL,URXR,URYDL,URYDR,URYVL,VB2,train_test_label,time_in_seconds,tau
0,-0.3063334429060043,-0.03881213515698317,-0.23420696873392013,-0.35172373576451316,-0.2659571188389439,-0.2526261613981092,-0.1787150759203038,-0.45263732832590914,-0.3895929229181898,-0.023654711229084677,-0.24749376082853183,-0.09770743497186245,-0.11083811156745413,-0.2559649279017192,-0.2259758259519088,-0.18040384635682233,-0.27461776738235105,-0.043907700584672554,-0.027861561131573696,-0.06784789897344462,-0.31916553507756273,-0.5123998813180508,-0.2424931237098808,-0.010358705552640929,-0.11163907050187737,-0.15375733066204783,0.04307119936131859,-0.1793407567507401,-0.09839587753938722,0.19942298561583752,-0.11173979160870258,-0.2363763375808884,-0.1877726079696709,0.0895748226225024,-0.05277685583676963,-0.30865583286744613,-0.2683191444778645,-0.2525575086699373,-0.2377092809401525,-0.24845492453149498,-0.2648542194125295,-0.3618908739780066,0.04749326271427032,train,0.0,1
1,-0.3533827640714622,-0.042555536936553326,-0.39274042483885724,-0.5365646837320859,-0.32944739476557505,-0.302039757343314,-0.24255884661752158,-0.6295555094852201,-0.5859682112334902,0.01162794542450464,-0.3984799074633392,-0.10218434547054651,-0.1714945370579496,-0.27290438324515115,-0.2720355806182456,-0.22549570443991748,-0.34855905821890887,-0.026036448482623167,-0.04155545246407931,-0.01977243855956387,-0.34793193765307245,-0.7109845819422721,-0.4020120226983787,0.10581966256021663,-0.12807943631146324,-0.23210956817667827,0.157516100085282,-0.16377860856309628,-0.05825499443654028,0.30689772237364926,-0.06754144156026892,-0.2481778589682191,-0.20416777559445984,0.15658285632831087,-0.04700957185143407,-0.35211081355902385,-0.3528959645307561,-0.29939991616829364,-0.277378649835619,-0.376876358099857,-0.3592541449453333,-0.47732298103264337,0.13780743906590695,train,0.255863539445629,1
2,-0.37307016360610057,-0.05022640075823747,-0.4925286116979779,-0.6482209329306431,-0.3681490184937365,-0.3338210278685977,-0.285916135867823,-0.7354925652951666,-0.699454396413338,0.017408194193509627,-0.4957717211698756,-0.10999426914737911,-0.21480795378802775,-0.2864508517078225,-0.3097478884290596,-0.2719512492820122,-0.39699902490677297,-0.025052853997927088,-0.07729171430017644,-0.00021757769971536556,-0.3707104143431372,-0.8156563698732201,-0.5050491174416275,0.17107283296938575,-0.15680323519231432,-0.2860970941248354,0.20682463027061243,-0.1732355022553413,-0.053387824872568074,0.3499758645303478,-0.03920180837761561,-0.26255389392023504,-0.21998617955664865,0.17383753333987573,-0.06287300775190607,-0.3783936580586117,-0.4119826917830248,-0.34062620217142403,-0.31193765640414023,-0.4546314387186683,-0.4217402672640939,-0.5527879121429801,0.18400263972084938,train,0.511727078891258,1
3,-0.38001764260451615,-0.05877613668291322,-0.56223414354015,-0.7169258133358024,-0.39324873066628696,-0.36090393748631056,-0.32256827739493504,-0.8082541053276842,-0.7660781537846002,0.00543758837599663,-0.5658516734469685,-0.12244663079405303,-0.25015342475539976,-0.29999037547745083,-0.3422553956252653,-0.3096397946869105,-0.4273891302680486,-0.030980249647633337,-0.11613674264645124,0.004559412968139026,-0.3866476872483409,-0.877994836484628,-0.580294931106136,0.21840639429285158,-0.18980724250700662,-0.33114235238648343,0.23087041715525064,-0.18569818874456137,-0.06485092715937688,0.3657773737166328,-0.03198992371418399,-0.2782944272523768,-0.23917907729880428,0.1691543586826224,-0.08493761807788067,-0.39519643830019524,-0.45695152591889054,-0.37290616329278414,-0.34654780887756986,-0.5055011037857456,-0.4741806112010042,-0.6038483033141604,0.20677190284329675,train,0.767590618336887,1
4,-0.390824426922738,-0.06761547423788453,-0.6107124673923896,-0.770883152826629,-0.40189089268678857,-0.3825144098789268,-0.350006728074874,-0.8566539794049165,-0.8108683635133672,-0.005687189857377137,-0.6157539591670479,-0.12691412148183714,-0.27786655519216374,-0.3259201064861291,-0.3763822865456018,-0.35845540320601543,-0.4535250201893525,-0.042365007625294236,-0.16009934744545948,-0.007564938302824453,-0.40175004616557125,-0.9162249296018504,-0.631528639921418,0.23864526178167278,-0.22565062525087956,-0.36085297790680915,0.2340716030037936,-0.20494109767934984,-0.08669761754792957,0.3604742967061229,-0.02146830157938459,-0.29563509089136814,-0.25147428233028285,0.15130241075196443,-0.10818523242024197,-0.416027587331242,-0.49499053148914773,-0.40133243678446534,-0.37913462071408144,-0.5330741017634313,-0.5135243737439411,-0.6444664463357876,0.2165871087148645,train,1.023454157782516,1
5,-0.4002271904122966,-0.07751752462053674,-0.6508528309786424,-0.8021725304685177,-0.4121073584178512,-0.4062842422946423,-0.376148964877126,-0.8869937476638472,-0.83856452116522,-0.016685273027689407,-0.6501168153249629,-0.13634579743773706,-0.2964997016195127,-0.33895410134279563,-0.39404157190459466,-0.3854895567319401,-0.46602696728236437,-0.05135458563701447,-0.18835556249483948,-0.009966875787234958,-0.41401195554132075,-0.9443751381697845,-0.6711295519968862,0.26203528142144755,-0.2515954827432743,-0.3846885094934214,0.2352664765329882,-0.2191648576746532,-0.10216629809680536,0.3571967369307301,-0.020092812612370475,-0.3108081754438507,-0.2639324741124667,0.1348853611021016,-0.12755365687746548,-0.43104266792838,-0.5243726830474398,-0.4214876197091667,-0.40345894754167266,-0.560652591809585,-0.5394638329181004,-0.6666979983149085,0.22170792443269563,train,1.279317697228145,1
6,-0.39743075473968514,-0.08698568489609415,-0.6763610436252865,-0.8202869358761143,-0.4230571081578567,-0.42531840698075857,-0.3974778992580139,-0.9019300037482462,-0.8471738782554955,-0.035846997286514276,-0.6691875651393929,-0.14787633496120828,-0.311688894998843,-0.3498219814900455,-0.4077558132114574,-0.40291342278823117,-0.47252347133084815,-0.06493241161562917,-0.21265850156265995,-0.021224649068553925,-0.4212340335074821,-0.9523710598424845,-0.6931262247251084,0.27694973441408544,-0.2698193240257852,-0.40627262184142676,0.2340408788608278,-0.226062196091123,-0.11729538345255094,0.3491174663261692,-0.03126157976744051,-0.31775057947277446,-0.2757654261196837,0.11743460786453007,-0.14456819328428266,-0.43906412830631353,-0.5457838641003852,-0.440754940704684,-0.4201694809822657,-0.5769996291342387,-0.5619961326179,-0.6839666808926238,0.22025557838701235,train,1.535181236673774,1
7,-0.40450451221804085,-0.09418545602966757,-0.6922024528233152,-0.8311414859080126,-0.4234901664314018,-0.43285339494648967,-0.4066147126512122,-0.9089259579314363,-0.8550341284050478,-0.04621639881845925,-0.6805556530125585,-0.153640698359048,-0.31372472122896694,-0.3573771426493008,-0.4096941635630208,-0.41801278010215537,-0.4758209432688262,-0.07471095587280438,-0.22897101587694613,-0.023104363125283522,-0.43447193288676167,-0.9572548218122099,-0.7098612935565692,0.2864088038663666,-0.2777725610514823,-0.41164088119818354,0.22236244122102516,-0.23422576913477272,-0.1261884895680087,0.34004296725048666,-0.028773612330067977,-0.32819644136173254,-0.286259554751115,0.10245662788311914,-0.16186117615589807,-0.4447673191911992,-0.5500127525232754,-0.4534233607920255,-0.4322410159385929,-0.5878286654355116,-0.5751200506109225,-0.6924264083709754,0.21971416862470736,train,1.791044776119403,1
8,-0.41210466344706903,-0.09231716183685719,-0.6937427984357437,-0.8366343853402135,-0.430628792649614,-0.4323536143512641,-0.4118501105723936,-0.9129326771351453,-0.8562445784060086,-0.05513988196557176,-0.6860961236136078,-0.15907097277938845,-0.3194543258905755,-0.36108992188349254,-0.41665616072764133,-0.4199176853326663,-0.474152993376427,-0.08307599957968,-0.22815321709143493,-0.01711770114970404,-0.43657676437498016,-0.9580720363725815,-0.7186179959734638,0.2920349491553607,-0.27805593321849786,-0.4180008819847602,0.21655424266424722,-0.2314721882264642,-0.13796946789421194,0.3294179684136114,-0.03510433974136773,-0.3382447290204374,-0.2927412857496188,0.09119570530246747,-0.1765402570201131,-0.442881261469112,-0.5504964063274835,-0.4617351449331697,-0.4362950300058589,-0.5992477696397333,-0.5841882700074089,-0.6939229149536487,0.22681196118820132,train,2.046908315565032,1
9,-0.41903054346629587,-0.0976050729475863,-0.7121999006570635,-0.8527000681556745,-0.4303095951756556,-0.442967609192647,-0.42069105962535425,-0.9222694910643557,-0.8719616909661649,-0.06558714300946829,-0.703389768374813,-0.16013976981772216,-0.33528859338485373,-0.3749758986808919,-0.42692775551595463,-0.4285817381645861,-0.4783922290034587,-0.09771105372589518,-0.24092074300361802,-0.02130577300396258,-0.4379644728164044,-0.9697562279563372,-0.7376248267220834,0.3054107263632838,-0.28944157068782395,-0.43755503164646425,0.22282447117181808,-0.24019550535844544,-0.14926292455890583,0.3231221245678962,-0.045934268397382405,-0.34324715711660964,-0.30618170572345804,0.07599048759981826,-0.18860526464952998,-0.45216257243353175,-0.562571231476366,-0.46975613277147654,-0.4473547241136627,-0.6121284764513539,-0.5938674065653723,-0.7078172350745179,0.22681763079110526,train,2.302771855010661,1
