,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAR,PVNL,PVNR,RIBL,RIBR,RID,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VB2,VD13,train_test_label,time_in_seconds,tau
10,-0.006613311,0.7629146,0.7673041,-0.55288494,-0.64189994,-0.50881344,-0.8758368,0.035422146,0.36430588,0.9987199,-0.9541203,-0.92983913,0.8844564,-0.23878604,-0.53373736,-0.8480389,-0.3032481,-0.56071913,-0.9652523,-0.95498115,-0.5789532,-0.8931094,-0.9720794,-0.82559496,-0.8061445,-0.5222018,-0.7910483,-0.82143646,0.05506818,-0.76965064,-0.734145,0.971116,-0.12890309,-0.66931653,-0.6877764,-0.6960344,-0.88284093,0.24517468,-0.7250395,0.15876152,-0.7785519,-0.75486493,-0.6838061,-0.94446194,-0.38478273,-0.7201588,-0.79496354,-0.66938525,-0.20507374,-0.8133294,-0.7209307,-0.40346104,-0.8840487,-0.62204397,-0.830476,-0.9499083,-0.83057505,-0.60713357,train,3.2608695,1
11,0.031363692,0.74630034,0.804448,-0.61577404,-0.6959662,-0.46074808,-0.89702123,-0.00824801,0.45618185,0.97768104,-0.9387948,-0.9231196,0.88018495,-0.21236892,-0.6372022,-0.7143177,-0.30949292,-0.5054321,-0.95796406,-0.95646703,-0.53254277,-0.87706393,-0.96105504,-0.832421,-0.719043,-0.48773596,-0.79510444,-0.842212,0.13624978,-0.8128178,-0.7081943,0.95771575,-0.3482922,-0.6593064,-0.7467618,-0.666947,-0.93367845,0.29750225,-0.68439627,0.3733028,-0.81865895,-0.8160989,-0.6990517,-0.93399805,-0.27730078,-0.73175764,-0.8267945,-0.3940354,-0.3226488,-0.80662173,-0.6779663,-0.35122442,-0.88280994,-0.59814274,-0.780991,-0.9356364,-0.6800421,-0.6240143,train,3.5869565,1
12,0.048214328,0.7263911,0.7254387,-0.4846,-0.8012057,-0.48239064,-0.8436834,-0.10204584,0.42708936,0.9975987,-0.9553313,-0.9190959,0.90315247,-0.20378025,-0.5867652,-0.69372797,-0.26670286,-0.46215647,-0.9498642,-0.9500579,-0.4504102,-0.90350336,-0.9805806,-0.84972644,-0.6961493,-0.557546,-0.79696614,-0.8135248,0.011090547,-0.79312533,-0.71905214,1.0,-0.07894743,-0.6710508,-0.7057057,-0.8387799,-0.90637463,0.25523874,-0.64101493,0.40890643,-0.81387126,-0.9119688,-0.68424916,-0.930288,-0.28092158,-0.7314075,-0.84344786,-0.36098248,-0.3860715,-0.70964074,-0.6363515,-0.40359208,-0.8802427,-0.6250847,-0.8584241,-0.9535282,-0.6647673,-0.5742629,train,3.9130435,1
13,0.13834745,0.71194655,0.80985093,-0.55234826,-0.709927,-0.46457633,-0.8690513,-0.19898394,0.39517426,0.95758766,-0.95544493,-0.92816097,0.91417027,-0.22736035,-0.6658048,-0.6185867,-0.27795032,-0.48149714,-0.9409243,-0.9431277,-0.48344114,-0.87102693,-0.9675294,-0.8525516,-0.7641045,-0.54717016,-0.82288444,-0.8614067,0.13162248,-0.81876934,-0.6679929,0.94328785,-0.168359,-0.6713393,-0.7392794,-0.77341413,-0.8719261,0.24577184,-0.62873924,0.4014341,-0.82794404,-0.84679383,-0.7317518,-0.9437053,-0.27805907,-0.71463186,-0.93927467,-0.55723816,-0.30801195,-0.86190206,-0.67239726,-0.3508115,-0.8586107,-0.6307202,-0.85640824,-0.95027405,-0.76085424,-0.6008712,train,4.2391305,1
14,0.14858967,0.73298323,0.8191875,-0.6487266,-0.6504207,-0.4761431,-0.8886248,-0.2345497,0.44385839,1.0,-0.95547765,-0.9301366,0.93955266,-0.21223825,-0.4195859,-0.62356627,-0.27981463,-0.5092995,-0.9311158,-0.93613094,-0.47245675,-0.89103657,-0.9799559,-0.8733192,-0.7936532,-0.462836,-0.80692434,-0.8776069,0.035831247,-0.7855263,-0.73721844,0.955385,-0.2814166,-0.66277933,-0.7022118,-0.69663763,-0.8900138,0.2940418,-0.54369515,0.3069655,-0.8557624,-0.8282033,-0.7331998,-0.96550226,-0.3838625,-0.7015385,-0.83921206,-0.5951791,-0.3553931,-0.7218147,-0.671733,-0.28812176,-0.8914943,-0.62839764,-0.82492125,-0.949139,-0.8914713,-0.56693035,train,4.5652175,1
15,0.16201223,0.71012056,0.75469756,-0.64917064,-0.6962303,-0.47360492,-0.7418755,-0.23371264,0.3947473,0.97551674,-0.95292044,-0.9135914,0.9682069,-0.23389485,-0.18655075,-0.5345493,-0.27968687,-0.5124836,-0.92041034,-0.9313962,-0.5173336,-0.88592446,-0.97839206,-0.8846771,-0.7687424,-0.4906272,-0.7515691,-0.78132355,0.018749287,-0.83786166,-0.6839901,0.97542244,-0.19672146,-0.6503478,-0.72005326,-0.7005099,-0.8701596,0.2999851,-0.5442816,0.45135278,-0.89427745,-0.8813768,-0.7207429,-0.9847506,-0.3586165,-0.735263,-0.83325744,-0.485508,-0.23635529,-0.803284,-0.63534117,-0.2093868,-0.8864118,-0.5409057,-0.86653244,-0.94405025,-0.73998,-0.57674116,train,4.8913045,1
16,0.14715649,0.75427675,0.7883253,-0.6297977,-0.67241246,-0.41418698,-0.7874958,-0.18849427,0.40076503,0.98037183,-0.92436486,-0.92473686,1.0,-0.15673652,-0.0054727728,-0.7650646,-0.23126583,-0.523956,-0.9087794,-0.9319063,-0.52898616,-0.88103145,-0.959567,-0.91136503,-0.75406843,-0.59682155,-0.9088058,-0.8634513,0.03738733,-0.8282934,-0.68912953,0.95589983,-0.057203848,-0.6012975,-0.6934157,-0.73715544,-0.8549714,0.26471138,-0.5104882,0.5049807,-0.85444516,-0.84576726,-0.73033214,-0.92948407,-0.35443544,-0.70756155,-0.6811733,-0.43666387,-0.017962538,-0.71149415,-0.48945022,-0.15500617,-0.88017124,-0.6167036,-0.836416,-0.9568106,-0.7401069,-0.6138981,train,5.2173915,1
17,0.1367994,0.7258057,0.79206663,-0.6236322,-0.7552451,-0.3971562,-0.71522325,-0.1585479,0.37658757,0.94049686,-0.9489177,-0.92918116,0.99185854,-0.1899658,-0.19657747,-0.80993676,-0.21625078,-0.54910153,-0.89619446,-0.9120026,-0.6196996,-0.8773827,-0.9482925,-0.9109556,-0.754548,-0.5781809,-0.8690148,-0.8558289,0.037027575,-0.768558,-0.66613674,0.9125094,-0.25806797,-0.59297895,-0.7240008,-0.74750644,-0.8821332,0.28114605,-0.4383327,0.6070278,-0.8653633,-0.8336361,-0.74199927,-0.9403241,-0.41947713,-0.7254995,-0.5235238,-0.43046412,-0.24700992,-0.7256125,-0.4936101,-0.12910475,-0.8620064,-0.6210329,-0.86441565,-0.93153024,-0.7827699,-0.59955174,train,5.5434785,1
18,0.14468455,0.7133326,0.86192083,-0.45792416,-0.48488367,-0.4125298,-0.80015624,-0.19292,0.37428448,0.97049683,-0.94638336,-0.92353356,0.98304594,-0.12634097,-0.24983075,-0.82269347,-0.23218669,-0.49779078,-0.8547446,-0.9171809,-0.5627609,-0.8880024,-0.9537615,-0.9271316,-0.72750956,-0.59082514,-0.89018005,-0.8322631,0.13657004,-0.80103457,-0.70624423,0.8850657,-0.113881476,-0.5186285,-0.7218694,-0.52445024,-0.8727926,0.27056235,-0.45523214,0.62277323,-0.87059546,-0.73848134,-0.74324304,-0.9299016,-0.36094502,-0.7167276,-0.29678816,-0.2819126,-0.28056625,-0.7286872,-0.4390452,-0.009977365,-0.87716174,-0.5819877,-0.83503115,-0.9359209,-0.8236721,-0.553756,train,5.869565,1
19,0.07457391,0.6975908,0.85326827,-0.92226523,-0.8344928,-0.40309018,-0.81346303,-0.07360243,0.28041044,0.8921435,-0.9240136,-0.9016899,0.98107237,-0.12455842,-0.32877296,-0.77854866,-0.271917,-0.48670965,-0.89915276,-0.9162827,-0.5315926,-0.8759632,-0.94473785,-0.931588,-0.70722896,-0.59544533,-0.8624835,-0.8003864,-0.016801106,-0.83225226,-0.612658,0.8280023,-0.13687365,-0.42485622,-0.7517329,-0.6126716,-0.88156414,0.042268246,-0.41941822,0.512534,-0.92651594,-0.7483782,-0.736097,-0.9142676,-0.39369082,-0.7081172,-0.10763961,-0.28032577,-0.1741357,-0.70194495,-0.40381065,-0.021438377,-0.86444336,-0.58332074,-0.83592856,-0.92769015,-0.6279023,-0.53256893,train,6.195652,1
