,AFDR,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,OLQVL,RID,RIFL,RIML,RIS,RIVL,RIVR,RMED,RMEV,RMGL,SABVL,SABVR,SIBDL,SIBDR,SIBVR,SMBVL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB3,train_test_label,time_in_seconds,tau
0,-0.7454826656363871,-0.5351101029372951,-0.4555376666725224,0.7936923664296278,-0.9276338032768395,0.271517016810481,-0.5375002114832936,-0.6462507157182735,-0.7299308469352885,-0.8217115155435288,-0.921925885478151,-0.9363334547006027,-0.8918373119607449,0.08171866064315703,-0.13442502145222923,-0.7234942590207498,-0.7789633233641013,-0.903793066852973,-0.7284967122104906,0.04703312904604551,-0.7310789007654075,-0.9228094556215355,1.0,-0.7965388410308047,-0.8003073472037021,-0.37698336215855643,0.022669297839982838,-0.7379009678953609,-0.5982604645343865,-0.7052571499580507,-0.29806728414924666,-0.32438608432386795,-0.6372845998574015,0.0184733331643816,-0.7654883325159109,-0.8822891917045628,-0.882830944518386,-0.8006851194056417,-0.8350683796477418,-0.8275695230651199,-0.7417139641358637,-0.8249549806210855,train,0.0,1
1,-0.677021114874169,-0.4878077062370073,-0.4790422753619481,0.6740540406422453,-0.9126067905260213,0.13888110630053774,-0.5194233365478125,-0.5913599410065237,-0.6466996611184712,-0.8672463014230765,-0.9402485732401544,-0.8946711098629649,-0.8764828658275947,0.1539275519068668,-0.16016665593649837,-0.7685654815588674,-0.79679561187614,-0.8783461419816851,-0.6801740583125768,-0.07899761991585319,-0.6986352427516243,-0.9251472845648117,0.9294993179015246,-0.8411982872316898,-0.7862626527587148,-0.4177670214662289,-0.04927566759050617,-0.6623370197732761,-0.5355340395573476,-0.7013410885071306,-0.3645327801472339,-0.3335108557960281,-0.744439132312728,-0.09204135187017626,-0.7578891583740185,-0.8631641749663517,-0.8782551118762012,-0.7870095765215013,-0.8237956336621106,-0.8176798100212523,-0.7385180100025319,-0.8486602151176756,train,0.22712933753943218,1
2,-0.6601591615236344,-0.560721252645378,-0.45757809182267495,0.6244635740177016,-0.9252475388643948,0.13140688487825147,-0.5575543556519225,-0.7021839052647605,-0.6444999153199984,-0.8353201587285016,-0.918229500910581,-0.9154177165135129,-0.9088816544254229,0.21709425137605276,-0.2343942098663121,-0.6798214456496443,-0.7402464986685716,-0.8537342815975641,-0.6370314424486843,-0.5964208553402888,-0.6687398244632997,-0.9471208871926947,0.8291781170037366,-0.8746223882186305,-0.752252025113146,-0.47885052122617283,-0.024630098490826313,-0.7563574419175781,-0.5590147698460374,-0.7114317938841035,-0.30878300392099944,-0.32374607578740255,-0.8242369439567591,-0.15371820112957701,-0.7894593452263581,-0.8915084145048756,-0.8615671095808741,-0.8421216849401878,-0.8743935960612845,-0.854162462797288,-0.7438262948238663,-0.8691110723891222,train,0.45425867507886436,1
3,-0.7320855033585905,-0.5582064502200235,-0.4407704800802721,0.52616735996813,-0.9268122701350089,0.0716431892983842,-0.6382560904485104,-0.752192702006907,-0.6517772698183645,-0.8735128213165435,-0.9261956899195432,-0.9078393866480013,-0.9031718715497188,0.09449932198307631,-0.14780030009494693,-0.7320210771854712,-0.802240292143615,-0.9050128102135933,-0.7586476833881833,-0.2306172142428623,-0.7485720058653264,-0.934626361016033,0.7486241865186104,-0.8458147077692839,-0.7972995010013693,-0.4679547290411705,-0.1356103395502557,-0.744377556138758,-0.6217784167652085,-0.7505279931444236,-0.46726100272758775,-0.37455240426419545,-0.6736995820974854,-0.20028784283282441,-0.7760842981298693,-0.847245442689114,-0.9040535648718449,-0.8171138744264215,-0.8098149111248674,-0.8372339914558957,-0.7259845953401927,-0.8599961584454022,train,0.6813880126182965,1
4,-0.690262144721995,-0.5015396262377869,-0.4665160114646829,0.5025401786415893,-0.9502043701984384,-0.03503323767375954,-0.666106155483299,-0.6060164604976143,-0.6532151810402227,-0.8657501170084686,-0.9547598713344007,-0.9248004839066465,-0.8794714638235303,0.042843126843561175,-0.08743055001142697,-0.7285569955471136,-0.7605088291996659,-0.9454136552073212,-0.5657917319959024,-0.5391263091443061,-0.8055408698250903,-0.9249141073860798,0.5548074339232366,-0.9189759554941104,-0.7943651342607025,-0.5589047366990516,-0.19084204745826516,-0.7626961515160802,-0.5996027461330412,-0.6864940096731771,-0.298098258819942,-0.6129656725333592,-0.8501626416179653,-0.21885685862118054,-0.8046915733715011,-0.8980639994049987,-0.8326508837094985,-0.7920474493654117,-0.8693367438590955,-0.8382900306601192,-0.7828898354590452,-0.8087152384401046,train,0.9085173501577287,1
5,-0.7857623089412975,-0.5388636813373104,-0.4732900914663939,0.440289068813726,-0.9416793485373964,-0.12736173878484236,-0.6634637402362584,-0.7178846510814247,-0.6005848283567647,-0.8580929281550793,-0.9154041131720412,-0.8997803038402067,-0.892976354081531,0.009157944017222142,-0.23408205647801872,-0.7452095533427538,-0.7986938813154415,-0.8951320834516949,-0.6291816117805029,-0.287739233746221,-0.7147258533473291,-0.9225399999642699,0.5649285087527879,-0.8282858853426903,-0.8233184682703735,-0.5553728240880145,-0.17684530492723682,-0.8193321087351713,-0.5864442888138526,-0.7269744398589799,-0.39809684888777475,-0.3472107837749704,-0.7051961682712282,-0.23755773814073744,-0.8259809903528121,-0.8561114302799475,-0.8504632261862133,-0.8148802949943159,-0.8271392472231642,-0.8482345252865477,-0.8169206560074654,-0.7949085866481809,train,1.135646687697161,1
6,-0.9001940807120337,-0.5346279311139019,-0.5552037031770598,0.41544877876356434,-0.9351909802603062,-0.1763586635913923,-0.6796181911846785,-0.6219613431416788,-0.5728738809017446,-0.8613350505913698,-0.9234396288105364,-0.9210195939727669,-0.8724048467109059,0.06173006807423698,-0.2956134657151447,-0.7513815480157247,-0.8319277499046992,-0.8259339268676273,-0.585932825865632,-0.29533040822168055,-0.7396520195531243,-0.9249100821598742,0.5440510846155359,-0.8315340907970451,-0.7916210413232909,-0.4775774345850694,-0.13519224583194434,-0.8173998988202444,-0.624041134178273,-0.7084492753742275,-0.41223403951441906,-0.5615907636167747,-0.6823177056908606,-0.24250750108008612,-0.8468136769423589,-0.8940505537981247,-0.8741280743707376,-0.8264010827192123,-0.8087551289049486,-0.818828985104708,-0.781044790554536,-0.8188594631582354,train,1.362776025236593,1
7,-0.8313336257554989,-0.5650273591272219,-0.4995687615289486,0.41383928776928336,-0.930190757886671,-0.22709533325330322,-0.6730005528821728,-0.6949028901917014,-0.7123776942089997,-0.8746027902886037,-0.9383114487974278,-0.9304705753197412,-0.8927699000688422,-0.048861260625051806,-0.19042457455174,-0.7507673658843244,-0.8542925541724731,-0.8110616960510906,-0.5913381668690607,-0.12696004046535048,-0.7644342862826332,-0.9243499420806864,0.5483256613651818,-0.8104013524148862,-0.7998418828550911,-0.497569839283467,-0.22769736155718,-0.8187758987338836,-0.6785619327935342,-0.6710387937560639,-0.34110501450093944,-0.46009795031263745,-0.7787549502063602,-0.19570392249147184,-0.8231988540094514,-0.8827422138811651,-0.8455598156356812,-0.8299852878797389,-0.7905406656746715,-0.8535199053753202,-0.8378122633754952,-0.7920374405881598,train,1.5899053627760253,1
8,-0.7400013421761942,-0.5529020551028606,-0.37371847029136196,0.31476402049781593,-0.9189645050089215,-0.2577703441110861,-0.6399106821630065,-0.7628157622239934,-0.5281714367140657,-0.8764821283185344,-0.9399225845348431,-0.9403658372817696,-0.8923514398597151,0.17674674318984418,-0.2355374682807866,-0.7463729084782884,-0.8770715970395855,-0.8844979050234936,-0.6269151241202041,-0.2109962240180676,-0.7407368094520059,-0.9249819173597871,0.4417418153017273,-0.7946889061560918,-0.7896248813056698,-0.530166188577003,-0.3747822946320971,-0.6783752419102107,-0.6058107410122906,-0.7158532257790637,-0.29758966452397373,-0.6016551738743676,-0.5521047325551731,-0.28032214204018413,-0.8053606414997728,-0.9059900415213552,-0.8395011793801871,-0.8491686645754646,-0.7985081408294726,-0.8124258270303031,-0.8719961905119898,-0.7970096877942986,train,1.8170347003154574,1
9,-0.6191311790387464,-0.5447480482012332,-0.28055245822256747,0.32561972826740226,-0.9255343532570453,-0.40916222458429785,-0.7001196260201572,-0.7106105635732097,-0.5820851294894449,-0.8348944548579044,-0.9459304376749995,-0.8731887805184511,-0.859581574757106,0.07059229074452222,-0.17077875309803447,-0.7691155219209783,-0.8373963259374588,-0.8308992554439515,-0.549668905502802,-0.09121564660259562,-0.7643485952410506,-0.8785262468762335,0.40502575455356393,-0.7964140279164558,-0.828942469820376,-0.5281517316705622,-0.24813886621900516,-0.8085352498143166,-0.6159402768234874,-0.668208338709329,-0.49358783665934924,-0.5693306618976146,-0.7517554083787279,-0.257062800172588,-0.8198927494102005,-0.8776535226376525,-0.8415751554631457,-0.82792168426559,-0.8357838551248978,-0.8597634445371678,-0.7665963779004701,-0.8381356868932681,train,2.0441640378548898,1
