,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.005474497609338816,0.004730925828551936,0.3335601281932311,0.3534552277704003,1608,1608,0.3280856305838923,0.34872430194184834
1,2,0.010821167654721771,0.009643266664747418,0.2938015681990343,0.3200627382128795,962,962,0.2829804005443125,0.3104194715481321
2,3,0.009130816014512608,0.009178389706273216,0.3317888824110613,0.3103496561052554,961,961,0.3226580663965487,0.3011712663989822
3,4,0.008813407924057659,0.008464611726630083,0.28745062093832163,0.2937686266106027,1052,1052,0.278637213014264,0.2853040148839726
4,5,0.01686223614622652,0.015863949061830314,0.23864554866336338,0.2485746633557504,1051,1051,0.22178331251713684,0.2327107142939201
5,6,0.006580917903311361,0.005552788373707919,0.240836031789498,0.25348892531796724,1520,1520,0.23425511388618664,0.2479361369442593
6,7,0.009131897877777592,0.009190233696043965,0.22871738048802415,0.23231037689129605,961,961,0.21958548261024655,0.22312014319525209
7,8,0.005479472117122754,0.004420647758200117,0.2135510979151004,0.20042984334360217,1521,1521,0.20807162579797767,0.19600919558540206
8,9,0.009127527126738009,0.009188022720251744,0.18476256428602797,0.19941994700179932,961,961,0.17563503715928996,0.1902319242815476
9,10,0.010661531294598972,0.009924960843233062,0.18481329486024037,0.22891961840579375,1482,1482,0.17415176356564138,0.2189946575625607
10,11,0.010821912198302216,0.009644209961992034,0.17221351782466332,0.17991587284145663,962,962,0.1613916056263611,0.1702716628794646
11,12,0.011017656067576268,0.0097781564635345,0.16610860921896778,0.1672646577073977,1053,1053,0.15509095315139151,0.1574865012438632
12,13,0.01689966974125687,0.015835982387238642,0.15079577964871094,0.16624748802463118,1051,1051,0.13389610990745407,0.15041150563739253
13,14,0.010191921948943748,0.0085688384428602,0.1645462143750538,0.15693180328182346,1463,1463,0.15435429242611004,0.14836296483896327
14,15,0.008812124154637817,0.008461236443672929,0.13586630134738384,0.14927212086238764,1052,1052,0.12705417719274603,0.1408108844187147
15,16,0.016860085866692617,0.015855533486860963,0.1239287583137655,0.13973414151644875,1051,1051,0.10706867244707288,0.12387860802958779
16,17,0.0067464443968709995,0.0069937444248943225,0.14394943299475613,0.15814480788656526,962,962,0.13720298859788513,0.15115106346167095
17,18,0.005480087804730954,0.004420194569332671,0.1450277023065246,0.11594412266411315,1521,1521,0.13954761450179365,0.11152392809478048
18,19,0.007561578289890792,0.006432369682636352,0.15027458752067202,0.15827646198037,961,961,0.14271300923078123,0.15184409229773363
19,20,0.016870206677211796,0.01589467279440375,0.10315537540988909,0.12466262840506379,1051,1051,0.08628516873267729,0.10876795561066004
20,21,0.006580650937165131,0.00555255868658219,0.12387302344977964,0.1298745938586409,1520,1520,0.11729237251261451,0.1243220351720587
21,22,0.0108214729540632,0.009657881736831023,0.12784935473868955,0.13884343834243576,962,962,0.11702788178462635,0.12918555660560474
22,23,0.00881855498225595,0.008468244074918009,0.10502179746887358,0.11619859704461827,1052,1052,0.09620324248661763,0.10773035296970027
23,24,0.005480510119146902,0.004420967195014048,0.11853958755392048,0.09724803452116416,1521,1521,0.11305907743477359,0.09282706732615012
24,25,0.016893025918056193,0.01587357998614318,0.09018590575842504,0.11470194479955044,1051,1051,0.07329287984036885,0.09882836481340726
25,26,0.005470232399333044,0.004727335006017341,0.1478069319637469,0.1465050497834257,1608,1608,0.14233669956441386,0.14177771477740836
26,27,0.010201717660523203,0.008555782364643967,0.10351337545279045,0.10615374794090955,1463,1463,0.09331165779226724,0.09759796557626559
27,28,0.007561960351030491,0.006422034662274153,0.12086984409895693,0.13827708591342153,961,961,0.11330788374792644,0.13185505125114738
28,29,0.011030034698820383,0.009792433735957496,0.10559110047042912,0.10861054336244952,1053,1053,0.09456106577160873,0.09881810962649203
29,30,0.0065801236371644265,0.005552807249960851,0.0989642163936162,0.1106810537211176,1520,1520,0.09238409275645178,0.10512824647115675
30,31,0.006745765721237446,0.00699472779433656,0.09453908514951723,0.12039550397503573,962,962,0.08779331942827978,0.11340077618069917
31,32,0.005477601033474672,0.004725956368337289,0.12146444522324512,0.13582143931394086,1608,1608,0.11598684418977045,0.13109548294560358
32,33,0.007560440590984213,0.0064339548283815365,0.10713098324263512,0.13286672763881077,961,961,0.09957054265165091,0.12643277281042922
33,34,0.009145726688249502,0.00917715789351169,0.07854057140853522,0.1190875575587469,961,961,0.06939484472028572,0.10991039966523522
34,35,0.006581212082123263,0.005552265346715035,0.08851556129534277,0.10895357471328666,1520,1520,0.0819343492132195,0.10340130936657163
35,36,0.008799608836315621,0.00845746456669743,0.09039782940293614,0.09699634477294303,1052,1052,0.08159822056662053,0.08853888020624559
36,37,0.008816993596667039,0.008459218308037397,0.07557397249467833,0.08833821634571767,1052,1052,0.06675697889801128,0.07987899803768028
37,38,0.009125795336127574,0.00917889582970473,0.07084227623575831,0.11141279658851179,961,961,0.061716480899630735,0.10223390075880706
38,39,0.0054796151678144925,0.0044208003547982115,0.09684810527060407,0.08081468405150606,1521,1521,0.09136849010278958,0.07639388369670785
39,40,0.010192218980750798,0.008561319795106841,0.09072915816409437,0.09507728695153779,1463,1463,0.08053693918334356,0.08651596715643095
40,41,0.010996954888538128,0.009782106405772826,0.09612255812113302,0.10245154467148893,1053,1053,0.08512560323259488,0.0926694382657161
41,42,0.006580883383806379,0.005554029345010374,0.08693464104149469,0.10421670834322605,1520,1520,0.0803537576576883,0.09866267899821568
42,43,0.007555250284568772,0.006424099366652026,0.10235740905739696,0.13267009820199266,961,961,0.09480215877282819,0.12624599883534063
43,44,0.007562797551112699,0.006425829625784509,0.09432388346222777,0.1335833722789068,961,961,0.08676108591111507,0.1271575426531223
44,45,0.010197690902124674,0.0085760765475581,0.08830792587530452,0.09798161818577077,1463,1463,0.07811023497317984,0.08940554163821267
45,46,0.010653789116254551,0.009922846103170376,0.08494750382214733,0.10783812914247637,1482,1482,0.07429371470589277,0.097915283039306
46,47,0.009142735376715724,0.009195505047383779,0.06718932102183837,0.1099983615487138,961,961,0.05804658564512265,0.10080285650133002
47,48,0.0067486341304625,0.006993761008689138,0.08534197291663627,0.11205271144236524,962,962,0.07859333878617376,0.10505895043367611
48,49,0.006751169759400548,0.006990772957899343,0.0776225504177903,0.11018619789276397,962,962,0.07087138065838976,0.10319542493486462
49,50,0.006742864855993353,0.0069866225654433125,0.0718794634935795,0.10947977994673219,962,962,0.06513659863758615,0.10249315738128888
