,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.2568594610040381,-0.3633792701622985,-0.03738708696853561,-0.09006503129613236,-0.12157727334696575,-0.4152252194695955,-0.38940516072872844,-0.2234880592379045,-0.204582281044429,-0.422391708551609,-0.37148484032165996,-0.1549185286518671,-0.07663872663322413,-0.022717809800257584,-0.4087823535499928,-0.33288365426196975,-0.3200593997709396,-0.28559318549958784,-0.0412251577826606,-0.050256365962378,-0.34535584608774433,-0.4554742576797408,-0.45128469899269746,-0.32865000259116695,-0.26796358725331143,-0.00218873778693391,-0.08074867347941393,0.024641737422112443,-0.09417818784413358,-0.24507140366430663,-0.35600305989150416,-0.33484242848744766,-0.3737365150306207,-0.14787460659260618,-0.0645822513528242,-0.27363288203505176,-0.06970968005904613,0.0032107797123486076,train,0.0,1
1,-0.4020252378814627,-0.4904514713200335,-0.049454466827994585,-0.16522712595548228,-0.18714260477492298,-0.5606569457554234,-0.5498516044408874,-0.2498174549206323,-0.21980496757684556,-0.5881112567292217,-0.5296037554145188,-0.15425604658566983,-0.09879756890001479,-0.017000780665501806,-0.515953608030248,-0.44823861426909356,-0.42123680815896536,-0.4109258341559019,-0.0405657177705251,-0.04893019988807123,-0.44303753597635875,-0.6340455258047019,-0.592697081774089,-0.4132570367937488,-0.33328330185650784,0.028936175896561535,-0.0732239270541868,0.05137733497854008,-0.10301300171188325,-0.3306674955571521,-0.4502813433491743,-0.4240242916026927,-0.47981972198825756,-0.17767976629407883,-0.08843274178756691,-0.35203933203123783,-0.0865533589127421,0.07118706471743996,train,0.34427797258527254,1
2,-0.4934329584670934,-0.5624223365757202,-0.04984378076495358,-0.20811477625501767,-0.22653048532501568,-0.6474170029490296,-0.6517731753433057,-0.2654144815872599,-0.23539634505732882,-0.6974682057692415,-0.6243634708268235,-0.15298905799531876,-0.12148602632060734,-0.013804802474014128,-0.5806158802479795,-0.5150398291502083,-0.48212223714708025,-0.4926587423632074,-0.04245683641279878,-0.05482121386194275,-0.5095179758405199,-0.7463650494009095,-0.6815466786749327,-0.4639127909005675,-0.372316096893265,0.04405901535930259,-0.07350945871164467,0.07478293415402955,-0.11448552082817934,-0.3848040888554547,-0.5112303405666969,-0.4793151578536169,-0.5474878640859258,-0.19714330548271214,-0.10408773875421337,-0.3989635761842349,-0.10002109941640658,0.11152894426404475,train,0.6885559451705451,1
3,-0.5500611312665126,-0.6055699704097747,-0.04858705529211736,-0.22822491069272277,-0.2455709730529305,-0.6945740102600886,-0.717050791718544,-0.26386999032498604,-0.2339033968105112,-0.7609121458415848,-0.6754445603840113,-0.13494947274902797,-0.13458350204916697,-0.011989106637282405,-0.6157187628223248,-0.551971157013123,-0.5152008503629606,-0.5393698336455387,-0.03552215646326452,-0.05734770362214769,-0.5415682517862354,-0.8117901345769354,-0.7355890193412318,-0.48479145671288326,-0.3839852876543607,0.059583917607868846,-0.06573472009088371,0.09942754098298075,-0.11929426791502065,-0.4140791214556658,-0.5413830172898059,-0.5141706022587925,-0.5865455275044826,-0.2089351224602291,-0.10820171200737949,-0.42017909287643124,-0.10174584266458819,0.1456662345676395,train,1.0328339177558177,1
4,-0.5896429505184068,-0.641906584115847,-0.050251671576133444,-0.2488160763993829,-0.26655031067912704,-0.7258413766320493,-0.7608055139713094,-0.26718255051486733,-0.2386063834067132,-0.8046952581708798,-0.711003967364255,-0.13625923683940694,-0.1418634005356774,-0.0072165707469653145,-0.6475663704385246,-0.5725752786107499,-0.5445212034604523,-0.5771797853494761,-0.041349692161946415,-0.05901548488789166,-0.5660012074071655,-0.8496417621305218,-0.770158892725703,-0.5064784051592691,-0.4045535735666891,0.06574257756728541,-0.06147693037453328,0.10945716662431315,-0.12220085270320236,-0.4427145740735766,-0.5661639004336696,-0.5342023353553033,-0.6144869692702293,-0.21522054556887776,-0.1078619852812348,-0.44125117901194,-0.10581477319769808,0.15847189430801376,train,1.3771118903410902,1
5,-0.6198398698948583,-0.6696321057803469,-0.048757720245440735,-0.26594254231919756,-0.28500196451718673,-0.7508123104592233,-0.7932253726381038,-0.2697089188398428,-0.2403076348483759,-0.8419349655436587,-0.7396924310785445,-0.14078430526740465,-0.14224319418524078,-0.0022100294665345537,-0.669509593127996,-0.5957767167707779,-0.567325498823475,-0.6080912472964572,-0.05029597968347834,-0.0654231070621087,-0.5887045527057378,-0.885774304437046,-0.8003617135173107,-0.5337657971257661,-0.4249071533207823,0.07101132981173966,-0.0607355891344896,0.12104751089079416,-0.12696353841651709,-0.4618189789926105,-0.5866628758939854,-0.5535585039393321,-0.6392569633882237,-0.21988922211170947,-0.10918746354741052,-0.4563010251341452,-0.10765026252777432,0.1703457132023979,train,1.7213898629263626,1
6,-0.6219004146269637,-0.6747009249416609,-0.04832212906599394,-0.2620182769665665,-0.28553784376255337,-0.7600935507144893,-0.7987125384616065,-0.2697237543151548,-0.24246561160496755,-0.8461999657423095,-0.7441330172777963,-0.13987994115739083,-0.14310812843689083,0.003940099188029596,-0.6744819171560203,-0.6001070502029608,-0.568447247362514,-0.618602482275967,-0.04944226028206736,-0.07628132978198729,-0.5988822432789987,-0.9028247073932314,-0.8015948222598764,-0.5443563397841614,-0.4354011783497297,0.07398028544821794,-0.05899821676510936,0.12412732370054902,-0.13998409032441902,-0.47265724541424625,-0.5956365321152106,-0.5565688784545696,-0.6462267126780532,-0.2245269770400458,-0.10871973274079175,-0.46518288356491216,-0.10372228029393639,0.17353544450292,train,2.0656678355116354,1
7,-0.6334979980842935,-0.6859770050911613,-0.04971895681877742,-0.2660953185111947,-0.2910169369437298,-0.7724650776561044,-0.807206722193958,-0.2694747131674278,-0.23715661152007822,-0.8616946727049191,-0.7591015174008008,-0.13795240915629353,-0.13838074408958875,0.005034363978637655,-0.6851874174620008,-0.6082875443411377,-0.577519306111221,-0.6252464357459557,-0.04970071730845911,-0.07498173279202297,-0.6025888120295146,-0.9173483682442599,-0.8156052265547115,-0.5557383393255684,-0.43840770238921667,0.08170590760798105,-0.053954547300291,0.1334580100191573,-0.13916012883843715,-0.479827492446263,-0.6012846938773833,-0.5597725505105865,-0.6556524546828726,-0.22713068640236161,-0.10695883911586582,-0.4726171144312398,-0.1003523860666043,0.1835540366383576,train,2.409945808096908,1
8,-0.6472553548673243,-0.6885011922971982,-0.04598995535009234,-0.2778172883841028,-0.30048483632950335,-0.7853825924558158,-0.8226674021709259,-0.27235982532083436,-0.23657506279625962,-0.8758602669520674,-0.7683288419862345,-0.14329884495066475,-0.1335806014092021,0.014724446751753174,-0.6903303382523935,-0.6134080278578002,-0.5936882875765447,-0.6358890417616173,-0.04620854724636995,-0.07292724749583913,-0.603055703918533,-0.9354255294759235,-0.8360349905677679,-0.5622150901724494,-0.44375534873191125,0.08918705803790858,-0.04941038823897469,0.13867341416300089,-0.13847581555940136,-0.48905125020164775,-0.6129210335252757,-0.56632729196094,-0.6634337106264266,-0.22704724591928976,-0.10748316721067872,-0.4758476578027406,-0.09402401604353225,0.19568007366754622,train,2.7542237806821803,1
9,-0.6461280058445195,-0.6882044348359306,-0.04624871369285975,-0.2707416082391361,-0.3016187955882105,-0.79180168693917,-0.8195669772728575,-0.273788948037929,-0.2409763106602109,-0.8786269623043412,-0.7734106709408118,-0.14585019933810883,-0.13154535658266014,0.015952600829300605,-0.6965292594805517,-0.6157617934754538,-0.5943064238710727,-0.6400353799536861,-0.04986159680215956,-0.0824861493238726,-0.6108945998817004,-0.9432714596746169,-0.8330210216450018,-0.5718172392351365,-0.4550466189389486,0.08804165650005574,-0.04957062940731019,0.13949875930991085,-0.14417128590673384,-0.4947266589889549,-0.6156539666551026,-0.5665772863859568,-0.6619858195200692,-0.22675338792084598,-0.10741956610658959,-0.4762882222680451,-0.09103009766181334,0.19034345978973718,train,3.098501753267453,1
