,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
10,-0.23589908,-0.067772806,-0.124518976,0.07877986,-0.094196185,-0.07199925,-0.056353632,-0.08136389,-0.34468037,-0.24122739,-0.18171364,-0.10187213,-0.14732277,-0.03902781,-0.2898881,-0.10669652,-0.16511546,-0.3848347,-0.18856984,-0.44351637,-0.05447413,-0.24020544,-0.23932016,-0.049915038,-0.21149072,-0.043693062,-0.23754804,-0.23877817,-0.23875566,0.13929574,-0.3386408,-0.19772138,-0.29160124,-0.13034888,-0.13669808,-0.27318215,-0.30139327,-0.16717394,-0.37838537,-0.11342469,-0.15521711,-0.28260365,-0.2994851,-0.024019733,-0.22243597,-0.022728093,-0.20651346,train,3.2618544,1
11,-0.24796192,-0.07924386,-0.13553539,0.09098531,-0.09923802,-0.09272802,-0.070835605,-0.0784677,-0.35328194,-0.24049419,-0.18043193,-0.1006357,-0.14873984,-0.03589891,-0.2980425,-0.1021761,-0.18913211,-0.37946832,-0.19084854,-0.44236785,-0.061757736,-0.24551378,-0.24489027,-0.052069645,-0.21838376,-0.048050534,-0.22872677,-0.2444816,-0.25286815,0.1308876,-0.35568827,-0.1908871,-0.29218638,-0.13843,-0.14375211,-0.2750251,-0.31441826,-0.17404924,-0.39499217,-0.121158026,-0.15270782,-0.27697945,-0.29839158,-0.025829151,-0.21328568,-0.023363037,-0.2178941,train,3.5880399,1
12,-0.2518871,-0.09331219,-0.14078416,0.10767531,-0.1053772,-0.0975333,-0.07801245,-0.091363125,-0.3627387,-0.2324456,-0.1826204,-0.105968356,-0.14917338,-0.032936793,-0.304132,-0.10733093,-0.20278876,-0.3861965,-0.20050547,-0.43517753,-0.07304029,-0.24319845,-0.24809897,-0.04256337,-0.21462223,-0.044170503,-0.21560037,-0.25680938,-0.24673936,0.1423854,-0.36117095,-0.19139,-0.2776479,-0.15331902,-0.13380358,-0.27707234,-0.33565432,-0.17484394,-0.40849957,-0.10564195,-0.1498008,-0.26057324,-0.28398842,-0.024099246,-0.20184112,-0.027121508,-0.22930136,train,3.9142253,1
13,-0.27011225,-0.08854923,-0.15271316,0.109417446,-0.116888046,-0.10993436,-0.089118496,-0.08939149,-0.38681185,-0.24169396,-0.1812925,-0.11626224,-0.16967446,-0.031214166,-0.32828897,-0.11559814,-0.21918502,-0.39426184,-0.21432202,-0.44851658,-0.07966271,-0.23180743,-0.27248397,-0.040125236,-0.22649011,-0.061413188,-0.21042085,-0.28031704,-0.2501247,0.14106266,-0.3679276,-0.2079303,-0.28476387,-0.1697699,-0.154579,-0.29502475,-0.34634438,-0.1889959,-0.43037784,-0.0889169,-0.14670235,-0.26396903,-0.27434608,-0.027293637,-0.21230114,-0.04095502,-0.23895457,train,4.240411,1
14,-0.27421817,-0.09428236,-0.15644217,0.11774173,-0.11946254,-0.11307163,-0.08262606,-0.0986555,-0.3757227,-0.24392724,-0.18220416,-0.11349613,-0.16886124,-0.031916756,-0.33227798,-0.11002952,-0.20643808,-0.39141554,-0.21350984,-0.4428249,-0.08027613,-0.22820279,-0.27849483,-0.045211572,-0.22816482,-0.06248578,-0.20889825,-0.2679155,-0.2574111,0.13751476,-0.3693084,-0.20901917,-0.2906451,-0.16529614,-0.14449444,-0.29928976,-0.34648427,-0.19503675,-0.43897524,-0.0847086,-0.14603387,-0.26093507,-0.2589211,-0.022905327,-0.21656512,-0.04409075,-0.2335774,train,4.566596,1
15,-0.29377577,-0.0862474,-0.17450939,0.11570843,-0.13137227,-0.13366392,-0.08867575,-0.07607676,-0.3944499,-0.25683624,-0.1828227,-0.123931825,-0.193342,-0.034398384,-0.3478031,-0.10631995,-0.2307231,-0.39081204,-0.22401084,-0.4558752,-0.075197645,-0.23842913,-0.28966123,-0.055826403,-0.24107671,-0.0747924,-0.20736174,-0.29341292,-0.27335122,0.11763055,-0.38369238,-0.21512496,-0.3019194,-0.17787197,-0.17413352,-0.3112208,-0.36099166,-0.20994654,-0.4580687,-0.08465457,-0.14844961,-0.2757332,-0.25562146,-0.018321343,-0.21968463,-0.04661058,-0.24264374,train,4.8927817,1
16,-0.30144197,-0.08250573,-0.17630398,0.10786574,-0.13480352,-0.14490086,-0.09332107,-0.06905969,-0.41120756,-0.2666606,-0.18849564,-0.1431295,-0.22667985,-0.03680558,-0.3640254,-0.09979503,-0.24785425,-0.39100254,-0.23137118,-0.45857522,-0.08889773,-0.23585674,-0.30415797,-0.054900177,-0.25099257,-0.08710909,-0.20844115,-0.31559786,-0.29495555,0.10921362,-0.38767052,-0.22908172,-0.30760384,-0.18765643,-0.18724631,-0.31936616,-0.36840993,-0.22633505,-0.48106796,-0.079924524,-0.1485832,-0.29776308,-0.25737345,-0.02514188,-0.23616189,-0.049128704,-0.25358322,train,5.218967,1
17,-0.30063727,-0.07976519,-0.16893311,0.09450724,-0.13859643,-0.142152,-0.087562665,-0.07013677,-0.40854117,-0.27259198,-0.19432181,-0.14409931,-0.23275411,-0.03898248,-0.36337525,-0.09190737,-0.24057534,-0.38994676,-0.23652038,-0.45495102,-0.099896245,-0.23253676,-0.31841177,-0.06100048,-0.2605791,-0.082437694,-0.20788196,-0.31593335,-0.30569074,0.10471247,-0.3837214,-0.23270848,-0.3123226,-0.1855404,-0.18798077,-0.3241567,-0.36100596,-0.22930768,-0.4831049,-0.08236137,-0.1440736,-0.30524656,-0.25257474,-0.027802296,-0.25081068,-0.052920744,-0.25227267,train,5.5451527,1
18,-0.30357477,-0.07111199,-0.17037216,0.09028024,-0.14435582,-0.14773902,-0.08703831,-0.05678975,-0.4244704,-0.27289975,-0.18554637,-0.14801943,-0.2506452,-0.043799233,-0.3722562,-0.090849325,-0.25434738,-0.38783854,-0.23640443,-0.4651908,-0.10525202,-0.22942851,-0.3268462,-0.056784414,-0.27302817,-0.090994716,-0.2111083,-0.33260542,-0.31576306,0.09301033,-0.38887155,-0.23718354,-0.3133126,-0.20075685,-0.20436138,-0.32737806,-0.36565483,-0.23392794,-0.485609,-0.07353352,-0.1440132,-0.3156394,-0.25480646,-0.037012167,-0.25444758,-0.06001211,-0.25031143,train,5.871338,1
19,-0.31431454,-0.061203104,-0.18177873,0.08169415,-0.14806053,-0.15706472,-0.09118755,-0.045067128,-0.44058022,-0.27932522,-0.18736821,-0.15384033,-0.27700716,-0.046629667,-0.380394,-0.086329326,-0.26836073,-0.39724135,-0.2517451,-0.4797773,-0.1049901,-0.23132467,-0.33651367,-0.05784876,-0.2828731,-0.0900961,-0.2104511,-0.34538803,-0.32378888,0.08854646,-0.39707375,-0.25517532,-0.318299,-0.20463468,-0.21861273,-0.33553913,-0.36712897,-0.24264935,-0.4974555,-0.065157056,-0.15373236,-0.32861522,-0.25491655,-0.032328762,-0.26588643,-0.07460749,-0.2523703,train,6.1975236,1
