,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAR,PVNL,PVNR,RIBL,RIBR,RID,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.17149780705253875,-0.12883292513264294,-0.14486542794200846,-0.1835095850850732,-0.016869019059778702,-0.13408986695034944,-0.10613463422809158,-0.12757867572666137,-0.12239751528607587,-0.027520507453212932,-0.2923411330543576,-0.3782478363837397,-0.1843572841993632,-0.19300503723356344,-0.1726709775426618,-0.21676875218926783,-0.17898851878939775,-0.1663543888127997,-0.1716162283890807,-0.14930156055116578,-0.2705009741533124,-0.3439466644663221,-0.3807994046877498,-0.2086355891433737,-0.3552675389509977,-0.28238759133279023,-0.18368476746793308,-0.37594591299524105,-0.31782386188634654,-0.17465116467717026,-0.22191283388376498,-0.1725127719259951,-0.17414839362004836,-0.3793505959560633,-0.3200511809484715,-0.061966858182811696,-0.37700362825309497,-0.044023943592839926,-0.14651160736742497,-0.10516688631330683,-0.17941197248453938,-0.17206752039833323,-0.17235936634270876,-0.2702839524130045,-0.3001524151035144,-0.23408917558510176,-0.30393205788980704,-0.04180854963575614,0.021375996349473833,-0.35385745707008154,-0.12772614016998038,-0.07544425469099979,-0.1919234620670242,-0.32104622210506495,-0.28327433258360313,-0.16080615164028988,-0.08656304644658422,-0.21885455094802614,train,0.0,1
1,-0.2232568174155697,-0.14515404481757932,-0.15236942155391145,-0.19668318272317864,-0.02904916754827229,-0.16139500239777427,-0.16846432036156805,-0.11512980419980248,-0.16567266565519992,-0.028579220921119593,-0.3987718481860808,-0.48463225457415365,-0.22109441574682917,-0.20679696270735748,-0.2379648865513183,-0.2833465965661732,-0.1827924573395317,-0.2376811731577864,-0.19684499582426718,-0.2100875818785052,-0.3296438691585294,-0.43367255810733296,-0.4893063550826228,-0.25913147110188506,-0.4405889226015436,-0.3974093450125948,-0.2123622271157357,-0.496766064318961,-0.39838825528803035,-0.26816409368429056,-0.31832691218902776,-0.18793151688848797,-0.18462451781046527,-0.5093042364591407,-0.43813971602933577,-0.10139622908289693,-0.5120868921714192,-0.06656467747415631,-0.20928993906090088,-0.10812109654972013,-0.27859894756710574,-0.22986248119714617,-0.23610636532716603,-0.35387332261112764,-0.41166757897689754,-0.33213722319835204,-0.36809696644371936,-0.08614999483557877,0.01514926461810762,-0.42681980753507787,-0.12749125889365498,-0.08169684470506125,-0.24480861640967458,-0.37773621443932004,-0.37620905523275033,-0.25414769371350454,-0.11511874969851671,-0.23167124148605078,train,0.32608695652173914,1
2,-0.24876122862450945,-0.16141062713583873,-0.15500125614728674,-0.18961146502891846,-0.022456073173888105,-0.16065039658464494,-0.21059112938911673,-0.11595194176859547,-0.18647045222486064,-0.029736080493502737,-0.45829172288786607,-0.5392695266628261,-0.23961865703851207,-0.2194225844491891,-0.2624074245198428,-0.32177141922657093,-0.19108705622447486,-0.2735533812166223,-0.21239609774891768,-0.24966248329187524,-0.36093070340619504,-0.4812856462052715,-0.535111670125348,-0.27755225226443675,-0.47837991268303004,-0.4557200151865504,-0.23672488779979867,-0.5642867584205806,-0.4407325421920416,-0.3195768324049541,-0.3695862608751812,-0.19461551666158936,-0.19894672459273863,-0.5686593719274449,-0.48447221366105464,-0.12247984022519676,-0.5740931221959364,-0.08903070479973371,-0.23795385068803288,-0.11009901333733066,-0.3363775730082718,-0.2685003405974462,-0.2595513355338548,-0.39775493541968154,-0.4703764676005836,-0.3935017409442928,-0.4106216730018899,-0.10653408566076607,0.001962185415436555,-0.4584600993244522,-0.12118756393019631,-0.09165764777623311,-0.2689253401750943,-0.4118802004251314,-0.428123922879841,-0.31538305265133737,-0.14556129453380412,-0.22816286843620284,train,0.6521739130434783,1
3,-0.2652692021214125,-0.177463065225961,-0.15847298902073126,-0.18915848167917004,-0.027238177220159948,-0.15593577119182342,-0.23266175054046478,-0.11464221132346537,-0.20472547881263853,-0.01891786117676379,-0.479243132399244,-0.5660262918550725,-0.2435094637774852,-0.223145430245514,-0.27670477867776405,-0.34109534171931094,-0.18390052149589592,-0.29320661225664285,-0.2180940216618008,-0.26636161518065904,-0.37794221748828544,-0.5062474658851976,-0.56078887803728,-0.29335379756652225,-0.49247032485205866,-0.48499640389594945,-0.2459799028583522,-0.5916792030444008,-0.46202805720383344,-0.34210659738086413,-0.3942819346287776,-0.19385258126680371,-0.2011427691110295,-0.5951951661660226,-0.5186111537117677,-0.13853458758060083,-0.6028487571977009,-0.09431382153889284,-0.25776067178605633,-0.10406349485779846,-0.36867268780430373,-0.28741524688678943,-0.26423717975049993,-0.4121063727567277,-0.508584773398232,-0.43000549313706093,-0.42774381786510907,-0.12105957759996956,0.0018098231268071224,-0.4804796879368489,-0.12223487802708315,-0.09142191331182181,-0.278451232853661,-0.4364824714943628,-0.4580921188179561,-0.35765452067686454,-0.16536301227028222,-0.2304917259554258,train,0.9782608695652173,1
4,-0.2702100961973101,-0.18737723909814713,-0.1623205870332866,-0.1936524963154767,-0.019364565274956752,-0.14478172466492165,-0.2439846454582128,-0.1142086395490454,-0.21148756032301289,-0.010052500907622929,-0.49490147099573356,-0.5782215701280812,-0.24620700189424802,-0.2251662289787416,-0.2794838743942518,-0.35416933260908484,-0.18406942891711464,-0.30866805926445595,-0.21925600644087068,-0.2745662782413234,-0.3823564962240409,-0.5149151589811595,-0.5689377899005497,-0.30161054198631027,-0.49377696234340795,-0.4979776738725516,-0.25350863098789,-0.6054396476652291,-0.47547100660912045,-0.3514727577964827,-0.4057153645886784,-0.19707153919197296,-0.2013720553682934,-0.6064133819524362,-0.5321211710391798,-0.14432866112742682,-0.6121494042271268,-0.10364617128048681,-0.2599448578827407,-0.10006387546506043,-0.37771680202034436,-0.29474915379926303,-0.2624854240263552,-0.42081308508883625,-0.527752622378364,-0.44859759385039,-0.4383376320402305,-0.12588927123867366,-0.006487952307615168,-0.4931739806384707,-0.1192427550561988,-0.10004465487476283,-0.28211513890632245,-0.4585508307338018,-0.46890751022376626,-0.378481974272082,-0.17799536262160515,-0.23191577580779021,train,1.3043478260869565,1
5,-0.2708799381716852,-0.1880605539868999,-0.1608958430606977,-0.1866515469819699,-0.022515074156739437,-0.1452730788080447,-0.25380516422819466,-0.11083901726791506,-0.21571409234048708,-0.010972068194808159,-0.4983662823859179,-0.5850588064410298,-0.250253675989746,-0.22152627308742173,-0.28489199451559016,-0.36389247376604433,-0.19277481013531905,-0.31628484691396497,-0.22428240241035474,-0.28038249559630873,-0.38859902395848145,-0.5205070431926664,-0.5723281955816797,-0.302339900717416,-0.5019606435549969,-0.5120551969471732,-0.25599583289153455,-0.6074065300282128,-0.4885548406854183,-0.35981421875940384,-0.408063558660841,-0.1935874487449039,-0.2010908498493912,-0.6147371823682442,-0.5454711176255613,-0.15627337129215296,-0.6283041838826259,-0.10367789793124473,-0.26239191813902724,-0.08988578212283573,-0.38927412596750804,-0.29802418696815347,-0.2603663083868326,-0.42849745093122005,-0.5396879543973038,-0.4587533717527513,-0.44475424061165225,-0.1286976939787377,-0.0030015569959535304,-0.5006778277490056,-0.11494374980419228,-0.10049041548967105,-0.28676590978149674,-0.4689021561036202,-0.48075956011219506,-0.3919353052309697,-0.18259977988949705,-0.23545408962237357,train,1.6304347826086956,1
6,-0.26996225371024407,-0.18950727018501146,-0.15950903283297724,-0.1792331641990218,-0.02578952561284932,-0.1460176780114507,-0.2560792732399357,-0.11927426013096176,-0.2155403533225772,-0.004504609594009297,-0.4975474366344162,-0.5920401264677218,-0.2492001270000731,-0.2155234828436007,-0.28139695044513635,-0.36487447275096996,-0.18492160123211634,-0.3188270638744528,-0.22519588527960982,-0.2845625394153425,-0.3885244456533628,-0.5275744574844401,-0.5771929404249423,-0.3015231841477327,-0.500813083572896,-0.5166122162214892,-0.26015247651102597,-0.615623586417803,-0.48990006957611,-0.3688664466159924,-0.40765427999661363,-0.19250314046710032,-0.1983660080102035,-0.6140054821426175,-0.5487737749239184,-0.16290289829653248,-0.6309007473651886,-0.11084717041217812,-0.2715988706618262,-0.0888415834893122,-0.39859708198028226,-0.2970793688747593,-0.2577976015622351,-0.43527800444684855,-0.5430766863133454,-0.4578300307913946,-0.4413403657728804,-0.12806518704352438,-0.0026824629778430323,-0.4920444853584565,-0.1094624936633319,-0.09713603371110294,-0.2909548188759883,-0.4716284642881052,-0.47970990812488057,-0.3961911913284373,-0.18413683548968138,-0.23632782204310132,train,1.9565217391304346,1
7,-0.2626723406533612,-0.18741667729154354,-0.15313468483839635,-0.17833236247605666,-0.01912517847297173,-0.14309630769872186,-0.26250892377200913,-0.1179703877687939,-0.20843821636412474,0.0015591880588787413,-0.49001648385864716,-0.5859044759609164,-0.24569685907488495,-0.2113569649096998,-0.27673730938709534,-0.3719414286548717,-0.19762286291945075,-0.3140828718394885,-0.22433073016537117,-0.2861300873390914,-0.3826350396628194,-0.5182988369173791,-0.5757376948433559,-0.3011506079977674,-0.5010415002979128,-0.5173030909107602,-0.25760321147198867,-0.6174805827925677,-0.4873651374530916,-0.3738758863098332,-0.41534062207205213,-0.188714555891547,-0.19256188731812823,-0.6135862459278812,-0.543352966054218,-0.1599689491383421,-0.6247345313625741,-0.11162308100965711,-0.27517011098108735,-0.09225680339745643,-0.3976131013508117,-0.29887505174180734,-0.2557494529827482,-0.4386416002826623,-0.5470043906980481,-0.4592738822392366,-0.4436798400130456,-0.12151284408214637,-0.011494160207028242,-0.48684395590111007,-0.11373922771598566,-0.09357720047852033,-0.29520418718866326,-0.4750985860164943,-0.48263680409300147,-0.40523847144554637,-0.1874478925093997,-0.22863067456836952,train,2.282608695652174,1
8,-0.25717464066306817,-0.19203967370365033,-0.15541195275993147,-0.17595322948076914,-0.021158771221523015,-0.14306711060373528,-0.27230645839324774,-0.11725576936298542,-0.20460165705600647,-0.004437836256662368,-0.491858664489158,-0.5872061601063414,-0.2494672519119388,-0.21094547535279892,-0.27851024582682177,-0.3694660699311651,-0.19607730106314586,-0.3070484304231621,-0.2233072081904115,-0.2866299763216798,-0.387444719641432,-0.521248373856358,-0.5748680442349223,-0.29910132184205745,-0.49964471540311084,-0.5149457974487486,-0.26223047703249536,-0.6188450233834529,-0.49227149150340765,-0.3797430321526092,-0.4160755104111621,-0.1857933678453086,-0.2010056955012923,-0.6167123058283157,-0.5470794112766505,-0.15857878661564678,-0.6347025561458283,-0.1079753613744762,-0.270312928064085,-0.08823803654814041,-0.40468896263368564,-0.301438989472755,-0.25117048917895163,-0.43846298573177156,-0.5489638543229641,-0.4634270116960648,-0.4439423652655058,-0.12206921527397759,-0.007806513280632869,-0.48419001389389116,-0.10520313008208787,-0.09886409379289582,-0.2966065979308535,-0.46943598185406954,-0.48456567925926797,-0.40583179104317113,-0.18308825291518527,-0.22697999658922485,train,2.608695652173913,1
9,-0.2616987235084417,-0.1936997483381637,-0.15222085725746198,-0.1796417394792114,-0.02540750127746927,-0.1409273114846437,-0.27835052027470714,-0.11623788509785543,-0.2114288865545687,-0.008960392000027823,-0.49284783347892386,-0.5929783537677321,-0.2511696441617727,-0.21107381302367428,-0.2825514994422637,-0.366918154083895,-0.1988932636473768,-0.30618372099727015,-0.2249736318582834,-0.2881661588148976,-0.39613871908195036,-0.5217337420376656,-0.569349127851855,-0.2971639598354915,-0.49909606348377733,-0.5126820365344118,-0.2640374548197091,-0.6188382953393109,-0.4950980314774337,-0.3839598014727138,-0.41171622774053607,-0.17963556488248994,-0.2072596104830424,-0.6150886319210778,-0.5561558348023254,-0.16259689271635164,-0.6442066837739666,-0.10275426162763893,-0.2697811375518331,-0.08466939061810143,-0.40577583315311544,-0.3049666793055685,-0.25449114035776654,-0.4322564777776506,-0.5510684968548076,-0.4683361369773479,-0.44724873839214985,-0.12614152279722085,-0.005210081086671283,-0.4867095722832355,-0.10151658100553024,-0.09667205151699944,-0.30225021895551746,-0.4684359403192232,-0.4939630677040034,-0.41325929243010145,-0.18368019389692025,-0.23127555918927362,train,2.934782608695652,1
