,AIBL,AIBR,ALA,ASKL,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWCL,AWCR,BAGL,BAGR,DB2,OLQDL,OLQVL,RIBL,RIBR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,VB1,train_test_label,time_in_seconds,tau
0,-0.09962831815390527,-0.16263066828282174,-0.10673762346039378,-0.14213367557726375,-0.1480899988233318,-0.18559456125115814,-0.14385525977831423,-0.14553704077119625,-0.20857194476549903,-0.1785477706738688,-0.03436780091162437,-0.005253778639073586,-0.3205628275678466,-0.33273913766331875,-0.2178935345250937,-0.1745656945874861,-0.04315507863729108,-0.1770107731664877,-0.19175465741331615,-0.16924765397249714,-0.25774813440103556,-0.468704379512131,-0.313579258862387,-0.1281818060390584,-0.33894394785760973,-0.27696327061668835,-0.179618321467516,-0.17914306689886128,-0.35253902701778994,-0.39645175154525725,-0.29736025260892307,-0.214569402700865,-0.18185411892291264,-0.16801503673937915,-0.16168850958812592,-0.15113888411264687,-0.2276395607275012,-0.354187368183436,-0.2752377216363649,train,0.0,1
1,-0.14485912830653944,-0.1642151121338642,-0.17419619666110775,-0.1498739703022316,-0.15478817523530397,-0.22226832759384807,-0.15060627391679454,-0.13539385702134332,-0.23782419523123816,-0.22273135711354097,-0.09321097388737826,-0.019760036753345027,-0.4384679164468168,-0.4549794168880874,-0.24841325123274438,-0.15814004144602642,-0.0923431897849471,-0.241160513271752,-0.2750672879578193,-0.19014000647466417,-0.2465392450401816,-0.5696277017319084,-0.35979869154470345,-0.14912303694149234,-0.4072527431248444,-0.34160724880113474,-0.2757715336502639,-0.23747626704162506,-0.4237223157165876,-0.46336153189901425,-0.38929376372508473,-0.30793694644226693,-0.25914429622231383,-0.2075234781832757,-0.18856309609810973,-0.24382614778691564,-0.3113888083749671,-0.4668096205381935,-0.3286620337197099,train,0.5705229793977813,1
2,-0.10984918855176146,-0.08976500254019654,-0.23003025803314442,-0.13940024130973594,-0.0691962679315918,-0.16958810468338997,-0.09623812497062238,-0.08809438942003596,-0.26095067698311003,-0.26847410221835877,-0.12441095689935325,-0.017736271202076437,-0.5186308974732048,-0.5414291608977049,-0.31796254364381593,-0.1173678622035238,-0.10961559776789395,-0.35552420059681067,-0.3710090090851506,-0.13246535428639378,-0.19531849819926647,-0.6471808903311206,-0.4002639874690599,-0.16544728893505847,-0.49496210970164933,-0.43047255010482244,-0.38531514627233854,-0.33419141988806816,-0.46468594325313317,-0.5154878007544637,-0.46838875991081697,-0.3825256221262034,-0.28384323093161545,-0.2644830072524622,-0.18793854805925303,-0.28509145893460275,-0.3726602487793247,-0.5474524509307994,-0.37993013008238485,train,1.1410459587955626,1
3,-0.09060942902207647,-0.037033852130008094,-0.26830444509043266,-0.12707863336034614,0.0028491451796705952,-0.12792670049430674,-0.05156872722612517,-0.05331613017757146,-0.2797701310830933,-0.3175469691806202,-0.15056315153621688,-0.01169034626829294,-0.596779306211376,-0.6258193355149463,-0.37662575841390955,-0.10088014703801709,-0.14038284271189688,-0.4463210987163786,-0.4547136832478438,-0.09125487240416351,-0.15415255529155536,-0.719384610621856,-0.42588376428008057,-0.1832583135483691,-0.5548224942745037,-0.4966505494361233,-0.47368084616702094,-0.3793299159572495,-0.5182835587455668,-0.5453589151137451,-0.5289794689954747,-0.46013995741538577,-0.3068626871114408,-0.296032497982728,-0.19192673759604018,-0.3342613260925152,-0.45294038844223306,-0.6151988460914198,-0.431272973366611,train,1.7115689381933439,1
4,-0.07256108901198313,-0.0038582935397403206,-0.3043810190841809,-0.11839483058997761,0.071136569537599,-0.087057090651134,-0.0062688042070483535,-0.024530067470953557,-0.30223978467160206,-0.34373096798672875,-0.15589564182246893,-0.028436913463229956,-0.6372948721864607,-0.6527009596203274,-0.41074348964373175,-0.07132813658326544,-0.12888797798635493,-0.49481795073998536,-0.5166685620182976,-0.06510995331595136,-0.10412943945805628,-0.7494913795829246,-0.4440418711619515,-0.18591234166394072,-0.5945679507367608,-0.5289722014892458,-0.525253270964041,-0.4387981696415998,-0.5552434414202627,-0.5640566875912711,-0.5449153569703853,-0.49936146939033477,-0.3143499778788819,-0.3026589604016899,-0.1895431453730334,-0.35179211921150094,-0.49915133684838486,-0.6590855185265735,-0.45526788541180346,train,2.282091917591125,1
5,-0.040033859482296964,0.05935817481406655,-0.3277981512894884,-0.1142331129979949,0.1488138067443937,-0.05146563993707502,0.0383096533571915,0.02969480747972081,-0.3093728923664169,-0.3597306208726695,-0.16885129695987802,-0.01272857575910065,-0.6700642645660407,-0.6778920222054973,-0.44952195800441735,-0.05263615384402437,-0.11895092953952457,-0.5554772185762137,-0.5625012271193108,-0.012008151134955347,-0.049362034594469806,-0.7850943860549546,-0.4646082892566464,-0.19551466551505348,-0.6189437836618332,-0.5779161833981367,-0.5778300092197887,-0.4785266814312912,-0.5741367923175458,-0.5816333434662279,-0.5684488686771377,-0.5384258100015706,-0.3132454815470131,-0.32428038040866536,-0.19452637493680336,-0.36760200087337125,-0.5223733546921095,-0.6928722044306826,-0.48023978471810097,train,2.8526148969889067,1
6,-0.012544845865907586,0.10287862841302267,-0.34953131931114545,-0.10601699922184295,0.185005776590442,-0.020438179209742655,0.07688899517418821,0.050462214206861505,-0.32234823387216166,-0.3829788059806801,-0.16828226314791087,-0.015627230910010177,-0.6813402315967819,-0.7169574378052539,-0.4750383645732341,-0.029588575945373424,-0.11970112386620027,-0.5963944242970759,-0.602377006094669,0.019665346069253534,-0.013628838035241786,-0.8006943813069125,-0.4603247212382318,-0.2142711201874909,-0.6517490329365796,-0.6116942294613624,-0.6181915572845907,-0.5390581143591111,-0.6032601042594306,-0.587759361331553,-0.5876973554890241,-0.5665765033243674,-0.3228353993912635,-0.3242106584942178,-0.19457078787347515,-0.37864873200139404,-0.5500226281883532,-0.7049162821397276,-0.5076906600143871,train,3.4231378763866878,1
7,0.0038525391648096523,0.12608266403402182,-0.36167822347311845,-0.09558396460797212,0.22228801760730235,-0.007979615939988097,0.10835100621027188,0.07668471858673567,-0.3342494393038701,-0.3843870795623956,-0.17188551866422366,-0.0190161498265147,-0.6945207317513237,-0.7150693299546339,-0.4945718667285914,-0.019488085642134223,-0.10508773918559677,-0.6187309947055689,-0.6303006077594837,0.03504841714937376,0.015089162038281423,-0.8113615602762336,-0.4725238156470185,-0.22617455376400566,-0.6621563388668108,-0.6199715644384293,-0.6387658528168588,-0.5640073776566892,-0.6176688884011889,-0.5923675551457992,-0.5840859084421444,-0.5813375617140327,-0.32554207441712246,-0.32152382937451773,-0.1902998654760552,-0.3902174272020961,-0.5596395860392132,-0.7283239476693583,-0.523084533171084,train,3.9936608557844693,1
8,0.03478966190017088,0.16366514928308099,-0.3717886991307721,-0.08747949181959713,0.2684947899202711,0.025818054176022176,0.14241371133217406,0.11364961276249858,-0.34390835521425817,-0.3994446974464718,-0.16863261895900739,-0.016619645059188747,-0.7030002164323584,-0.7140461634910313,-0.5193575852995643,-0.0028673899793462965,-0.09772849711728249,-0.6575799213293266,-0.6657656294935019,0.06923009034064673,0.06019982968270415,-0.8314956102792516,-0.4775939137583627,-0.22189027443748932,-0.6820168010379886,-0.6497830190754865,-0.6647769328018706,-0.5960353823399758,-0.6380058146731786,-0.598979869385881,-0.5838506271776066,-0.5990596402587262,-0.3204689065130091,-0.3200119673557361,-0.18729796507622784,-0.3946808279880722,-0.5687647885323905,-0.7437156053532906,-0.535533455601533,train,4.56418383518225,1
9,0.06099238527024962,0.17544228994493818,-0.36588785432993165,-0.07392718569672309,0.3046405191082989,0.06308243032393354,0.16578252129992782,0.12974068903968689,-0.3577170017484953,-0.4007962417228325,-0.15984629240297227,-0.024470140950628765,-0.7000173829503634,-0.7092969615172727,-0.5247203548961146,0.008659348285716878,-0.06829508800999401,-0.6583623515995943,-0.6842567413958306,0.0932851990601106,0.09853168806466728,-0.8273573388478782,-0.47527967454700326,-0.2149650478982143,-0.6884375565301644,-0.637844603995152,-0.6666624516602716,-0.6014486571922449,-0.6389076551438129,-0.5824472780358461,-0.563653306039018,-0.5863977995889451,-0.310078779919048,-0.2995512457715985,-0.17908671914800503,-0.3812212560614954,-0.5734475861927655,-0.7332045851988516,-0.5258300255854197,train,5.134706814580031,1
