,ADLL,AIBL,ALA,AS1,ASIL,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVEL,AVER,AWCL,BAGL,BAGR,DA1,DB1,OLQDL,RIBL,RIBR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SMDDL,SMDDR,SMDVL,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.09905358647571272,-0.19943875816077583,-0.08955163454551483,-0.07755183751572514,0.05348188428036429,-0.17443905640342344,-0.13426887997887796,-0.215589972059207,-0.3383626614616712,-0.2181243702130906,-0.2287147461724771,-0.3058791034897222,-0.2483595977998563,-0.08041353852929993,-0.4660300805606806,-0.4615027955357367,-0.1658525487926992,-0.2346538072062436,-0.2649920618991828,-0.3491870623130058,-0.23325440675671327,-0.13725204985794495,-0.06476513821646974,-0.008284188556631433,-0.3408309983353869,-0.2824786385778566,-0.19536040757130987,-0.3048090852236529,-0.3141367528152373,-0.2050550373381244,-0.2574268168729122,-0.21886912119595486,-0.30489371396850207,-0.22269997699399746,-0.19527075967320778,-0.19895083649895645,-0.3265203195138042,-0.40781407197643,-0.41063396410570213,-0.41833871887609464,-0.4394699275935242,-0.2976053670778802,-0.4698949452068008,-0.41778522085845193,-0.12737326325826775,-0.15968942070590778,-0.2716000861531517,-0.26772536891298976,train,0.0,1
1,-0.0902860151857326,-0.27257309238542254,-0.12864875954203683,-0.10826929387015223,0.04262875154836344,-0.268056887535296,-0.23761338539151822,-0.30794776742854035,-0.4339281936978179,-0.3576850649806191,-0.3137765424459798,-0.3911350701301537,-0.3784357305673958,-0.06997585830056266,-0.5778506392428535,-0.6198399422799388,-0.26872057859511556,-0.3154114319148129,-0.3850670860081604,-0.4275591900891793,-0.33632275826090563,-0.18744169941370994,-0.04241458454338874,-0.04893055403094083,-0.4333076512671715,-0.4098529034313993,-0.2785747269638553,-0.35825107952783486,-0.43730138814405783,-0.19499352190677452,-0.33382508762901447,-0.298437000065903,-0.37971657908771506,-0.3268009919325633,-0.23844697892717434,-0.2640640703244552,-0.44349817529398217,-0.5611356506282733,-0.5274427101984283,-0.5450567126953624,-0.5675429491089037,-0.4221360353287841,-0.607200945567739,-0.5510096282783652,-0.12143359484433804,-0.22008598116715306,-0.34699586626488754,-0.29499713183190385,train,0.4564666103127642,1
2,-0.08135710221811736,-0.3152202771634802,-0.13734064989441844,-0.12605615789135846,0.03155331578175699,-0.31700082838978655,-0.2978147754925784,-0.35588908248597595,-0.4864223055223691,-0.42891984956154666,-0.34489072899209783,-0.42811714805575646,-0.43150838766610616,-0.06380579498669965,-0.6378262907952605,-0.7012045430313546,-0.3236079822067225,-0.3547142649729612,-0.44228793931195876,-0.46865964077239064,-0.40078225234072506,-0.1993540546488229,-0.02591935734904916,-0.07208100243254922,-0.4801053466827587,-0.48293728860397855,-0.32605592873045486,-0.39125030273053607,-0.49623719657381254,-0.18351584233761048,-0.38012861041804347,-0.3504820779213198,-0.40801762845935285,-0.391401776572441,-0.25553636168054583,-0.3004982035744882,-0.5020365250442604,-0.6394051499259261,-0.5803933823077416,-0.6011195615947177,-0.6358606253707793,-0.49535263636278254,-0.6887878237260888,-0.6251010038895877,-0.09971469620800516,-0.25648137429192897,-0.377442280131492,-0.30527050867069294,train,0.9129332206255284,1
3,-0.08863319167433908,-0.3326410560670633,-0.1464100530047024,-0.13725513623932528,0.010074803479475258,-0.3560731429687158,-0.3271089306852179,-0.39689919721683076,-0.5145082167959176,-0.4676674225507156,-0.37966354323885,-0.4525890927361742,-0.4653501617533241,-0.05598585929797183,-0.6733624841095758,-0.7308918599305428,-0.35825544727230063,-0.375040885183599,-0.4792776083980276,-0.4956240329116809,-0.4439282857480753,-0.2193369521995778,-0.008663004541054543,-0.08483917294509513,-0.5248303971360856,-0.5296941918297359,-0.35754006343882117,-0.4051747133272652,-0.5244153795365185,-0.1972515916489528,-0.4139319802988578,-0.3872059488432882,-0.426883488053752,-0.41822805715630085,-0.26943953311319224,-0.32393528785903714,-0.5442624285413713,-0.688511115607751,-0.6295779237946971,-0.6387210286932838,-0.6753237524081067,-0.5255116866780977,-0.7381720242320056,-0.6823184905729336,-0.09631119097842017,-0.2726427109248772,-0.4093665741372469,-0.32597045068025055,train,1.3693998309382924,1
4,-0.09798964160440177,-0.35291619625789544,-0.14436807092291895,-0.14193502750155101,0.0017428210019677162,-0.37496441994778923,-0.35812273768618874,-0.4051452606264884,-0.5227258240578969,-0.4926021127690037,-0.3853165672937891,-0.46203498689034134,-0.48428345054134797,-0.045026587129506725,-0.6847021877283261,-0.759911870967038,-0.3917764038381475,-0.3864108605806107,-0.5026497314231594,-0.5050921974185683,-0.4746260000765441,-0.2260848591560509,-0.0065021750659899485,-0.09765777577725548,-0.5400448933941948,-0.5564485845933987,-0.3788270422272434,-0.4144328254613645,-0.546502360903945,-0.2047548338427889,-0.4265416947630243,-0.4049868834810423,-0.4296726401390203,-0.43686331994884164,-0.2720608265514933,-0.3518299729991815,-0.5599243387888846,-0.7168445868565674,-0.6555581388524445,-0.6568820550891332,-0.7057240028151783,-0.5495014944732904,-0.7630881450675104,-0.6956235190506845,-0.10146400209185903,-0.2797794076383755,-0.4232516006472189,-0.33679451484133927,train,1.8258664412510568,1
5,-0.09509341742078345,-0.3550932713034016,-0.14162239577270894,-0.1524650781856188,-0.007237924149408062,-0.39310942110613367,-0.37843944982582833,-0.4136250091486866,-0.5277787264828976,-0.504938579580058,-0.3802835909769498,-0.45413517199279607,-0.4879243490308535,-0.04579014774576598,-0.7083665124875463,-0.7859354850532086,-0.39982944368113765,-0.4010844841594341,-0.5238706420197509,-0.5279304167112642,-0.5135945158676115,-0.23072574662967313,0.013203847680735778,-0.10396533819453652,-0.533524284462484,-0.5670465536411721,-0.4238773718515738,-0.42305079703085446,-0.5588743071501151,-0.2265432634337427,-0.4681931878680491,-0.4376659452878148,-0.43667857307031577,-0.44201366398375164,-0.2611502972835915,-0.3656710054083746,-0.5903727379296879,-0.7453660020278489,-0.6641365892680898,-0.6630803715262308,-0.7184472663219416,-0.5773889741218052,-0.7751202582347416,-0.719307488436804,-0.09964245670681948,-0.29304327670416286,-0.4454436147994237,-0.36326713958579493,train,2.2823330515638207,1
6,-0.10280101042997632,-0.35485540349868067,-0.12602766897928744,-0.15896925994672997,-0.02319103784060402,-0.4055833566876169,-0.4055235419255169,-0.4235255881843782,-0.538525585340556,-0.50692480708059,-0.3668415879690078,-0.451297167689558,-0.47384618173814974,-0.0434571209940167,-0.7208996866420816,-0.8032558223998474,-0.4043208368621009,-0.42611726994523746,-0.5305016764758629,-0.5412137295575076,-0.5286896783547169,-0.23819437317896594,0.018856193008358932,-0.11250819757353195,-0.5218552652372094,-0.558676901983543,-0.44814829871433914,-0.4336539700556534,-0.5641354406927213,-0.22991973441745467,-0.4875011414397359,-0.47476317656174416,-0.43662049271202363,-0.43386194946735956,-0.2514272218291668,-0.3649422557088682,-0.6051412774722763,-0.7641364015945279,-0.6679350010229576,-0.6631947727968277,-0.7233311195900579,-0.5857059555369654,-0.7765308822584953,-0.7322316760877663,-0.09798283316908894,-0.2942379720359588,-0.461162776901267,-0.37664364782679194,train,2.738799661876585,1
7,-0.09761287057432322,-0.34665774622591605,-0.10868589047633866,-0.15818059269789822,-0.021842786988005992,-0.4238496676997683,-0.4100864666469542,-0.40094446239415893,-0.5260195971348864,-0.4895483293276639,-0.33227265711112514,-0.4195993698797149,-0.4420570143142323,-0.04490643560599183,-0.7341643539321576,-0.8171675418493978,-0.3850136754056174,-0.44479436597979183,-0.533730258184413,-0.5605331336810283,-0.5667797280011927,-0.24003091181779077,0.029706152823892287,-0.12009053148860488,-0.48680401472510115,-0.5537215615234853,-0.4902015042207931,-0.44213834755917814,-0.5749097537649148,-0.2587374394384928,-0.5277346024604853,-0.5135928597214855,-0.4484810263694696,-0.4009354218770509,-0.22582592338195914,-0.3625302357815494,-0.5948441675247214,-0.7723255277291756,-0.6550075046221638,-0.6690624079794979,-0.7166891354664683,-0.5979617016386962,-0.7401618696324346,-0.7289415228063307,-0.1173868707806343,-0.2931557260245943,-0.4818723184372258,-0.41852079884138293,train,3.1952662721893494,1
8,-0.11473596597350605,-0.3286553511734744,-0.09599809821037363,-0.17014674329903884,-0.03398167192939098,-0.43502798190636605,-0.4195990426109869,-0.3976535510955787,-0.5361468905538735,-0.4680953922653126,-0.3068582155917833,-0.398399507602829,-0.43149346166160957,-0.03926530313985638,-0.7393145021649985,-0.8396562627953364,-0.372170691198686,-0.47129493310814763,-0.5417718106815412,-0.5792635172805355,-0.5824032409545328,-0.2519730394771822,0.04035589123451108,-0.12013200434059687,-0.45298523505966115,-0.5178197739735508,-0.5357984962354528,-0.4486718813244721,-0.5710091727187923,-0.27558021959235235,-0.5731537411086032,-0.5514885165415576,-0.4671418652566697,-0.384183037820616,-0.21187876592225957,-0.3556306877578312,-0.6078283562233632,-0.7924207037954584,-0.6477374875539008,-0.6481123703138492,-0.7122729032355818,-0.5995805358760402,-0.7432375967743603,-0.7273846992473652,-0.12953508398690106,-0.2893104427862314,-0.4805258596665416,-0.446849906755592,train,3.6517328825021136,1
9,-0.11898000918839208,-0.3190244390195754,-0.08657190232807994,-0.16486066028469448,-0.047073176500867155,-0.44161699784252095,-0.4174790915583423,-0.39991585489256676,-0.537711966409189,-0.44532558044685405,-0.27378125749305177,-0.37743225608823416,-0.39531611535235106,-0.043181239044945495,-0.745255506173133,-0.8484517349995235,-0.35701310367769673,-0.5066070607809153,-0.5332561362904776,-0.5984242313004008,-0.599462672379616,-0.25932204061713804,0.04537138943767227,-0.13746822141305876,-0.4085902911493233,-0.48367343183614125,-0.5465505901788501,-0.44826784941734726,-0.565869117353222,-0.27429965348402324,-0.6004589312252326,-0.5794265883219821,-0.47846826805099474,-0.35615910393635475,-0.18482805531115618,-0.3516590728140026,-0.6008734078567315,-0.7969664036732439,-0.6329095306212716,-0.6272817018702984,-0.6996414157325056,-0.588892751658611,-0.7179825408562321,-0.7194029505601005,-0.1305374809136189,-0.2777989007032966,-0.49623517704755515,-0.47671856962810055,train,4.108199492814878,1
