,AIBL,AIBR,ALA,ASKL,ASKR,AUAR,AVAL,AVAR,AVEL,AVER,AVFR,AWCR,BAGL,BAGR,DA1,DB1,DB2,OLQDL,OLQDR,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIS,RIVL,RIVR,RMDL,RMED,RMER,RMEV,SABD,SABVL,SABVR,SIAVL,SIBDL,SIBVL,SMDDR,SMDVL,SMDVR,URADR,URAVR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.8555558271239218,-0.9607819947876507,-0.8725400599757261,-0.8286827807442482,-0.9267614218650425,-0.658113242951635,-0.9771078573879646,-0.8360370881053552,-0.9331215324458193,-0.9397466456483524,-0.4854324110645155,-0.7008774881849887,-0.7903636265062624,-0.6209189885922859,-0.8142397823197918,-0.9238837845010187,-0.8873151724263195,-0.8948901452087474,-0.3756471826821851,-0.7740783092807598,-0.961718338039691,-0.8268435972227928,-0.9505525181260629,-0.9679876901824197,-0.9226620834178708,-0.007996807423530705,-0.7823162276166036,-0.9178443452488365,-0.7343012634141299,-0.5657555522536322,-0.5341863629964493,-0.7102228367991293,-0.3671277217264428,-0.6739228237295005,-0.9235048996583366,-0.9276598416177999,-0.934126085102986,-0.8099289645133534,-0.9101679736395336,-0.7879141235975223,-0.9131460777831252,-0.9576121218224104,-0.7707019890251765,-0.5248997802101512,-0.8699565173727117,-0.007131659719240013,-0.6536869212911618,-0.9489742298452083,-0.9090564665611461,-0.975112067608917,-0.9731742092200453,-0.8771246596437393,train,0.0,1
1,-0.8881747489653093,-0.9759311012409179,-0.9380932940309911,-0.900516612403751,-0.7109499990410428,-0.7803318165470439,-0.9598197902226664,-0.9127247657371192,-0.9771580658601686,-0.9240606238409782,-0.6090760341334295,-0.5194354221190586,-0.8391900941371432,-0.5948026632127722,-0.8446737623942748,-0.8666895172886308,-0.9139255358009588,-0.7877560604332642,-0.7350120422850057,-0.8363618152528648,-0.8966671101977652,-0.779417443819071,-0.9330535724798579,-0.9391015468729621,-0.9062761453274346,-0.03510350419828856,-0.7646035245626966,-0.8933141774980757,-0.706258201428814,-0.6230216765098269,-0.8041108104303211,-0.6534365134822807,-0.5443428608038106,-0.7063649127569599,-0.904146110178013,-0.8840218117836303,-0.6745620674396,-0.8503334022120752,-0.9743717612485182,-0.8750834519170375,-0.9424258631042095,-0.9851014884950328,-0.6335460655923064,-0.4933296336592453,-0.8220067358762739,0.03998286958464614,-0.738386525506823,-0.9559989515658489,-0.7815900237120843,-0.9573920917667997,-0.8674376441182166,-0.8472974341105677,train,0.4572396274343776,1
2,-0.8538287733481688,-0.9423851777472182,-0.8820074951491631,-0.728654963708581,-0.7896981038546214,-0.7678743621418482,-0.9240200278798185,-0.877775276472409,-0.9083266285574709,-0.9525785354882601,-0.5870659626050148,-0.31736535018095324,-0.7669214580420894,-0.49764597852898773,-0.8411446215292329,-0.9196642055687082,-0.9893368527482882,-0.807108733349439,-0.37478186878957,-0.8397798125318219,-0.8980864097143165,-0.6519288443367157,-0.9535654385951986,-0.9299796314352629,-0.9014880675561755,-0.024116471697812614,-0.738842359604327,-0.92175346135801,-0.7430974305110304,-0.5501171037629478,-0.6727463279575778,-0.626844221537509,-0.5236218156203389,-0.9801143781695033,-0.9113967853977535,-0.8516337187534267,-0.7164280918369873,-0.842898866396893,-0.9191136882105141,-0.7632452139197168,-0.9280721334708278,-0.9225926407415593,-0.8502299884749456,-0.583812222068069,-0.7632887173733073,0.15477751558527642,-0.6451234640087105,-0.9502244471346714,-0.8233632153469599,-0.9900772348588718,-0.8899684920173909,-0.83256581783688,train,0.9144792548687553,1
3,-0.855664902155644,-0.9442587325059408,-0.8434525454790973,-0.7616063199107226,-0.7930977549222576,-0.7676450198850164,-0.993470680563895,-0.8763823620451925,-0.9425668367843103,-0.888799323067432,-0.7332260642229094,-0.4310268071449336,-0.7996590165792606,-0.6846161257425953,-0.8160658275355993,-0.8856093978281162,-0.836600996266708,-0.8380226445580102,-0.44787204891907917,-0.7602393850108925,-0.8444092904980852,-0.8035577831642086,-0.951079430808659,-0.9172305002328396,-0.9313842805332062,-0.08232968508662697,-0.7713615347336744,-0.9152152629223516,-0.7860574852402074,-0.6153025287680084,-0.6126327644730876,-0.6367928811690169,-0.5404123435521413,-0.9545046991042467,-0.8468746357076948,-0.8400178699714856,-0.7774047236614056,-0.7876064364151281,-0.9224354251507269,-0.845331609949342,-0.8084708534460024,-0.9610594596338566,-0.7962942178123938,-0.5389816647072998,-0.6866312205985468,-0.1846560912421541,-0.7353935074575215,-0.9730108488479646,-0.9048824924136203,-0.9701108606526709,-0.9309464716340143,-0.8116762281515149,train,1.371718882303133,1
4,-0.8476258915639963,-0.9692868126909637,-0.7873575030939884,-0.6725849344014999,-0.8448581403619226,-0.8021401802421646,-0.9546985752233285,-0.8603005318400542,-0.9526273252096376,-0.9558794600373398,-0.7355722491354886,-0.21204874215923164,-0.8132934820167987,-0.7941814919213566,-0.7839791586294548,-0.8862043288161972,-0.9298435033228879,-0.905944693668914,-0.5727079998269373,-0.7233467159681821,-0.9813224126120532,-0.7771332319953987,-0.9516194040207052,-0.9384908717927105,-0.9503541899797424,-0.03964765755979893,-0.8971258478883193,-0.8710611423501177,-0.7772169598264335,-0.5283691673784638,-0.7789891911339142,-0.5846939435656293,-0.5739484104445576,-0.9588194672842162,-0.8898829027373452,-0.9178563550483473,-0.6729731734602461,-0.7817006948313792,-0.9337657663443436,-0.7660135831800514,-0.8980467678945322,-0.9557899715867654,-0.8109733530147323,-0.595853200826585,-0.7023179597576581,-0.2879144863413178,-0.6978917906329644,-0.9818373043122537,-0.7881991053652004,-0.9674495527921092,-0.9487775254792206,-0.8761582590512575,train,1.8289585097375105,1
5,-0.8474157124594883,-0.9914989446500332,-0.7777543315901794,-0.6948787885504506,-0.8048841893298011,-0.7741812742047298,-0.9494844446206581,-0.8946942623181474,-0.9757708948881744,-0.9230274429334273,-0.805145385096594,-0.5351698190945318,-0.7983460213128659,-0.547559539135992,-0.8726644598599795,-0.9314047169174812,-0.8675516730737727,-0.9301708080205032,-0.5967637260416218,-0.7371480798283905,-0.8820010151934041,-0.7205702312969884,-0.9548982456950958,-0.9200988324002849,-0.9410075095297581,-0.006962825987842369,-0.7728234178920739,-0.9285275598485707,-0.8420349467101862,-0.6208116223767075,-0.7601245131317556,-0.5915849149751129,-0.5722021777184545,-0.9273896208050987,-0.8644139264365787,-0.8295471193942883,-0.8306805013918824,-0.7609763014477223,-0.8893521874984489,-0.7893073471342801,-0.8806636546149894,-0.9547327253836347,-0.8385435055618886,-0.5936005374263411,-0.6565987321777367,0.006798535029148289,-0.7100912080654176,-0.9797818016375563,-0.8231589107038427,-0.9782068985375256,-0.8905933710020947,-0.8590386810588767,train,2.2861981371718882,1
6,-0.8499240156289509,-0.9367644400886799,-0.7907626428704612,-0.7196680612705237,-1.0,-0.6515457146878079,-0.9476883391166823,-0.8521048484677944,-0.9530068225631022,-0.897999836737629,-0.725351921180893,-0.3454772982872949,-0.8236356389032373,-0.6294298861426786,-0.8708933502689704,-0.9132256727713898,-0.9322395895484271,-0.7974803101640917,-0.4660436406639843,-0.7999699516722728,-0.9382111897968135,-0.7205373649398135,-0.963258154800573,-0.9366953720979283,-0.9037840158766821,0.028205470971950364,-0.794149034373605,-0.9213589864715281,-0.7427666407773027,-0.545281138131616,-0.57111795898575,-0.6268106414046082,-0.49127951841570183,-0.9050136856840619,-0.8501823186217619,-0.884425423647749,-0.7869708963876619,-0.8154728545807818,-0.9441147059778601,-0.8638964181465136,-0.925020419089186,-0.9127689167239931,-0.7831678155033848,-0.65829250304858,-0.7193681337901634,0.21540532485167163,-0.8205711096755353,-0.9667965037961811,-0.8160653323402415,-0.9466191625661166,-0.9973860695991974,-0.8505031352756872,train,2.743437764606266,1
7,-0.8524571899286764,-0.9205958393045965,-0.6016407724768895,-0.5731593385416927,-0.82875794409963,-0.7072967323940726,-0.9608620552226723,-0.8369375580381011,-0.9816306972410155,-0.9183887553659719,-0.24389772194355985,-0.13067188168245658,-0.9248374270452971,-0.5881040754731798,-0.8095744325560403,-0.9305284815838009,-0.8563315017885408,-0.7651001943148698,-0.6764591355514218,-0.7927625263966211,-0.8503723197169286,-1.0,-0.9521977007781279,-0.9490200831634789,-0.9443707235472065,-0.10473078433042649,-0.7485193225365956,-0.9007425682424056,-0.9066343455847431,-0.6001522936404742,-0.6162148633640445,-0.5449401749497412,-0.559144851316532,-0.6943045683137932,-0.865497351620788,-0.879862783591947,-0.7636244588305575,-0.8040233703166093,-0.9424218689248143,-0.8333057609552641,-0.9064151182440823,-0.9232579780930681,-0.8694332100584685,-0.622779282798706,-0.7028105802200668,-0.18074668172991692,-0.6455461371662656,-0.9260210486203827,-0.9128749360380385,-0.9573087635684981,-0.8593582228793719,-0.8393947846703893,train,3.2006773920406433,1
8,-0.8255826466482636,-0.9437946161625845,-0.7030268855745201,-0.6258786235572489,-0.8789970354304906,-0.7414583040140108,-0.9706538416250193,-0.8475251146692181,-0.9656503099571317,-0.9362986259746524,-0.36081602202965246,-0.18274569444404187,-0.7712978025921307,-0.5232566023372744,-0.8836189809921164,-0.8996687638237195,-0.9089486194617628,-0.8428328896664155,-0.5313171519635418,-0.7746041550159838,-0.9862801046733392,-0.7755720800295797,-0.9409749100390853,-0.9047409585975397,-0.9304057094431596,0.09313111760407633,-0.730597933489842,-0.9078037899046725,-0.7980277221166283,-0.5878647622168948,-0.6370974049335982,-0.6732997122650257,-0.45767028588758496,-0.8388200124188557,-0.8580842827142617,-0.9121541062702415,-0.8649625784504149,-0.8006151658899451,-0.8935420997362673,-0.8446175670298426,-0.8555853873517101,-0.9423141382824793,-0.9216883015074453,-0.6317826344113501,-0.728336863032031,-0.1769104012361009,-0.6390421519546332,-0.9883683482437325,-0.9181358413966761,-0.9611555683593558,-0.875429054232455,-0.8347614419071473,train,3.657917019475021,1
9,-0.8079869614498328,-0.9441842453690154,-0.5796385127338937,-0.65544386259379,-0.8945927654976671,-0.7712415234580643,-0.9683701083323806,-0.8695444184934015,-0.9325352341409726,-0.9377044868141021,-0.5593793513353184,-0.43378233143265654,-0.8418171190429369,-0.7051029597548449,-0.8574055449452287,-0.8989289283079148,-0.9109732061970817,-0.8446949667113998,-0.3807813784450311,-0.788242757101004,-0.881419496641484,-0.8662339262971941,-0.9759351344651128,-0.9381026229842844,-0.920849823145956,-0.14877973810807477,-0.7112066049126584,-0.9323116645107627,-0.8635913369166589,-0.6670947837312766,-0.8101331164260354,-0.670309036941339,-0.562459299586909,-0.9274762467417876,-0.8483372548213002,-0.8218901423658287,-0.7496844454596543,-0.7879055717577602,-0.9483441859322707,-0.7540906169583316,-0.8465227104780417,-0.9126248506485504,-0.8441647990817714,-0.6843094874734388,-0.7748092962063772,-0.2529280543719813,-0.6406380908555969,-0.9561440363184067,-0.9019033057916147,-0.954198132747744,-0.8558465790075865,-0.8346021768312765,train,4.115156646909399,1
