,AFDL,AFDR,AIBL,AIBR,ALA,AS1,ASJR,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWBR,AWCL,AWCR,BAGL,BAGR,IL2DL,OLQDL,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SIBDL,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.044408295287385546,0.5676153811519073,0.0004136815229559554,-0.34275269979642253,0.1316256830003355,-0.7039510582694579,-0.49144338256301734,-0.4185641896484956,-0.8633997629805821,-0.6296601150686754,-0.6916085150383515,-0.7865047671090946,-0.8212975609924991,-0.5790360505815626,-0.9473415316864677,-0.7173585867545333,-0.8818550534883074,0.9699250854634047,-0.7846880226300934,-0.9096088550141563,-0.37257461135157033,-0.4292240696101792,-0.7377396377586187,-0.983051308124183,-0.7404154331843339,-0.9448514638163601,-0.5155723191410702,-0.8242113470414487,0.7208729654332189,-0.7297160314789035,-0.6713478590032824,-0.8206837376349886,-0.8268900325553822,-0.8484371099231253,-0.8701220172064923,-0.9359166287696421,-0.8724891783206531,-0.8219803662853422,-0.47497741304038654,-0.32582178944651485,-0.5108044382897787,-0.5060938192309123,-0.8915901666965602,-0.5504582476731417,-0.3459569473161037,-0.8457947316223603,-0.8913784982214498,-0.8241032760420656,-0.9337430088389916,-0.38251121451526493,-0.351103079692912,-0.7423291008154618,-0.9577408491095175,-0.9629789818033562,-0.9484164725962005,train,0.0,1
1,0.0375531341228833,0.6476574318474582,0.05555922846175243,-0.31053854474984677,0.14458774773145056,-0.7284418120850753,-0.306716756610533,-0.513407352999514,-0.8943839798324115,-0.7584555522298714,-0.7043974722282833,-0.6907002701069036,-0.7819209802424639,-0.49132155913781794,-0.6005785379683533,-0.7808517898999715,-0.8430740575306608,1.0,-0.7965234102176247,-0.9773286646052685,-0.28615493892862265,-0.4169125975416198,-0.5648108372711015,-0.9905839201165925,-0.7689007046567744,-0.9324209616181264,-0.795028330972857,-0.798529972511681,0.840432453209307,-0.7158879063096406,-0.7128873763219619,-0.7793260685698877,-0.8368335006638418,-0.876552774979985,-0.889903361071834,-0.9665796171785094,-0.9212549710983827,-0.8382545279509077,-0.6934426593633596,-0.32194027620780796,-0.5145003638780696,-0.47047958831804015,-0.874078059862925,-0.4429066577312807,-0.4385575962721151,-0.9226615224595439,-0.7821614392991917,-0.8711700733172746,-0.8672211091087506,-0.32342578334226024,-0.4788213888590185,-0.796850524257932,-0.9602356300387602,-0.9462891077917357,-0.935032144216692,train,0.41779497098646035,1
2,0.0344504535472151,0.5121494363514887,0.04191013251713971,-0.39275548927175696,0.042360980914192714,-0.6609838465240789,-0.22998404699852848,-0.622839626722146,-0.8645764848261509,-0.8394858492134758,-0.7037136896878088,-0.749019736912562,-0.7675109451521935,-0.49290854334844414,-0.27818033978311973,-0.671425259985914,-0.9046439932431387,0.8278844287396623,-0.7845917976068856,-0.9512755848673764,-0.2869712500219791,-0.3466576353887406,-0.7090080819988214,-0.9991868466650227,-0.706503413240043,-0.9622694631171176,-0.5662273435067986,-0.8338322586519911,0.9343450594780656,-0.6747483774722272,-0.7364418219868837,-0.8517497946825855,-0.7894175660959584,-1.0,-0.8493082771139453,-0.9409216413949477,-0.8519355693082817,-0.8345038782017307,-0.9276598218329528,-0.4536524199623333,-0.7378269367053854,-0.45906179071478004,-0.8745454841918179,-0.6684706149058861,-0.12478075944609279,-0.8639425751675093,-0.8835739925609498,-0.6651969918069889,-0.8923239943734913,-0.39817805972147824,-0.45616863923586404,-0.7091216928935127,-0.9559180016661217,-0.9379215207048704,-0.9255124783661806,train,0.8355899419729207,1
3,-0.16493257714711762,0.6908788377626873,-0.00211208732292667,-0.4248123273817256,0.16687447512514453,-0.6945437766755105,-0.29305422348485943,-0.4902006896268831,-0.8974535069242334,-0.7529598589909874,-0.6891179900128834,-0.7234679747028113,-0.748757472046367,-0.21354210394288808,-0.3894409625029681,-0.749624664245016,-0.7698105974910638,0.8372315856299644,-0.7956581420204718,-1.0,-0.20896878743461778,-0.6743274235181722,-0.9812185935923438,-0.9891177951527523,-0.8398279711582535,-0.9529234164154466,-0.3550839821840899,-0.8622169357638395,0.821972792899246,-0.651415556206766,-0.6970336312055129,-0.8324658927936652,-0.7199656671551131,-0.8709399722803302,-0.8512807502078565,-0.8597112669179374,-0.9157031109421784,-0.7986822411232076,-0.8626331005922985,-0.4274325275759955,-0.6140617071765058,-0.6170057722185764,-0.8399307197428805,-0.6072550896422362,-0.5333738615903587,-0.8050482571781041,-0.8703553310485594,-0.7996333133875735,-0.9351533671371592,-0.4310851298875201,-0.40969518353350876,-0.6160042415646305,-0.9512679306538522,-0.9638979279490135,-0.8701628245306383,train,1.253384912959381,1
4,-0.1612577064912989,0.5749672527993024,-0.04394532269678242,-0.3387927132776566,0.1932818990665277,-0.7283662356156102,-0.44263183069271395,-0.4474393483126917,-0.8519549914363126,-0.7491685789351158,-0.7824932212411766,-0.7257985974610015,-0.7585540107988705,-0.22345857842960204,-0.42636953033366687,-0.6761737465390729,-0.8617800742244524,0.7996857014614791,-0.7705489476123338,-0.947657270067923,-0.0735778582779486,-0.6883159921774153,-0.7666510154946602,-1.0,-0.7224210657378936,-0.9790088569214097,-0.4200209841636362,-0.8461593184262794,0.855737795683361,-0.7126104516426005,-0.6906132153488453,-0.8015616381265247,-0.7870860663151295,-0.9204996427433862,-0.9409733236832494,-0.9500914958028527,-0.8963544941559898,-0.8910783680568162,-0.5973524057154295,0.07806277374980553,-0.6173442505648248,-0.6580378062875603,-0.8277559465252075,-0.5453813922956409,-0.4041011395511753,-0.8856643525797635,-0.9150925008527295,-0.7235543784458947,-0.9585847166411084,-0.3150065278521691,-0.5279560788633149,-0.6824015315540284,-0.9409675952867752,-0.9605112015436569,-0.9552102339456088,train,1.6711798839458414,1
5,-0.13991624743217534,0.6623907582302402,0.04469466747291173,-0.39097905596302296,0.25933925785528356,-0.6364851372906234,-0.21646762873055614,-0.38844882239597833,-0.8982700932583471,-0.6625927034487347,-0.7223009004526584,-0.7214554732481598,-0.7639430592414477,-0.22088824010721075,-0.2650409078152993,-0.642673511581124,-0.8474916626129942,0.9312707887489458,-0.8175542260188019,-0.9351160029298342,-0.039227817297500356,-0.653153660339796,-0.7001368645041408,-0.9621520959316578,-0.7840250696878477,-0.938264779075157,-0.5093133245861634,-0.870662622146593,0.8529187937119891,-0.6837938349885735,-0.6526237574855533,-0.7881565560608476,-0.8121014134139495,-0.8135292649122354,-0.941399045668556,-0.9274379173793282,-0.9348050682458264,-0.7655542391940016,-0.698690189151983,-0.047046274258644494,-0.845143411543853,-0.46403017092670984,-0.8190234454970552,-0.6382746053550227,-0.5584431388121815,-0.8519931786845988,-0.9557365688328704,-0.8429743326370296,-0.8463978031244289,-0.39365459292983396,-0.46953162980720164,-0.701003509128038,-0.9353560392278102,-0.9560178568924735,-0.9351038485168127,train,2.0889748549323017,1
6,-0.2889657350587983,0.5530426501285834,-0.00014566745386279667,-0.37161839909133176,0.24656284488521996,-0.6667515244569433,-0.3139662756595706,-0.2991710959242576,-0.9020724542397581,-0.7328810402740364,-0.7582912107537313,-0.7861405524680765,-0.7446217712017422,-0.19498649370667698,-0.32456411769361926,-0.6470976295299717,-0.7405694850147077,0.9094164095817847,-0.789686776927111,-0.8931217139832854,-0.10566046802144546,-0.2723874477257212,-0.7354618927262013,-0.9536859955776255,-0.7199348601073572,-0.9337735691487787,-0.688335803026719,-0.849252465696513,0.8585725696157702,-0.6741053821398102,-0.6381156261851224,-0.8123925914122162,-0.6974671612796381,-0.9298657920336079,-0.8792924171237833,-0.93866805436166,-0.8927516482716651,-0.8924342003665479,-0.7323325804287202,-0.041075074113407495,-0.7077852079414078,-0.43516877117152797,-0.853554870724562,-0.60094173121854,-0.41146009611192125,-0.8764664618659443,-0.9585546369537794,-0.7502777188784712,-0.8885070723125772,-0.3707820032137116,-0.4237530078232913,-0.5144114544039142,-0.947284547095109,-0.927847627511867,-0.8972326154352928,train,2.506769825918762,1
7,-0.26618689718649247,0.6923453437076259,0.03694624406401392,-0.29652571959723273,0.22013130303969608,-0.710649520089419,-0.6414960724250371,-0.4667801946986425,-0.8610086306894082,-0.8003674881106789,-0.7904373289675023,-0.7180879002814504,-0.7926627231227052,-0.5676717128120632,-0.5244187636269437,-0.639248597655526,-0.7580791977988823,0.8362811524053948,-0.8070165893391059,-0.9438994393583483,-0.2140414412051337,-0.6798658345245672,-0.8636749617878299,-0.9542811377297106,-0.6247643424952383,-0.960282697897211,-0.5622438578980206,-0.855259488592063,0.9762617562318237,-0.6421632823490209,-0.6438545146750447,-0.818761721479266,-0.7520666528510033,-0.7844322202422458,-0.8600340923200065,-0.9318931032118248,-0.8771635776947042,-0.8316357040172461,-0.776466958832845,-0.1570696777552293,-0.9231690236280402,-0.4714170419135555,-0.8533918157261112,-0.6385758476338788,-0.5144181660745057,-0.7188686775839966,-0.8391806216533748,-0.8051877107291501,-0.7871926034542587,-0.48209025174076037,-0.40679030677140693,-0.6424953343640953,-0.9306025789157188,-0.9536255769029574,-0.9492012652982266,train,2.9245647969052224,1
8,-0.35366603645268957,0.7176439891023316,0.0710052627821095,-0.3768474124516348,0.2858969121322936,-0.6908484850895581,-0.27468944163503417,-0.41506863844911557,-0.9388397773860024,-0.8505271209551366,-0.7272819505035948,-0.7239145824953214,-0.7712606010875042,-0.5340914729379629,-0.5518201639190907,-0.6600432339954876,-0.8304914358171269,0.8955861286629314,-0.7718726393705322,-0.967028750892826,-0.19137910112452194,-0.5835132637404259,-0.7507467607069002,-0.9648691773382886,-0.6894848583833644,-0.9378554697577199,-0.5859050898033822,-0.7881635185048176,0.834992619515732,-0.5666074416588132,-0.5880245334296506,-0.9158137311383778,-0.8288191930650026,-0.8657920336079473,-0.9709521835680317,-0.9080973138179593,-0.9112308914718493,-0.923881406156689,-0.40604362588472653,-0.025163827970718144,-0.5889939419743914,-0.4624836790056417,-0.8397278068559193,-0.5926772198399559,-0.3307570003561354,-0.882816090563847,-0.8201390355222765,-0.8727774807664824,-0.8518862609461343,-0.4519826258703803,-0.3297845913964589,-0.5588980562277907,-0.9480263574639836,-0.9842981009524897,-0.8952390039639986,train,3.3423597678916828,1
9,-0.16225837096993623,0.6604067168180259,-0.025504764100561017,-0.3295591798300199,0.34581276672214467,-0.6723760048687158,-0.17065793716922495,-0.4848808338668795,-0.869802637364478,-0.7943646280222156,-0.7498745703774841,-0.7867491307695175,-0.8102563303574984,-0.27608877603740867,-0.5499348784998308,-0.6694932591194197,-0.8263208020898445,0.740925527640435,-0.7928259425120145,-0.9001672674444174,-0.166763076844483,-0.8086453222334855,-0.7756221340872536,-0.9499948100306103,-0.7976925820698425,-0.9073002328499106,-0.6218721872673441,-0.8395404954726795,0.8660864391914336,-0.6623759649107106,-0.6207893635047932,-0.824326742746473,-0.4760199250109114,-0.8846620696779525,-0.8405022819368018,-0.9600492759830528,-0.9268351364411079,-0.8863990604805217,-0.663323787055023,-0.01102654367568856,-0.5758772410176007,-0.411090945644599,-0.8676536929239566,-0.5668437642825641,-0.3980736490486315,-0.8041774509566775,-0.9264324502845137,-0.7149336541668345,-0.9185872537936027,-0.509737379485806,-0.17421590490675076,-0.5947105963680483,-0.9634988460375592,-0.9480601284151737,-0.9267277071426296,train,3.760154738878143,1
10,-0.2896768077517089,0.6359253181049287,0.03635144024337478,-0.3396262122943947,0.39005535678981285,-0.6805064418995945,-0.5002649136302915,-0.4766788645689075,-0.8548486383946332,-0.7411536798696332,-0.6918003077021433,-0.6558656377914907,-0.7227176176701238,-0.4146609505639509,-0.30484777399601337,-0.7113880839437206,-0.7529780115745124,0.8456994987755153,-0.76449265856277,-0.9552032610327514,-0.1539724533790069,-0.6326058891484712,-0.7341032377945833,-0.9503109941222413,-0.6462237727163362,-0.9570667615780376,-0.3820473815465607,-0.8791196908560078,0.8894060967320998,-0.645242160800608,-0.555099477396122,-0.8241649403660167,-0.7547609122749247,-0.7556795192961616,-0.8740296385653922,-0.9102650398978285,-0.8881742952514005,-0.7482812047241476,-0.7911009025212588,0.08220845609635152,-0.745270340640013,-0.6218019483040826,-0.8635229662965319,-0.6074209275169629,-0.30466313083873964,-0.9266587649065094,-0.8069014244644046,-0.6588384687568842,-0.9680468030013023,-0.4181549611676485,-0.34804892852313973,-0.6620678215923145,-0.9216827391271385,-0.9474280832962123,-0.9251800335285114,train,4.1779497098646035,1
11,-0.1946550673826326,0.6694825070968342,-0.008116707609283846,-0.3609896644233618,0.408120617760491,-0.7119303423614065,-0.37543980290704204,-0.5220457598353102,-0.8694550647197017,-0.7070404735774387,-0.7281325092734533,-0.7135407269703786,-0.7590006457163732,-0.15429109674403152,-0.6128113059559189,-0.7254925857775587,-0.7793386358073182,0.7623684002253657,-0.7707302535121399,-0.8721033388280361,-0.14232650336765607,-0.3186578826323808,-0.6278284498346638,-0.9570777578289735,-0.6331929907673899,-0.9240643410945429,-0.5678317698965186,-0.8702272481517948,0.9402416968611849,-0.6530599343916694,-0.5342332297011771,-0.7802429487258062,-0.535108730913591,-0.8640530978022261,-0.8905532826156742,-0.9651515281757208,-0.8944903954436735,-0.9081226826831176,-0.5338707829397018,-0.16353186027173872,-0.6591647899886248,-0.48102384800739284,-0.8076277128275368,-0.6173079940603081,-0.4356217488347902,-0.8071950364045378,-0.897250150242825,-0.8309465073279662,-0.9078528600797713,-0.5544364287627209,-0.399100996425762,-0.43702124112141305,-0.9462430207687927,-0.9489661316573711,-0.8550539616912547,train,4.595744680851063,1
12,-0.2502865016206941,0.5301217477346065,0.0010269062925246653,-0.41967632262295707,0.3891902536955463,-0.661719722674134,0.08350057107652009,-0.5495355586058717,-0.9124828830941504,-0.693995477069407,-0.7541218050191306,-0.6692393037533597,-0.6835141512291982,-0.13867178060327157,-0.3764598369443982,-0.7314682759408269,-0.855807345345728,0.887556051986512,-0.7157090182053205,-0.887040640074732,-0.19873253905431343,-0.5534949220742575,-0.7783594241700714,-0.9569036179772913,-0.7661555351800727,-0.9449385477456278,-0.5952104760623556,-0.8808839514885237,0.8761025282763113,-0.5979593621334908,-0.5436169401004884,-0.7904021769774827,-0.8070919052448207,-0.7540783209800022,-0.9173956939671354,-0.9470030310017022,-0.9219747315556328,-0.8891548656061191,-0.9311879329274678,-0.38830357711357466,-0.703928091610742,-0.4674124472278812,-0.8682986660289405,-0.5067664891793545,-0.4253297540687001,-1.0,-0.9262808539206611,-0.7348512283039392,-0.9025434953752934,-0.5300699651847884,-0.22003558187821093,-0.5752673485106146,-0.9596418453823786,-0.9408919170489316,-0.943527618424079,train,5.013539651837524,1
13,-0.28739351940029945,0.6621046671786777,0.050438303410011875,-0.4905307592033974,0.36708698657390304,-0.6484381525928695,-0.3639188599897859,-0.580000984535024,-0.8992793102148668,-0.8013651933885396,-0.7229707849740176,-0.7186330105498455,-0.7304367847133142,-0.5237402928895595,-0.5098545739758653,-0.8330223393966303,-0.8009841792601633,0.6968421382500729,-0.8801444082407863,-0.9234694573892631,-0.1277014055218485,-0.7683708768083319,-0.7106064995654302,-0.9992170123849468,-0.7969910081646534,-0.9315390018880009,-0.5201366373266871,-0.7981572013135205,0.9256054225693495,-0.663866619784927,-0.6144523733021643,-0.8878170162170115,-0.7212349402852634,-0.7617830118023811,-0.9166295837590641,-0.9190727927556894,-0.9078949230604375,-0.8783883166409311,-0.5836182508587231,0.027539144771802637,-0.7382680051079514,-0.5529786515258612,-0.8161065727469876,-0.7040099099572494,-0.43008913326738485,-0.7856909605476404,-0.8774614106041656,-0.7324245037367287,-0.8672733446012754,-0.48775190814140323,-0.32014764956327113,-0.6476298304179159,-0.9511356764738365,-0.9140569638752778,-0.8747786626676051,train,5.431334622823984,1
14,-0.3548336754471234,0.5743204170281837,-0.06567680997600234,-0.38498285859924886,0.4026994450060637,-0.7163137775903834,-0.2856772932401035,-0.834449668356827,-0.9497820342631251,-0.7789500814792646,-0.7469504271556174,-0.8069760360536784,-0.7276929229139294,-0.36609081937664967,-0.5091349993883618,-0.7326086908599684,-0.8264258611020201,0.867173225694372,-0.7668518673116509,-0.8930155605734105,-0.09130302776012211,-0.4254721180584019,-0.6594771176535228,-0.9421189447522091,-0.6769563605623863,-0.9404129794436487,-0.757579998666686,-0.8603274695380483,0.8594596176869287,-0.6383418137143382,-0.5356753773461911,-0.8832620340520465,-0.7576218097839189,-0.9310709950672761,-0.9289367366901393,-0.9629350796626547,-0.8732291567682754,-0.8984953588872164,-0.47386157135973983,-0.34116805075356793,-0.8574609525549897,-0.5603128325563325,-0.8380610224273093,-0.6568419923528015,-0.4708547004714605,-0.7428884158583486,-0.8687419126046962,-0.7089846577841002,-0.9346608610647833,-0.5893939140332082,-0.2616520293228638,-0.6528543292482318,-0.952456302418978,-0.9332750183627443,-0.928650305825971,train,5.849129593810445,1
15,-0.31341471757021144,0.743389544691069,-0.03239169593925584,-0.3734314087394178,0.5232094828335194,-0.6438041217019821,-0.417943900018957,-0.6172441208536663,-0.9107952713369821,-0.7768964714490008,-0.699830583146984,-0.8728300641306008,-0.6796640889946042,-0.4845716742099503,-0.3752077771621417,-0.8770636189965331,-0.696475321805605,0.8279400606218597,-0.8301924432932254,-0.9285253926538808,-0.10684517588992104,-0.7984572818126416,-1.0,-0.9697254002389417,-0.765976938222203,-0.9343512082011618,-0.3564333655965608,-0.8467739640659947,0.8646600248540708,-0.6017293829483665,-0.5419567667346332,-0.8196001519961756,-0.7375751636226486,-0.8673760147379114,-0.9048103871610497,-0.9664552740192427,-0.8957964776217172,-0.9183436675788548,-0.630714959173543,-0.08627806233164825,-0.5181619733242315,-0.5301828639444661,-0.8208858959238062,-0.5389100699056639,-0.6023220719905031,-0.9099562177983116,-0.8690802973454392,-0.9905619644418903,-0.9544282638787839,-0.5689818224424208,-0.287666652677957,-0.5230235368980521,-0.9333486778942824,-0.9349424957585026,-0.9202705797697045,train,6.266924564796905,1
16,-0.29360378258703834,0.7327485305807031,-0.08073296553114206,-0.3860463835950435,0.4739065364770294,-0.6476784101892992,-0.5947547649889326,-0.7174061071826593,-0.8473904832097288,-0.6967142239515782,-0.7131059710059526,-0.7131859991319196,-0.7317351420316351,-0.2089188137339978,-0.3489433047182505,-0.8088949730063286,-0.8163204484506684,0.7275731189875554,-0.7109248929836446,-0.9270301460519272,-0.07682425582552999,-0.785044087719767,-0.6800367636040322,-0.9461415690024975,-0.6967489762330701,-0.96490153192066,-0.5794558570611343,-0.8447308364302748,0.9095234604368678,-0.7012800355580653,-0.6157081641535326,-0.7899216729385521,-0.6338501187724752,-0.8182898168952246,-0.8510361297285233,-0.9007590079528485,-0.9423221170662077,-0.7728669370903604,-0.5255346238740007,-0.03780793161140861,-0.5980917946728761,-0.47202416279385273,-0.8417750529475816,-0.5189533156557589,-0.3886253563232156,-0.8713444280496359,-0.847177329846617,-0.814981205415342,-0.9291612099232512,-0.5093105583824317,-0.2635198684083204,-0.5721649480959254,-0.9317280651640266,-0.9213373470715063,-0.9770227294289155,train,6.6847195357833655,1
17,-0.11385819123629015,0.6863836030030568,0.015557390193969067,-0.39578073496400334,0.4878712991447278,-0.638867784933234,-0.2125248440357761,-0.7154210013929398,-0.9235130800380237,-0.7194785327081047,-0.7677390841483364,-0.6759980095386617,-0.7305666204451462,0.019464624528146013,-0.3278885522878868,-0.828770608496708,-0.5658278536326873,0.8139571459003008,-0.7548244590885995,-0.9537019485216621,-0.04077014731151485,-0.7550363375237059,-0.5992367556119444,-0.9932147303015912,-0.8341588807431766,-0.9147966847790914,-0.6271841764243574,-0.8547785852906192,0.8479330948739987,-0.6320194978397122,-0.538657114549407,-0.7817776197889216,-0.72125655573518,-0.7659753966409268,-0.9716903234182567,-0.9648044981302858,-0.944445006055288,-0.927732300387479,-0.6730262416817487,-0.2622461277835594,-0.593707322238046,-0.5676865537310887,-0.8172878156246546,-0.47324283301826076,-0.5521344920038715,-0.8215693863235045,-0.8668496651344606,-0.7299725874219778,-0.8103441199625399,-0.5417573312801284,-0.35035372293188216,-0.5187175652380184,-0.9460968239789764,-0.9361893287918123,-0.9433763773086586,train,7.102514506769825,1
