,AFDL,AFDR,AIBL,AIBR,AIML,ALA,ASKL,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,BAGL,BAGR,CEPDL,CEPDR,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIVL,RIVR,RMDVR,RMED,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,0.0008910811235090174,-0.04663646100520396,0.2265454271561692,0.13232180709502392,-0.0842221301516457,-0.024404355060069348,-0.12845086297221092,0.1817742133106112,0.0757232042276274,-0.23930308345281984,0.160093615015505,0.06022190489763,-0.04749754460838562,0.026278058606701536,0.0918106974167251,-0.022662838642614952,-0.02037456067126971,-0.23780493371755668,-0.2898581297285035,-0.016046615043696616,0.02689761604926312,-0.09575121864688478,-0.1273720368981855,-0.38932050014574615,-0.2882989744624871,-0.1741858229079422,-0.14694399635015368,-0.0056352676875117275,0.07103693324752414,-0.2138715483592185,-0.27246526041369606,0.037435014385464524,-0.32087821477594225,-0.2637206223947336,-0.47338608991221076,-0.3306598918256981,-0.36091718560322417,-0.3335173255644942,-0.1852468221974258,-0.008152899418578441,0.01206619967570563,-0.03022959106417865,-0.04388185275536356,-0.45709288441531876,-0.3143312818121634,train,0.0,1
1,-0.02409865796615345,-0.07111110434961365,0.36204713986158704,0.2436317578757173,-0.06834223262065872,-0.04556001106101003,-0.09516140946338558,0.29059623193598516,0.19142136003890597,-0.31408218996353876,0.27386986500595834,0.1030939457074452,-0.08739511800850876,0.05358470718852347,0.09777321413109441,0.004639666459919145,-0.039554686733935494,-0.25527582565041707,-0.30560513877165335,0.03498001083077906,0.09147762338363163,-0.13301418486262345,-0.14347173780952924,-0.48590196109539696,-0.34634141784792094,-0.17082675641575168,-0.21410961087370475,0.043338123998958034,0.14144758542555252,-0.21405869623105617,-0.3023755956408486,0.044381913246018104,-0.39839725488940875,-0.33607364674224444,-0.5750743880822755,-0.3627914621617103,-0.4162412825579554,-0.3821585874991797,-0.19263793052591077,0.0046432189710143845,0.0756015980306241,0.020189973868098288,0.014152577695892232,-0.554252843541535,-0.38496560006912967,train,0.44887780548628425,1
2,-0.0457373792558639,-0.09088553232025035,0.42852399373688377,0.2872061899672288,-0.06780489752700464,-0.04987466294141639,-0.07463125208293622,0.3366206696166768,0.24478669259983876,-0.35596887496230434,0.32109553723122647,0.11346527962407202,-0.11517259790310236,0.06577031674423175,0.10829606019458096,0.01395528059075199,-0.054730562066957894,-0.2634014094763763,-0.3226528186102239,0.06334002062833796,0.11252130056995541,-0.15114703329089002,-0.14710937516184275,-0.5322340081641594,-0.3740776454524306,-0.17393085046486698,-0.25741997386059706,0.05901264739725623,0.17071814874747746,-0.20468112981502093,-0.3161594201178932,0.04643320554343538,-0.4410367480379486,-0.377675073157659,-0.623244836282519,-0.384011481092843,-0.4454900889024533,-0.4121611839860274,-0.20312160601271093,0.011809432946616946,0.09984502280735091,0.03190076897249847,0.03559352670594809,-0.5981627617591854,-0.42620084056161467,train,0.8977556109725685,1
3,-0.06506737653071948,-0.10472091174660428,0.466512889366874,0.3061832567626125,-0.06169089196759982,-0.05871047771628178,-0.06705330609145377,0.36063976316114554,0.27000602342114544,-0.3847312388449431,0.3462054259519724,0.11915204003818353,-0.1334337272027853,0.07755707145161349,0.10900755828653008,0.021379582158236737,-0.05500614709489566,-0.2785639305880895,-0.32236272644505787,0.07589844814285474,0.12788166683232816,-0.1640604639946946,-0.1497865178315404,-0.5721549154037883,-0.38733069460994995,-0.17352402380988935,-0.27565790855385885,0.061423532762968414,0.18029840670471073,-0.21140657216108646,-0.3262791245721363,0.05266472290937921,-0.45735924446009196,-0.40439814697658577,-0.6485590027532856,-0.3883010024364486,-0.4728232639500807,-0.4290928942613019,-0.21283503474697535,-0.00024163568677053326,0.10870167546757589,0.041770494233870886,0.04783401531363363,-0.6365845072469825,-0.4399510656665494,train,1.346633416458853,1
4,-0.07111046049783934,-0.11215112320512866,0.4977019287611531,0.3208990436560484,-0.06047521900876425,-0.05594002340880258,-0.051168662708625495,0.37225943024842034,0.28320915419845477,-0.3948343523926794,0.3489650417123346,0.13015666904139095,-0.15893234700988979,0.08591547970273165,0.11211017631849321,0.02178382881407974,-0.0676298397805239,-0.28083763549039364,-0.3348108502971902,0.07497090296888859,0.13568792531695853,-0.17775444709623012,-0.15457264210528515,-0.5945663414165151,-0.39079466606223,-0.17375588820583202,-0.3002486404363919,0.05973741489235404,0.17385368015622063,-0.21385017736145145,-0.32779842236440204,0.06055721674119925,-0.46632738537596813,-0.423214113654738,-0.6793377447285885,-0.39347079411925595,-0.48594711992099426,-0.4433936780941764,-0.2180645963771588,-0.008569278115624773,0.10544812369614276,0.04357503838188426,0.054693765621578794,-0.659083789346,-0.45732697429340985,train,1.795511221945137,1
5,-0.08290824996650337,-0.1135410190301975,0.4923289586258797,0.31799601705644476,-0.061008406791575896,-0.06645275803683702,-0.05429260795479868,0.36624951456192645,0.28642288826108925,-0.41462598101854076,0.3402255951133683,0.12562086409128792,-0.16725619976581355,0.08198099140429307,0.10533775822113706,0.01854065657024069,-0.07867137304585183,-0.2925403809120807,-0.341523328265475,0.06970304789106332,0.13609441763048666,-0.19086382457563345,-0.1702123133347344,-0.6080645218928944,-0.3906513597585074,-0.17560266502913846,-0.30699141154378023,0.049947930243700506,0.16878007616678445,-0.22485459877289052,-0.34342606771511175,0.06029942902630815,-0.4788786385373131,-0.43180052432705057,-0.6775560818728948,-0.4083385363862758,-0.5045951278979568,-0.4519334973336001,-0.22773279376958178,-0.014866431568745793,0.10015570336431923,0.03621063182781928,0.050221583003657755,-0.6756665633394376,-0.4669390246924805,train,2.2443890274314215,1
6,-0.08179090230444583,-0.11469244490053779,0.4952188969455145,0.315201908746524,-0.06391254649406569,-0.06586235327747086,-0.048868056218049405,0.3671704308766751,0.2792554090114857,-0.41675794759234686,0.33129149851746115,0.12906850564001351,-0.1749808207740264,0.08833056390695511,0.09781546740792901,0.016219095406063755,-0.07759186795328392,-0.2935665975540619,-0.34111936311359786,0.06804577327664563,0.13748841469268028,-0.19280578142617494,-0.16944820054464518,-0.6143056874296738,-0.38136586282284035,-0.1725382187321242,-0.3073309381354402,0.04919626561391666,0.16194660514174852,-0.2261914957214813,-0.34468653644810787,0.06598918222750255,-0.47712618248666755,-0.431051675399727,-0.6857673926981361,-0.4065042715920556,-0.5067196262234741,-0.45380686849142465,-0.2266935130199832,-0.020389170709826647,0.09530541106458354,0.03733171766439969,0.05066738716952457,-0.6794210035601898,-0.47270620343784664,train,2.693266832917706,1
7,-0.07927698852189052,-0.11442261010136653,0.4981954960056753,0.31098239174494624,-0.0588971635528063,-0.05380389296527886,-0.051690061388987046,0.3603300633497458,0.2728260158732908,-0.41991714720558,0.325963995412558,0.13691431363808934,-0.1802232447997729,0.08685541569635273,0.10107974746899409,0.02008277350202392,-0.07276936420176569,-0.2878171121222404,-0.34010933410944993,0.06092302347809342,0.14226709174619084,-0.19832353888446558,-0.17399698606633598,-0.6191679271728616,-0.38023158483499586,-0.16936508443366008,-0.31590543358358,0.04941347696385906,0.16273207352367983,-0.23120944804322485,-0.34273980982428426,0.06748820559766702,-0.47893682875933746,-0.4270442401172247,-0.6951490996151505,-0.41147527278936263,-0.5033646909507505,-0.45657510502692733,-0.2303413899755862,-0.018560872551180933,0.09020732190453196,0.04091169520789159,0.04864355807059206,-0.6833635531026478,-0.47180280448199696,train,3.1421446384039897,1
8,-0.08887994448032469,-0.11750855925387058,0.49489730731848375,0.30327708240497986,-0.051832310572296855,-0.05639763623596704,-0.05640685790620201,0.35869494339375485,0.267964575519923,-0.42119792635190456,0.32261724912341483,0.13226594684559337,-0.1771479261282175,0.0852789411821335,0.10070085673836378,0.018874797959212833,-0.0699265485156249,-0.29687838954929413,-0.3387619150532804,0.0630727380756437,0.14244520574273511,-0.1914146046971285,-0.1697379115797183,-0.6204296302718063,-0.37769593598669116,-0.1692533891712438,-0.3115921348872074,0.05268436135754659,0.16963938261813402,-0.23492674966435817,-0.3420434747561665,0.06655011245709781,-0.47502883449346794,-0.4367871625026167,-0.6923857264760046,-0.41170516076970043,-0.5097762139989535,-0.46015324036205585,-0.23834382606663537,-0.022755732473314076,0.08567735473395058,0.035777293666179016,0.05149390263337772,-0.6767436574578238,-0.46324704817215745,train,3.591022443890274,1
9,-0.09706000532943615,-0.11591675195114248,0.498864947893324,0.30836977922948927,-0.046652921568373695,-0.05551308384386287,-0.05136650454261904,0.35241566608844543,0.2733358103891168,-0.4223354708700819,0.3168320729664099,0.13510306199177763,-0.17917956558809933,0.08784208290694015,0.10315685416040629,0.02381620548600502,-0.08316598661598379,-0.2926225787368751,-0.3501648755826038,0.07587465310646685,0.13892935993459418,-0.18853215711247046,-0.16578340337908107,-0.6273922689708971,-0.38176428324791667,-0.16483159070862696,-0.318998117873861,0.05020589081270199,0.1680505260599097,-0.2393018537227735,-0.34313303461559286,0.06432883580765571,-0.48771409314429354,-0.44646205178513076,-0.6972566449395727,-0.41860653183088326,-0.515457714538742,-0.46340343113092985,-0.24482294089321166,-0.021070409414119404,0.081890585356091,0.03568423076646565,0.04469260054106183,-0.6818488967298415,-0.47462561983793916,train,4.039900249376559,1
