,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.005768214805370339,0.005066616761319426,0.4071105862564306,0.3203311598046419,1654,1654,0.4013423714510603,0.31526454304332246
1,2,0.006258035392482307,0.005546041973877062,0.33661976896643275,0.28678366238423786,1654,1654,0.33036173357395043,0.2812376204103608
2,3,0.0068600537783551725,0.005476667289953244,0.2584420162635728,0.29047740650221193,1469,1469,0.25158196248521764,0.2850007392122587
3,4,0.006184066547426559,0.005190735035552325,0.2627020478351792,0.2359133631076307,1654,1654,0.25651798128775266,0.23072262807207838
4,5,0.005174909245760083,0.0042104113462984195,0.22930332459133831,0.21866020169748002,1654,1654,0.22412841534557823,0.21444979035118159
5,6,0.00792841648772205,0.007986920394903773,0.16091414767475373,0.16292360327529576,1654,1654,0.15298573118703168,0.15493668288039197
6,7,0.010860380263445123,0.009284381208787653,0.1487613075675521,0.10431340922492459,1654,1654,0.13790092730410697,0.09502902801613694
7,8,0.005453058282871391,0.004666763780656813,0.18732324463288122,0.1211288459407429,1654,1654,0.18187018635000982,0.11646208216008609
8,9,0.008261664072422544,0.0077001687415189524,0.14100936265635172,0.11807791436758128,1654,1654,0.13274769858392918,0.11037774562606233
9,10,0.005598356262780031,0.005079786522609391,0.12172112065477683,0.07296335274492777,1654,1654,0.1161227643919968,0.06788356622231838
10,11,0.0040369509699592476,0.003816505650478722,0.08127737719557941,0.15030691509171848,1654,1654,0.07724042622562016,0.14649040944123976
11,12,0.007345782334713526,0.007055003078798665,0.13229866579281893,0.11733397958496147,1654,1654,0.1249528834581054,0.1102789765061628
12,13,0.007867540975073377,0.0070073279778279755,0.08105728529217233,0.0737862651109807,1654,1654,0.07318974431709896,0.06677893713315272
13,14,0.009462799884060584,0.008841040433266832,0.15821567354709917,0.10630371867378964,1654,1654,0.14875287366303858,0.09746267824052281
14,15,0.0045776259207858305,0.0039524992955919805,0.14265312231739516,0.13560599564980355,1654,1654,0.13807549639660932,0.13165349635421156
15,16,0.006869016630689322,0.006320002404542489,0.09428535560211028,0.06785011236891483,1654,1654,0.08741633897142095,0.061530109964372345
16,17,0.006868852751005626,0.006319797687991739,0.07405235145859601,0.06680602185114429,1654,1654,0.06718349870759038,0.060486224163152545
17,18,0.009462392013131373,0.008842238906537129,0.13375590313453056,0.09783448847622568,1654,1654,0.12429351112139919,0.08899224956968856
18,19,0.009461655581022422,0.008841987479668096,0.10965479686471716,0.09324380807542403,1654,1654,0.10019314128369473,0.08440182059575593
19,20,0.008265704980617353,0.0068644561603763135,0.07303394488600523,0.04119475184272225,1654,1654,0.06476823990538788,0.034330295682345933
20,21,0.0062962442226153215,0.005095983533350685,0.11011909372220997,0.1205652627118232,1654,1654,0.10382284949959465,0.11546927917847252
