,AIBL,AIBR,ALA,ALNL,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWCL,DA1,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAL,PHAR,RIBL,RIBR,RID,RIML,RIMR,RIS,RMED,RMEV,SABVL,SABVR,SIADL,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYVL,URYVR,VA1,VA12,VB1,VD13,train_test_label,time_in_seconds,tau
0,-0.025728497983286767,-0.10527185379208114,-0.05082573086334541,-0.1640582379022865,-0.06566386627430773,-0.09348050764214483,0.08897019307974374,0.07353182993148337,-0.10280173313527946,-0.21076224950255162,-0.03807711446587597,-0.16788846810595093,-0.10442821352480014,-0.16039467526939438,0.05383717110861812,-0.18708895852982385,-0.14458803536789466,-0.10459834623804344,-0.12611249371100025,-0.22533754411420678,-0.26439544132457454,-0.18588067482891918,-0.21311330974711243,-0.012580885714154694,-0.1971969223999125,-0.23305987781819376,-0.07939546241728376,-0.15174570178376573,-0.06551285272917803,-0.10869390202628354,-0.0818406535836184,-0.1639197247380392,-0.21226625413518407,-0.08027548851993466,-0.08136929635542374,-0.11908259124019656,-0.11040450778052541,-0.2217890495711637,-0.23809771386151604,-0.1386867300007802,-0.2133904860534105,-0.26248850498137605,-0.1632999541102564,-0.10678067661219574,-0.006844551424665488,-0.23670862478350513,-0.21299012028989023,-0.13251718471820265,train,0.0,1
1,-0.02001528312002287,-0.0932967679016043,-0.018402340157268507,-0.1919989272243846,-0.08266529214784471,-0.06688027893605793,0.1253226609457333,0.10879792245235961,-0.11186052159638252,-0.23946847362368429,-0.017258643716175234,-0.17498428920774525,-0.1369152765984667,-0.18397447207140039,0.03777248530099733,-0.16716864838607345,-0.162247253497388,-0.13979233044182499,-0.11328528809554965,-0.25966777749010206,-0.34896764957981286,-0.23012843077112521,-0.23892009902941957,0.03574473114987731,-0.258679413827403,-0.2736781459704828,-0.12565416577369565,-0.20609177882636648,-0.042482594671872376,-0.09283890117041352,-0.046744372956210894,-0.2392824805295373,-0.28279878975568296,-0.12458716948216776,-0.07608058484333878,-0.16740002694794034,-0.14066256088425194,-0.2766813229006876,-0.3292610331143551,-0.17677326347676808,-0.23676958073038334,-0.28385434689655165,-0.16653414546888948,-0.11353339649489369,0.03719044525104456,-0.24827929604081864,-0.27528170343556985,-0.10732944670810003,train,0.2617547261269995,1
2,-0.006518415856271227,-0.07798131525458463,0.008965699523486595,-0.20965783363034712,-0.09402152767176036,-0.05202622268152578,0.14343010655506327,0.12959011772391874,-0.12157378751226629,-0.2570452021656701,-0.005055589302544003,-0.17526955381628279,-0.16592119712850883,-0.18974910951592888,0.027105567666017003,-0.15251249033753442,-0.16159706572478216,-0.1568096368141754,-0.10484375274683842,-0.2764463217837465,-0.39759795977253826,-0.24995699022892198,-0.24931703396064786,0.05613279731748544,-0.28978913462741895,-0.302868322371717,-0.1494916354177636,-0.2402566140252485,-0.03634151936332154,-0.08508107557172354,-0.0426580777444895,-0.28163698138961757,-0.3222518928975229,-0.14730472159852964,-0.06993032109921277,-0.18277832889082063,-0.1534799952354383,-0.29852536907318994,-0.38142945479539003,-0.1867401428117548,-0.2507393326137328,-0.30092263827471205,-0.169852111256311,-0.11215227739263196,0.06364464997591529,-0.2524274856772658,-0.30044090899956144,-0.08705028325086306,train,0.523509452253999,1
3,-0.012944413001092954,-0.0801193628143412,0.020932489846660005,-0.22220916992355494,-0.10072034121547932,-0.05206493059566192,0.1320308895926218,0.13639824182119617,-0.13063032540162478,-0.2738033571416973,-0.009907235935506326,-0.180275497066546,-0.17777618131157003,-0.19857952921604216,0.022448302579708895,-0.1426165947744404,-0.17082070891772805,-0.17256879246896312,-0.11100798999586792,-0.29349810643429586,-0.42487800096927625,-0.26456862824609245,-0.25342852119411097,0.06103830799535617,-0.3101262241553282,-0.31880770461085595,-0.16847513422154028,-0.2581195556965749,-0.037162691337592535,-0.08555820807263174,-0.044924690772435744,-0.31855879992854963,-0.3540766932031486,-0.1689272363069649,-0.06525415148191739,-0.19072552416038055,-0.1596284423965654,-0.30697931008922213,-0.4168343847470555,-0.20815732313651233,-0.26920737426527,-0.31603073910772783,-0.1858648022082609,-0.11910884954659971,0.07789973234695549,-0.265459043639651,-0.32499176463842205,-0.07628567831313461,train,0.7852641783809985,1
4,-0.01180682006300219,-0.08036184863623866,0.023301238791321996,-0.23009986319522555,-0.10195646045065172,-0.05245697838649531,0.1224506724843813,0.13670532844270633,-0.1393689440432696,-0.27878685773367756,-0.017996783244425288,-0.1834796777409593,-0.18180298543262666,-0.1963746544675671,0.023039659174258584,-0.1396590189352497,-0.17598282379704958,-0.17478135193264457,-0.11235595309079399,-0.3046592799782326,-0.43755087992477765,-0.27172383125649213,-0.2502683954787042,0.06230681407331884,-0.31865019258107496,-0.3283502109099805,-0.17223484022089286,-0.26651018638503904,-0.03861903517799886,-0.08362697221559953,-0.04959091118557937,-0.33092022427322804,-0.36993904366238944,-0.17974918802563972,-0.06418246877547629,-0.19378418759738317,-0.15983152242224427,-0.3057352880237221,-0.4291710226077766,-0.21506506005628523,-0.273679259934481,-0.32852620305772673,-0.1948206701191459,-0.11800687636630237,0.08564629875505486,-0.267549163324853,-0.33256457654183463,-0.06690419862178922,train,1.047018904507998,1
5,-0.01779655174826359,-0.08137366918510294,0.02416760500047975,-0.24375605633115263,-0.10420889406602428,-0.0537942359706913,0.11871696743423626,0.14039078707521838,-0.1498578133085723,-0.29085584356288074,-0.027752046426105743,-0.1849157931731833,-0.19411202094955676,-0.18902603194045253,0.01795347137638914,-0.12471508541109323,-0.17791538522551412,-0.18153067824454916,-0.11566991589694436,-0.322627409950097,-0.4511154392951668,-0.28355226485359675,-0.2508804114522794,0.06626374543071453,-0.3214228579444866,-0.3427385115973446,-0.17716110632673723,-0.28277974255789307,-0.049981817701896386,-0.0798049926428165,-0.05767912650403591,-0.35345957037676595,-0.3851342274231159,-0.18518592072538906,-0.05861884884694838,-0.1989678579478071,-0.16244530978521982,-0.3082519507197066,-0.45335558590789016,-0.22575629731835686,-0.28127812309079525,-0.33956964790999333,-0.20840745710436184,-0.11888951000778414,0.08999120344199282,-0.27166138806807766,-0.3362536531905409,-0.06180499037464153,train,1.3087736306349975,1
6,-0.017747749646667123,-0.08587623783884696,0.02280685615110188,-0.25054113493230434,-0.11076945634352832,-0.059872928195146016,0.1039776530397124,0.1338532599918812,-0.16645123594080963,-0.30189657233385303,-0.02651161545050206,-0.18289682169500227,-0.20312016178265763,-0.19311128617613293,0.018701372104867844,-0.12459354927361889,-0.18128076480955801,-0.18842696645792636,-0.12190850436482262,-0.3330079802319801,-0.4645026841435336,-0.2849997826973325,-0.2575461772277696,0.06168830977994419,-0.3301875662509972,-0.356675848598216,-0.18773927628445936,-0.29673804774088786,-0.05653064272253544,-0.08232269686883872,-0.06989453097560488,-0.36784616386665525,-0.40105152686275647,-0.17976900848559574,-0.05619854825644275,-0.20871992658838984,-0.1690388042028862,-0.3064693609161216,-0.4690315798235398,-0.23096497119476336,-0.2846670448626268,-0.3461348819826995,-0.21789737967465805,-0.11947714971791618,0.0924067803025149,-0.2816000774588135,-0.34908738614900375,-0.056149045724381216,train,1.570528356761997,1
7,-0.03284597957557105,-0.09440654816757862,0.018458293994821448,-0.25167920891249296,-0.1227239397011524,-0.06824271610228225,0.08136322076471258,0.11874746674220997,-0.18425374885560333,-0.3208722402440146,-0.031510836180987,-0.18762437216694902,-0.20579570607953113,-0.20461919069583862,0.02302975644653693,-0.12617902016031599,-0.19453497404022216,-0.19200324791254733,-0.13981403423878808,-0.34908904271547103,-0.47863922811099874,-0.2907229667473217,-0.26716175579143797,0.052772925264163606,-0.34389237954087964,-0.3716549794513812,-0.20340470197124566,-0.30778622513750564,-0.06287842479632538,-0.08565859358602047,-0.08226422414531773,-0.38905864787626726,-0.4218568008596323,-0.1848281553157227,-0.05927092636621639,-0.22939915476728442,-0.17611168825735443,-0.3055924128326431,-0.48038411142538695,-0.24823535060992535,-0.28731965888677136,-0.3537209894659947,-0.23644268215321312,-0.12493308813226595,0.0891723997721329,-0.29231873526097707,-0.3778192916860989,-0.05940757959636189,train,1.8322830828889967,1
8,-0.03915091022953826,-0.1004015508557487,0.014774516811531621,-0.2549556983795747,-0.13847943148072428,-0.07149676446252899,0.06806356107513223,0.11238900035969102,-0.2045013429160098,-0.3351584926967339,-0.030440137187000803,-0.1902639912268764,-0.2094166479771284,-0.2070516913308762,0.024421878050407325,-0.11978581251826896,-0.20013743224739733,-0.19410449459348653,-0.15324186060499967,-0.3598822130390128,-0.4921655211307877,-0.296473764367523,-0.27150351810124884,0.04593373764711764,-0.3530628532246855,-0.3880801182610488,-0.21103273972175934,-0.3111313439936574,-0.068253338319688,-0.08908043930909368,-0.09517926766576318,-0.40609088642034713,-0.43529683761484284,-0.18445582036537514,-0.06234972964262762,-0.23852430677333095,-0.17924887357063743,-0.30241520514091,-0.48719322926191067,-0.2598656701396711,-0.2962900155566065,-0.3611087679084186,-0.24884929332259598,-0.1216981718143224,0.08841481279607044,-0.29759381262062673,-0.3948578914468565,-0.06409288071957663,train,2.094037809015996,1
9,-0.04320074664027865,-0.10138823384546035,0.0149454559049393,-0.25298386972654585,-0.14648849751078408,-0.07940759426894085,0.05771989855725249,0.1081663459212991,-0.2136151896979772,-0.33922596784050674,-0.030322806662246543,-0.18926301792344277,-0.21315462274515462,-0.21243385371487428,0.022860299852509078,-0.1267473843970553,-0.20381881482421582,-0.198120545329186,-0.15878923107947823,-0.3656218392767746,-0.5038596062098311,-0.2964319556897118,-0.2741507667863213,0.0423252228318656,-0.36296667915773456,-0.3957547402961399,-0.2181131994070278,-0.31653556747433986,-0.0692355095903068,-0.0901772644444657,-0.10125124569104507,-0.4108260283372515,-0.4450233701975755,-0.18388818038195123,-0.05849698960161522,-0.24753841669760857,-0.18477841994695016,-0.30278891030462596,-0.4912049429000024,-0.26371152787963104,-0.29885824152394425,-0.36629841283374776,-0.2500929229180215,-0.12044744548966571,0.08822816470345737,-0.3047446488352824,-0.4053113279750666,-0.06880648659712796,train,2.355792535142996,1
