,AFDL,AFDR,AIBL,AIBR,AIML,ALA,ASKL,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,BAGL,BAGR,CEPDL,CEPDR,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIVL,RIVR,RMDVR,RMED,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.05641002517845161,-0.15908286629089005,0.3058431942998149,0.1250626681047531,-0.012889726111836086,0.007037713830231374,-0.10476505119758227,0.3098146589655263,0.2619820012987855,-0.43904537231196344,0.18957908112817334,0.19658900071521712,-0.1585707475779227,-0.173450211151741,-0.13375199344118507,-0.13920466002257764,-0.21860125138509212,-0.3823738466969281,-0.3957626418370479,-0.02421237981277849,-0.006404652181524778,0.18850050458031672,-0.0176727600265546,-0.3582902362370928,-0.4178978709854459,-0.29275681102826623,-0.2735891474430661,0.21863759055493534,0.12950569832928627,-0.2541800271588807,-0.06962958080019674,-0.2150574999939239,-0.5358494669508331,-0.3546549628594182,-0.42012824938972393,-0.31999146519287536,-0.3901458026596646,-0.1354348663632934,-0.12203249746023666,-0.0738352049497577,-0.03039588280557961,-0.07869224237971173,0.06981739474852047,-0.41483517270919706,-0.3283355025882269,train,0.0,1
1,-0.0703009615927081,-0.16277484028551875,0.45006524701622774,0.2587701474334575,0.01219843222983906,-0.014246261726028931,-0.07134496258189692,0.4788940860104959,0.39454956699411287,-0.5480191717754878,0.3297399647165899,0.37128842738811557,-0.18338997809755309,-0.18230963265925645,-0.1376137148560942,-0.14623334171501173,-0.28152061916508175,-0.4466229378140392,-0.5079612878451651,0.04293376141104999,0.042125529120535216,0.2596961479612372,0.010081749888206454,-0.4685087378260693,-0.5839337644012179,-0.34974384503088823,-0.3157797389756016,0.3483679244518665,0.2924847393383204,-0.2879600789056,-0.08065337817748823,-0.24415566050522367,-0.6922087087446142,-0.49173007960213405,-0.5653529876324691,-0.3944718031797364,-0.4358189449698857,-0.1465919129415835,-0.15191454259331577,-0.03126600752343883,0.031944752822539044,-0.04756494275491313,0.1441678048772956,-0.5178201531264077,-0.419715515584631,train,0.44887780548628425,1
2,-0.07307112230576551,-0.15775708532415755,0.5196094258010153,0.323398972293361,0.0046523985216189445,-0.022221274245592105,-0.046482911033667,0.5497241796576007,0.4587046309624198,-0.6119303704355706,0.4025296443136535,0.4375060599907998,-0.20444949171642804,-0.1936844573209386,-0.17822215044371276,-0.15969444348694994,-0.3174721848979838,-0.49907231518529105,-0.5691871503406549,0.08380250412183021,0.06879095462030277,0.2871690156175245,0.02469472262984687,-0.5302447070577825,-0.6831086683052505,-0.38984623741314683,-0.3462379471863747,0.4173441423407481,0.37805640987842826,-0.29704198552827105,-0.08646759795733767,-0.25986628939298695,-0.7920931174187189,-0.5775873372159414,-0.6596339715539759,-0.45140121391915566,-0.4644541251186504,-0.15824301134117408,-0.17195384343658732,-0.012658438367145683,0.06322504666789344,-0.033554017578332665,0.17945657308705815,-0.5685155348893647,-0.471375246728587,train,0.8977556109725685,1
3,-0.0812658651669851,-0.16119384705279885,0.5623723847439805,0.37411760413637163,0.0005030287581363202,-0.03607993371658223,-0.030035329734632535,0.5952706725545373,0.4838238173529204,-0.63060763016362,0.44606427621284256,0.49248429002285693,-0.2129437746070436,-0.20283712334875018,-0.17704081600539925,-0.16097819728121976,-0.33208313360444885,-0.511885814213185,-0.5970292765910914,0.09974651256743439,0.0789826112369775,0.30686847744968265,0.036187156578350255,-0.5682949590720993,-0.7318137532504935,-0.39580873070507716,-0.35711088822203296,0.44633848516193486,0.4214394764931224,-0.31108399277896154,-0.09639106330457264,-0.26851422116559026,-0.829745658630564,-0.6185389725536599,-0.6947247483965208,-0.4694560308648317,-0.4712766360364161,-0.16664665280238194,-0.1877368278158152,0.006250374371498363,0.09302659807216704,-0.017245074946473996,0.20357852292981118,-0.5984082353277266,-0.49778667989220227,train,1.346633416458853,1
4,-0.08094696330239584,-0.1578482687853103,0.5854583669018841,0.39676109675850246,-0.013355736353695385,-0.045129616130860334,-0.01528250853912605,0.6033501120573896,0.4956469307827526,-0.6479958687029763,0.4685034326011001,0.5077895595088333,-0.22362497508461499,-0.2031518761863321,-0.1818790694264723,-0.1737030666196557,-0.3468683497586507,-0.534882053652502,-0.6021268593053187,0.11060861444309544,0.0880544203566146,0.32203762897197524,0.04105358352642283,-0.5841108671056015,-0.7669464544848877,-0.4086072531738828,-0.36656539892361334,0.45885759321354314,0.4274670589133084,-0.30995910317154424,-0.10233696960392084,-0.28058442556273505,-0.8534679551525555,-0.6442318421707186,-0.7207058806721802,-0.5049046933697112,-0.48461223041549134,-0.17148465502669347,-0.1976413802363779,0.016326035639227243,0.1162777114608956,0.0007198014903712774,0.2319850322190494,-0.6163319878359995,-0.5105060343609746,train,1.795511221945137,1
5,-0.08110552216388278,-0.15349294127393895,0.5916808640324657,0.3944244352222682,-0.01924105083802491,-0.06831472084262123,-0.02130141712670898,0.6010447349822238,0.4902729642558981,-0.6616454229644941,0.4683051451063169,0.5121752503138184,-0.23578671246682836,-0.20953747816816443,-0.1730600255847568,-0.18856678517512676,-0.35236669264717035,-0.548798958988763,-0.6225143245222948,0.10876574155503366,0.09383495590682389,0.3177506187312966,0.028083541232957726,-0.5931249906459317,-0.787578101857534,-0.42506964432208294,-0.37430798353358974,0.45896114975103164,0.43288024848919504,-0.33171444110039316,-0.11161514858152473,-0.2867057472139679,-0.8656803567152789,-0.6520392400700799,-0.7509671554021122,-0.5204584547918601,-0.5003000496542509,-0.18786610426966746,-0.20331242000539151,0.01391956849243775,0.11739284537343853,0.0006626010591760656,0.22497320171662286,-0.6341221260125554,-0.5190698460759204,train,2.2443890274314215,1
6,-0.08559683372021559,-0.15651160314522128,0.5919708028596388,0.39113130232071336,-0.019643913511175726,-0.06974229545901908,-0.022789717562511594,0.5935796333833805,0.48336508862260447,-0.663239789855663,0.46240160901633093,0.508287111706863,-0.2362368775903263,-0.20225423535142095,-0.1671461864713931,-0.1911164305153933,-0.35409608241108037,-0.5496265804142125,-0.6305207879943848,0.10492721872282879,0.09595687265817643,0.3156922180671558,0.02138723145035165,-0.593286794550164,-0.7967063344837576,-0.4230022201151208,-0.3803821277366938,0.4511696670077747,0.4314434506408612,-0.3269745813414284,-0.11199532542273799,-0.2910064873856934,-0.8721967027902817,-0.6621590099996919,-0.7388203804697034,-0.531864402305028,-0.5012655557818729,-0.18633160004237384,-0.20320814241581164,0.007955008559833998,0.125419752985583,0.002461702301167115,0.2254013296196227,-0.6415523255157489,-0.514685837130141,train,2.693266832917706,1
7,-0.07578206140378349,-0.16499763454311675,0.6001734190290232,0.3867090594449739,-0.026215045133075765,-0.08127175485952526,-0.019356054676480078,0.5962098351243641,0.4723672531266245,-0.6720257070750507,0.4462298132306413,0.5063077333559496,-0.2249655550683719,-0.20230620506950686,-0.1438826806256778,-0.18505782298560416,-0.346876749488663,-0.5378282554057692,-0.6385888323770912,0.10903865169967436,0.09571087521603466,0.3217871206253332,0.005693190410244575,-0.5977535609986508,-0.7971337973596734,-0.4169305088499621,-0.3764412694994401,0.44306991807681806,0.41741451701324794,-0.3291408690393875,-0.10396877673740285,-0.2943262882461962,-0.8740024014130083,-0.6640236160994896,-0.7163351765308149,-0.5387805870178444,-0.49723978784006584,-0.1795400951720806,-0.2007655153199837,0.03241238638635402,0.15158269055495352,0.015537212311431639,0.25361622087573843,-0.6338897517701926,-0.5223635505675405,train,3.1421446384039897,1
8,-0.08392078130565422,-0.1749928021840605,0.5939655942128921,0.393133622151576,-0.032116227119925456,-0.08735243435205195,-0.032008629005876976,0.5940358233440293,0.46800631485663075,-0.6615752126538177,0.45995151787763994,0.5055246559691122,-0.22632116379320408,-0.2052856343749731,-0.1368145469463313,-0.17713453238346566,-0.3451443578352472,-0.547566798598391,-0.6331460284608582,0.10699899706305982,0.10144856249207043,0.31091731056160543,-0.006210638094607368,-0.6047770113168776,-0.7823130303649659,-0.41738662729764353,-0.3785953312205453,0.4392488954684626,0.4184878862144975,-0.3430408886642337,-0.10522262601695967,-0.29807004278079574,-0.8618480554027195,-0.6526972698710949,-0.7188287965923688,-0.5227233095547343,-0.4920594317393969,-0.18094293225119848,-0.2032417249338585,0.028543145065293873,0.15465896760437992,0.018017737778739537,0.24917503284689227,-0.629459115384823,-0.5207089060597383,train,3.591022443890274,1
9,-0.07785786296031719,-0.16757370397395732,0.5877079255252775,0.3875548022339409,-0.03684605077905914,-0.09049023807668596,-0.03409408259197454,0.580322113775839,0.4661815392354956,-0.6674296628563652,0.46241044744851717,0.48951305199399325,-0.24395849564480887,-0.21507485318767242,-0.1480318307628224,-0.19180992529792606,-0.3650608262567877,-0.568599153628932,-0.6312669088179544,0.11145328836692514,0.10120898195226424,0.2997562211381981,-0.012845776105619655,-0.6004783771253019,-0.7946723925093463,-0.4290185061988557,-0.38490514560446254,0.4249214784088807,0.41633983545839237,-0.3383648601325173,-0.11157491605689683,-0.2968772036775758,-0.8680072181640281,-0.6566785008566935,-0.7238645499178833,-0.5463025203305827,-0.49745141892277606,-0.1841334986697378,-0.20852453904757082,0.021311714610057958,0.14760809663040467,0.012461691230021096,0.24686574146116377,-0.6346530637937013,-0.5295988228820088,train,4.039900249376559,1
