,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.4335416297630592,-0.4922614564792105,-0.14406022283696251,-0.13325149467419484,-0.5229007177313744,-0.8330280920963586,-0.9201522033957156,-0.5362313108735413,-0.813384384622925,-0.8171436498354201,-0.9208463265934468,-0.28055287615093905,-0.3424455633752116,-0.7113518970090165,-0.7784161283009401,-0.5239346977914251,-0.9550162730945437,-0.92459278573498,-0.7129005445637879,-0.835865785534639,-0.377618702051419,-0.15426174291239747,-0.0027581181631043394,0.15293766177915114,-0.8127818380145365,-0.9548536413627196,-0.7380836603809705,-0.5904327202056457,-0.87269421698985,-0.6306399571912268,-0.15798087835384322,train,0.0,1
1,-0.38791415542297525,-0.5009304196781263,-0.12117859746595183,0.11025206139092147,-0.43642257198745527,-0.8460900359208129,-0.9312189134515033,-0.5590896730179917,-0.7739960860740769,-0.8126847030052812,-0.8983643181502299,-0.1457532746329433,-0.3882430599662934,-0.7164462302110144,-0.7640106479543572,-0.424480019593692,-0.9523774290624557,-0.8894386995455076,-0.7052183563200183,-0.8161284046817832,-0.7744726950351658,-0.2086115723360633,-0.20566936780070444,0.2884266228062129,-0.7421118344603661,-0.9593573880205616,-0.8029290705465684,-0.6064281402012389,-0.849309225345881,-0.5659402265522469,-0.14991215167744143,train,0.35749751737835156,1
2,-0.26708391003584153,-0.3899852156983543,-0.19478786590343855,0.18502969379874523,-0.4825929488860762,-0.8319793237553692,-0.9147878505609521,-0.5918957954990633,-0.8296350880515511,-0.8050892929967263,-0.8615479267738126,-0.3502293937308322,-0.4380101504792526,-0.7975899791450183,-0.9106244328576333,-0.506988735897081,-0.9543491731997388,-0.8973698229436823,-0.7042643858913291,-0.8495677506929846,-0.31441554181240683,-0.19745302190223102,-0.14193484622861718,-0.05613567537484876,-0.8211523810288215,-0.9832652700218263,-0.7459634344787976,-0.561235108924859,-0.8385739652147393,-0.5657929785121214,-0.2374749393776634,train,0.7149950347567031,1
3,-0.2269773728764064,-0.2688336144461926,-0.10536885865330126,0.2731591034477401,-0.42170337421070336,-0.7950139850237286,-0.9060296457696992,-0.6449145402235977,-0.8796438680768202,-0.8322120188550943,-0.8305146428417562,-0.6116265248510242,-0.5695733389703083,-0.8071498729776123,-0.8357503599530168,-0.49748801407891247,-0.9555759857007837,-0.8642701998190173,-0.7586028146988884,-0.9306718109125277,-0.013223584717195647,-0.19598859809778912,-0.23739314521578092,-0.11263916344004321,-0.8811902184109406,-0.9268207770765778,-0.8688695319230402,-0.529852322776208,-0.8438556891934812,-0.605918254506582,-0.2638548926228196,train,1.0724925521350548,1
4,-0.11194117953800464,-0.1754122230863867,-0.4136977940663986,0.36928636456077757,-0.3266994276939097,-0.780337799114053,-0.881160124043644,-0.6452739533388195,-0.8816905367152428,-0.8158657390192834,-0.7996871624319319,-0.5145845689674687,-0.4681738523902681,-0.8298568707579863,-0.9256872708563105,-0.7805029668688098,-0.9338632085111582,-0.8123637515329138,-0.7451918706293157,-0.8231883667941928,-0.6102717404094415,-0.3585462674482379,-0.21718440864712896,-0.19075158558685978,-0.895980169457336,-0.9354683395939977,-0.7141533454580261,-0.4188244947820039,-0.9044326090560865,-0.5901922322053479,-0.25965213433112866,train,1.4299900695134062,1
5,-0.09387184227167777,-0.11594946981076282,-0.30537994311804295,0.28645311852141786,-0.23246559155631752,-0.6538443814937449,-0.8187100958572062,-0.7022546927212345,-0.7488655746523243,-0.7837390461185652,-0.89404282228343,-0.5648278361131873,-0.6151477775298302,-0.8416567962949234,-0.927723224036523,-0.6833027398038116,-0.9195854606216514,-0.8197020549678189,-0.7225163721956006,-0.8199297212605302,-0.2518528922316807,-0.2796943938849341,-0.3382623151297648,-0.1436211060868482,-0.8912052324734426,-0.8823197044820201,-0.825190006700488,-0.67323964112543,-0.8417668779504666,-0.5887840752243931,-0.3786730108203975,train,1.787487586891758,1
6,0.05661285667177163,0.05544799435644454,-0.2590320620609523,0.3492032566153762,-0.16716973980217642,-0.533550915565873,-0.5288111007642273,-0.6976525507953826,-0.8866491899620388,-0.8565884456408099,-0.8027649261256966,-0.6395190221713476,-0.6845075542807695,-0.8501887075830535,-0.8102952129497942,-0.5805428930057159,-0.8988709277917187,-0.6117861346031962,-0.7188212291636824,-0.8142946452508564,-0.6216347906633566,-0.3955867204393242,-0.4706027590294909,-0.25614910552883097,-0.9035873261232994,-0.9497512607379613,-0.7457949650617403,-0.6374499387404642,-0.8671981627458846,-0.5118557179153225,-0.4144161726837967,train,2.1449851042701096,1
7,0.07498291597241491,0.20051325720932023,-0.3368484671525024,0.528005226400277,-0.25491272666959264,-0.12420720575599553,0.05523983758319462,-0.6800170699046733,-0.789342621181905,-0.8021939894651342,-0.8052216887456799,-0.6225186070322839,-0.7048986891691251,-0.8923935148537016,-0.7844333908424759,-0.5201532069145605,-0.8084975932707588,-0.5003021968781126,-0.7367562269129206,-0.7700050696922375,-0.33696060798642646,-0.42332400715434326,-0.5420880042160512,-0.470582681655481,-0.8944713727483792,-0.9259182103633767,-0.8175169905235952,-0.5735426563420625,-0.8080802438229404,-0.5145601109588871,-0.38969258915670646,train,2.502482621648461,1
8,0.2645904554783942,0.18645686652397608,-0.16579098316448304,0.27074044607600634,-0.10627323513204334,0.30900460533318863,0.4395794351126052,-0.8267219211276038,-0.9636243578899413,-0.7952352274637058,-0.7894048423286584,-0.7735320295968928,-0.6948503117130442,-0.9278773134934303,-0.7630050592468588,-0.6578937295655016,-0.7423230449866224,-0.27557407087298325,-0.74993323953443,-0.8131538272951573,-0.4389017367103383,-0.5157618789917064,-0.6382499552317792,-0.5602496316931203,-0.8779804415245788,-0.9232937401061974,-0.7931961328611083,-0.6521445850995117,-0.8272575358328147,-0.30073505017505253,-0.4705690006166483,train,2.8599801390268125,1
9,0.31597199536409337,0.3135449333156908,-0.4087437982768307,0.25739054627008806,0.15303595338678622,0.3727130268004931,0.41885084992539556,-0.7579150975143802,-0.9404591010180746,-0.7634556004356896,-0.7679943832433778,-0.7691562575214866,-0.701750982823812,-0.8903512651317502,-0.7128383298425007,-0.6963679835491248,-0.5355601852936611,-0.1426360248757368,-0.7104795613290025,-0.863105885842842,-0.38770672780054016,-0.5923810316288893,-0.6548676975152026,-0.6414495531973308,-0.8501859650203653,-0.9459481663643213,-0.9031760313965732,-0.5997458706412278,-0.8207192305462031,-0.3079177005101976,-0.5414623512037327,train,3.217477656405164,1
