,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.12200794632327194,-0.2335016287573919,0.10994377142247846,0.18865746953953222,-0.3868942196436097,-0.9215364887946171,-0.8991138146717504,-0.4881641632105771,0.09486777190562545,-0.8897930504365003,-0.7746924630706538,0.062314373326500805,0.2883530744679561,0.816659780420751,-0.4121944944443938,-0.638774628745616,-0.40183419904767315,0.3267085897264548,0.4993075959794695,0.3932209600490486,-0.1642361193816544,-0.7841132201492906,-0.7761221200930507,-0.14237344418185316,0.09061075162954024,-0.7814820151705391,-0.37697485945520715,0.039029434750947,-0.2836435007712912,-0.6961122658940161,-0.8201059628390692,-0.7218597374779991,-0.5886960603884578,0.6188856193884629,0.8216248028951789,-0.9207023256232365,0.5758732930647159,-0.34334161668121577,train,0.0,1
1,-0.1328064501802645,-0.22214602012194662,0.179912470516717,0.1847876443485046,-0.44235687739430096,-0.8969976239598179,-0.9145987851524889,-0.3749272005354334,-0.018816382627578898,-0.9232128319465995,-0.6520082010365872,0.050175377615185646,0.22019659491007504,0.8024801377747105,-0.40800640630359364,-0.6351610182331298,-0.4936012624375494,0.26903333131939133,0.37701559359546755,0.47037039096315403,-0.17746468808803528,-0.7767458194334316,-0.8066167136425594,-0.1904533479015571,0.04818956157148491,-0.8388469851490455,-0.25738963909939494,0.04725127920457939,-0.23248439412429645,-0.7089130160662398,-0.7661594632052219,-0.8440759866062106,-0.6354946352097075,0.7950631050915757,0.7307413846037012,-0.8600091932351017,0.5715565170333785,-0.40242956432115407,train,0.34427797258527254,1
2,-0.12627256269164877,-0.2135039897934803,0.3696330642346273,0.16418653395545024,-0.4109538725005524,-0.9021135691034934,-0.9145810617013594,-0.4285669225582278,0.05123058051757634,-0.8931111908557648,-0.7372909858937702,0.11426573505399085,0.29851849207217374,0.8129433259722273,-0.42166511227799186,-0.6709805367048303,-0.5399075232309163,0.14735581436118972,0.30889812872017863,0.509828336092621,-0.20742622013672185,-0.7999795991084048,-0.8289787398665112,-0.19836198652561277,0.016429630670599993,-0.7900365009069333,-0.28678017949071866,0.028685484532266603,-0.37143246986099165,-0.7206277830228425,-0.8089475078349729,-0.859782794479835,-0.6352124065434746,0.6685629833769182,0.8511608890071434,-0.9056710702853837,0.6030207353387904,-0.419741505917951,train,0.6885559451705451,1
3,-0.1538151159819282,-0.257569133887248,0.16403431130708146,0.18572368943102457,-0.32912736959770894,-0.8658674523432646,-0.8955967679191618,-0.4918780223745387,-0.0023904254650808365,-0.9283820444470886,-0.7799180001106776,0.36505010015325334,0.24684268066867276,0.8277694713102036,-0.46070112382242456,-0.6986411648579771,-0.40385152319801354,0.14539424070291074,0.4252118304540633,0.5052730430954551,-0.3207042136102707,-0.8306118537139296,-0.8409005009613717,-0.2434025825028191,-0.04086035178828562,-0.7896373550360931,-0.26543343916657325,0.1247915430972577,-0.34381357321950523,-0.6490888179960533,-0.7634601815690928,-0.7565737361722021,-0.7123385957547973,0.737247451780803,0.8013617571609908,-0.8792642976968407,0.5477083722402132,-0.23097767397618252,train,1.0328339177558177,1
4,-0.1489583550610284,-0.2542921391590134,0.1607721785427525,0.17526090313218234,-0.4064369953513327,-0.9085397207683168,-0.9207345233926014,-0.49257691397089076,-0.037564805702147375,-0.9217323439374046,-0.7527547220548576,0.3661723931063161,0.3375889966890908,0.7846676892535304,-0.48036308163646657,-0.6785107763835401,-0.5172310309684913,0.1327854093005123,0.4897857619944337,0.3682044098754387,-0.3415162089417144,-0.8660701959850442,-0.855230781874832,-0.2631102474449958,-0.06311517700252867,-0.7529346286519621,-0.3780230295276765,0.2339747308856872,-0.33162241544526827,-0.6506921766752283,-0.8636169019026368,-0.7543164817479685,-0.7138037132129575,0.6949615538014848,0.8756682783790652,-0.8523565593058707,0.5481638186629598,-0.33866250500630235,train,1.3771118903410902,1
5,-0.1483667935995474,-0.3067595467243627,0.3171628820047887,0.14317737197862512,-0.42497763845573455,-0.9121998390885231,-0.9422910566568118,-0.4100496396469179,0.005061363815419551,-0.9243835595349884,-0.739911414069699,0.24338209178244208,0.3291997480184925,0.769181322540948,-0.5297578173213855,-0.7515427946008406,-0.5653409948019594,0.02003705352719698,0.47576355411642446,0.310966641424975,-0.3813478074458708,-0.8536263781725546,-0.8816477378250411,-0.36648984637901627,-0.07521150989766812,-0.7980400514878236,-0.3221013697792162,0.24820668894875553,-0.4300638678468136,-0.6944585527047742,-0.7823138441888517,-0.7830910653733052,-0.7777098456827415,0.7104199400554574,0.8961788702281028,-0.8731297044294791,0.5741517282038946,-0.3000797053623998,train,1.7213898629263626,1
6,-0.14024381677452225,-0.29591322787823626,0.2088404136205122,0.3739869762183454,-0.40125881790663964,-0.8878724577934642,-0.9233241476451564,-0.3715404393069277,0.0021791816948948384,-0.9011079316748642,-0.7512113133489186,0.3060180241679784,0.3455439956046569,0.7062065782235313,-0.473905549940431,-0.6731107126139428,-0.4521462904082796,0.037957891398923804,0.47570901142679456,0.32904594365984985,-0.40156134625920015,-0.8613661414401836,-0.889242017894745,-0.3301081971973815,-0.09384900246120353,-0.7969470997267404,-0.17426066216963843,0.23873291711353684,-0.44421640982318666,-0.7891787259805387,-0.8206712190954448,-0.862325822514176,-0.7593324724962722,0.7157848695568405,0.7857943308845037,-0.912677367513409,0.5728934352892641,-0.3837546300897928,train,2.0656678355116354,1
7,-0.13641195917670457,-0.33132374987850377,0.427347205930636,0.37060543471934526,-0.41434770200736704,-0.8672058749228182,-0.9037792016084859,-0.42044594219157383,0.021903403325512993,-0.9118579575245574,-0.7852745348937609,0.14580222432679846,0.3622110403047709,0.7927759856481763,-0.5122810411565576,-0.6659829902513924,-0.5380019092024434,0.02464435694512046,0.47494044836895255,0.4364828632154816,-0.4307755520091465,-0.8885183387185072,-0.8887885489529621,-0.23348558441586953,-0.12486338312539313,-0.7587475572836082,-0.2847403553335597,0.3055445074641632,-0.4240837616598224,-0.8246127793755345,-0.8439010685281919,-0.6703196359030583,-0.7864489096686084,0.6513241164435919,0.7716783307816473,-0.8978659500830874,0.5436023691382319,-0.30381765025858853,train,2.409945808096908,1
8,-0.14641207230591136,-0.28582680414666284,0.36171380463710556,0.4168103430669641,-0.5312618361688457,-0.9210840624582316,-0.9156047196891115,-0.5050196808493106,-0.01842976824488063,-0.957070396408372,-0.8244375858675715,0.2421914865104624,0.35925802324335243,0.7768481832626027,-0.49548623418441196,-0.6846887387866138,-0.5408029156038164,-0.07801128796740142,0.41312457370458633,0.41308958767203596,-0.42800061929828725,-0.923677960993839,-0.9206539607411721,-0.36630570662144946,-0.16676814279092456,-0.7759187522243617,-0.19465449837139726,0.3518109649893304,-0.4334111678633543,-0.7246395516745783,-0.7913312498665745,-0.7912450819968279,-0.774106033584463,0.7745880371656981,0.791440069841161,-0.8850033304697151,0.6678701639134732,-0.3227432557287425,train,2.7542237806821803,1
9,-0.13732229007234464,-0.2694729982250882,0.33713246578307765,0.6061125416159201,-0.3953476346402318,-0.9055824735665022,-0.9372829452340963,-0.42279088153525046,-0.034901138372814944,-0.9479707950755772,-0.8244090529426265,0.19153174648319848,0.35741127702789854,0.7783184126236383,-0.48054905687879357,-0.674675555213843,-0.615526332300541,-0.011914211842420919,0.2913436441694581,0.2887825629718217,-0.5397392992401685,-0.903181269092904,-0.9330311827164428,-0.4065016997220413,-0.14832920247723436,-0.7530365900583675,-0.1724410397763193,0.3989341976095009,-0.4016648065009233,-0.7858795207465561,-0.7734217401931747,-0.7620024366604052,-0.7947839348353689,0.7391849685999965,0.8797542213340483,-0.9171053138160619,0.6419257502587321,-0.392750855089246,train,3.098501753267453,1
