,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAR,AVAL,AVAR,AVEL,AVFL,BAGL,BAGR,IL2DR,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.5624340835460904,-0.1757051693447268,-0.7246261678887023,-0.8630922577372114,-0.46251875343786397,-0.3569472910941819,-0.9019677416410138,-0.37243875297032203,-0.6361667428012727,-0.24520877055791912,-0.1297523195895901,-0.6534106197024414,-0.534510782247464,-0.9539141472205274,-0.5408494325665416,-0.8762053560160866,0.2253486182075355,-0.8101804320820737,-0.9195611793545777,-0.4633991483641282,-0.9503780595931658,-0.8400139606656909,-0.18501381885442336,-0.8214553638077795,0.9835505449427172,0.9272438095210656,-0.8273442148886911,-0.48305248684393076,-0.991635009404753,-0.7799256601491018,-0.8643609416648329,-0.9639983833146957,-0.30559757942511345,-0.6879941016975661,train,0.0,1
1,-0.611849838962482,-0.2228477644322261,-0.6689714952151689,-0.8711494119346549,-0.3652160684082537,-0.3323187562584782,-0.8730522026176091,-0.3801134150596118,-0.6783533286851153,-0.3172363555677492,-0.16222569036115275,-0.6188490148930245,-0.6232946452676384,-0.9685838962512199,-0.5948509860540537,-0.8885927569622047,0.5345312573454455,-0.8193231992468624,-0.8587337129887975,-0.5631141306388123,-0.9710494195647674,-0.861689067197568,-0.11188903595784361,-0.7406740259518679,0.8431428573661223,0.9369627908843248,-0.8843177155877712,-0.5567111795833518,-0.9663022349275948,-0.8920926693536237,-0.9120284634495335,-0.9858607588717372,-0.24026135733985787,-0.6452112478867222,train,0.3013392857142857,1
2,-0.5871275955768793,-0.19720090379151323,-0.6701124187500664,-0.8471429470194893,-0.22155916557228283,-0.5201540278598462,-0.8220820675716252,-0.4237878672074663,-0.6897855408361985,-0.31781388973796176,-0.2995799732979645,-0.6202491642259482,-0.458403986730034,-0.9587738235315649,-0.649131659323896,-0.8672681397073796,0.19614098490854115,-0.8160182017970419,-0.8522583436496094,-0.5575445566004595,-0.9719169465128796,-0.8518634510683141,-0.13578114968405341,-0.7963186884749807,0.9674447742983664,0.9241963004746989,-0.8159310441591113,-0.48930679949168654,-0.9976659439399663,-0.7887047182696567,-0.885152506419712,-0.9569928183965872,-0.3528386345666559,-0.7036183437336012,train,0.6026785714285714,1
3,-0.611381183431143,-0.2632192033713676,-0.7551587603019391,-0.8712598645958551,-0.1055620047194118,-0.3147677233055548,-0.8718667915956955,-0.4419445383461038,-0.7247733993700864,-0.3461712001768884,-0.41624518945788125,-0.5987117539625357,-0.7894194597181167,-0.9829821146040567,-0.6295862926602847,-0.8795931618372471,0.3962037115575092,-0.8002262681254688,-0.9045489478982606,-0.5801342014431237,-0.9447503088689199,-0.8800792154484468,-0.012116485291171486,-0.7389720549209804,1.0,0.8794888585884699,-0.7891885989485133,-0.6041224322604418,-0.9778911736816841,-0.8599180370981587,-0.8689219181248178,-0.9614158581438645,-0.3537880627307419,-0.7384855534836503,train,0.9040178571428572,1
4,-0.6082610488907914,-0.32598178807954126,-0.6741063182555506,-0.7841899578460971,-0.008553216575702183,-0.517205084763292,-0.8036962222222117,-0.4830149431196108,-0.7418836502937194,-0.3391869563496035,0.01023892562341766,-0.7053946265137299,-0.5050429281600899,-0.9664446130193716,-0.678470757552269,-0.9244896321118413,0.2740001011501667,-0.8163059582068047,-0.8592540712389437,-0.6083768867885656,-0.9516757317508766,-0.8730395173028169,-0.08048467322090036,-0.7950915868447794,0.9474216376410179,0.8567689366699494,-0.8111697780886286,-0.5003702377772943,-0.978301019994644,-0.8152589229689728,-0.9140201480623815,-0.9045898867487285,-0.3993668403653273,-0.6699980662377056,train,1.2053571428571428,1
5,-0.6620719467458214,-0.3325554455785793,-0.6325404545014224,-0.8436689421273059,-0.022367608505772463,-0.4403625539831513,-0.8746859457680276,-0.47185372469084785,-0.7675911010666859,-0.3281736968999067,-0.06019082213404614,-0.3805657339340105,-0.5338372112786618,-0.963835834610145,-0.6938031575601142,-0.8230715437095584,0.5743669596201,-0.8345606456872909,-0.8603600270478292,-0.6573276611850423,-0.9175300873679869,-0.8672257651902142,0.024190129597401855,-0.6811248325459517,0.9515588123621715,0.7688160521209209,-0.8256189597556318,-0.5107767647796608,-0.9506193519056416,-0.7800827500967393,-0.8237649449246659,-0.964647720662029,-0.35417094687560313,-0.6835190115179094,train,1.5066964285714286,1
6,-0.6873863640317568,-0.32915753227182754,-0.6590764012611506,-0.7979685439349506,-0.046901334501606606,-0.4669606245837701,-0.9073593665315627,-0.573982371384781,-0.7989705799854142,-0.41885071444267974,0.031482351055720614,-0.6799744940070844,-0.8900704180217859,-0.9435208535918609,-0.7277315517645451,-0.8203717394421404,0.3728140773803357,-0.8263668145312599,-0.860568644713316,-0.688790480858393,-0.9151627971835569,-0.9007398382535597,-0.01616178793616596,-0.8481720032565694,0.9168605422245774,0.8476781365584718,-0.9087159549289423,-0.5381741538279495,-0.9648379290868438,-0.8648216545203,-0.8885097343893686,-0.9713950545385884,-0.3184226418383419,-0.6245667201635599,train,1.8080357142857144,1
7,-0.7488927521360387,-0.381693164205424,-0.6859551141443581,-0.8675651067855576,0.10912048648353845,-0.46270390482554313,-0.7840523118607499,-0.5892876704486283,-0.7951337965523044,-0.4389279052317532,0.06882238831742937,-0.6089764977134489,-0.5864588283991015,-0.9281273560790804,-0.7241905759449321,-0.9717284056084194,0.6557987963778846,-0.8695013566563043,-0.9107257013879564,-0.7355768347260225,-0.9712534945887904,-0.9172892840417681,0.1381827573922627,-0.6883393179269431,0.8718236438916004,0.8738294703514025,-0.87284241676305,-0.5172028940872677,-0.9535963029857875,-0.8659381269958454,-0.9425017879599803,-0.9980666640327737,-0.35286976335892106,-0.588305446383169,train,2.109375,1
8,-0.6945552701845638,-0.43446650417115185,-0.7245286917236273,-0.8177659705685585,0.1908808807542135,-0.5145814576814332,-0.9659805326295918,-0.6208192971857627,-0.8259282411303185,-0.4786643646458184,-0.07971242512406218,-0.5921709329246584,-0.6099837626359134,-0.9494012652567877,-0.7304899493027605,-0.8153973753178624,0.23651653496856673,-0.8492928916843263,-0.8884468290588275,-0.7122861783373123,-0.9078207895188432,-0.8854252544354788,0.03388553773979153,-0.7478142722149861,0.8502051001447598,0.7470456304357675,-0.8732512174990485,-0.5002175136567424,-0.9691321023228119,-0.8473845063246852,-0.9258857100259771,-0.8934985251883296,-0.36566058410065805,-0.624638855878604,train,2.4107142857142856,1
9,-0.7266921442572565,-0.4194161741909368,-0.6916931461266084,-0.8122741974069436,0.19107648261933097,-0.38367832478320163,-0.7780722776386859,-0.6065116481967691,-0.8205607514084903,-0.43503375473828687,-0.16335157955012214,-0.6853735121020623,-0.6731090743829093,-0.9317150189704815,-0.8122908722445837,-0.8642131481819971,0.5701648992222097,-0.8866655310857723,-0.8519658214271595,-0.7885367418571904,-0.9052984396918592,-0.878993057012954,0.1660814105224273,-0.6851017891395204,0.7539566078679923,0.8931259087303189,-0.8792128676149601,-0.5480384300428409,-0.9784896016610548,-0.866689813101478,-0.8608918182934031,-0.9225545468989951,-0.4774845445546402,-0.6059058383713787,train,2.7120535714285716,1
