,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,DB1,DB2,OLQDL,OLQVL,OLQVR,RIBR,RICR,RIML,RIMR,RMEL,RMEV,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.15309701826883904,0.04643741670180731,-0.006940991180631004,-0.06785404040796153,-0.1753067732495111,-0.2153455720801424,-0.0441565772135588,-0.03989746718342321,-0.30127824464630804,-0.3635518704696892,-0.025525403877076608,0.005935220818541614,-0.22993886472929495,-0.16705825941519586,-0.37108145075543464,-0.3648829443270529,-0.1732288413560851,0.02833863823938712,-0.17310516983844956,-0.29430228943233344,-0.1312408988528252,-0.0917407569803056,-0.18918298575021691,-0.2957317165424961,-0.35161838428431014,-0.12898319640334757,-0.003483983934652629,-0.11394743795861784,-0.03869230213994821,-0.21250847482992724,train,0.0,1
1,-0.21906761087322246,0.08423039556279308,0.06633594736722553,-0.09599652810537401,-0.179137578912335,-0.24498607476298762,-0.006546441843612742,0.005428726824925012,-0.4088668059597781,-0.47036150995443443,0.04798298002238008,0.08875136238451325,-0.26330950694890526,-0.20420898522494638,-0.4592632142135137,-0.47929934603683555,-0.1583080976424398,0.030882963654553328,-0.1884580636843768,-0.43646181227699377,-0.20234131548154108,-0.07672184101558023,-0.14371892219841195,-0.3615673149411014,-0.4816425012919838,-0.12409368018155431,0.04046434547701566,-0.11536229610531432,-0.02596739481736863,-0.2726072654781994,train,0.473344489600765,1
2,-0.25331902383428506,0.11857352612594954,0.11593981964545738,-0.11194880941422286,-0.17326388967036327,-0.26145998712785495,0.03095827309587461,0.03628432271852247,-0.45965840179747364,-0.5311805354320436,0.09987325839968905,0.13671034291537132,-0.2682062142904637,-0.2163935864165809,-0.5160257486041733,-0.5360049362224353,-0.13199753371796463,0.040573968971752084,-0.18820818393560837,-0.5182492472624397,-0.24183283467314973,-0.06510733423008597,-0.10772912253411107,-0.39621679241614804,-0.5507374816435858,-0.10984587944576304,0.06955827438487514,-0.11429092089702488,-0.00803899592869611,-0.30631229778387786,train,0.94668897920153,1
3,-0.26172494620113307,0.15391731838962036,0.15444680559388993,-0.1221872771592224,-0.1615454426121532,-0.2618128736310747,0.07009783214718854,0.06718128903359216,-0.49369822321027246,-0.5733095146444948,0.13870113051613508,0.17675062632556582,-0.26688604036535657,-0.2057308817038614,-0.540685903322864,-0.568743546812325,-0.10895240984403079,0.057581680479329,-0.17810599296378207,-0.5665189237279769,-0.26533030824473997,-0.04817344667756867,-0.07543839744453817,-0.42321324147757444,-0.5852140031964497,-0.07736410804580277,0.10293295307786304,-0.09708221732875279,0.024714025663516513,-0.3303487000137745,train,1.420033468802295,1
4,-0.27290948605707066,0.166681601986665,0.1717407961052594,-0.12712538646549137,-0.1594783046276793,-0.26552247722653743,0.0826988869259542,0.07331190146005237,-0.5044673502617133,-0.5892260522942767,0.15739663730590242,0.19609997147353597,-0.2617480841843928,-0.2035754714510296,-0.554939836903872,-0.5766751608970777,-0.09703080262948256,0.06537777217275793,-0.17154045228521478,-0.5864825004173158,-0.2831181459021762,-0.0470938149233407,-0.06287583624895873,-0.4329976222112759,-0.6088531306650576,-0.061663778437100455,0.12076553357440545,-0.08562969474267698,0.035397361692655165,-0.3334263335193872,train,1.89337795840306,1
5,-0.2762694796175199,0.17390820933322593,0.18308171726236108,-0.1300503226365813,-0.15736957500201004,-0.2751672401539905,0.08469507176142568,0.07582821948121973,-0.5166042816866856,-0.6007152258684852,0.16515628273588168,0.19972963347764233,-0.2655096782041349,-0.21514550384989972,-0.5689976986005323,-0.5928173878797407,-0.0890833745735669,0.05603440196756215,-0.16993505203597883,-0.6068620817475934,-0.2890188154179447,-0.043725926656821096,-0.05186660667771331,-0.4438314363362966,-0.63737149080569,-0.063511842254346,0.12105731392520008,-0.08902386233001447,0.034047800714883746,-0.33746033716273033,train,2.366722448003825,1
6,-0.2835273366865374,0.1819779099293072,0.18976538826352993,-0.12382759583225461,-0.15992553674674076,-0.28169765093810917,0.08592032104306588,0.07347921766309315,-0.5139241245242384,-0.6016255624272258,0.16968086345442557,0.20384851975008372,-0.253616998254875,-0.2074360284335646,-0.5759932710837787,-0.5983110051456733,-0.07991014187926872,0.05642129853454722,-0.1664886609180895,-0.6113499973746955,-0.30019548815353225,-0.04673881600736639,-0.04851908901242505,-0.44452880107306647,-0.6440104144069785,-0.06087722592077982,0.12672453352109048,-0.09176277400693078,0.035588961732484097,-0.33644196028110157,train,2.84006693760459,1
7,-0.29524407992662594,0.18943550340238577,0.18244809768852213,-0.11535385636515463,-0.1583994558973728,-0.2911666967403722,0.08358510851038364,0.06819881413073195,-0.5212264032179105,-0.6221693867395521,0.1647162740251933,0.20571815811803784,-0.21548158887251212,-0.1618759929803784,-0.5731478546931441,-0.6122363592404096,-0.07340342769594584,0.060247998242303605,-0.18152505427520751,-0.6078836212624719,-0.32558403109169415,-0.05348959311529729,-0.05766588904420794,-0.44343515609870554,-0.6460405356886194,-0.05117462512014606,0.1550761442007312,-0.08810318371832189,0.0463028913920498,-0.33746362784558154,train,3.313411427205355,1
8,-0.29378956587441957,0.18858299103355625,0.1830673506377619,-0.12880451432758755,-0.15910050017804306,-0.29312169435156316,0.08828808470773783,0.07421391919438425,-0.526359175494717,-0.6097420867227971,0.1676642744171436,0.20784583217780794,-0.2270596265860767,-0.1845409470053962,-0.586640100936749,-0.6114516466847986,-0.07429204900810683,0.06508148490697832,-0.16409815630570238,-0.6263619140394319,-0.3187857826327905,-0.049825698373183326,-0.04934359347698264,-0.44824655894629106,-0.6507725157635507,-0.07096857379495398,0.12852787808490915,-0.09632649016357026,0.028982540097221086,-0.3449843674153701,train,3.78675591680612,1
9,-0.2844350338777888,0.18161338472204572,0.19269041997615152,-0.14761158735828867,-0.15353073609384985,-0.2906507295876556,0.0850032061493999,0.07795766208916097,-0.5226786618279963,-0.6126505243021865,0.17258283902993482,0.19720053298233875,-0.2567428499495918,-0.2288469898082033,-0.5948298199034381,-0.6040535010326322,-0.0717022193253835,0.04823625154623125,-0.1634970734356927,-0.6269998387839691,-0.29920018419265487,-0.0437783166997898,-0.04572228749754764,-0.4448180303875978,-0.6646485729765701,-0.0768342768943157,0.12293880834014731,-0.09600116121586248,0.026369838242843675,-0.3519167992202747,train,4.260100406406885,1
