,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.20690252716397106,-0.16837995686064586,-0.15468148437042661,-0.05567148587772196,-0.012224041029618972,-0.1480070658540293,-0.08923840486713687,-0.09157197149910772,-0.09754735174509412,-0.22871202576890035,-0.2551795075374197,-0.26288247136982634,-0.14007003484739247,-0.20956351757901154,-0.19637730357782066,-0.14708785723508633,-0.08299723298815284,-0.23089354574582704,-0.28983135068997845,-0.2411812305128661,-0.14168930434547902,-0.15094991416830697,-0.248039578311896,-0.21721597518110117,-0.22917148154229677,-0.18036728541704436,-0.15112803832822339,-0.25071746112863996,-0.28436963033235474,-0.21601810632744955,-0.06404182052424308,-0.1811506594882858,-0.15312657082071146,-0.15275501641133885,-0.1101720508819681,-0.09662696003597442,-0.12759038756646485,-0.12979013050973137,-0.2696873076394515,-0.10834773807497068,-0.024887163966277628,-0.31046862617374377,-0.16943399622343117,-0.14237920146933836,-0.11398077464401765,-0.27777244543762264,-0.24435706644546795,-0.15669921039471568,-0.21507569644161162,train,0.0,1
1,-0.2833529395043996,-0.1859862846283166,-0.1802795084114963,-0.028200367210545474,-0.02774118378456117,-0.1921066478486303,-0.12731928780295632,-0.1274691950802225,-0.1480932054513974,-0.30937625232110033,-0.3140215077889959,-0.3026630773866902,-0.16850236859068304,-0.2498698387647103,-0.19930834588963273,-0.21854934949142316,-0.11187015587933566,-0.25604359958728085,-0.3439055094648483,-0.2922261040618725,-0.19980026526596842,-0.17309892597752893,-0.28668125107005316,-0.2707323712382558,-0.29158851226283045,-0.2503599849961561,-0.1900799290453839,-0.3010958221370022,-0.36153452400596187,-0.29218856523071135,-0.08566133865095224,-0.2224950045785995,-0.2243243046799734,-0.18605618888459552,-0.16296227310495154,-0.09844121113428707,-0.15049001028131725,-0.15609166881327866,-0.3053525237520628,-0.16926997847739528,-0.05486293267214744,-0.3753535033477959,-0.19720297895321562,-0.1716684231317776,-0.13024824496328452,-0.313497229899778,-0.3211389091758747,-0.22257783746335222,-0.2301841313960404,train,0.32598853003320255,1
2,-0.3300888372037192,-0.2042401271756091,-0.18602751573347132,-0.020995974323956376,-0.027521166477992506,-0.20348672615120525,-0.15086993359743278,-0.1589969211024207,-0.1681111094216621,-0.35536608077041565,-0.34246130188062607,-0.31810756953896957,-0.17035925388980616,-0.2788598961910644,-0.1940060055450506,-0.26005975386175617,-0.14070824536349288,-0.2657717050430238,-0.36340504878782953,-0.3187742086668095,-0.2415595155412163,-0.19069332567924147,-0.3106698371575753,-0.2931962800293848,-0.3175193303128605,-0.2934667132490223,-0.214789118172854,-0.3274836602932588,-0.4010903322079742,-0.33031321898763155,-0.0925199104073016,-0.24144673584253665,-0.25872134320036483,-0.1971324408577807,-0.19134907409945903,-0.1041390706264878,-0.16494423296869318,-0.1842712277183218,-0.32732392965213336,-0.19603447396320844,-0.07723204893524838,-0.41282242254552015,-0.2141082596640785,-0.18528334783775602,-0.13889340714362652,-0.35373190931919773,-0.3694099074487057,-0.26117792048432775,-0.2400733092841047,train,0.6519770600664051,1
3,-0.366249811339608,-0.2153431759210768,-0.19232371127701542,-0.01710137556193976,-0.03406657303356797,-0.20712051298581755,-0.16850261133075678,-0.18261489513835324,-0.19009173083405337,-0.3783751217792367,-0.3632889433747154,-0.3339178010635486,-0.18089336009777776,-0.28728983207046516,-0.19660859181197723,-0.28635420578420423,-0.168211308106775,-0.2761471858463981,-0.37032306048376806,-0.333250801953083,-0.26015199118168447,-0.19266107330932153,-0.33560428840168544,-0.30751478127807386,-0.32916875274888097,-0.3094008269094134,-0.23446880795453745,-0.3364256597384184,-0.4290126423940105,-0.3696173372127976,-0.10410571388138191,-0.2607373188510972,-0.2790114832323076,-0.19850868486967382,-0.20229295855946233,-0.10285923208339458,-0.17912689668802162,-0.21018549928784228,-0.3398499892178886,-0.21536771256716347,-0.08973534865380156,-0.4386529938714874,-0.21416046926056204,-0.19666072914289495,-0.1496441816087657,-0.37529500048266823,-0.3967605150895727,-0.29384048453971334,-0.2418732888674465,train,0.9779655900996076,1
4,-0.3761507984699879,-0.21714807991438617,-0.18956713251808183,-0.011692608954187278,-0.020770852068005462,-0.20975249478581162,-0.17633793661311015,-0.1979715220959864,-0.20429446608640037,-0.39314922788545387,-0.365672536232587,-0.33703576884574515,-0.17158184042364721,-0.2955095095298135,-0.1956483865490558,-0.29067567696987867,-0.18184923842228684,-0.2730158905509459,-0.3766004677194551,-0.33663190750471284,-0.2671675678084249,-0.20554452469821138,-0.3483819308447582,-0.31247607588956905,-0.33359246355686467,-0.3235191375833196,-0.24876835893952376,-0.3445035979017487,-0.44279466035327997,-0.36595251010312485,-0.10147898831778476,-0.26060823188133087,-0.2932838420180516,-0.21177215285673479,-0.22364273730754036,-0.11018935281426913,-0.18812025346262828,-0.21312989916050176,-0.3578720411673479,-0.2187485968171224,-0.0974716405353301,-0.43959908326493813,-0.21574040588413662,-0.19953038370048765,-0.1679967385967388,-0.38825190157702494,-0.4138110626676052,-0.29256686925572517,-0.2321253992925933,train,1.3039541201328102,1
5,-0.3813294737901405,-0.22189361243832312,-0.19380558428847477,-0.0019558600664887626,-0.02408657154264622,-0.21672665852248288,-0.17438180145906385,-0.20793039635419042,-0.21072418317966787,-0.38831783365122574,-0.35968500281890015,-0.34102830405002255,-0.1704746205383495,-0.29434936497509673,-0.19941472246503344,-0.29064392765461927,-0.17874950942158044,-0.27548763583269387,-0.36826520472562185,-0.3290818827192402,-0.2728109724792532,-0.20437239171918936,-0.3524794106964879,-0.3165377458780737,-0.32878240431262273,-0.32554741254844,-0.2530377375522941,-0.34643527608163255,-0.44735613215980413,-0.3703319171846525,-0.10435502707050633,-0.2555327507591473,-0.30287717152671023,-0.22008735449857755,-0.22713050352020456,-0.10223460764476944,-0.18321121555392816,-0.20399928799528771,-0.3574348696930188,-0.22836949987905653,-0.09856168237624936,-0.4438850333085846,-0.21446325733103389,-0.20264716465281296,-0.16903122516857566,-0.38694560032586073,-0.4170408977584347,-0.2979327408645499,-0.2268134092767591,train,1.6299426501660126,1
6,-0.37833989231591736,-0.22589017186153898,-0.20067989000636044,0.006410286522192055,-0.012607808592942985,-0.21967313278598274,-0.17295474141101486,-0.21435373652070638,-0.2207213405739177,-0.37622625163856255,-0.34693850517017066,-0.3409015583785085,-0.15679287905243813,-0.2883136692110114,-0.20446190164934483,-0.2876917586999244,-0.1779785282634302,-0.27307365125671956,-0.3519366620400658,-0.31083607894172693,-0.27448805002296234,-0.20721017377769624,-0.35340788646124577,-0.32271319849995095,-0.3196407061939166,-0.31398598582402215,-0.25489658416327826,-0.35583208118846166,-0.44606064704478854,-0.36015336400624576,-0.10395355519961524,-0.24073936618846822,-0.3034332741381383,-0.23326419136720594,-0.22977008516761874,-0.0916264603544181,-0.17272020399699906,-0.19206424720372817,-0.35633025302024635,-0.23227019759162398,-0.10029235987440695,-0.4379012567931092,-0.21881572565949015,-0.21217100552520143,-0.17964268333520872,-0.3762080703726195,-0.41067367951148176,-0.2930425937135569,-0.2179491964848615,train,1.9559311801992152,1
7,-0.38173461301827116,-0.22825666395177596,-0.1987743049312852,0.014431993334907425,-0.015037516225325197,-0.22326450982409726,-0.16703832067497631,-0.2227641660921047,-0.22154900909658432,-0.372413897570354,-0.3319415010977942,-0.3459599701353111,-0.1499343745854714,-0.2879932466055683,-0.19993935795320456,-0.28000457673424234,-0.17585063240784657,-0.27215553646789503,-0.34294134482489325,-0.3053747945830341,-0.2708564626497073,-0.20898580958473978,-0.3553447151769599,-0.3179470399706682,-0.3046064430429273,-0.3146067683814826,-0.26163604205833796,-0.3554924461857456,-0.44580747079336197,-0.3614771015874248,-0.10020388522084232,-0.2336619993479364,-0.30103781374691296,-0.24256046196209582,-0.23094531690637882,-0.08764751484038583,-0.1626829609680357,-0.17968040107769565,-0.3530420444295424,-0.23665037721993498,-0.09917442541331174,-0.4398658490229872,-0.20558024591092539,-0.2137092347078907,-0.1805675125549151,-0.37461874463258227,-0.4095088082170604,-0.29024429409233227,-0.2159134956869392,train,2.2819197102324176,1
8,-0.38913654336050785,-0.22890481648087935,-0.19959094660587914,0.018164742314470503,-0.01478364559843929,-0.2256906787504594,-0.16195558886819145,-0.22620062906541133,-0.2251113404171826,-0.3656668796476257,-0.3223902936433283,-0.35177145724555925,-0.143521117854991,-0.2856255400334626,-0.2007017389292169,-0.2740698172196022,-0.17379640246661038,-0.27098036983855933,-0.3349348719219732,-0.296949767922633,-0.2718874054794806,-0.20760991537392193,-0.36150006024692594,-0.3142413839117737,-0.2971556122927995,-0.30929055075353684,-0.2634293043430308,-0.35466639370138714,-0.4447002004801225,-0.3602614848833186,-0.09905968218514921,-0.2268123170507937,-0.30576222864825064,-0.2449345684962758,-0.2319897561899246,-0.07867608231941711,-0.15853352899066117,-0.168567309848505,-0.3537867262269193,-0.23814027424748907,-0.09765115248592579,-0.44447210071041887,-0.20647031595436272,-0.21532343685668073,-0.1817650793894644,-0.37366238088504206,-0.4079305532062418,-0.2851103064013155,-0.21734093887921946,train,2.6079082402656204,1
9,-0.3973366557898337,-0.2308941679329664,-0.20030212561790955,0.011416728555056585,-0.013807929833245372,-0.2218869162053892,-0.16175525399620982,-0.24123332588901958,-0.23118682371819543,-0.3506928318299067,-0.3153969658220819,-0.34957150813812277,-0.14587544645801406,-0.28614224322101833,-0.20321791683460677,-0.27431262815748303,-0.1771576170809434,-0.26991854666835724,-0.3226506923994109,-0.2897728459354611,-0.2725384880754075,-0.21148086888667125,-0.3600270523645287,-0.3227024662265957,-0.29861481002212664,-0.3092055382421386,-0.25906051354626625,-0.35870396168298857,-0.44395684294413046,-0.3646580449036911,-0.10229343436631576,-0.21645120790175335,-0.3078634591633082,-0.2406176628981553,-0.2243716265904314,-0.0713197666826002,-0.1439191127012986,-0.17062518250378683,-0.35956536985139503,-0.24700053273661127,-0.10510258625601647,-0.446481509383161,-0.21758457228681832,-0.21436944053615473,-0.18957440683170487,-0.38434539729352796,-0.40465619281710696,-0.28549751233555387,-0.2155736147963895,train,2.933896770298823,1
