,AFDR,AIBL,AIBR,ALA,AS1,ASKL,ASKR,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,AWCL,AWCR,BAGL,DB2,IL2DR,OLQDL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.14074535188699624,-0.052520405357990095,-0.10916628813542678,-0.15727218836043572,-0.12321175620121406,-0.11442075721199747,-0.20444228943799658,-0.06681053828795797,-0.13707398120564854,-0.45871277857929704,-0.18558034790572697,-0.14168649603649172,-0.23321886443382628,-0.053487986977075484,0.03527249899162426,-0.35722658822614245,-0.4008595292676566,-0.098751517804157,-0.18872122362555754,-0.36272183902281957,-0.4377712706433963,-0.11342197323700465,-0.27537813573038694,-0.5261100350219986,-0.39243929068817973,-0.22620340506065434,-0.4003784276218453,-0.3901839171528773,-0.335466711497464,-0.3555981793666408,-0.1914284521146074,-0.237038441808563,-0.4439785626111332,-0.4993842734170005,-0.3434371725905392,-0.3283751053737619,-0.2495645587399063,-0.19883624189551435,-0.19640541775383416,-0.2678576511965751,-0.2676282054545187,-0.47933893194298083,-0.3045473714390553,-0.4616489995601276,-0.4411125376804018,train,0.0,1
1,-0.13771987349566805,-0.09795984172834232,-0.11951953468932047,-0.20565644866893426,-0.16090534111118301,-0.07750272718841872,-0.21396339328698732,-0.046337089370854685,-0.16039895049360203,-0.6354991756212124,-0.21109197531967944,-0.14797909723577402,-0.2947039936688264,-0.10897054216964955,0.01834134673115312,-0.46368946527547883,-0.5500164108329271,-0.16267414291673005,-0.18997843360928957,-0.5398258216482141,-0.5749373374016482,-0.11922026303333046,-0.261153305392091,-0.6409569409065827,-0.4774794234445792,-0.3058307712711179,-0.5118730041954691,-0.5151545370986536,-0.5179662608627554,-0.5070137373949762,-0.26693839446015266,-0.2661694383944039,-0.5739090784945478,-0.6174414079278072,-0.441312899928885,-0.47259083383246187,-0.33830336228052216,-0.23872452052706633,-0.25838774059848635,-0.41964719727184097,-0.3726528897179584,-0.6452782922165343,-0.3670191241070727,-0.5928479073051816,-0.6070885351278665,train,0.4589885252868678,1
2,-0.13934688054071145,-0.10920035142682794,-0.1187872813387099,-0.223098804612722,-0.18812788170374567,-0.043515414044407424,-0.2067154712376299,-0.0027895312789509782,-0.16200528005155207,-0.7394419089245039,-0.21696291435121515,-0.14303162531193,-0.31738391020621504,-0.12677186053482697,-0.003228863541948422,-0.5151311051589392,-0.6340372996358805,-0.2121049078142141,-0.1616737046207302,-0.6431974280890573,-0.6403397778611417,-0.13127626533343167,-0.22139649467229605,-0.7025270486766801,-0.5249852360837477,-0.3348134612864616,-0.5843648673491564,-0.5901753283486108,-0.6290963348702314,-0.5808817491483335,-0.30672910482241245,-0.29016360250082995,-0.6476251131838122,-0.6861623993934931,-0.47572112897809504,-0.5262829151954815,-0.3738201381893974,-0.26553352162152943,-0.2864363569160735,-0.48668425548529903,-0.4315894945763693,-0.7436659567295971,-0.3915293862076533,-0.6415175015255059,-0.7008279901475678,train,0.9179770505737356,1
3,-0.12784635306103437,-0.13059226378779729,-0.13604123829196857,-0.23528057330038887,-0.20414811084668677,-0.01499931283393266,-0.217826335907313,0.010026786073665403,-0.16704338937399618,-0.8049973158804291,-0.22857951466007678,-0.1516138983965204,-0.33711164827989126,-0.1400185934653147,-0.013658136995960558,-0.5591468445192055,-0.685476514111028,-0.23037600921744988,-0.160487240544949,-0.7088316069596046,-0.676891958736149,-0.1460728822702698,-0.21172476124502393,-0.7309590700864864,-0.5585995061268627,-0.3597552417667067,-0.6201782145259949,-0.6283544277365827,-0.6966229007882158,-0.6192256247673378,-0.3422313829393202,-0.32064847601620106,-0.6746264215949493,-0.7407609148779764,-0.518629668312368,-0.5747492420146326,-0.4063663534538564,-0.30252697899121983,-0.29760019778906477,-0.5341173650806587,-0.4819025657134236,-0.8035896117713105,-0.3983399708424681,-0.6726502625595814,-0.7600124406557698,train,1.3769655758606034,1
4,-0.11802336784227899,-0.1319751763167225,-0.12384369662606882,-0.232670203465313,-0.2204579217599827,-0.013810666554746664,-0.22875216506301124,0.017936105907819022,-0.17616507958604571,-0.8449227871460643,-0.23302053263674338,-0.14595269282390916,-0.33795109878158414,-0.14810571024591934,-0.017601217532877647,-0.5814298180727554,-0.7189528328149384,-0.23834189324786836,-0.1612741458720511,-0.7441418360522682,-0.6913461170706159,-0.14218436683369065,-0.19544269966820707,-0.7358401754543828,-0.5482177185664726,-0.3608950981012804,-0.6454937168577463,-0.6497988244321491,-0.7556625613547754,-0.6389628239513827,-0.3498423849236333,-0.3207972258393334,-0.6784536258288516,-0.7703660549081366,-0.5301276744091517,-0.5814774345537423,-0.4101009611417755,-0.31677758613490353,-0.30396286465776345,-0.5487680083695112,-0.5163804699356324,-0.8282658418938008,-0.39695008348036753,-0.6992721305032823,-0.7858946927969028,train,1.8359541011474712,1
5,-0.1132787150815667,-0.13120716106745056,-0.12745122425382088,-0.23038985635899467,-0.22127364884662803,-0.0021490714916420905,-0.2280167824220753,0.03780625989856054,-0.16451073142929978,-0.8544526055067665,-0.2498468200148064,-0.15953577420209059,-0.3470808858917095,-0.14250759404734642,-0.035242276130089664,-0.592572643901489,-0.7254836818907939,-0.26545061800446884,-0.15547327477517672,-0.7543222819440591,-0.694572714842673,-0.15243398907193542,-0.1662030772960338,-0.7410352488001104,-0.5534345411765315,-0.35377225961482317,-0.6506420590816835,-0.6473113507645626,-0.7616346456895695,-0.6348775731640033,-0.35322705740144955,-0.3305553870914859,-0.6746549321562205,-0.7708246330006963,-0.524574703047349,-0.5680620585805138,-0.4133124769027692,-0.3192132775197658,-0.30930900691491925,-0.5432186622359048,-0.5253840830619084,-0.8349168025802002,-0.3919148561982555,-0.6886993889225306,-0.799349026688281,train,2.294942626434339,1
6,-0.10289643887613646,-0.16877121095142486,-0.14879730171157365,-0.22930557893589965,-0.2168409981970553,0.00035620714512260565,-0.2532266925406431,-0.006341535723378082,-0.19362194099382263,-0.8650256002942034,-0.30128328293006107,-0.1824555218798185,-0.33454678087877965,-0.15050173545854323,-0.046784447168230395,-0.618137778904206,-0.750017959829016,-0.2581033830009274,-0.1669565510432204,-0.7608050144531947,-0.6973587483163092,-0.18023633921025928,-0.19166819001400623,-0.7355399172105485,-0.5467297647480964,-0.35176102335026593,-0.6573811254267807,-0.6336482391882383,-0.7865267800398658,-0.6205176797605869,-0.3826785831244396,-0.3621269774250404,-0.6848074768558507,-0.7786316947236668,-0.5292639938158801,-0.5728761841303478,-0.43373192924013726,-0.3356323009724949,-0.31916694080525587,-0.5539991026168881,-0.546849113130907,-0.8383529751624355,-0.4117419597909333,-0.6892554624305638,-0.8048942506904693,train,2.753931151721207,1
7,-0.10775121100790433,-0.21714492523718953,-0.19959931746667223,-0.22350314630819312,-0.22276619305306117,-0.014452800833592155,-0.26940172719311106,-0.06273492084242745,-0.257206533874657,-0.8519117348553173,-0.3618821463592228,-0.23560179274365217,-0.3270349868346673,-0.16265736597465008,-0.0558782527535162,-0.6124556392907777,-0.7435347892192856,-0.24596086857973226,-0.18668802570784285,-0.7379151395575999,-0.6883323882944639,-0.22886962461142518,-0.24709956441934489,-0.7219180994536528,-0.5569958138460682,-0.3714436050569244,-0.6347256521688174,-0.6243044957125973,-0.7767090360360539,-0.58361722858091,-0.40436076749588223,-0.3868872124288219,-0.6933307745252165,-0.7986202218163301,-0.5486073312722176,-0.5845852569142672,-0.4643207573266772,-0.36650686285677037,-0.3455677159291396,-0.5652863965387828,-0.5573018845629002,-0.8437973852692758,-0.43107382551855966,-0.684756837657787,-0.791847098222163,train,3.212919677008075,1
8,-0.12163782115247515,-0.25367912565068074,-0.23650470937539156,-0.20586629785430619,-0.22494155538200453,-0.01775343330968701,-0.27322177710405354,-0.10158354953592053,-0.2866703397037156,-0.8480579780498456,-0.3966743733347694,-0.27915591070205226,-0.32345393218240437,-0.17543848965992695,-0.0620475939957079,-0.6076194992158366,-0.752974491644189,-0.24849303638049308,-0.19981874152585832,-0.7382460522923721,-0.6884450729169811,-0.27070448567322775,-0.2840022485024269,-0.7175544915576568,-0.5693090362132078,-0.37371156975051145,-0.6330563610235557,-0.618476737454466,-0.7819777428712089,-0.5687658807136797,-0.43155357118945414,-0.3948843165395718,-0.7231792568419284,-0.8102853839012821,-0.5623445791800418,-0.6038790410989254,-0.4923246987935148,-0.3933944835347753,-0.3616795505688297,-0.5777808842827618,-0.5804894741861135,-0.854885962567214,-0.4561260422698379,-0.6795185311302703,-0.7882589234581407,train,3.6719082022949423,1
9,-0.11810728791296818,-0.3038433060715597,-0.27434428954797235,-0.20937480454068702,-0.2285266794695106,-0.026033226808299392,-0.2832871807613423,-0.14997365041326438,-0.31281111201895806,-0.8412544118516321,-0.433413506497924,-0.3157279338319249,-0.32690715047259183,-0.1896436767644136,-0.06563054851069312,-0.6152224128648784,-0.7524816859846624,-0.24304089848783578,-0.2178360850362473,-0.7321180901053084,-0.6847155571450622,-0.3100142045353557,-0.3242617585926495,-0.7063736027307838,-0.5811231601178998,-0.3860793301349238,-0.6190215808192963,-0.6048274704591184,-0.7791337173616768,-0.5597167721636905,-0.4604019939018833,-0.4166891772331745,-0.7376855876904259,-0.8208563884361653,-0.5828877749597273,-0.6285947421152139,-0.5236600274091882,-0.4170594433693448,-0.37652575844267877,-0.5982065289088166,-0.5965638826431432,-0.8520326699005606,-0.47772386218516294,-0.6773050845309101,-0.7827869296310512,train,4.13089672758181,1
