,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFR,DB1,DB2,RIGL,RIGR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,VD2,train_test_label,time_in_seconds,tau
0,-0.14573637791320335,-0.3853262577406837,-0.4942563051456751,-0.012214320805599302,-0.3287611590997597,-0.11600555264638292,-0.43723859725251535,-0.515998777114349,-0.17263832498748474,-0.10207561504340303,-0.39933102703262563,-0.36937617965772185,-0.03580097680064533,-0.4040929537691711,-0.2935692695421185,-0.1103359719148167,0.024177991728142334,-0.451745412232888,-0.46359221320599586,-0.4251442150584427,-0.46080680083560155,0.021298097155172224,-0.13628963027608387,-0.1080092002449458,-0.11390790098652334,0.03945862173958572,-0.4932177806207485,-0.43076115004122273,-0.482853147006542,-0.435801037804162,-0.4203269425149827,-0.3560488467095815,-0.38019566024773693,-0.45417881235650803,-0.36298708771156485,-0.2026893619503394,-0.03792720596881764,train,0.0,1
1,-0.21870548382307559,-0.5979807855960091,-0.6843480620674797,-0.022927432027178507,-0.397207111081917,-0.14524783389572954,-0.6543392574392992,-0.6886428362560151,-0.11969856378445598,-0.1210480026848291,-0.5729477378290078,-0.5570787216393432,-0.06654938025661557,-0.4979071363098762,-0.3033134440723913,-0.1454645645663873,-0.013208288442347962,-0.6433303919758275,-0.6804604215252289,-0.5453032831272974,-0.5933862244273771,0.08598375524423979,-0.10617753247412393,-0.08704411945555948,-0.028919986275930787,0.036605018666735364,-0.6156921241642912,-0.5484306740304462,-0.5900023587827768,-0.5703636982362561,-0.5997066731365577,-0.49852061971064265,-0.5015461981945278,-0.6034804416421211,-0.41450981194618575,-0.20673603407873353,-0.07718918067593843,train,0.5506271030896299,1
2,-0.2606195665491141,-0.723882640774331,-0.7862367138839335,-0.032677597298882054,-0.439206277281856,-0.1669021970951321,-0.7843988488336731,-0.7888297393494429,-0.08930774435350639,-0.12926073891007742,-0.6773307380596261,-0.6550105399367561,-0.08620756014427071,-0.549362309058433,-0.3061389620022905,-0.17757514086190718,-0.04750698867468836,-0.7444452276414952,-0.7945419209494621,-0.6172577155528924,-0.6647676840239152,0.10482080511163272,-0.082265806385412,-0.06592640051661615,0.03899388051962008,0.035827406427370985,-0.6875690489688834,-0.6085679966780715,-0.6385343856946177,-0.6420706654961188,-0.70413543130903,-0.5813533889843139,-0.5620380715718452,-0.69291735317061,-0.43695568974647025,-0.21949644916996924,-0.09123303395689288,train,1.1012542061792598,1
3,-0.27947133781626793,-0.7971987500679591,-0.8399788969249279,-0.026886516949680528,-0.46688829722985226,-0.18160092762213528,-0.8546503188620432,-0.8407593105181025,-0.06697796350169621,-0.1315917761485808,-0.7283518152633388,-0.7119651847689719,-0.10391648708377207,-0.5731480220816718,-0.2932928701083599,-0.192383712222397,-0.05881429719712458,-0.8092397187744423,-0.8598018694063517,-0.6619412271620561,-0.7033144455324551,0.10659172140434359,-0.0560207624916442,-0.04552315871861756,0.06515274046452821,0.043544307096955684,-0.7218285273371605,-0.6523597687844978,-0.6549187916252922,-0.6767744523747572,-0.7635060809752958,-0.6283820613563453,-0.5854795967686206,-0.7488062267598339,-0.45754375106080414,-0.21110943624373993,-0.10511377274851139,train,1.6518813092688898,1
4,-0.28947888272366235,-0.8316702938315484,-0.8581023529097975,-0.03189500978023448,-0.4786792090986498,-0.1920616487194297,-0.892184799634082,-0.8679599802451711,-0.07109530779113515,-0.14542114259128103,-0.7591760248641155,-0.741627397054062,-0.1163807040716743,-0.5923471752933018,-0.29709211080627146,-0.2018372090185976,-0.06541575839793795,-0.8341933431216015,-0.8930542137172646,-0.6925638399201519,-0.7351019712957558,0.10158433629426644,-0.05985049261210039,-0.042297864722564665,0.08514816492301638,0.0401947013665802,-0.7546600926188565,-0.6742092932432278,-0.6664107346397748,-0.6983705017225021,-0.7817901649025347,-0.6603599069716435,-0.6126295341754061,-0.7638833912898461,-0.4743240537516001,-0.21544875286498238,-0.10972010604656363,train,2.2025084123585197,1
5,-0.2991301193909461,-0.8472129887854065,-0.8630786582512674,-0.01815544274364416,-0.4798067887284047,-0.20636218647421276,-0.9094624380894172,-0.8883716703630147,-0.07858504652017703,-0.15468892491374225,-0.7638832759833567,-0.7474679846746819,-0.13061356647419958,-0.6010321641439171,-0.30600534005456004,-0.21615618341167503,-0.07114500555382147,-0.855586112500604,-0.9063074285633436,-0.6990241422870769,-0.7500987175232736,0.0918698059643227,-0.06220558799676386,-0.03579225735592753,0.08247203311697685,0.02603252770709574,-0.7699567448196717,-0.7000618677214482,-0.6724101881988982,-0.701943902166479,-0.8033963217753712,-0.6777399916881955,-0.6238912559788821,-0.7948838976571111,-0.48712096359769685,-0.23495856587602706,-0.10916694222666773,train,2.7531355154481494,1
6,-0.2987795181552949,-0.8634574646526522,-0.8605599694774612,-0.013769113566095155,-0.4826855290905459,-0.21540222996683406,-0.9262657184798503,-0.8947074203889305,-0.08028142337944247,-0.15985032175854796,-0.7694386601262739,-0.7520882186938909,-0.13495235717351298,-0.6112160450875386,-0.30843096474020343,-0.21658494578900472,-0.08147413369602755,-0.8615089591448609,-0.9251782430377375,-0.7193900052079761,-0.7705423113777083,0.08225964984144318,-0.06493204186130949,-0.02671938090267105,0.09143095320690578,0.0166050454484742,-0.787756292740637,-0.7041813772095296,-0.6727689016217018,-0.7061479033654345,-0.8100876476225045,-0.6931520743943874,-0.6291100321899464,-0.8070307619373004,-0.4988211697912369,-0.23004636096222944,-0.11093128642025721,train,3.3037626185377795,1
7,-0.30200574962321086,-0.8744665242800512,-0.8677915544853334,-0.020774179432585506,-0.48538537063162274,-0.2212964361729386,-0.9359533155399665,-0.9039115819539074,-0.07906362473724093,-0.16168461722751132,-0.7829829813309186,-0.7671352228602809,-0.14111756489939206,-0.6241468393821437,-0.303073358010849,-0.22333726032263806,-0.07869332613546728,-0.8732073318895215,-0.9371878424590017,-0.7282051350331975,-0.7764080670721032,0.08234293834122514,-0.06438466694208332,-0.03295454209701619,0.10033424001885508,0.019875662994062612,-0.8003566668992287,-0.7220060940126813,-0.6831263731472619,-0.7174705093046998,-0.8233572904942102,-0.7044477258320737,-0.6376140041861744,-0.8114127091130666,-0.496902304755785,-0.23071091553563614,-0.11379065702848651,train,3.8543897216274092,1
8,-0.3189981062773797,-0.8721519934129985,-0.8632099972557951,-0.022524003658340057,-0.4854989464084572,-0.22750094125992823,-0.9431058283602441,-0.9005431242185731,-0.09044276725474762,-0.1700296101362877,-0.7868680857900665,-0.7780313146508936,-0.14704794842753954,-0.6355379358963598,-0.3079838118217815,-0.23299523159946636,-0.0855682731546415,-0.8714338278065371,-0.9310607142992159,-0.734854109459398,-0.7924794212085964,0.07109854586329473,-0.06648886659561082,-0.0315757373193489,0.10447403903052702,0.013282287067629586,-0.8197416713543003,-0.729895206951142,-0.6877645693002281,-0.7222020253390837,-0.8267394905884612,-0.6985621601839604,-0.6426391885479319,-0.811126418622533,-0.5099849131977058,-0.239275785205659,-0.12170637516752056,train,4.405016824717039,1
9,-0.3097831734467421,-0.8811194677279467,-0.8710530001649042,-0.01812539465410818,-0.48678115288250157,-0.22955321237328244,-0.9414553082041005,-0.9030127656780534,-0.09255038417190464,-0.17024141343666296,-0.7952296338855649,-0.7789759177955411,-0.15344690622414892,-0.6343725960962016,-0.30486480373254454,-0.23085174911716905,-0.08896270212036592,-0.8839466575845785,-0.9453456364260132,-0.736267994157259,-0.7964803920749528,0.06794843346657564,-0.07095368187405104,-0.03371932988997671,0.10018000225735166,0.01224483316235258,-0.8192123898335757,-0.7476901899492232,-0.6880954214030078,-0.7180796819182086,-0.8315820701359963,-0.7118302888271657,-0.6486577421536626,-0.8187477936217799,-0.5095056773097165,-0.23342977972825463,-0.12136882798242041,train,4.955643927806669,1
