,ADAL,ADEL,AIAL,AIBL,AIBR,AIML,AINL,AIYL,AIZL,ASEL,ASGL,ASGR,ASHL,AUAL,AVAL,AVAR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,AVKL,AVL,AWAL,AWAR,AWBL,AWCL,BAGL,CEPDL,CEPDR,CEPVL,CEPVR,I1L,I3,IL1DR,IL1VL,IL1VR,IL2DL,IL2DR,IL2L,IL2VL,IL2VR,M3L,M3R,M4,MCR,MI,NSML,NSMR,OLLL,OLQDL,OLQDR,OLQVL,OLQVR,RICL,RID,RIH,RIML,RIS,RIVL,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMEL,RMER,RMGL,SMDDL,SMDDR,SMDVL,SMDVR,URBL,URBR,URXL,URXR,URYDL,URYVR,train_test_label,time_in_seconds,tau
0,-0.06018459176164961,-0.2649086662773592,-0.08233711469615632,-0.13237975463514545,-0.14924082009194148,-0.18664648182948185,-0.2211907879851755,-0.09342119306186353,-0.10590409232823914,-0.20337306909826242,-0.12174746708700951,-0.19868027357872547,-0.12062168734764617,-0.18101720825251794,-0.22668176210101493,-0.033172346908368636,-0.2380500062940919,-0.04869999517845926,-0.08521489763961161,-0.16423393619218424,-0.16823570869235807,-0.2888593749024061,-0.043760474802920335,-0.036025814842432904,-0.15721752191401223,-0.10802584832858605,-0.2093938955934112,-0.2458227976389632,-0.05263890878297912,-0.051246725293232376,-0.2650192952170406,-0.09595872405882973,-0.10480381157931834,-0.34176247311522867,-0.03352086407766808,-0.2422498228394732,-0.3273133360726528,-0.11486466717703084,-0.07273980209233218,0.019623776472701145,-0.3328210254351075,-0.18250954580273515,-0.17130236450683772,-0.30810218514139925,-0.20261168241807534,-0.18001050255575043,-0.15137128411080897,-0.2809441830835141,-0.2500755674417309,-0.2617924799393849,-0.040636762510864705,-0.08781069097532349,-0.14255807018349456,-0.09344194769951013,-0.26833151903946606,-0.3100768150390045,-0.14497310227065505,-0.22399207160641382,-0.21468870717529645,-0.22077358750245485,-0.3222131021851474,-0.26794521793022824,-0.1703203120620766,-0.06424346074411895,-0.021630655526898804,-0.3319704838373525,-0.10772874302816765,-0.27597037306943506,-0.1116547835091029,0.09061167346827496,-0.0844436271567642,-0.16389461272635536,-0.22391852691149372,-0.29124138927110266,-0.10792648621481048,-0.20871378974641774,-0.09038372464233266,-0.324210909121609,0.02903122987466758,-0.020671500929777563,train,0.0,1
1,-0.18121957109991857,-0.38165801584568027,-0.16227669558903438,-0.22596613204027685,-0.1732179309534989,-0.23948166945327076,-0.29456581950559235,-0.1680514533776588,-0.14525162071345674,-0.27945761630492283,-0.23780127766774817,-0.26290545835608203,-0.19484131300118343,-0.2497005358730927,-0.3071015038856313,-0.08726638857254738,-0.2898647911774551,-0.12039608664682584,-0.1773359218471394,-0.2354634882371383,-0.25510255428773143,-0.44366039300303045,-0.06083232220123994,-0.11165467298949558,-0.22510512701383145,-0.24414869018967994,-0.3349712612851166,-0.36428798182315,-0.0660863348522059,-0.09410565757293449,-0.36884117027255664,-0.20688176931356933,-0.2151015378561705,-0.48684113210916263,-0.06637709927270002,-0.32477887086565993,-0.40585558056869087,-0.18490326033121382,-0.1928194758840569,0.013031786761737385,-0.4764714621366865,-0.2830770733311238,-0.2157463778098266,-0.5038793999986797,-0.35565480900802837,-0.2766192321196334,-0.21296763180857198,-0.43794997203083147,-0.38988913137489634,-0.38278846833540814,-0.08889403071060488,-0.13302022494391344,-0.2517153096188551,-0.1950260358273695,-0.3307540320514727,-0.4119979782409767,-0.2506581391076625,-0.3777275283870665,-0.28574980705913505,-0.33853622529624783,-0.4389797828666747,-0.37176659570388115,-0.22605015116706598,-0.08552344217758844,-0.08092550749524174,-0.4080690547560264,-0.1865845398889033,-0.35510201189200974,-0.19334593673257647,0.05222358738890999,-0.14275002111834162,-0.21570016153944077,-0.3853217593189916,-0.39186480641385113,-0.1207746150162396,-0.2761360597555168,-0.19001373003386562,-0.44680097992781564,0.002996107501005262,-0.075573675586379,train,0.5954732834361494,1
2,-0.24322096608736435,-0.4362169256262664,-0.19372723203410092,-0.2581270683493987,-0.19300136703840956,-0.27381762264218756,-0.3278380046470276,-0.23370149873721865,-0.20337330285536928,-0.3493226458659481,-0.30026242114102764,-0.29378895483111045,-0.24996156216918844,-0.28312085558885636,-0.3354592047022662,-0.14385605369240198,-0.3232224325578026,-0.17925866566098247,-0.23128650704352463,-0.25766807891327503,-0.30476457857497913,-0.5085867314342798,-0.052674145075028996,-0.15399846654758054,-0.28778123408176876,-0.31439990823394937,-0.4116701176173301,-0.41815482940035853,-0.065532221308904,-0.15488442984291612,-0.43498623664696934,-0.2683198376743759,-0.2809238525261889,-0.5914588911786083,-0.09221742555226413,-0.40273014550499286,-0.4518608543467093,-0.25600422282144314,-0.24143180451566343,0.0036409347955080745,-0.567608279786453,-0.3724038260243275,-0.234432318034453,-0.581058391332972,-0.4466502384248122,-0.33639366759898204,-0.24000274977709024,-0.5322108198202231,-0.4778367972642379,-0.4429959169936979,-0.14003509060105795,-0.1711224060409822,-0.336421558236849,-0.2233118232750676,-0.3613780216438857,-0.45412365866537363,-0.3391981043797276,-0.4605839417885293,-0.34115572033409775,-0.4108813904349802,-0.49388678533309205,-0.4219271815239869,-0.26785194891810515,-0.09512916653158829,-0.09662707934443308,-0.4685514053443879,-0.2452424075172422,-0.39541968548978595,-0.24323029367563645,0.014015380098399241,-0.18603800543125643,-0.21317081862411746,-0.46602437107013567,-0.4318897037327073,-0.1774848168761815,-0.3109162170936485,-0.2720977530091517,-0.48529185721921797,-0.022841881322024978,-0.09101389818191495,train,1.2000376607757062,1
3,-0.29784906282366747,-0.4757719282864295,-0.2234983175385944,-0.30048734171766284,-0.21454209839757024,-0.30604666032298017,-0.34124166374080106,-0.2921634454643153,-0.2413778626159554,-0.42361983736402814,-0.3460937648705366,-0.3100476608689594,-0.2865059667127677,-0.3074855119971383,-0.37832856308354246,-0.19665387549555152,-0.3500458699217638,-0.22664007996160768,-0.27998537537660656,-0.2884218394461261,-0.34210162216259,-0.5616717723000638,-0.04672245770701006,-0.20011268197414908,-0.3477516277177446,-0.3798429853260816,-0.48533008718223486,-0.46380849029202026,-0.07614466645840472,-0.20886958343577205,-0.5053753438601531,-0.3430551986042749,-0.37521801188428555,-0.6752156223999214,-0.11214527971885829,-0.46559766106096817,-0.5000989118382313,-0.31293279066397756,-0.2778752646832628,0.0034045769702131107,-0.6626178202824076,-0.44656091955672955,-0.24930317431635987,-0.6698615216493564,-0.5351942013886326,-0.3827399873286681,-0.2888921098579376,-0.6342833331898672,-0.5674210380007308,-0.47823676063393394,-0.19737839651863198,-0.20179828377536058,-0.4079475718068889,-0.2750189165704758,-0.38025824226074456,-0.5016356632693902,-0.414931394217474,-0.5380338534496694,-0.39349404533319854,-0.47291282428408377,-0.5292457046793723,-0.47295640186973387,-0.2953737723523051,-0.09740379060172175,-0.12748800416423645,-0.5001093988578177,-0.28987132733340815,-0.4329581723289678,-0.27452853998329924,-0.010357840944738544,-0.23538228072421097,-0.23952853150149128,-0.5628452469998916,-0.47198741371741015,-0.23299558596420522,-0.36457814078305956,-0.3343043142100156,-0.5377934211986081,-0.047526668083389664,-0.11818368817656624,train,1.8000564287649468,1
4,-0.34195876164315786,-0.5260675285265328,-0.24885985292726728,-0.33352145416688306,-0.20831722419359355,-0.3390045259882535,-0.36224737851154903,-0.3375407780434745,-0.27591620954891194,-0.47192783721628345,-0.3754596704246882,-0.3234466889134433,-0.353864526633801,-0.30726159437499434,-0.3898660725698273,-0.2308484755978057,-0.3845265257218851,-0.25415807836382803,-0.3322620421310454,-0.3004866457086259,-0.38147288805279855,-0.6168571710505307,-0.039114232951834284,-0.22791387136090932,-0.3773676683647325,-0.4275116997476193,-0.5520320341551331,-0.4849334807391522,-0.08218602404870974,-0.25550563887738237,-0.552546460631424,-0.39415428174476497,-0.42373311288510596,-0.7601799932012149,-0.12823096112836488,-0.5062155177134311,-0.5385480075786967,-0.34183848553359697,-0.3140890683190878,-0.005230834513754938,-0.7340114412953305,-0.4835837626256736,-0.27879065589401814,-0.7370366841598665,-0.6037042301332527,-0.4437690201946215,-0.33845853093472306,-0.7288433255337732,-0.6159681385024782,-0.4950592449336566,-0.22694714977666514,-0.2517519278212879,-0.43936645956672127,-0.2983428499653597,-0.41137736324034746,-0.5129217567719426,-0.49988732237219924,-0.5988407193468508,-0.41955565989908505,-0.5352157172969862,-0.5506239149803795,-0.4831281613269178,-0.32744701448978086,-0.1377205651901503,-0.15900008073143126,-0.5165516675503034,-0.3405296141644419,-0.44144291917653405,-0.31906256202291633,-0.0400712004297849,-0.28077586430525087,-0.265669255909281,-0.6435271842862424,-0.4929473578543657,-0.25748201044916624,-0.4211874900634107,-0.3896345596787125,-0.5909588109664281,-0.06619899393435039,-0.11875808401990812,train,2.4000754011794925,1
5,-0.36998548005324877,-0.5594331344368049,-0.2580446887737668,-0.36445193572667933,-0.22286231151510538,-0.3513735952148262,-0.3876176240166869,-0.3513723627463832,-0.28195101838649805,-0.5026134124544841,-0.3968198248754502,-0.32806272798078573,-0.39117469678739764,-0.30034803943052457,-0.4001903342715203,-0.22747377281761066,-0.4077478050365305,-0.2648518185298892,-0.35655371189059676,-0.30662464464841405,-0.3802661449454438,-0.6318761477895299,-0.03598645026782698,-0.24523384208522395,-0.4114456357427204,-0.40494340846599025,-0.6031835490319275,-0.4997021832028406,-0.09200231994352472,-0.2766119707836567,-0.5782028366933682,-0.4298261438235156,-0.47614769321470035,-0.7865571148157866,-0.16215133086759945,-0.538740918494947,-0.5610761142285772,-0.3636033908433668,-0.3316534813632135,0.00077983565427725,-0.7799371202853465,-0.49423002861739534,-0.3048160842044357,-0.774599965957781,-0.6091402172392424,-0.47264171664395344,-0.3586732978705011,-0.8011777871529435,-0.6484155784628463,-0.5133275877412451,-0.25529024933427447,-0.2817477232479318,-0.47079480681494906,-0.3218650239381447,-0.41194602151215104,-0.540175141736336,-0.5390730188430887,-0.6287342349752303,-0.4397554043307722,-0.5565671588154719,-0.5456348469919515,-0.48862314803355145,-0.33289054450759814,-0.15556556681201267,-0.1795477528226718,-0.5243558605454156,-0.35612997994173845,-0.4387731794638025,-0.31509596397004613,-0.06689000122935759,-0.3032850690441927,-0.2931363746879086,-0.691136465591893,-0.4978019288223752,-0.2876945445268965,-0.4680446252930019,-0.411080201182116,-0.6193987081096521,-0.0713833840961762,-0.12355001124943864,train,3.0000941400649026,1
6,-0.37206025254746783,-0.5705200675130535,-0.25315598019012364,-0.3804030633787753,-0.2365049624839744,-0.3518719284352969,-0.40171779003994273,-0.35101106847313035,-0.27412713526430466,-0.5364301522796591,-0.403775116664036,-0.3233867265922171,-0.394348233318133,-0.28531422333433903,-0.4191861424575327,-0.2187923731241276,-0.40947138444454734,-0.2606255737831434,-0.3834570568150301,-0.31381374194051426,-0.37974248526458526,-0.6304584686386182,-0.03661007209793826,-0.26607476933171936,-0.44668462676353,-0.4097349235468791,-0.6263741332135256,-0.5108383652152083,-0.10527074668690217,-0.28052301472432783,-0.5679442423176448,-0.4636808863066358,-0.5202785958251365,-0.808387822578116,-0.18187430871232096,-0.573635753642193,-0.5697464072064632,-0.3862825629241282,-0.3403042920898855,0.018100715509798464,-0.8062480225535953,-0.4992834408486823,-0.32645286623682007,-0.7965694099774588,-0.5910008079741793,-0.477264802735231,-0.3704364839906341,-0.8528897548465204,-0.6663261910882803,-0.5221358248821985,-0.27492498207481747,-0.29569715305526084,-0.4852377379163157,-0.34322777692290535,-0.4147912200495013,-0.5530501744565447,-0.5567533507174094,-0.6462204655588076,-0.4396700915005215,-0.5681644499024763,-0.5605355935449824,-0.48724965668733433,-0.32910299276304306,-0.1673551600225774,-0.20288296354415655,-0.5278369535009035,-0.3355544341939667,-0.4504718730412855,-0.28950564927425765,-0.08910148218541661,-0.31751558277629516,-0.3161997004217189,-0.6943149535433328,-0.5137058397423684,-0.3115089825776935,-0.49447478310358495,-0.4367240320121987,-0.6316252890980325,-0.0662851768598852,-0.12539361416541955,train,3.600113016436808,1
7,-0.36005043567052697,-0.5801729643226701,-0.25185136478209624,-0.39718746348290257,-0.2335817448508189,-0.35710585455656285,-0.4144502217949485,-0.35636951583793847,-0.29615917877792286,-0.563518300818326,-0.401148100930378,-0.31771237417053844,-0.4239655051217757,-0.27660381763476904,-0.4095035508021583,-0.22313368775882036,-0.4215827252824659,-0.24688059671451285,-0.3969714701593664,-0.31113573868103195,-0.3606572598332797,-0.6474029561064342,-0.029774679262536626,-0.2917871908642192,-0.4657778856475366,-0.40961964212313184,-0.640683037430598,-0.5032180467911348,-0.12904591539012422,-0.2592153696911581,-0.5817861519310497,-0.47345244871264647,-0.5342809031626817,-0.825697383378214,-0.18280638842391264,-0.5675735907374166,-0.56816744656658,-0.3885547135070426,-0.34519967175672284,0.036573799774217305,-0.8035497650309331,-0.49327024161895094,-0.333382889941246,-0.8017899979237675,-0.5819363141523323,-0.48062163149087805,-0.3878722400913638,-0.858596331759377,-0.6640857309449292,-0.5083162880756802,-0.27322777228356077,-0.31570408141734074,-0.49335900196202553,-0.32411389733900287,-0.41108917771626974,-0.5515434538276912,-0.5497478139175033,-0.6514578813979569,-0.4483743013106488,-0.5727672696489434,-0.561934433016639,-0.48886267879857326,-0.3223797059624403,-0.18491901960902926,-0.2170339354212356,-0.5271770310520809,-0.3288657340187116,-0.44157484459707086,-0.28134928472685466,-0.0840041957441888,-0.30551255205687283,-0.30640340576178293,-0.6934578970310009,-0.5081270451098684,-0.3115418631008589,-0.5035135832193588,-0.441293902508575,-0.6423175787094902,-0.058742093096549805,-0.12350358187215756,train,4.200131878256798,1
8,-0.3379232215117715,-0.5883452334882115,-0.26327499395283205,-0.4083534923313028,-0.20062616091612812,-0.4021784798027739,-0.39985647338786545,-0.3503295162812661,-0.3411106456361301,-0.5392203966160459,-0.3697851635621267,-0.32662753496462477,-0.43500518323571336,-0.28921329219773867,-0.40542857609067373,-0.2594114067997131,-0.44674588549702865,-0.22741159850499992,-0.4033317049023145,-0.3224260336854058,-0.3358556391872932,-0.6805527690935806,-0.023814989530062367,-0.31270301574710235,-0.4996393211011497,-0.3932811606131432,-0.6146160528824967,-0.4991653799530767,-0.16139336963530346,-0.27208905225861985,-0.5727644061860044,-0.4496959949623486,-0.5178070895090127,-0.8327344872254354,-0.16180514281737615,-0.5607451079259045,-0.5723957751194422,-0.3955608395037959,-0.2936198766617886,0.011468114562098827,-0.7946932124556727,-0.4806718269081701,-0.33752234554213123,-0.8041251939855821,-0.5554882425048151,-0.5077387047905019,-0.4255158306469511,-0.8343680036012988,-0.6511743535770146,-0.5208423074552997,-0.25933680019246136,-0.3556558751137466,-0.4829889051734791,-0.28537601863384143,-0.4006347896145343,-0.5384230475276961,-0.570696100114896,-0.6261285874159056,-0.4487872981975799,-0.5439069824738179,-0.5579022687410748,-0.4820026692498707,-0.2925055280277683,-0.24268655701930714,-0.2152073924273959,-0.5206999920382378,-0.326591601991489,-0.4426684363332958,-0.2695821708513988,-0.08591551043595369,-0.32151011806331387,-0.29636606318355546,-0.70501969961562,-0.48842990086374594,-0.305574134267695,-0.5304356106517975,-0.4579074941232359,-0.6274699626345763,-0.03474559338661402,-0.0814879606223193,train,4.800150649272837,1
9,-0.2995108565789168,-0.5590359831437988,-0.25714037263773165,-0.404874472980985,-0.18912537325403486,-0.3987038001350476,-0.3858783681519185,-0.34662553455664363,-0.370268905725331,-0.50903767223926,-0.34261986951371204,-0.3202594374724961,-0.4609533012936582,-0.2802300875916289,-0.3987352059461208,-0.2766735691195061,-0.45319204654454925,-0.19285537255861318,-0.3891489210294767,-0.30068737216455965,-0.3149944419706376,-0.675935002856291,-0.03992821467019272,-0.32954137931954386,-0.495774556586795,-0.38554717286742723,-0.5759823786399663,-0.479681961237514,-0.19945603476012433,-0.2484037835653829,-0.563112354652373,-0.42888154780711346,-0.5162631715713489,-0.8110209689728912,-0.13180822028092903,-0.5438798119228057,-0.5619234289963586,-0.37910807484471853,-0.26949360997399413,0.027447931875024666,-0.7814802511459702,-0.4660150009580964,-0.33035930806473995,-0.7821260649334074,-0.5407722387298632,-0.5019289950296294,-0.44662003275099954,-0.7941898823125513,-0.6216581413836427,-0.4566414966501813,-0.22029021109748692,-0.35249259426664437,-0.47397763097418516,-0.22925106905775855,-0.3845286221470331,-0.5424846827895683,-0.5542699738213226,-0.6217338569288933,-0.45119860314511506,-0.5254891761934111,-0.5341561826153913,-0.47290098786930446,-0.2910559357511824,-0.2608071052591546,-0.21963329878003385,-0.5263336282632456,-0.31599712733781016,-0.430895002037486,-0.26901083590810204,-0.07030826992166375,-0.31386426899471404,-0.2595533912916327,-0.7012992170466756,-0.46611079570782243,-0.2931626074443218,-0.5221395793609622,-0.46630055715027896,-0.6024738457165152,-0.027027733324830314,-0.07950070383850741,train,5.413806302240118,1
