,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVEL,AVER,AVFL,AWCL,BAGL,BAGR,DB2,IL2DR,OLQDR,RIBL,RIBR,RIGL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.34768326305676633,0.09235624227397943,-0.9144846272434192,-0.7648618925018277,-0.8424606097102246,0.41367517485255,0.3196040752075304,-0.41881819899129735,-0.4736263468746328,-0.6935335119395394,0.5976045301724922,-0.7889306377233222,-0.5997690280113286,-0.9576696264190229,-0.770247491805216,-0.5010803156605621,-0.0065326788932003055,-0.6253438559626624,-0.9481697458940536,0.18602665251731176,-0.09604491497997791,-0.8830733304864538,-0.8437180828413018,-0.8814735711306881,-0.32143660134606045,-0.33387519061421045,-0.6474757114944016,-0.9923099345588445,-0.36507875137842205,-0.7784809480114552,-0.7626470247965756,-0.722436018572914,-0.946026886950632,-0.7565358598072812,-0.8825114616329428,-0.9474025344662684,-0.7295715721358013,-0.9522113959467944,-0.3079581674914871,-0.8591333137089443,-0.8841490730583187,-0.4651939738425468,-0.19196165366607565,-0.23599683775224967,-0.47820441603629593,-0.5942559913437342,-0.8705679271085548,train,0.0,1
1,-0.3077040561270291,0.1902376013435496,-0.7056522249216625,-0.7478579828994629,-0.9190770406224895,0.323466907991514,0.358772782522907,-0.3189276680345581,-0.40237213642211456,-0.2916033709835588,0.6253351148027078,-0.8363462641037036,-0.5573725114636465,-0.9929905820775553,-0.8194161955054642,-0.4411535039346173,-0.30641388344618303,-0.6685992072586271,-0.9165932632377043,0.5242262248730245,0.03269562131391823,-0.8811937376950916,-0.7802606360143951,-0.8898099905019093,-0.20593149789520804,-0.6743412751388544,-0.6780820886760016,-0.920758648878468,-0.42200626877516556,-0.774787554954054,-0.543233967066445,-0.7030504061067333,-0.9564224219504825,-0.783686714312304,-0.8694985545629972,-0.7736580059776383,-0.6904946820430249,-0.7309414643322218,-0.008841240976442899,-0.8490770211847627,-0.946258342888159,-0.6883009001667727,-0.01020529019175842,-0.28778063894107453,-0.5247258674822204,-0.6150620507300033,-0.9081280618468391,train,0.5702217529039071,1
2,-0.17643863775232393,0.26473833038526373,-0.7623017795319588,-0.787556657448905,-0.9657297277588198,0.4717378780262653,0.3550860192159926,-0.2594775858625705,-0.3394652190739751,-0.3661711455235884,0.37710619842901205,-0.7572919918178127,-0.5130150558646425,-0.9675089508153918,-0.8474121898577498,-0.47557781760307627,-0.29615132430563573,-0.6386648995829691,-0.9008384715733606,0.38666644948320394,0.08882631949160835,-0.8959473655846734,-0.7926793615896056,-0.9031002495589193,-0.037103150631616844,-0.569101103438872,-0.7143485080670654,-0.917492377293507,-0.1504933298933535,-0.8820275317754587,-0.6070803285642661,-0.7725021179147037,-0.9600148744799741,-0.7798249561760782,-0.9040690463932745,-0.8410054274399035,-0.6941620818909946,-0.6609414342911386,-0.056290364166939444,-0.954423037165323,-0.9257149483236145,-0.6355232108535729,0.02520797384168727,-0.25674517766750704,-0.5275300379875888,-0.6689606018025273,-0.9125229369815987,train,1.1404435058078142,1
3,-0.13650601247180028,0.35142042673773477,-1.0,-0.7831601029846477,-0.8603058338135515,0.42051025162248945,0.3896494914601416,-0.1970062260041906,-0.2807214573011,-0.38525301814359847,0.47281831759018966,-0.7990309981769315,-0.5553877361104491,-0.967388222669665,-0.7927574903746275,-0.32294053136462897,-0.2704156471196373,-0.6499504528444957,-0.9051534782075438,0.4892762187389528,0.17248592487743486,-0.9387507773938382,-0.7947195015838894,-0.8651382191484766,-0.2002867979272117,-0.5086472122040745,-0.6902391367833498,-0.9799424045659979,-0.25766935025521454,-0.7670109451647326,-0.9344876788399981,-0.7662807421318021,-0.9498218714619157,-0.7185118826287931,-0.8538256431418895,-0.9057079407237862,-0.634304676300479,-0.5241829864730804,-0.1419993378255462,-0.8910767782970067,-0.9456203062025565,-0.5979153320898108,-0.16166710388702887,-0.3111482719577898,-0.5349537414546162,-0.7222091943283733,-0.9101340371476672,train,1.7106652587117213,1
4,-0.18959806579307914,0.26062175294473433,-0.7995271768900094,-0.7610196751533644,-0.892581284866266,0.5108634157927452,0.3993841207556701,-0.08972619761673761,-0.18675791224797056,-0.5282737258809964,0.4558244182701243,-0.7306653761336979,-0.5693369772222422,-0.9587995764090123,-0.8736106186984132,-0.0981854790702742,-0.4404760039016261,-0.6249870441922595,-1.0,0.44928626731967136,0.184956645872008,-0.9377521783046269,-0.7858906903030476,-0.9009821740747255,-0.2032672046431111,-0.6156939668826116,-0.7424981860768982,-0.9768946535446197,-0.060128944305596566,-0.6682920751170787,-0.5323589526049906,-0.7588016663746533,-0.9571694661456172,-0.7828584727151315,-0.8375960423606285,-0.9021796884351599,-0.6390429381603029,-0.32122609917786005,0.26822017056596614,-0.9595646545172869,-0.8053336075035045,-0.6752001575903565,-0.18541624091432352,-0.21380784856549817,-0.41050731843204413,-0.7287124727414402,-0.9045797357516606,train,2.2808870116156283,1
5,-0.01637512836813504,0.36213264187331173,-0.7684530180846885,-0.7447786147929183,-0.8343608453172439,0.5304563910840683,0.4207347019609795,-0.04429318124702386,-0.05727550034078965,-0.467144554767586,0.5108279191688949,-0.7763539149301857,-0.4943754547999951,-0.9785714359461367,-0.8400104495157769,0.08722959541390352,-0.2967712162853887,-0.7044072249607982,-0.9694939065862386,0.5850918302554913,0.18007572112488002,-0.9121328437643783,-0.7478860809006559,-0.897548322428358,-0.2529740251192817,-0.43730294315307094,-0.7577200868274561,-0.9881576796006072,-0.1902950409407278,-0.7981126121362987,-0.46456364968570385,-0.6941380584689689,-0.9574018798952146,-0.818031289455954,-0.8551400894392546,-0.5483938769133825,-0.5694562401629745,-0.23746900309072827,0.12312216799100706,-0.9649866514185313,-0.9328260697548987,-0.6561583494545262,-0.005051166413171826,-0.18959788627112606,-0.4631557748231,-0.7496071628386202,-0.9232378298530983,train,2.851108764519535,1
6,-0.009023316710823348,0.3498948845257335,-0.8845477186237494,-0.7914904167063983,-0.8624422147458973,0.5337726356281465,0.3528423287511264,0.0313200447963482,-0.0035988288088613096,-0.6228915492197853,0.4500087441963041,-0.6941858050978467,-0.42166805922323636,-0.971863373642254,-0.8048988325154098,0.23575466865786,-0.20146129647864286,-0.6067852612104542,-0.9508791686643547,0.2332240458560022,0.2212631509386005,-0.9239254635729218,-0.7864854685479452,-0.9405909876004499,-0.37710558565150176,-0.7998968384479286,-0.767589032765021,-0.9586780285505854,0.16538099623754654,-0.7170831717643639,-0.6784389340943271,-0.704828964287452,-0.9646598292754999,-0.6997192887556454,-0.8010838741956137,-0.6939750472475921,-0.4214243285894813,-0.013974691708399378,0.4776905565563889,-0.9365859396099429,-0.8681054975022395,-0.5351739100103714,-0.1091821514195267,-0.17379666565630292,-0.5619614179604772,-0.795713597243585,-0.9108586057062028,train,3.4213305174234425,1
7,0.026241580238263618,0.38793967018555864,-0.7803342457783595,-0.8158253075236007,-0.962344153902029,0.5667944709320549,0.40329993378726847,0.1414198214936857,0.06878181412535223,-0.6724339991429067,0.3381008277326827,-0.7352763069009259,-0.48325680505442725,-0.9598200189412002,-0.8552493266904269,0.3587438170382291,-0.22311105133367148,-0.6291861117546983,-0.8131000033449665,0.3207169910033072,0.299608319586943,-0.9430480090775626,-0.7351783378717567,-0.8867303551099486,-0.45684450323646975,-0.38702486878049525,-0.737657043591357,-0.9537394197775826,-0.039306351990092914,-0.7231607863734599,-0.9180903166094635,-0.7267220310630338,-0.9442871040250741,-0.7629083137398269,-0.8437532990450017,-0.5838951763223766,-0.44495453585659384,0.09999080562124063,0.40900948271658555,-0.8366135856864906,-0.8574510427406682,-0.42600258030590077,-0.0751096872882755,-0.0689948440255479,-0.5624871467798654,-0.7973015641474004,-0.908017062956078,train,3.9915522703273494,1
8,0.12931512649457488,0.4091117055617741,-0.8812880320083267,-0.8183452528527383,-0.9607735553146232,0.5001183934174813,0.4124990894365579,0.059510421805358815,0.08763878606267039,-0.5760772723359868,0.4774112068212397,-0.5570008883606299,-0.5187944950447244,-0.9376316540192602,-0.7610357460518868,0.520900165833984,-0.28352060666727164,-0.5643108456273778,-0.942433128547058,0.3442201943373895,0.2852521180448768,-0.9331003727224564,-0.8092428042995506,-0.8787696371461968,-0.481258645163412,-0.5032611642105397,-0.8016877764162902,-0.9350965375199466,0.10810623138173359,-0.5762831075886926,-0.39908217963055803,-0.7508287184445012,-0.9819547324419713,-0.8127623427482059,-0.8402169121744185,-0.5125529373752186,-0.4508659122672123,0.11682268492421088,0.35781871314865876,-0.9312725592580675,-0.8566635075100909,-0.5508421468829077,0.07877823077940849,-0.019933654232641596,-0.6323210522938989,-0.7693607325328258,-0.9426930991178833,train,4.561774023231257,1
9,0.1715125436354974,0.26255089758621497,-0.8478467124083203,-0.7349404024029751,-0.7654774624445326,0.4103271886435236,0.46923804557413384,0.100986555190137,0.14983393419512248,-0.5598473407268629,0.29651777211535735,-0.6346254893598445,-0.5704374244511538,-0.9402642021731751,-0.8872323089075902,0.43740044973082326,-0.11391767534107688,-0.6468058430110545,-0.8951799034419705,0.42428283502956177,0.2709754817740002,-0.8831051009711567,-0.7796488509302725,-0.8470135575635394,-0.4593504162340166,-0.6347248053263705,-0.8215762013289056,-0.8916316611392255,-0.042080763647901254,-0.6622710702884558,-0.5465350352859507,-0.7275443578936269,-0.9579198305371744,-0.7531078032681847,-0.808649515677438,-0.4820989058959809,-0.4589323904523416,0.2211019112749908,0.22695952542963993,-0.9425814645621036,-0.8740724890343097,-0.5370514990070674,-0.04002180728867111,-0.16180934725527008,-0.6521183868327854,-0.8246330596244644,-0.9699930786550778,train,5.131995776135163,1
