,AFDR,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWBL,AWBR,BAGL,BAGR,CEPDL,CEPDR,DB1,DB2,OLQDR,OLQVR,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMDVL,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,VD2,train_test_label,time_in_seconds,tau
0,-0.11431726390123947,-0.42267979921904797,-0.5156074932174364,-0.09238209615122425,-0.21532889548534329,-0.2741996752187925,-0.4738376139289294,-0.5180323817100638,-0.056690845904572434,-0.07323559714056205,-0.5003903107280777,-0.44644340697108603,-0.13452283285534947,-0.09180577182345052,-0.10835684632283767,-0.1787495708550615,-0.08590636213301998,-0.040386655732488466,-0.20262009885005822,-0.2245209939975487,-0.2594385938328361,-0.1413474212069094,-0.2926642078545217,-0.3554963110479976,0.05452718730501771,0.045962471988827025,-0.15566677479085306,-0.38037720170018363,-0.5118728082862436,-0.5407755933274779,-0.46824186629904174,-0.23092524784629798,-0.08431341563429008,-0.02717425625979153,-0.05712254857512772,0.09592489606830902,0.17572185433378648,-0.35818737955842395,-0.3962932288912659,-0.3506329414502599,-0.28832182545831603,-0.25833928738487805,-0.22588399355030303,-0.2796955711182967,-0.26102666525666146,-0.17328266627897504,-0.027162983742124377,0.01571753386861796,train,0.0,1
1,-0.09482341423315709,-0.6704748502854565,-0.7289013684043776,-0.1370455002788423,-0.2748087168685104,-0.3132688476361802,-0.6843899904592,-0.7366392832282025,-0.007453694369937508,0.001740188721401137,-0.7027511196866174,-0.608049065106011,-0.12483955949852857,-0.05535916198639439,-0.13613811908967458,-0.2561135405412599,-0.021731325184268596,0.017949113791440333,-0.24557858653191125,-0.27992634914363956,-0.2600179016365733,-0.11175112682552335,-0.36768095535000495,-0.4710526047043582,0.16378221687131664,0.13131312159963524,-0.11044399188534679,-0.43046836387909404,-0.7452057688381598,-0.7001338926238136,-0.5755993518473074,-0.3182241139791471,-0.07533047210054457,0.09584595831599518,0.04118913051219952,0.1810907564867365,0.34374214980523166,-0.4344343588563385,-0.4508864597123897,-0.4422956263169351,-0.3949015854651166,-0.32115381741204807,-0.29882296720052537,-0.3835418596508324,-0.3488889052790503,-0.14358429300153902,0.02988965806562388,0.07740728523605336,train,0.6120556414219475,1
2,-0.0863806989150197,-0.8092114781328646,-0.8484879083040785,-0.1460134009606149,-0.30357669917909563,-0.3428671213334624,-0.7948737196382111,-0.8243619461043201,0.015783276289295906,0.03764950246358456,-0.8067636093536168,-0.7026745653037711,-0.13128026730725453,-0.033119959759084355,-0.14286674798559437,-0.30315335654426145,0.0158566786427303,0.04804439175543174,-0.27105409038103445,-0.31465243467182213,-0.2631058345964763,-0.10611174507962615,-0.400098499790825,-0.5289470560761314,0.21464268081617818,0.1775449371256786,-0.08419961320260026,-0.46468476912540246,-0.8687187265041015,-0.783992277356585,-0.6230715083165375,-0.35685244216597645,-0.06808831000360839,0.14976779536386253,0.10269074649556939,0.2182592347243592,0.4147924064501832,-0.46636930025597934,-0.48360143233964287,-0.48129550425504763,-0.4480082885096146,-0.36519617147861266,-0.34695598562254004,-0.452027384214533,-0.3993466835401511,-0.12384242883313923,0.052149483318162104,0.11103729881298982,train,1.224111282843895,1
3,-0.08814552399677404,-0.8839791391406613,-0.8996939660447322,-0.160811049497473,-0.30393191178982626,-0.36532977763178553,-0.8596826187355934,-0.8675078457764707,0.02161488635914785,0.06386055349760839,-0.8632708797411597,-0.7517297950650046,-0.14146726432670353,-0.029875608816493676,-0.15002959403646454,-0.3372967290101923,0.02286871317719008,0.05514427756481405,-0.27696085723136954,-0.3491743071523157,-0.256636828929835,-0.10765604619054256,-0.43755073690219115,-0.5477737442535169,0.2404438176095441,0.1967314568172635,-0.07444150492806377,-0.48627077007503705,-0.9321140523923547,-0.8385770065652141,-0.6591584334919633,-0.3885402631301289,-0.06326726677374311,0.16700839691175534,0.13233461476427374,0.24789505215207353,0.4430360102763172,-0.48224421246878824,-0.5008346710224246,-0.521050118052428,-0.4934693604977734,-0.3804714459655443,-0.368827022438837,-0.4942246228644522,-0.4317025561748008,-0.12703228284439994,0.06561659714819074,0.12368507429017775,train,1.8361669242658423,1
4,-0.10666190786353102,-0.9295944915374461,-0.9390673192650039,-0.18226617057904546,-0.31721811307653147,-0.3786742537219507,-0.8894713513058772,-0.8988195981241194,0.027900250507075924,0.0729406799636213,-0.8988123254221203,-0.7838066991366268,-0.1470935806050289,-0.03212546124079671,-0.14690984460938428,-0.34257180215626354,0.014905932444983727,0.02856113356615833,-0.2766345775851922,-0.3804036649575989,-0.2683803104082409,-0.10179535747366762,-0.4482317715627807,-0.5618064485134822,0.25135334073449955,0.21428928815026171,-0.07761542240562026,-0.5040663981161553,-0.9598605495019965,-0.8555807177817444,-0.6708484426549153,-0.3990699861015312,-0.06995272598038975,0.19042245957506998,0.14721752344706293,0.24892392976415012,0.45205815466714205,-0.4933000564793172,-0.5035425889361078,-0.5247867937138179,-0.5118728058472916,-0.40517922153211317,-0.38825246567057914,-0.508670840585975,-0.4402866643327737,-0.1296950208596623,0.058606858488966185,0.1268921265666822,train,2.44822256568779,1
5,-0.10920723439355404,-0.9529049556806922,-0.9656975440584112,-0.1760394835329144,-0.3152387550771326,-0.388334852746438,-0.9206823686420785,-0.9213258227540988,0.042789454374726144,0.09936466790587734,-0.9239065957415178,-0.8122938398160675,-0.13595965536536136,-0.026736616795188684,-0.14103860009378327,-0.360302197554337,0.0331911755204444,0.030313271223294996,-0.2784632143126362,-0.40413963887434523,-0.260969382668416,-0.09386858340799908,-0.4651956203980163,-0.5603132867944882,0.2702286682806514,0.23256305963454588,-0.07084218865674762,-0.5190348965415926,-0.9805665083500275,-0.8803715643735508,-0.6865443029615159,-0.4153892702366557,-0.06016780450413453,0.20062484967255928,0.1682096972822328,0.27034664818550885,0.47607110222440574,-0.5002165138050445,-0.5075039412641991,-0.5487414022790706,-0.5320656640969538,-0.41170231016388525,-0.3965631664302691,-0.5314286775845535,-0.4559400727919161,-0.11791833630445,0.0716567360240418,0.130060185637335,train,3.060278207109737,1
6,-0.11858624681314431,-0.958223332899645,-0.965168463139043,-0.17686508972402507,-0.3180476543166038,-0.3911971894913652,-0.9364339407898081,-0.9500368017318854,0.03864448779495652,0.1079124994172263,-0.9299056853756802,-0.8259835663763277,-0.14859749748031634,-0.0180378231360699,-0.13418652402188969,-0.3644867725430685,0.03536808959480969,0.025939983339873143,-0.2788401033773914,-0.4193687878855673,-0.25958287473897845,-0.08444082985626278,-0.4723260239046828,-0.5559261337875017,0.2637577158806024,0.2353551878789804,-0.06498454083491227,-0.5149432126013451,-0.9843117367093516,-0.8639629736926623,-0.6808306625379104,-0.4379259254473692,-0.07241785690419485,0.20757632616593458,0.16269176249744235,0.27140829757682416,0.47111583955535175,-0.49997439970165564,-0.5078869071692997,-0.5504112019470249,-0.5384744923502045,-0.4180202728227128,-0.39910835669252054,-0.5365806055059299,-0.4474825420501386,-0.13852521894196687,0.07014268544845431,0.1319019284320228,train,3.6723338485316845,1
7,-0.12105151350605099,-0.986311200206501,-0.9761422688165207,-0.1922436706124018,-0.3273154559874081,-0.39801524960415857,-0.9463730850741594,-0.9517930579665475,0.019896329906455068,0.10039263493074502,-0.9464475116433166,-0.8373410530210634,-0.16560302731714713,-0.02323433358565663,-0.1505259338689936,-0.38174427923922616,0.013233207831964772,0.02415044596625006,-0.28994779908572077,-0.42436409773912687,-0.2657824701897251,-0.10199748953991501,-0.49515594800348983,-0.5654302329727365,0.26058502688844665,0.2159867066215972,-0.07643774953012436,-0.5262265739638009,-1.005372887946286,-0.8824450151291362,-0.6979161764620905,-0.44790080020447787,-0.05862449629145791,0.2090226266229187,0.1578498423360117,0.2578414356931174,0.46690687721073965,-0.5062485271634449,-0.5317572402939377,-0.5592528188918013,-0.5627627865023436,-0.4284420460811429,-0.39948906115841354,-0.5467109143609475,-0.45857163290281894,-0.15418223774256323,0.04635869354774702,0.1435589132365198,train,4.284389489953632,1
8,-0.11557144486372622,-0.9987776799441587,-0.9841759179117755,-0.18266598233520462,-0.31714716774290164,-0.41154182562212244,-0.9657525296276914,-0.9607121148523801,0.026866642299608723,0.0952432251528435,-0.9561810753231952,-0.8468180811981012,-0.1664834036785112,-0.021921546800934347,-0.1537368121374276,-0.3934886475565009,0.017850845068650478,0.029872990741317967,-0.2900719469208216,-0.4264638247328274,-0.2680314617555803,-0.11455926341951268,-0.5011078065352362,-0.5659823928898706,0.2421929852633026,0.2102781541487872,-0.07358166629375978,-0.5330793834574363,-1.0127582881113102,-0.8934933926217764,-0.6923343521470355,-0.4512217409371658,-0.06618563818216955,0.2037424120950561,0.1626378008390201,0.25254460980594906,0.4733543872256337,-0.5223311941518322,-0.5373691157865668,-0.5560275999942015,-0.5748463832278218,-0.4294410617287907,-0.39078476618668345,-0.5663650037019072,-0.46536023573598245,-0.1461513378775215,0.0471435280999489,0.14500382429607667,train,4.89644513137558,1
9,-0.12717109297960477,-1.0187416380917347,-1.0052064986009495,-0.20141728653447402,-0.3256389902027933,-0.4290179267790838,-0.9876002323477401,-0.9810884444800534,0.020417976505515828,0.09807255906696599,-0.9693799369851095,-0.8658526995833287,-0.17864493748231447,-0.03555550147049388,-0.15920091264671793,-0.38654546233709386,-0.0013804291740208419,-0.009472443470318684,-0.30038856465879316,-0.4494459891241248,-0.3003788486992117,-0.12600642275640977,-0.5094249629530295,-0.5774875765554575,0.2267098653415555,0.20075154458714933,-0.09087615672105395,-0.5486774940741893,-1.023443647990925,-0.9102036539903706,-0.6996291695393627,-0.4656572477351596,-0.06897703345058895,0.20700362828671143,0.16234626600798427,0.23278274737380789,0.45799143780286267,-0.5464487657147816,-0.5420008184999145,-0.5641295435933157,-0.5918441698363123,-0.46149949265692036,-0.40453946741985425,-0.5811608872467323,-0.47522696264591646,-0.15641649644262334,0.037092629177184394,0.15724877820359456,train,5.508500772797527,1
