,AFDL,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,BAGL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMEV,SIBDL,SIBDR,SIBVL,SIBVR,SMDVL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.32052078280247165,-0.3622225020904794,-0.4883754033040696,-0.2186468105190899,-0.35786289608159216,-0.5763423879785728,-0.45703631483027995,-0.16731885712163547,-0.37278410973958603,-0.42390373165432166,-0.15152559936790405,-0.40570641050171474,-0.20375726413885473,-0.21789157652865515,-0.1375451356422362,-0.5350360287445228,-0.4058878535284097,0.1241512274837282,-0.35240556758292174,-0.24471742772703303,-0.10061087189875371,-0.2741351178899366,-0.006335261849667286,-0.33420714663819173,-0.2792755162459363,-0.08476765293711772,-0.15235180467232556,-0.3053472063403454,-0.3950546608688753,-0.44388098643444496,-0.3595136964292835,-0.45291481879800466,-0.4198140851350999,-0.4082887063793167,-0.11089291114441689,train,0.0,1
1,-0.3845760526274603,-0.5773366751488975,-0.7234173500407683,-0.23429398098616971,-0.4547290660814192,-0.8108986931642903,-0.6866536446451839,-0.22407832657175436,-0.5893856589271139,-0.6076451481428619,-0.17775732379238118,-0.48893902707715436,-0.25690200634418425,-0.3155008591753855,-0.12391619146275853,-0.728946054269464,-0.6464768175811648,0.29981193753950525,-0.4587883578574967,-0.3595992847247997,-0.041553915609808784,-0.2964901945440853,0.0034267545596561727,-0.3785377083443187,-0.3434139632779431,-0.09162755462533367,-0.1922146351607255,-0.4353796808205631,-0.505501174756731,-0.6621182160932447,-0.5126522787391155,-0.62221534732457,-0.5375462685535635,-0.6026346699431769,-0.09576372289123058,train,0.2848101265822785,1
2,-0.4130708471263248,-0.7030264485175209,-0.8543020842850605,-0.24408772078006843,-0.5073378373984645,-0.9376181532682925,-0.8069776696377231,-0.2659217292361292,-0.721197858281095,-0.7045153233970857,-0.2031003392561846,-0.527263126555966,-0.29194753877574653,-0.3731215791904404,-0.11708563323032145,-0.8282946837242949,-0.7785734647201868,0.4265219634571735,-0.5206320614253301,-0.43102950372567894,-0.011420896774997275,-0.3056043429723362,0.0256837518492213,-0.4015242623142573,-0.38735091380265774,-0.114698178302036,-0.2130493714084673,-0.5039933613381005,-0.5610209307236304,-0.771900413526703,-0.5939947515574234,-0.7068741187697702,-0.6022776112218595,-0.7069577894123792,-0.08531702579730673,train,0.569620253164557,1
3,-0.4218560808950715,-0.7760140257514198,-0.9208821445311705,-0.2521649095346761,-0.5441766937090162,-1.0015900077264726,-0.8636071553264347,-0.2987081391251902,-0.8011957640734856,-0.7566654163777506,-0.21904345425250465,-0.5532442227919292,-0.30038620065617677,-0.42193546462483955,-0.11993308648578971,-0.8775057334804539,-0.8489585984412291,0.4881426384559564,-0.5491816520940169,-0.4746142721516531,0.010661683411593015,-0.3195841160274376,0.04878798141214313,-0.4134728760037416,-0.41515924768253637,-0.11566659764942827,-0.23121601638319644,-0.5461480382636364,-0.5916870783715436,-0.8342393532491678,-0.6455870011517958,-0.7682113722857636,-0.6420729986992475,-0.7737283999541398,-0.07381687159595204,train,0.8544303797468354,1
4,-0.42589605232741823,-0.8078030929671192,-0.9671072239794078,-0.25342636915729466,-0.5567206237006153,-1.0407560284592035,-0.9033983995163116,-0.31502945103798946,-0.8504518064111721,-0.7855125845432621,-0.22960271114081018,-0.5729570907138049,-0.31164253790781243,-0.439819850949246,-0.11193287732013674,-0.9055022513337337,-0.8917276935025709,0.5369904153971821,-0.5720722205347709,-0.49892574325693867,0.020619123388466054,-0.3280755609819531,0.06267310013083167,-0.4221364160915271,-0.433038253874826,-0.1296322521739932,-0.23901463575951207,-0.5720830312766815,-0.5992534446144617,-0.8617221536799093,-0.6601024188415604,-0.7867294846311195,-0.6597744988366068,-0.8067072606038819,-0.0688572057048728,train,1.139240506329114,1
5,-0.4328507362389228,-0.835655045534854,-1.005758954014455,-0.2535777507263712,-0.5579173210267397,-1.0717191572077258,-0.932812457360603,-0.32004176425964953,-0.8886238250193578,-0.799849578593411,-0.23261589839652813,-0.5814409942221863,-0.3171070705443714,-0.44641013075957187,-0.10803592585397219,-0.9283151707658551,-0.9301544145781769,0.5768832294141574,-0.5924574633189326,-0.5175578219790323,0.034446194221538745,-0.33214875656149845,0.07431603918908909,-0.4272249570654088,-0.44851551048979255,-0.1397264813451054,-0.24614328966258986,-0.5867031219915354,-0.6012585524735979,-0.878026472138115,-0.6699624702885463,-0.8051463650493335,-0.6655584466112714,-0.8290850124301488,-0.061535804799340996,train,1.4240506329113924,1
6,-0.4392668370234171,-0.8528147425934568,-1.030491408612076,-0.2571277039772043,-0.5525211932555707,-1.0952821068917435,-0.9625533610767005,-0.31580474342279435,-0.914323002993817,-0.8102067373751081,-0.23490775089896931,-0.5870284713736575,-0.3190646415338732,-0.4490554665949612,-0.09742914955475986,-0.9575059955888273,-0.9590022340306799,0.6031839098078646,-0.6066718014860414,-0.5313592472462924,0.04494041525792214,-0.3311431898913611,0.08294640624999113,-0.43339720354787387,-0.46258685141684475,-0.15077399972300315,-0.25931704143815026,-0.601330875638209,-0.605899090967399,-0.8871096846518488,-0.6722717411627348,-0.8109936253970351,-0.6665050231084044,-0.8386261629662582,-0.05204684415772402,train,1.7088607594936709,1
7,-0.4367366301863174,-0.8638821069248227,-1.0357710541906502,-0.2546588133987479,-0.5553039825771237,-1.10576580157392,-0.9683902494802578,-0.32508696137799437,-0.9276045947245962,-0.8087219940877572,-0.237441246750338,-0.5846275308167455,-0.32598662791756283,-0.4571967689127109,-0.1049338758897416,-0.960874645016597,-0.9696722387241036,0.616381841824165,-0.6159278420898605,-0.5385744750650765,0.04575456736003938,-0.3369694067940523,0.08405087693569789,-0.43397043814741354,-0.4669161069768214,-0.15687433019288316,-0.26121917565769287,-0.6097714898348214,-0.6124724887980713,-0.8858584049221274,-0.6796673082388818,-0.8222831476342525,-0.6675276704263262,-0.8452799353828276,-0.05664889705971607,train,1.9936708860759493,1
8,-0.4353758105919987,-0.8600770731023359,-1.0425792581893767,-0.2479109437311557,-0.5489841065148022,-1.114171203056768,-0.97622511654374,-0.32865137722548193,-0.9390450369995159,-0.8165300338617765,-0.24382404670966895,-0.5884060923429115,-0.3270713708880736,-0.4520938573013415,-0.1002643101870827,-0.9627182140994315,-0.9710256961122324,0.628244273543708,-0.620866459867137,-0.5367265111115156,0.04849903876994621,-0.3290433175047649,0.0966827296556379,-0.43270824664298657,-0.4676555250341058,-0.1572202141842085,-0.25314851823568474,-0.612374508437836,-0.6079022940941426,-0.8869573711631535,-0.677939639044648,-0.8139521869404786,-0.6710698397349222,-0.8520909770093497,-0.0544650086597029,train,2.278481012658228,1
9,-0.43679320596059246,-0.8645477959733892,-1.0481185767061822,-0.253272488072007,-0.5464951177663946,-1.1158046693763188,-0.9797108830356559,-0.3227876429043517,-0.9495851888431692,-0.8195499061261814,-0.2480877436908902,-0.5918054028655655,-0.3219202053937516,-0.4505955372059675,-0.08906010483101635,-0.9606626224204452,-0.9840143416711421,0.6341322900045193,-0.6287676932851811,-0.5429927162355681,0.05238066277180137,-0.33015243789697724,0.09971571010924625,-0.43935000646426947,-0.4714412182961595,-0.15536226703485487,-0.25988374529066927,-0.6238628461319405,-0.6101697241684602,-0.8922452051179098,-0.6691437723709407,-0.8130786579290513,-0.6634847362745716,-0.8615267214000558,-0.05385195755718275,train,2.5632911392405062,1
