,AFDR,ALA,AQR,ASKL,AUAL,AUAR,AVAL,AVFL,AVFR,BAGL,BAGR,DB2,IL2DL,RID,RIS,RMED,RMEV,URXL,URYDL,URYDR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.8117176517237793,-0.3907399009110427,-0.8433036934202768,-0.8079829566747772,-0.7652031232278269,-0.5938572649602143,0.10457996992556784,-0.11215398765353957,-0.2934906869552577,-0.6948076052010166,-0.7087546914529261,-0.9906903638784009,-0.9341545082511358,-0.34445651439384406,0.8727873662000365,-0.6018636962771662,-0.7005996286578382,-0.8841118931870949,-0.603771622403686,0.5456675032407678,-0.9032997516591467,-0.6255907703387269,train,0.0,1
1,-0.7941778078723185,-0.4478914184640288,-0.9355117213275057,-0.6139496314430715,-0.8134081751168961,-0.5591432473501127,-0.8224588180314445,0.08052577341239231,-0.44882172360217143,-0.7639125218345417,-0.6869084041414484,-0.8945535307519528,-0.93879348486129,-0.14162923245118442,0.7652904384326207,-0.6866659107458155,-0.6732617838748003,-0.8491217735151858,-0.5163612317671877,0.40575165521461565,-0.8695949162155721,-0.6426522778930188,train,0.2556818181818182,1
2,-0.7880700310731533,-0.4191957652029773,-0.8571062004880862,-0.6831001314196467,-0.7530410344713168,-0.5582423100271645,0.007435658179164806,0.019201616816205913,-0.3641497492575497,-0.7841792615020269,-0.590891049692732,-0.8044228693431862,-0.931633391219732,-0.08170042629503693,0.7310882577285702,-0.7223345455186431,-0.6327979423332948,-0.8344574197733181,-0.5034754818058087,0.36810360415935617,-0.871518448891567,-0.6061126719699785,train,0.5113636363636364,1
3,-0.7704165589388652,-0.37896119443657406,-0.8148429920403293,-0.687988473765065,-0.7160340835193316,-0.5780029010264183,-0.33810288289868384,-0.11997781403803387,0.018857912032180346,-0.7283348042608611,-0.6760636211097336,-0.8448700214155105,-0.9090724215385515,0.08296086351672272,0.6280281679046538,-0.7541339113733995,-0.5549961363597438,-0.8426173360507107,-0.4958182097997049,0.26341847631935034,-0.8884030421511325,-0.6899288801473211,train,0.7670454545454546,1
4,-0.7489115312157699,-0.3566629046970985,-0.6425536798762856,-0.7608161574829619,-0.6841547120446358,-0.5677008685720514,-0.901066013270833,-0.1354613165656886,0.16989696275980481,-0.6777784786030823,-0.6010939553124051,-0.8569553731265777,-0.9098688488886428,0.033441055582468016,0.5804848738369184,-0.6445672632216,-0.550856445802494,-0.8368667808459331,-0.3728106429585668,0.5819393403296753,-0.9266799650646239,-0.6374372704857001,train,1.0227272727272727,1
5,-0.7569161795512274,-0.4200214273222337,-0.7170301789384766,-0.7317704164051134,-0.7913209164562822,-0.5324022324979917,-0.4427306160296901,-0.11379209633756249,0.1549999538651874,-0.8343942738522085,-0.6103425179209634,-0.8890410738092573,-0.9473862704442519,0.15348581392746707,0.5061234033038287,-0.6449629436568528,-0.6514749423085404,-0.8850270223894672,-0.46697950965890356,0.3721462553027519,-0.8855788202106054,-0.6212699867671709,train,1.278409090909091,1
6,-0.7645691857487023,-0.3911607062451018,-0.7363482397955665,-0.6088871695704006,-0.9021079695782659,-0.63089862100722,0.16698352715084708,-0.04084719491829125,0.26138530706036556,-0.7697821063311736,-0.54051407833929,-0.8340979771998737,-0.9110425856958042,-0.01907855705812611,0.3814351860016141,-0.7093805736641753,-0.6204072733148434,-0.872246812647842,-0.6030731828955056,0.24352310594447868,-0.832567984720593,-0.49497803015794506,train,1.5340909090909092,1
7,-0.7336124195589862,-0.3802306862293775,-0.7967507889869774,-0.7317825880213956,-0.682418765361201,-0.5417558716987476,-0.22436624702162755,-0.03623714120423771,0.349702087088376,-0.6798103025204136,-0.8393159355523833,-0.920883383910151,-0.8971780858489558,-0.010858481523052022,0.46344835186623645,-0.747233773579519,-0.5853547551082866,-0.862980815265207,-0.6783355106823616,0.2748015534879138,-0.8943517910514451,-0.7138657398053996,train,1.7897727272727273,1
8,-0.8206619636975334,-0.4169671558404032,-0.8335660239950131,-0.8435426636836103,-0.7154165086222279,-0.5878699380771688,-0.4728206012827947,0.22141734175480132,0.15893183886965812,-0.7673773218553595,-0.60075963442428,-0.9167781781380957,-0.9215648636323046,-0.03462662471938327,0.47014500114533964,-0.7569894363641434,-0.6410492326824204,-0.9028071972958488,-0.49262133756517135,0.5354280443175821,-0.8493125861666686,-0.5836820188569999,train,2.0454545454545454,1
9,-0.7062598350871094,-0.42588985409116376,-0.6693131259555472,-0.7982772370353605,-0.8393729243313282,-0.48189836745438963,-0.08101130371451215,0.05881115877994403,0.07914596768108484,-0.7941678950843152,-0.6145552305807535,-0.8690318580558878,-0.9212205340290847,0.05182093146017852,0.44504245228733486,-0.7506874492637732,-0.7271218740959295,-0.8562975196646962,-0.502593598482181,0.4973671155020738,-0.8314532434573708,-0.6213037643974268,train,2.3011363636363638,1
