,AFDR,ALA,AQR,ASKL,AUAL,AUAR,AVAL,AVFL,AVFR,BAGL,BAGR,DB2,IL2DL,RID,RIS,RMED,RMEV,URXL,URYDL,URYDR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.23698582607889182,-0.3064258937306882,-0.39051479449655424,-0.2682553011310825,-0.1447020046948152,-0.332186367631085,-0.13516597584374856,-0.19655800902226306,-0.11036881722343685,-0.36639485652441595,-0.32382715723307226,-0.14281646548186192,-0.3350660277670131,-0.2509525345541391,-0.19989214672484407,-0.3905766215567722,-0.19876052475692252,-0.4787491800926943,-0.1598100182359193,-0.15021265836010841,-0.24649859924946116,-0.32944837524692666,train,0.0,1
1,-0.32143973133158854,-0.39067339343593377,-0.5209064493164316,-0.3451465958455366,-0.2377721242199009,-0.4422628013138834,-0.17341571095536037,-0.21707573704245528,-0.14856312552236667,-0.45668160045607387,-0.42732508860042423,-0.23427061168766564,-0.46658247794344443,-0.2755752170341058,-0.182154047342465,-0.45777641863318747,-0.2884253924548677,-0.6418320914940382,-0.26854640789774537,-0.1920553479553163,-0.3618029912023316,-0.401927602465329,train,0.2556818181818182,1
2,-0.3649801458969271,-0.42063781090208846,-0.5607992355746925,-0.373333375549077,-0.2824530623016148,-0.47503920411287837,-0.151687790267376,-0.23662450569614749,-0.1664810099218477,-0.5024713412256188,-0.466754649312612,-0.2694371969344308,-0.5386064294684187,-0.29797684879216807,-0.18546195014292896,-0.5288139248006125,-0.331227104709324,-0.7177223622498428,-0.30572886163549284,-0.1992789346060735,-0.42734492256414847,-0.4587884698369551,train,0.5113636363636364,1
3,-0.39210309080156275,-0.43924062699603345,-0.5809328669135527,-0.3857566719629366,-0.316692350838919,-0.4945255461452095,-0.14829677165873464,-0.24029563164923684,-0.16600042062490183,-0.5346201745629804,-0.4992401207646098,-0.29638284851676044,-0.5872037693177832,-0.3059391406742163,-0.17172394632317672,-0.5622405720417663,-0.3539147801436209,-0.7626974287256807,-0.33658152453852686,-0.2031368172512944,-0.46477151879452255,-0.4821248117663225,train,0.7670454545454546,1
4,-0.41094798022532775,-0.4352500453643754,-0.5822310902392822,-0.38818758621401483,-0.33707471219403284,-0.5055718625322114,-0.1691196217157761,-0.23720236188724753,-0.16044872681774108,-0.5438417279218244,-0.513625581107703,-0.31158539314093947,-0.6094098712414945,-0.3089129744532201,-0.14778149807041727,-0.5507856318245126,-0.35403858515703573,-0.7812336577733537,-0.3472362973426384,-0.2048020664697406,-0.46819050872338247,-0.47713924017478104,train,1.0227272727272727,1
5,-0.41714208327341545,-0.4392602316801161,-0.5864386811605671,-0.39252866158885935,-0.3471513424596623,-0.5112566707272901,-0.15690967973196118,-0.24210534705851616,-0.16151871993358005,-0.5534180227453944,-0.5269829070391339,-0.32241746867780596,-0.6267763765129561,-0.31409051571668933,-0.15167593267571255,-0.5680662698945373,-0.3613189322082,-0.7934877367249666,-0.35513686453579685,-0.1968765235641548,-0.4806014664609732,-0.4828030481655369,train,1.278409090909091,1
6,-0.4094998499860768,-0.43307318456509564,-0.5751579139127955,-0.3848583520353209,-0.3390752855842968,-0.4985649511541116,-0.11957284227433179,-0.24408631482796697,-0.1591698367694997,-0.5600833044490785,-0.5233838196022901,-0.32569195126224715,-0.6309518049005196,-0.3282110666520198,-0.18359688844201194,-0.6045095350509835,-0.37743063942781346,-0.7935202505872126,-0.3507882549578328,-0.19667867490666777,-0.4870648781447058,-0.49496700644328395,train,1.5340909090909092,1
7,-0.4127997924987627,-0.44027327606709743,-0.5851906778572304,-0.3828648587950385,-0.3493636205950629,-0.4987044302574448,-0.11172089156983625,-0.24638657760503316,-0.15572072215305144,-0.5697399789705537,-0.5355687322345314,-0.3345417320517561,-0.6486075529546105,-0.33612968899713613,-0.19401331818548828,-0.6200058899753249,-0.3966948207251974,-0.8103538506944546,-0.36079754959137633,-0.20442741360443767,-0.4995575991003964,-0.5103850313538206,train,1.7897727272727273,1
8,-0.4180708104588325,-0.4380371468384146,-0.5884651745342313,-0.3847483185386491,-0.3540721918027223,-0.5018173275567568,-0.11916699784240553,-0.24454157956371764,-0.1539979845811041,-0.5707279605618139,-0.5457075398969459,-0.3400958810699356,-0.6556530242114851,-0.34309030454593714,-0.20116461668903712,-0.6122125454073766,-0.4011517640539117,-0.8176902972395262,-0.36160852089175566,-0.20925936705576817,-0.496683458062418,-0.5117382776589059,train,2.0454545454545454,1
9,-0.4129333173284519,-0.4312516301860097,-0.5772896728189949,-0.38037661178175664,-0.34877427505489733,-0.4984697999794503,-0.10469233213368419,-0.24779267835139168,-0.15941505201600714,-0.5656251581877065,-0.5444324891488218,-0.3364634701147303,-0.6475906022498534,-0.3463929245098646,-0.21377041710809333,-0.6187618202618412,-0.41107827175865963,-0.8124640529723293,-0.3460796816105667,-0.19774742261923628,-0.5000991667726111,-0.5179483875359593,train,2.3011363636363638,1
