,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVER,AVFL,AVFR,AWCL,OLQDR,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.5176899627857278,-0.7844790851300281,-0.8655179219714659,-0.6287593187295719,-0.4504254784906343,-0.8255899431579791,-0.8749696155918074,-0.8497115208825026,-0.7405731712164747,0.06083552070632181,-0.23693881818900153,-0.7137618300017823,-0.5015007686782391,-0.8493055399712597,-0.3658354796644857,-0.6798719534205668,-0.9013649869044176,0.3665104521460456,-0.6061400740196257,-0.5670394025055481,-0.5841324244314747,-0.10851753652147866,-0.2500475430516973,-0.8450047210941334,-0.5843379174123593,-0.8482605954637885,-0.7788019405318093,-0.5764877653065346,-0.6235317969623897,-0.6160678669900654,-0.7782310416599258,-0.7180887275245965,-0.9284868127442903,train,0.0,1
1,-0.5555308609419598,-0.8394632036877854,-0.8423747667908303,-0.46049133668166264,-0.4403425700015604,-0.7126574643537571,-0.8994159866852417,-0.8289360634273517,-0.8485405051076375,-0.001245031325851964,-0.10908896695958292,-0.7032963198982671,-0.4287728599602295,-0.8325774065991678,0.06407394074879957,-0.6955157429352731,-0.8871635300149998,0.4054514411196213,-0.6827124160150015,-0.5154884661390926,-0.6394801522651071,-0.19868021554040205,-0.35525635715986104,-0.7968348622866891,-0.6358703608345144,-0.8498365856584984,-0.7191773931895772,-0.34126171903968483,-0.6615017203791718,-0.6485880537188844,-0.6898094337779759,-0.7689651055763054,-0.9122534502135259,train,0.25641025641025644,1
2,-0.4463593315516592,-0.8422808583548297,-0.8802337364743155,-0.5380259309741364,-0.47211728074210446,-0.7607617765507583,-0.8985220115403986,-0.8974925707667548,-0.723397960299302,-0.1986604762704699,-0.11315986790789423,-0.7106570283073714,-0.628376141780099,-0.8708620522583417,0.1742463524858633,-0.7726116826518383,-0.8942662849476868,0.29008594815686806,-0.6374332343663704,-0.6490983602909934,-0.6900897693236065,-0.26149485601749645,-0.1656174934765704,-0.7254912624239107,-0.5949649570912274,-0.9000201815359352,-0.9035160829905471,-0.42945276347537165,-0.6249016170380817,-0.6279999451365263,-0.7910357203242655,-0.8141622984245476,-0.9173621466493302,train,0.5128205128205129,1
3,-0.4928827152100892,-0.8656847695103855,-0.8538555769401863,-0.4335584713155528,-0.5290375167832878,-0.7043575145197516,-0.9230065809876007,-0.9215465777368823,-0.8086607235207097,0.004946897373511616,-0.39883413040112015,-0.7391717045984122,-0.6734433986545154,-0.842794493553983,0.23816662621379825,-0.750424310595323,-0.9214525918144224,0.38141295831582234,-0.7009817679291406,-0.5724295880732402,-0.6186926592858901,-0.21566509695569414,-0.1811871915085036,-0.7365659963370499,-0.6304558410087784,-0.8050355722826424,-0.8469111496130095,-0.5350546104521254,-0.7577239911541063,-0.6719866625612638,-0.8670787395531444,-0.7489214691653758,-0.896499786297846,train,0.7692307692307693,1
4,-0.46458637452023643,-0.8328401266515273,-0.866293795479542,-0.6245714393996131,-0.6332850619855589,-0.7660159210173657,-0.9041104913289263,-0.8704875480391568,-0.8654735512399249,0.12303067464674067,-0.41348309539455075,-0.7793400312693366,-0.6525859035938685,-0.8432598133121665,0.16193227011076927,-0.7211070404209531,-0.8663016958097615,0.2654262118976154,-0.6761562297207188,-0.5899995950048295,-0.7302657352105888,-0.382907734657543,-0.34716332237010605,-0.7518667301819775,-0.6888967525116487,-0.8195876732747006,-0.5614732373621258,-0.5044605993246278,-0.7018421850298562,-0.7287341595358318,-0.8183629845812369,-0.7273402777448481,-0.9426787343352996,train,1.0256410256410258,1
5,-0.3801108309645431,-0.8322086295265184,-0.8904145624472821,-0.4446016852547092,-0.5040509596080591,-0.7212980919084946,-0.8952789409893638,-0.8602576043940164,-0.9012583957647243,-0.03758671422232884,-0.13423458297694268,-0.7437636494829044,-0.44763156633820544,-0.8414085555651253,-0.07940991820804699,-0.7172201965225997,-0.9267771085538307,0.3920700127456689,-0.6841704994757198,-0.577238843354716,-0.7009314962904196,-0.07350951877345535,-0.5228621554564994,-0.6902529447405941,-0.6769261170186823,-0.8243239443061736,-0.755589477687715,-0.323321270762598,-0.6161904819898743,-0.7026081269449187,-0.7668209063528469,-0.7598161803105637,-0.9003880113338254,train,1.2820512820512822,1
6,-0.38203143706472853,-0.8007773956455577,-0.8399444624795448,-0.5235978242359585,-0.36770144198973587,-0.7831465165595516,-0.8929870328732645,-0.8942020073300084,-0.8396281687589247,0.02590310722497624,-0.36290914921710604,-0.7020720270034096,-0.4778883731468829,-0.8320974749114798,-0.19454123140697,-0.6944967887640631,-0.8895130880251432,0.47373698013466603,-0.6168374088399051,-0.6390715312318587,-0.6009810595264191,0.0003632806809018563,-0.4181815669381277,-0.8202166659714882,-0.5498954249424413,-0.8249945775181067,-0.6429420792627217,-0.27180879610265685,-0.6319770388665661,-0.6475105915614734,-0.731170763526974,-0.7326956261151579,-0.974865932982181,train,1.5384615384615385,1
7,-0.377334840552196,-0.8328921857048099,-0.8885546286508619,-0.34307369755025763,-0.43461733342284925,-0.6724662449659585,-0.9076193932084363,-0.9165607377103598,-0.8370445193254799,0.18614256017782727,0.05057528809113876,-0.7046256907448443,-0.539377812247506,-0.8324302788705544,0.3873554621620874,-0.7359446448461331,-0.847315462605357,0.35367725363264335,-0.7028677486625046,-0.543792728026463,-0.6047505722702724,-0.22530160070518523,-0.3800408268323082,-0.7542031447766963,-0.6385761165104056,-0.8336141913721372,-0.9201717207712365,-0.3048353346135301,-0.6416478857757899,-0.6522745429335012,-0.7879548277620377,-0.7076715171334917,-0.8282843104101307,train,1.794871794871795,1
8,-0.3393984138241527,-0.8548286760215191,-0.801134559966823,-0.2780245369294502,-0.5783913353144794,-0.6849126672041472,-0.8881393593076041,-0.8373066386624598,-0.8393444316659142,0.5433663739508927,-0.006210493237358117,-0.6888036782674077,-0.6106436648252237,-0.794267007685297,0.08789503478290506,-0.7707277561305022,-0.8610057135944389,0.41095047412831764,-0.6431329956422178,-0.6303869316451435,-0.5705296780091782,-0.5275381508465442,-0.38512985192831195,-0.6621917576238925,-0.646523916951405,-0.853925901219639,-0.7433483347218771,-0.29163257718740787,-0.58207269152573,-0.6788508903054818,-0.7397744339160923,-0.9321371790600386,-0.9103744882224587,train,2.0512820512820515,1
9,-0.43662598043027057,-0.7767877240147671,-0.8776554066101263,-0.37132281577271276,-0.45313163981506865,-0.7261876934327508,-0.8860977523812008,-0.8618636503116555,-0.8569061036946662,0.5045316547133036,0.09294137221126553,-0.7544785456491528,-0.5387545162865188,-0.852122198993633,0.20930051801168448,-0.735604724571038,-0.9032196533606408,0.45649590050534794,-0.6840529196986102,-0.5750103479766298,-0.6128907221124472,-0.30826371661225294,-0.21943136667828356,-0.7776317822573354,-0.5898341341361766,-0.87440855734905,-0.4766545084401852,-0.29306357107351877,-0.5971357668869104,-0.7344143988136425,-0.7626129742299317,-0.6807101032220995,-0.7799797868443625,train,2.307692307692308,1
