,AFDR,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,OLQDR,OLQVL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVR,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.16583474612645321,0.035379119196306257,-0.007093201555679163,-0.20751195223389876,-0.36427756671882616,-0.17236304510963116,-0.13150438834554165,-0.08968237898958101,-0.4807492383148594,-0.3611407500151848,-0.056209138202144085,-0.20603345545869706,-0.2752049356669,-0.19917128975174786,-0.34746578346432366,-0.3764455187711615,-0.3166304784699808,-0.0946931839650433,-0.0718519939584077,-0.2825198458381297,-0.3291233128077542,-0.16776221380330808,-0.5449384414889815,-0.43298922977077486,-0.4301917199169469,-0.42585003406053507,-0.3831610064707729,-0.42799897662467346,-0.29953187002031467,-0.4058035074216111,-0.2434994743680444,-0.23203921260562577,-0.28461208158047235,-0.32917307286807135,-0.4077765019338897,train,0.0,1
1,-0.21239797147547212,0.0688067382460919,0.048827647937168185,-0.22424918846044564,-0.46945397150883295,-0.18324158039459537,-0.09615076100710428,-0.10760834853771681,-0.6312429830920137,-0.5063107574539497,-0.052926017754632286,-0.23550668526924107,-0.32287782768592604,-0.23907289280593763,-0.5032346001804995,-0.541201461016795,-0.3998949556617316,-0.052262701630800226,-0.09910156241785222,-0.3643160429438106,-0.437732468660183,-0.24784292899512556,-0.709905210449332,-0.5470325248578123,-0.5699287413924268,-0.6484369288048244,-0.4687611840250508,-0.5658931169091554,-0.3618341405175205,-0.5376998865902565,-0.33658927148309725,-0.2841807583373986,-0.3526804078972449,-0.396637735390316,-0.5475601514021708,train,0.2902445579145391,1
2,-0.24832995144421838,0.08734816342673213,0.09887583345507583,-0.24341601168925975,-0.5362626615870186,-0.18274421711380728,-0.056633497357675255,-0.1064494025167124,-0.7354225118858546,-0.609451653275669,-0.04087983627118683,-0.24445197801716106,-0.3530332984839788,-0.2615408002347971,-0.6146234051085783,-0.6395345693587435,-0.4461228362074195,-0.02237903133420871,-0.09633511649745925,-0.4195937765386596,-0.5071371585459434,-0.30762197470374963,-0.8109245904413522,-0.6231729292615769,-0.6667837174518942,-0.763036338863317,-0.5291930067859146,-0.6451311914892601,-0.3920057740270535,-0.6216250860322219,-0.38392927383250486,-0.31739414521052656,-0.3942183568602011,-0.43577241596384,-0.6314789824686474,train,0.5804891158290783,1
3,-0.2604485372348052,0.10072276440371002,0.13419774596813833,-0.23435472956430348,-0.556387106377151,-0.16976684523562835,-0.03429526555114695,-0.10849546080959463,-0.7698090164990736,-0.6395286481048621,-0.028574790191820288,-0.24866764244410935,-0.3709043317897164,-0.2769424200816445,-0.6679543076135629,-0.6686332095523473,-0.47262416135460317,0.006623601645858734,-0.0912812776680249,-0.4588034230243561,-0.5477690120270424,-0.3327776577859283,-0.840739872232636,-0.6546274204873692,-0.7125683271401074,-0.8242568788672937,-0.5530200487058339,-0.6768737388666555,-0.3979042771009733,-0.6637629512404893,-0.3958603998336374,-0.3213087249684793,-0.4131893381371178,-0.44781854050303077,-0.6604970384080876,train,0.8707336737436173,1
4,-0.2703569287526492,0.1173116898057581,0.17184147649785825,-0.22906236129212373,-0.5758336991287437,-0.15626204569510949,-0.0023373049604447638,-0.08955493585446817,-0.7982177231892379,-0.6706081565162777,-0.00847020189430964,-0.2472397133849225,-0.3746859883892998,-0.28202173124845187,-0.7031847254771607,-0.6913385479881624,-0.49371471682434026,0.04120949377313915,-0.07149088196481326,-0.49168573214680766,-0.5742872055793413,-0.3483645440026897,-0.8715089052690623,-0.6827798554906643,-0.7455234090412387,-0.8598666743351923,-0.5684764382720446,-0.6979540864966177,-0.40023935791769116,-0.6898408010874995,-0.3994159975511914,-0.3238051979750678,-0.41980058425405736,-0.4521796235796146,-0.6899774091413906,train,1.1609782316581565,1
5,-0.27987917520959593,0.1267415076389259,0.1905743714216676,-0.2238999830371461,-0.5881515414416663,-0.14767385072320438,0.021949044213125574,-0.07480913067146483,-0.814680313124521,-0.6891705309805267,0.00524299074385539,-0.24626457549719094,-0.37546309413794854,-0.28234020604319954,-0.7280729413991092,-0.7043577370760234,-0.5078058234176335,0.07095975251500428,-0.06194338203731656,-0.5093267530428244,-0.5867921916862713,-0.35099079998588445,-0.8941809812493593,-0.7001206837205343,-0.7611542142900691,-0.8835963878452244,-0.5780023058907362,-0.7096884202913908,-0.40249641061809305,-0.7017168371772063,-0.39594063126065643,-0.31805215781137797,-0.42053789492896854,-0.44794963658965586,-0.7098368203419777,train,1.4512227895726955,1
6,-0.28763298583397356,0.13182273579521372,0.2067252178460472,-0.22950340729844132,-0.6045688210085172,-0.14365529354633916,0.03640762920789126,-0.0629899334988058,-0.8364625523816112,-0.7105195332565373,0.01180734541697296,-0.24875317726709179,-0.3741117160959526,-0.28388202516520783,-0.7453688072150257,-0.7211219694462836,-0.5198481129598953,0.07911550420782262,-0.051770783000980924,-0.5236981881343039,-0.5968404326215897,-0.35867410697259794,-0.9155654899951222,-0.7145765332745875,-0.779538229996659,-0.8975194064065964,-0.5896570516751817,-0.7232158823634429,-0.40161122407229566,-0.7175090834742235,-0.39685643864468073,-0.3204626171247995,-0.42087705600744074,-0.44966962149652423,-0.7288274840516971,train,1.7414673474872346,1
7,-0.28932761115568517,0.14939848180547038,0.23302870147811927,-0.2243562338876998,-0.6087101298076462,-0.13343987582346198,0.06466584031367534,-0.042654030490823405,-0.8458657406496564,-0.7151340170278401,0.029444876283322055,-0.24792706623630903,-0.3666480026254715,-0.27929211586660424,-0.7529523987326963,-0.7244307181657803,-0.5294606743135291,0.10988274983224669,-0.026980837387420735,-0.5489458796460066,-0.5995930330530539,-0.3561787481834615,-0.9281579318844536,-0.7252686513627351,-0.7881631164120068,-0.912980541436574,-0.5936625541975611,-0.7240693054501902,-0.394847380333331,-0.72286392548524,-0.38548581683933625,-0.31195698222044976,-0.4120685427154044,-0.4455612137654321,-0.7385587145326845,train,2.0317119054017736,1
8,-0.2975692268693926,0.15559102265855612,0.24412786728769265,-0.22226981684246666,-0.6079425632240276,-0.13220130985955944,0.08190088273463664,-0.031840672044757705,-0.8461398386244509,-0.715556135445994,0.03551404734091811,-0.24768267339286093,-0.3601429274479492,-0.2746901867139643,-0.7588284924178857,-0.7219373909646487,-0.5355106987066955,0.12495864933799114,-0.017298384356104743,-0.5557860171626283,-0.5950097163998456,-0.3578632596652609,-0.9324840657122563,-0.7260866267728868,-0.7900697967677612,-0.9188646693598813,-0.5970721950418391,-0.7247828857678268,-0.3909096704714685,-0.7218438045626585,-0.3759469775201557,-0.30717318895778967,-0.4109667661114347,-0.44282010835663566,-0.7436456450256479,train,2.321956463316313,1
9,-0.2954895306567483,0.16306091242993218,0.26005480868395053,-0.22818049590864758,-0.6150683672555946,-0.12893687969993262,0.09698833190689143,-0.013787316221714554,-0.8567451380146708,-0.7291207227327328,0.0482895339057794,-0.24633887503545676,-0.3561521123496268,-0.27488967018717614,-0.7628561795973865,-0.730526118918269,-0.541183533065503,0.14052276651014875,-0.004370667648966521,-0.5706585186015368,-0.5992429509966385,-0.3565347141227099,-0.9469266214159225,-0.7361416554445745,-0.8002054857919464,-0.920954889060228,-0.6001115981882126,-0.726901569856471,-0.3914725145534465,-0.7269275797554313,-0.3721674353858016,-0.30505019699990066,-0.4066943076820477,-0.438579419951381,-0.7566196727181351,train,2.612201021230852,1
