,epochs,base_train_losses,base_test_losses,train_losses,test_losses
0,10,0.0032623909294324897,0.0027627152480157236,0.011262387056317361,0.009768069134788787
1,20,0.0032623909294324897,0.0027627152480157236,0.005769407097285468,0.008505562680761913
2,30,0.0032623909294324897,0.0027627152480157236,0.003998782907885337,0.007718671189340871
3,40,0.0032623909294324897,0.0027627152480157236,0.0034836279260578294,0.006946751712415691
4,50,0.0032623909294324897,0.0027627152480157236,0.0031416477840997725,0.006354789057149134
5,60,0.0032623909294324897,0.0027627152480157236,0.002968821334111065,0.005932234335174542
6,70,0.0032623909294324897,0.0027627152480157236,0.0028498289140557894,0.0057226480153836365
7,80,0.0032623909294324897,0.0027627152480157236,0.0027626485970746,0.005475727351427787
8,90,0.0032623909294324897,0.0027627152480157236,0.0026926561907450607,0.0052733019804302155
9,100,0.0032623909294324897,0.0027627152480157236,0.0026352671443889944,0.0051491697573552665
10,110,0.001526937484826056,0.0012221108783987474,0.0072769895687270795,0.009105163282453825
11,120,0.001526937484826056,0.0012221108783987474,0.003130171847571992,0.007673055479188564
12,130,0.001526937484826056,0.0012221108783987474,0.0020519650064154175,0.00571100232687306
13,140,0.001526937484826056,0.0012221108783987474,0.001678423196632867,0.005186070711139468
14,150,0.001526937484826056,0.0012221108783987474,0.001530755328902367,0.005172271979542474
15,160,0.001526937484826056,0.0012221108783987474,0.0014506717791592106,0.004741973510764683
16,170,0.001526937484826056,0.0012221108783987474,0.0014040259120047477,0.004731819138660607
17,180,0.001526937484826056,0.0012221108783987474,0.0013710418568902672,0.004683784077428915
18,190,0.001526937484826056,0.0012221108783987474,0.0013474352692440814,0.004687958889286759
19,200,0.001526937484826056,0.0012221108783987474,0.0013280329702360738,0.004714553337007304
20,210,0.003044666111736271,0.0023939264460864063,0.009712119604440864,0.015174221122835337
21,220,0.003044666111736271,0.0023939264460864063,0.005270926755901189,0.005898703326983753
22,230,0.003044666111736271,0.0023939264460864063,0.003420778779704086,0.0059723200579124966
23,240,0.003044666111736271,0.0023939264460864063,0.002848619291819857,0.005448579892506719
24,250,0.003044666111736271,0.0023939264460864063,0.0025800958753962712,0.005246570370870667
25,260,0.003044666111736271,0.0023939264460864063,0.002433356494455638,0.005246682282730514
26,270,0.003044666111736271,0.0023939264460864063,0.0023779793329359554,0.005187744775716581
27,280,0.003044666111736271,0.0023939264460864063,0.002330533307999628,0.0053500840375032875
28,290,0.003044666111736271,0.0023939264460864063,0.0022963790445286974,0.0053621683672416525
29,300,0.003044666111736271,0.0023939264460864063,0.0022683392504070986,0.0054549389768729665
30,310,0.002324009599739293,0.0017565105320913234,0.007650583368677499,0.00821144214602301
31,320,0.002324009599739293,0.0017565105320913234,0.003523131156780114,0.006920837363196297
32,330,0.002324009599739293,0.0017565105320913234,0.0025805992804364816,0.005906885043994795
33,340,0.002324009599739293,0.0017565105320913234,0.0021579238707300163,0.005536325403795029
34,350,0.002324009599739293,0.0017565105320913234,0.0019710654192002645,0.005076623565190104
35,360,0.002324009599739293,0.0017565105320913234,0.001883146752483697,0.005272455774703042
36,370,0.002324009599739293,0.0017565105320913234,0.0018392174610081067,0.005324616239508918
37,380,0.002324009599739293,0.0017565105320913234,0.0018084527269937752,0.005487605467047068
38,390,0.002324009599739293,0.0017565105320913234,0.0017836919942798453,0.005670499891799723
39,400,0.002324009599739293,0.0017565105320913234,0.0017632759499874313,0.005843381949941522
40,410,0.0028973730801707303,0.002392556696528792,0.007431529215428493,0.009442122845319558
41,420,0.0028973730801707303,0.002392556696528792,0.004342684996045531,0.006588152799750822
42,430,0.0028973730801707303,0.002392556696528792,0.003130702807268837,0.005580480180737211
43,440,0.0028973730801707303,0.002392556696528792,0.002597173767771118,0.004733664963908417
44,450,0.0028973730801707303,0.002392556696528792,0.0023850903609636707,0.004569239630585321
45,460,0.0028973730801707303,0.002392556696528792,0.002284568001973224,0.004604605404138779
46,470,0.0028973730801707303,0.002392556696528792,0.002227477171538493,0.004690464099561779
47,480,0.0028973730801707303,0.002392556696528792,0.0021869828561402044,0.004755896480547258
48,490,0.0028973730801707303,0.002392556696528792,0.002155582538161127,0.0048463418640846976
49,500,0.0028973730801707303,0.002392556696528792,0.002128937706994985,0.004935075759781384
50,510,0.0028007179994277674,0.0028831986264537196,0.007732728454565346,0.009876145312912794
51,520,0.0028007179994277674,0.0028831986264537196,0.0042779900441844,0.007340903217652205
52,530,0.0028007179994277674,0.0028831986264537196,0.0029532266598406424,0.006497200992030994
53,540,0.0028007179994277674,0.0028831986264537196,0.0024322209910083046,0.006395233834050072
54,550,0.0028007179994277674,0.0028831986264537196,0.002234425787182601,0.006303030760963111
55,560,0.0028007179994277674,0.0028831986264537196,0.0021330319879841343,0.006301782506462125
56,570,0.0028007179994277674,0.0028831986264537196,0.00208334455639573,0.006454038361704688
57,580,0.0028007179994277674,0.0028831986264537196,0.0020503244468440774,0.0065591566224645044
58,590,0.0028007179994277674,0.0028831986264537196,0.0020251181075460396,0.006696407091694057
59,600,0.0028007179994277674,0.0028831986264537196,0.002004128906233804,0.006786826531963669
