,epochs,base_train_losses,base_test_losses,train_losses,test_losses,centered_train_losses,centered_test_losses
0,2,0.0028007179994277674,0.0028831986264537196,0.00904211382829982,0.004046714880396197,0.006241395828872053,0.0011635162539424771
1,4,0.0028007179994277674,0.0028831986264537196,0.0037572209056897046,0.004131461441425827,0.0009565029062619372,0.0012482628149721071
2,6,0.0028007179994277674,0.0028831986264537196,0.0035438775241078877,0.003620010827957881,0.0007431595246801203,0.0007368122015041613
3,8,0.0028007179994277674,0.0028831986264537196,0.0032136865577902024,0.0033473469924282704,0.00041296855836243495,0.00046414836597455074
4,10,0.0028007179994277674,0.0028831986264537196,0.0030547707777403583,0.003202881191504647,0.00025405277831259086,0.00031968256505092744
5,12,0.0028007179994277674,0.0028831986264537196,0.0029595707924368574,0.003101635639032557,0.00015885279300908994,0.00021843701257883742
6,14,0.0028007179994277674,0.0028831986264537196,0.002888673377894664,0.0030424080960321015,8.795537846689652e-05,0.00015920946957838182
7,16,0.0028007179994277674,0.0028831986264537196,0.002846574648154447,0.0030312859360653584,4.5856648726679515e-05,0.00014808730961163872
8,18,0.0028007179994277674,0.0028831986264537196,0.0028354329416835893,0.0030429372089318505,3.4714942255821904e-05,0.0001597385824781308
9,20,0.0028007179994277674,0.0028831986264537196,0.0028352277578904996,0.00304013172474696,3.450975846273213e-05,0.00015693309829324046
10,22,0.0028973730801707303,0.002392556696528792,0.0037455575807876867,0.002936291282028397,0.0008481845006169564,0.0005437345854996051
11,24,0.0028973730801707303,0.002392556696528792,0.0031851869249842667,0.0026368641471091387,0.00028781384481353645,0.00024430745058034694
12,26,0.0028973730801707303,0.002392556696528792,0.003034331247613085,0.0025354597659752315,0.00013695816744235464,0.0001429030694464397
13,28,0.0028973730801707303,0.002392556696528792,0.0029784063348701558,0.0025142721392842553,8.10332546994255e-05,0.00012171544275546347
14,30,0.0028973730801707303,0.002392556696528792,0.0029605544286484707,0.00250593677685417,6.318134847774041e-05,0.00011338008032537802
15,32,0.0028973730801707303,0.002392556696528792,0.0029445507814068153,0.0024975888280289148,4.717770123608507e-05,0.00010503213150012299
16,34,0.0028973730801707303,0.002392556696528792,0.0029225913575792874,0.0024907182972699724,2.521827740855709e-05,9.816160074118058e-05
17,36,0.0028973730801707303,0.002392556696528792,0.002905594700632114,0.0024928346554202725,8.221620461383757e-06,0.00010027795889148072
18,38,0.0028973730801707303,0.002392556696528792,0.002897708528249903,0.0024996069815679486,3.3544807917290295e-07,0.0001070502850391568
19,40,0.0028973730801707303,0.002392556696528792,0.002893719373667673,0.002506855571126871,-3.6537065030571754e-06,0.00011429887459807938
20,42,0.001526937484826056,0.0012221108783987474,0.0020882669603686133,0.0013503368830896905,0.0005613294755425573,0.0001282260046909431
21,44,0.001526937484826056,0.0012221108783987474,0.001734009297625103,0.0013068341628642908,0.0002070718127990471,8.472328446554344e-05
22,46,0.001526937484826056,0.0012221108783987474,0.0016551253177218552,0.0012831406925872847,0.0001281878328957993,6.1029814188537325e-05
23,48,0.001526937484826056,0.0012221108783987474,0.0015999832036650986,0.001261916445649877,7.304571883904264e-05,3.980556725112971e-05
24,50,0.001526937484826056,0.0012221108783987474,0.0015598384194522891,0.0012510733238786248,3.2900934626233164e-05,2.8962445479877377e-05
25,52,0.001526937484826056,0.0012221108783987474,0.0015504905478407177,0.0012524300679134577,2.355306301466179e-05,3.0319189514710354e-05
26,54,0.001526937484826056,0.0012221108783987474,0.0015449747679927928,0.0012586150809413828,1.8037283166736848e-05,3.650420254263536e-05
27,56,0.001526937484826056,0.0012221108783987474,0.001538181890540285,0.0012647881201368362,1.124440571422902e-05,4.267724173808883e-05
28,58,0.001526937484826056,0.0012221108783987474,0.001532324752825596,0.001272105498927001,5.387267999540021e-06,4.99946205282536e-05
29,60,0.001526937484826056,0.0012221108783987474,0.00152814874847194,0.0012830051630224985,1.2112636458840812e-06,6.089428462375114e-05
30,62,0.002324009599739293,0.0017565105320913234,0.002532493095971735,0.0018350865244176073,0.00020848349623244205,7.857599232628386e-05
31,64,0.002324009599739293,0.0017565105320913234,0.0023730381959622977,0.0018360862147902687,4.902859622300457e-05,7.957568269894525e-05
32,66,0.002324009599739293,0.0017565105320913234,0.0023530382490132952,0.001796340889795576,2.9028649274002137e-05,3.983035770425253e-05
33,68,0.002324009599739293,0.0017565105320913234,0.0023495682871631923,0.0017909361555191344,2.5558687423899232e-05,3.442562342781093e-05
34,70,0.002324009599739293,0.0017565105320913234,0.002338002999728957,0.0017895339268841398,1.3993399989663691e-05,3.302339479281636e-05
35,72,0.002324009599739293,0.0017565105320913234,0.0023286116042878055,0.0017864497004781957,4.602004548512426e-06,2.9939168386872248e-05
36,74,0.002324009599739293,0.0017565105320913234,0.0023229883686570097,0.0017750887407563963,-1.021231082283438e-06,1.8578208665072848e-05
37,76,0.002324009599739293,0.0017565105320913234,0.002319054535743951,0.0017671074045092002,-4.955063995342075e-06,1.0596872417876742e-05
38,78,0.002324009599739293,0.0017565105320913234,0.0023183519055844965,0.0017647610431952504,-5.657694154796635e-06,8.250511103926987e-06
39,80,0.002324009599739293,0.0017565105320913234,0.002316334306172542,0.0017653767927247898,-7.67529356675116e-06,8.866260633466367e-06
40,82,0.0032623909294324897,0.0027627152480157236,0.003384827748792445,0.0028174275897126654,0.0001224368193599554,5.471234169694174e-05
41,84,0.0032623909294324897,0.0027627152480157236,0.0033484494966469457,0.0027900300887581226,8.605856721445593e-05,2.7314840742398948e-05
42,86,0.0032623909294324897,0.0027627152480157236,0.0033139576227088096,0.0027909712272187522,5.1566693276319884e-05,2.825597920302859e-05
43,88,0.0032623909294324897,0.0027627152480157236,0.003281778361667,0.0027988231259537186,1.9387432234510386e-05,3.610787793799494e-05
44,90,0.0032623909294324897,0.0027627152480157236,0.0032724772840220045,0.002807602685652254,1.0086354589514731e-05,4.488743763653028e-05
45,92,0.0032623909294324897,0.0027627152480157236,0.0032629949781040626,0.002806830408795622,6.040486715728176e-07,4.411516077989846e-05
46,94,0.0032623909294324897,0.0027627152480157236,0.0032536571927702777,0.002801059743420682,-8.733736662212051e-06,3.834449540495843e-05
47,96,0.0032623909294324897,0.0027627152480157236,0.0032504539036309213,0.002795500437799107,-1.1937025801568406e-05,3.278518978338347e-05
48,98,0.0032623909294324897,0.0027627152480157236,0.003249040597193091,0.002790145826728291,-1.3350332239398834e-05,2.743057871256718e-05
49,100,0.0032623909294324897,0.0027627152480157236,0.003245610818031178,0.0027864920225742335,-1.678011140131188e-05,2.377677455850987e-05
50,102,0.003044666111736271,0.0023939264460864063,0.003190003090427163,0.0025331238231378014,0.00014533697869089203,0.00013919737705139507
51,104,0.003044666111736271,0.0023939264460864063,0.003091875898349623,0.00244745341098303,4.7209786613352026e-05,5.352696489662389e-05
52,106,0.003044666111736271,0.0023939264460864063,0.003052076119201889,0.002425722842707975,7.4100074656181965e-06,3.1796396621568655e-05
53,108,0.003044666111736271,0.0023939264460864063,0.0030479226747397985,0.002428337422287633,3.256563003527571e-06,3.4410976201226535e-05
54,110,0.003044666111736271,0.0023939264460864063,0.00303508589575663,0.0024309821979822273,-9.580215979640774e-06,3.7055751895821026e-05
