,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBL,AVBR,AVEL,BAGL,BAGR,OLQDL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URXR,URYDL,URYDR,URYVL,VB2,train_test_label,time_in_seconds,tau
0,-0.3072630325271954,-0.35378840377622783,-0.22237010128833284,-0.3592140842978071,-0.4743516998511939,-0.4110580264568639,-0.3561000780217678,-0.22158225334640647,-0.3441615390832604,-0.41465729650892047,-0.4059816633374597,-0.35762638454311235,-0.23154837851715043,-0.2723279462047725,-0.26654885753372903,-0.4941686159612332,-0.31916447408695053,-0.0637991850842646,-0.3291596766936812,-0.2273165897900397,-0.2066115670989905,-0.28376196873995113,-0.26383134489269905,-0.08290435121188575,-0.4111631111663193,-0.40805058635388824,-0.2685390182807209,-0.3509769885428451,-0.4504666184342092,-0.3607737634003498,-0.3984132184461459,-0.40550169254889484,-0.11611358008824633,train,0.0,1
1,-0.4766420092669866,-0.507385936564502,-0.25638551682930166,-0.4594425179066144,-0.6403185515450175,-0.5866672863524927,-0.4088848998294901,-0.2848506317513944,-0.5424611406605178,-0.5151067214937088,-0.5161208582842828,-0.4789509594241007,-0.30911664066540223,-0.39406053886585807,-0.3089895647788922,-0.6637750849821539,-0.49450527743593226,0.017813685964728848,-0.42071061063184606,-0.3263715924332024,-0.19569604304189017,-0.32393597229849697,-0.29550876867598663,-0.10186356203097545,-0.5051816553943107,-0.5348462977932256,-0.3908812034425415,-0.4649463991645544,-0.590872028219366,-0.525013241380425,-0.5323649118642915,-0.5385228584682913,-0.09433130180615054,train,0.2844350803265736,1
2,-0.5862691552184472,-0.5928935385619541,-0.2837415910814267,-0.5206556027921049,-0.7343808183585004,-0.6814310276090028,-0.4427385141369843,-0.3400926167990841,-0.660915120663574,-0.573341965783554,-0.5806252615269755,-0.5453360629906198,-0.3520653220788003,-0.47707722604884045,-0.3336570819532401,-0.7570298790508802,-0.6113044168127976,0.06884552869875885,-0.4802352043146029,-0.39423641136252036,-0.1894166509986344,-0.35022397196319077,-0.3339496049577866,-0.11523666583456028,-0.5592407058849663,-0.6082936119784742,-0.48675354998658393,-0.5371612664474745,-0.6726355209709648,-0.6166492419101062,-0.6122336456320013,-0.6159870705029471,-0.08007115906438869,train,0.5688701606531472,1
3,-0.6362904433009366,-0.6400405326789361,-0.2994901940143678,-0.5515209432819046,-0.7789851075620307,-0.7242907862213654,-0.45363945265064515,-0.3773971761243802,-0.7274384153269039,-0.6009040712913476,-0.6136092491952736,-0.5925066163171556,-0.37928873900966403,-0.5262152959891374,-0.3466822205003127,-0.7993720980452916,-0.6804355171572597,0.10153680034500367,-0.5094939809221856,-0.4283360780155986,-0.19518991518770296,-0.36474330372161023,-0.35619386196771213,-0.11437533778468038,-0.5889551840924501,-0.6508829076691501,-0.5371462838732455,-0.5754648949912029,-0.7175216955802006,-0.6591065570795273,-0.6487030397355055,-0.6527494004015808,-0.07923026459403198,train,0.8533052409797208,1
4,-0.6552984234503474,-0.6346767786414353,-0.3106962192508495,-0.5837369554790713,-0.7871975701935318,-0.7346392061842065,-0.4756508143950861,-0.4120542803239642,-0.7486473659417954,-0.6293036854023147,-0.6378898725165013,-0.608233110919237,-0.40942695827111225,-0.5727202868994306,-0.36719418621605193,-0.8121002772939357,-0.6986161943835237,0.09370809233254007,-0.5354361070243578,-0.45211965825446254,-0.21894224579256755,-0.3893225507845934,-0.385496654333127,-0.1422927669897743,-0.6131058470308042,-0.6825127119771106,-0.5771616710370164,-0.586723949809649,-0.7561711080136349,-0.6891156317648048,-0.6681455511839746,-0.6684075471581786,-0.08873193793128739,train,1.1377403213062944,1
5,-0.672685317559297,-0.6451313415202263,-0.316961540772152,-0.6045347419573062,-0.799725253022007,-0.7437574172581377,-0.49240662378033906,-0.4421318361475917,-0.770168912594252,-0.6454073946074015,-0.6556317768183274,-0.6129303409053566,-0.4278334152378737,-0.6059778974887697,-0.3784672882553297,-0.8203599235764324,-0.7307964586200171,0.09776214384522258,-0.5538215928307273,-0.4689172317137569,-0.2369852954022755,-0.4026043861579701,-0.4113498308439314,-0.15970083321227346,-0.622716094186853,-0.7056507182247417,-0.609066493474683,-0.6046255486338923,-0.776519534611928,-0.7111698390369686,-0.6831598242835578,-0.6872396077150267,-0.09664029123325173,train,1.422175401632868,1
6,-0.6699704429812487,-0.6432531340187843,-0.32237916441098935,-0.6173685441074166,-0.80317364285944,-0.7453061182579993,-0.4994950528583998,-0.46037346039496163,-0.7791868333267744,-0.6517393634236897,-0.6650140161298471,-0.6203919052897593,-0.4407014327994661,-0.6239810657076812,-0.38612376732008447,-0.8210054390548988,-0.7406734146962224,0.09962158502348772,-0.5653046974417434,-0.4770975031955826,-0.2462709554847195,-0.4133709316989318,-0.42236595475162375,-0.16966804651291612,-0.6315957602538813,-0.7108127539112696,-0.6240899432186638,-0.6126127367578799,-0.7866740405887087,-0.7228095158490598,-0.6906347215317373,-0.6913378626512395,-0.10705221898537844,train,1.7066104819594416,1
7,-0.6556266431971559,-0.6219594667548222,-0.3295653826868118,-0.6171794823720004,-0.7812042525167886,-0.7292813778298721,-0.5072729750639757,-0.47911025577333666,-0.764074951239325,-0.6546047060625322,-0.6603788019889796,-0.6137321283242226,-0.45577559138661744,-0.6518438086096905,-0.3997111703940297,-0.8008775461112418,-0.7311610389179516,0.07633200419680869,-0.5756596488516935,-0.4769438734387579,-0.2751047011787061,-0.4265580725270457,-0.4455977035078784,-0.1971947418343454,-0.6430045236081715,-0.72132918605775,-0.6377037531480179,-0.6048720391536421,-0.7967764026433262,-0.714455434199723,-0.6848677380430487,-0.6829722939123928,-0.12480580132130638,train,1.9910455622860153,1
8,-0.6510665032612944,-0.6004338983063753,-0.33386049551422026,-0.6308504380803979,-0.7713200914017991,-0.7197417014552742,-0.5265717119259544,-0.49560068052786377,-0.7508045182864397,-0.6660509630826191,-0.6647444718657471,-0.605640881227524,-0.47642410951366837,-0.6646850551495012,-0.4130826799092009,-0.789202424279424,-0.7229651261654196,0.05910112277779009,-0.5866674960130425,-0.48437714550198885,-0.2898580408576743,-0.4425612195402889,-0.4606418695176757,-0.22473350301946268,-0.6472347338757393,-0.7291899843705395,-0.6545110648165564,-0.6035255978399581,-0.8040409770825196,-0.7218860434985797,-0.690900370959185,-0.685414098611254,-0.13618785100293032,train,2.275480642612589,1
9,-0.6209859259446718,-0.5647410797893812,-0.3435497317099054,-0.6267894335573699,-0.7340817057057544,-0.6828884608495707,-0.5380529642763864,-0.521066165812618,-0.7341693895741411,-0.667777261101874,-0.6631044684036101,-0.6024998732635395,-0.48768860303688366,-0.6884656873959989,-0.4287240733007574,-0.7554503420963954,-0.6951162320732823,0.025698856223996286,-0.5797536152039116,-0.47888692749217954,-0.32356616973373586,-0.4617831971650176,-0.4788487127584447,-0.2523109599950814,-0.6499828304446467,-0.73503076467261,-0.6540200474637478,-0.5967027976108021,-0.8088414952302754,-0.7090398251852736,-0.6814546554906274,-0.6753060561904778,-0.15726768104379946,train,2.5599157229391625,1
