,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBL,AVBR,AVEL,BAGL,BAGR,OLQDL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URXR,URYDL,URYDR,URYVL,VB2,train_test_label,time_in_seconds,tau
0,-0.6672366553654498,-0.45898518465607374,-0.3062490058512447,-0.8669660871759111,-0.9152213136039298,-0.7934011626298096,-0.4858323593673797,-0.24691293493500133,-0.9412425753163297,0.32461850341030374,-0.10998271333842025,-0.620011866429713,-0.3438326720453667,-0.25285315915250317,-0.19689749178871208,-0.9436302224347003,-0.8431320443873795,-0.7405288984028172,-0.6736906096043648,-0.7515493429925444,-0.26803622067483657,0.5370430222424873,0.20258457981200118,0.13307007099841428,-0.8770717389480339,-0.7143957870724279,-0.8854837335790944,-0.6164989978635234,-0.8223719899648874,-0.6597592816277402,-0.8661597867565194,-0.8686625073039034,0.6957962415920862,train,0.0,1
1,-0.703067097689821,-0.3868087221820492,-0.5143690466110842,-0.8991050874569804,-0.9067682129642942,-0.8069328793381696,-0.4527842594369912,-0.3037295297203211,-0.9422439649590441,0.14368265466987418,-0.29709656537196527,-0.639102182940459,-0.40807501132901314,-0.18373658418576677,-0.21179294058217923,-0.9400694073212433,-0.8981493618302723,-0.6738505691247272,-0.6615447949528559,-0.7680797078286588,-0.1808421855125143,0.28085203128866776,0.11668638652109231,-0.02758744091888521,-0.8655204476163538,-0.7170834698409232,-0.8766151233469303,-0.6964424836764569,-0.6723817490199953,-0.7927691633031356,-0.8739241311293516,-0.8515863374042767,0.797288401648427,train,0.2844350803265736,1
2,-0.6517286919498542,-0.2819026756191173,-0.4398516811399448,-0.8839289818209018,-0.9046631041834401,-0.836614704947015,-0.4258916081887534,-0.3442853134377337,-0.889422101590328,0.04576071031364548,-0.2303623730961799,-0.6137759366946163,-0.41680238884805176,-0.2660736410920299,-0.17338693590069232,-0.9365143337201861,-0.9593443237864915,-0.5689856622433798,-0.662961229890279,-0.7977164023652172,-0.2368733423767473,0.3462932389605984,0.18643037045832855,0.027358575029089227,-0.8374013668274664,-0.5594020360865397,-0.9041969461669022,-0.38385526106315815,-0.6961998175582862,-0.837948515997464,-0.9044640178089869,-0.8056377508349013,0.6395557570135126,train,0.5688701606531472,1
3,-0.5569167389418908,-0.2674865186946237,-0.5233908520798841,-0.9089681504384436,-0.9011151504938177,-0.8452167373536813,-0.5613875158655655,-0.2787930443710863,-0.9719407458041222,-0.028826796226590568,-0.17722692676646778,-0.5412476546086404,-0.4561341236053209,-0.4029795121759856,-0.23541373341519134,-0.933290406164162,-0.7873910966587574,-0.6934880873085099,-0.6899578005132527,-0.7907909354159152,-0.2383147624057561,0.31028494182546695,-0.04299071500704532,-0.06538207431603138,-0.8284410621336639,-0.6269459915304625,-0.9878917487069296,-0.5938052488107377,-0.7314531205643479,-0.8158984772755059,-0.9309306335719963,-0.8167837133340985,0.5785015880064179,train,0.8533052409797208,1
4,-0.6040344358590239,-0.25144247503599937,-0.5972648834733219,-0.8695757006359064,-0.8889892260570411,-0.8404181370589693,-0.5582893760792618,-0.3429901392450061,-0.9636290301387328,-0.23308008628687482,-0.2099354107228787,-0.6421847003350718,-0.4989669154109706,-0.4638512663090206,-0.2909422386685975,-0.9074531939379067,-0.83461402156941,-0.5031019825429952,-0.6706493993907261,-0.7960417916731768,-0.21208227226234289,0.0358250243390299,-0.02589070604687771,-0.12044410907690228,-0.7595933776011653,-0.5732651402084623,-0.8995726659841519,-0.5236331633630116,-0.8756668278989376,-0.8023859397937458,-0.9187080027407126,-0.8344856773858905,0.5789477347193217,train,1.1377403213062944,1
5,-0.5475513482614522,-0.18543410118796266,-0.526737344864889,-0.8675491500979706,-0.9014208131329975,-0.8673182048022585,-0.45765962467591936,-0.3526150953138605,-0.9568816139567919,-0.05079258021875532,-0.36248656918194067,-0.6305584185687162,-0.5699937509169062,-0.5664701901670213,-0.307749016018679,-0.907347954330268,-0.8388192409925529,-0.5924149587429044,-0.6781611121223574,-0.7517842787139699,-0.17096673150494424,0.12700732966842576,0.06225257970044762,-0.22577680927554433,-0.7356873022137526,-0.4501716962129759,-0.9445289911754841,-0.5314756595695753,-0.7987535223434835,-0.6980353720303418,-0.8846826273491487,-0.8356133255818157,0.4843831134786345,train,1.422175401632868,1
6,-0.5133544902625562,-0.05262242295075159,-0.6109459458595863,-0.8632868152452797,-0.8967224730543835,-0.8098241133210682,-0.46040676685194704,-0.41505132849505877,-0.8773181713774849,-0.03871248503835978,-0.09195879473185908,-0.6373146399949989,-0.5752546885579068,-0.5746300128477978,-0.3433620128387289,-0.8795490776111775,-0.8092682729051801,-0.5442097533678029,-0.7259547106283956,-0.7757918775880295,-0.2827824123488579,0.06930067181519894,-0.0981506657624206,-0.18792159904940087,-0.7482039890212071,-0.5684236710227757,-0.873427316792657,-0.25137681607266216,-0.7334636259800277,-0.7373496919392417,-0.8025227855643323,-0.7504523262105012,0.4523120643129337,train,1.7066104819594416,1
7,-0.5422760782149334,-0.1018060843860159,-0.5737257645401249,-0.8994480784107035,-0.864910688146593,-0.8225213470233055,-0.5163508150773066,-0.42289499273574194,-0.9362958472562551,-0.1429207169355753,-0.20544395706752183,-0.6451344546576668,-0.6304983445590211,-0.6044251346076518,-0.39940105449933405,-0.8622853149883279,-0.8039566758788419,-0.6846087679897334,-0.729333214558908,-0.7363400768714072,-0.2116467722299491,0.06383901990086827,-0.25414579494877687,-0.14042570115140152,-0.7506296773315579,-0.549282273427736,-0.9081035002671097,-0.6515720015395661,-0.7599378590955993,-0.8005704454340072,-0.8576444094306345,-0.8100116233720016,0.4405120447581372,train,1.9910455622860153,1
8,-0.5147761767720569,0.0972563058361311,-0.7016423507326954,-0.8626477000827032,-0.8224712348876249,-0.7521199885243882,-0.6740355851562564,-0.4131095585136769,-0.9462384474912331,0.1898427702666512,-0.2030993057542645,-0.6074616637502532,-0.6385913152042388,-0.63338335147717,-0.43818724685671506,-0.7989148264746357,-0.6947543269081082,-0.6331446286886029,-0.7157689333266781,-0.8150883407560703,-0.3373809058205691,0.0020513593596347413,0.021269627948216296,-0.14026354697644217,-0.7734052302822455,-0.5791137320568357,-0.9225644582684146,-0.3749286611343682,-0.77109756580188,-0.7390702986166493,-0.8671239881599531,-0.7779027434102513,0.34335524822731345,train,2.275480642612589,1
9,-0.42424160293306,0.08889314501954293,-0.5688308891930723,-0.9281825654233914,-0.669950589845987,-0.6744581766231019,-0.49791095021712206,-0.5245595871033406,-0.9209361761891097,-0.20314613056387865,0.022428133287516694,-0.6106399336965422,-0.7269949440710041,-0.6977007999633853,-0.4486454159729981,-0.8036757376110192,-0.661391463888821,-0.5767212748612399,-0.7332580905120801,-0.8053379199384397,-0.4098857296647491,-0.2665105891133718,-0.35216537506058,-0.25013736176582246,-0.8306583388752294,-0.6665028575588803,-0.9150543882206609,-0.6721910152997554,-0.7376888138851121,-0.738282820629775,-0.8656821714304804,-0.8221838057982739,0.42112138920196496,train,2.5599157229391625,1
10,-0.45766725143893383,0.1292397921500823,-0.5818525309120716,-0.8968349671283193,-0.5118156977124333,-0.6046507410059835,-0.635882661900601,-0.38617502797138215,-0.8464246646768963,0.308442034924471,-0.44995831089081084,-0.561954768757154,-0.7009962748005071,-0.6826365119373368,-0.5002017176697716,-0.6863154756507495,-0.702255982651832,-0.659166238550007,-0.761683490815431,-0.8219040005422231,-0.38512562808034134,-0.3497602558905042,-0.2842393529108901,-0.34085328433152373,-0.8610349092371987,-0.6978025311540655,-0.8389814035995428,-0.22947293074388975,-0.7057492735110065,-0.723958896948623,-0.8301253001896796,-0.7113634735980252,0.3108810997464688,train,2.844350803265736,1
11,-0.44044685799889594,0.08066470245650659,-0.5123434791771052,-0.8820049495208275,-0.07269404861404682,-0.49561980789940074,-0.5641020625603352,-0.502891753873671,-0.7782908251561248,0.22183713387744297,-0.3076195703718486,-0.6590515757632914,-0.729560901533287,-0.7353615200285071,-0.42197567663397206,-0.6209418684114475,-0.5422578980438253,-0.45092466943299847,-0.7319783853721056,-0.8015218174565221,-0.4429848115589007,-0.42690829580940337,-0.4867765517573669,-0.39276718126867916,-0.7540791258055057,-0.6169293679395241,-0.905248951888856,-0.29543467761264963,-0.6839349820191718,-0.6159602249118591,-0.942057111904539,-0.732817742113016,0.36460306736720516,train,3.1287858835923097,1
