,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,BAGL,BAGR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.8793572198456115,-0.970000323601257,0.590781723547499,0.10480141487850103,-0.39245391289731235,-0.8569813849613136,-0.90290549807849,-0.8708876604299434,-0.7789853700949098,-0.7825387340056149,-0.8155774020878699,-0.6533360401246997,-0.9009523024648922,-0.9741110169516902,-0.9496284571108613,0.8364007059409078,-0.12732268899054233,0.13737382376536988,0.800151510515819,-0.8888846124910029,-0.6392084432035396,0.42570410376249246,-0.7655560712972225,-0.5312613334340499,-0.6829881393117836,-0.3266284765615435,-0.32169942048428823,-0.42621663170724655,train,0.0,1
1,-0.8726413423731155,-0.9617585016095096,0.5062898332213501,0.02729223237629186,-0.41234626023763243,-0.7239550440639324,-0.8939700925625418,-0.8245999372076978,-0.7545541409166514,-0.739469723704392,-0.8126489173182669,-0.6018851700006426,-0.8792280241527015,-0.983961622882536,-0.8869809672746056,0.5374397541535672,-0.2216586416140528,0.07067737836029431,0.7394055457949247,-0.8630341715986707,-0.6987496191883551,0.3179420171291887,-0.7677147597387539,-0.47886011326644917,-0.6804333084895466,-0.2013153320201816,-0.47200519570924193,-0.20282744474981218,train,0.6401551891367605,1
2,-0.8364967487491669,-0.9491723388625575,0.6916186214267044,0.2815926904181094,-0.38381247752408554,-0.8335310657235565,-0.8785095081404656,-0.8027265213956427,-0.7626083556326673,-0.800306432174812,-0.7686953673391783,-0.6242331087135491,-0.8694296478155138,-0.9704553689335796,-0.9773238471830439,0.7080116987102647,0.017627636023650473,0.16646920171790103,0.7272196399201469,-0.8741245647008693,-0.7696945571935704,0.03440494669891159,-0.705437946849659,-0.4062316541364783,-0.6584979991982824,-0.07579890213425555,-0.36516491381669447,-0.340818603261027,train,1.280310378273521,1
3,-0.8860991232245768,-0.9358912950140513,0.5911249509562297,0.2689833842334528,-0.3000418410213189,-0.8285762332233544,-0.8900250394687741,-0.8604312751406715,-0.7742253529787068,-0.8342044039932478,-0.7600670842308993,-0.6921527087772059,-0.8920105121518572,-0.9842550808656412,-0.9855247225406334,0.5549375908967409,-0.19479848021281565,0.12096944341053706,0.6555996399621755,-0.9108399674105432,-0.7809660846028672,0.1947817386755808,-0.6886464573700969,-0.48888389760973194,-0.6203999371391028,-0.22310271970750206,-0.2825825030541027,-0.33737751204615085,train,1.9204655674102813,1
4,-0.8807890277753396,-0.9507104862312274,0.875279347352981,0.2255911237336743,-0.23420294036069167,-0.8346601186002744,-0.8926030623106671,-0.8358017880379129,-0.7214984485143872,-0.755014945837672,-0.7665560359568442,-0.701976775305428,-0.8962151638646398,-0.9869369274949169,-0.9858680892538595,0.45310584319070646,-0.08964650883699099,0.05680148765321591,0.6659082444223865,-0.8909152909323441,-0.8325394270070002,0.3355132066714639,-0.7504666185247826,-0.5554717480392649,-0.6571611081542784,-0.17471738198211895,-0.2061858986152466,-0.3131598015243674,train,2.560620756547042,1
5,-0.8885609263887193,-0.9475035638209721,0.5055189252982573,0.27565802080691637,-0.25213333812042116,-0.7782666244862664,-0.902613370709761,-0.8517740738698633,-0.7274371772318657,-0.7792850029720445,-0.7879707390489237,-0.7244865286779492,-0.8714791399384626,-0.9790842314245588,-0.9569123452585979,0.30808658506793374,-0.04577620762233425,0.05000911911373085,0.6657043776879557,-0.9174735412101279,-0.8585108309138945,0.3830575986632856,-0.6889139852346751,-0.5957519405758864,-0.6767608873215025,-0.2785294228573242,-0.2627771570793541,-0.1722147087728555,train,3.2007759456838025,1
6,-0.8857707668910267,-0.9391041561265093,0.6802122555377625,0.4038088454625859,-0.3027528714274009,-0.8451120273247706,-0.8779561755308648,-0.8302462070695609,-0.7636425942799397,-0.8020593483160383,-0.7477660403342715,-0.5792395504287027,-0.9068249269167858,-0.9698792330565446,-0.985011277553163,0.27883067692244445,-0.18820109464931467,-0.09156429811570721,0.6993857177848979,-0.8978272991649531,-0.8710718011809401,0.35520439347499977,-0.6763572020920807,-0.5014113272484768,-0.7553457627480713,-0.14852571273705617,-0.273802366576538,-0.1872229712084058,train,3.8409311348205626,1
7,-0.876397551753847,-0.9644572484954732,0.5927135905890843,0.328277047257699,-0.33872315620218485,-0.784170021329543,-0.8978788267736288,-0.8023566417488542,-0.7719690379703404,-0.8364946998030298,-0.8071753517494256,-0.6665218238225656,-0.8722699209773425,-0.9990513521525742,-0.9904927335380987,0.37960762288326144,-0.23090816812178372,0.05952168562557825,0.6261264405083662,-0.899760155744483,-0.9052509423383996,0.22532760993683731,-0.6960092541466045,-0.49230688785476573,-0.624429754793365,-0.07761347248916983,-0.3092202503744841,-0.2866711615868862,train,4.4810863239573235,1
8,-0.8856286743518843,-0.9644461226025295,0.5576115557902084,0.07856999741976134,-0.35128399762079165,-0.7438151878871551,-0.8718450174914898,-0.8497732652618454,-0.7606946064429325,-0.8283364856893991,-0.7498095736401849,-0.7237089908519776,-0.8917408198200025,-0.9861595632866096,-0.8865387805863798,0.35661203158925736,-0.11728950731266652,-0.08102864989007219,0.6354324070870796,-0.917640711931298,-0.8997553365471553,0.23748709474286533,-0.7142674232845008,-0.5110345379851651,-0.7125518350196953,-0.2670631075229499,-0.19164524290584362,-0.23832973312216676,train,5.121241513094084,1
9,-0.8738457721977424,-0.9646335409431893,0.5665485984553009,0.16860043926400858,-0.5239412461082189,-0.8082210071610534,-0.8793811286667279,-0.8378729968614551,-0.7564255951744334,-0.8082376277458208,-0.8150843700934094,-0.6251087792070744,-0.8782016183839876,-0.9795429841083518,-0.9999999999999999,0.38912823603814606,-0.2832487728558093,-0.047560875472741904,0.6415386854915166,-0.9104901997583773,-0.9329410688146927,0.3299826302212783,-0.7653065436211053,-0.5292907673500936,-0.6458709480064713,-0.1645417925200623,-0.32934355233185386,-0.23800211564447116,train,5.7613967022308445,1
